session_id,subscriber_id,cell_id,session_start_ts,session_end_ts,data_mb,avg_downlink_mbps,avg_uplink_mbps,latency_ms,packet_loss_pct,roaming_flag,source_system,session_date,quarantine_reason
DATA0000001827,SUB_BAD,CELL000087,2026-04-10 15:00:03,2026-04-10 16:59:03,2169.426,106.276,38.224,12.145,0.4901,False,pgw,2026-04-10,Missing subscriber
DATA0000002337,SUB_BAD,CELL000227,2026-05-13 04:18:25,2026-05-13 06:32:25,283.413,217.473,42.087,32.83,0.7644,True,pgw,2026-05-13,Missing subscriber
DATA0000002731,SUB_BAD,CELL000130,2026-04-07 06:49:31,2026-04-07 07:20:31,245.013,157.681,28.718,45.474,0.332,False,pgw,2026-04-07,Missing subscriber
DATA0000003228,SUB_BAD,CELL000220,2026-04-12 17:58:31,2026-04-12 20:56:31,3321.325,145.119,23.053,2.0,1.6334,False,pgw,2026-04-12,Missing subscriber
DATA0000004290,SUB_BAD,CELL000004,2026-05-06 11:31:16,2026-05-06 11:46:16,325.335,106.143,28.253,46.115,1.0183,False,pgw,2026-05-06,Missing subscriber
DATA0000004598,SUB_BAD,CELL000090,2026-05-06 04:14:55,2026-05-06 06:20:55,167.844,61.645,36.057,2.0,1.6315,False,pgw,2026-05-06,Missing subscriber
DATA0000005002,SUB_BAD,CELL000200,2026-05-23 08:39:46,2026-05-23 09:53:46,184.381,117.232,21.586,70.697,2.0499,False,pgw,2026-05-23,Missing subscriber
DATA0000005447,SUB_BAD,CELL000112,2026-05-09 12:46:21,2026-05-09 15:21:21,34.431,102.554,33.489,14.637,0.1151,False,pgw,2026-05-09,Missing subscriber
DATA0000006123,SUB_BAD,CELL000198,2026-05-16 17:21:49,2026-05-16 19:31:49,494.226,138.935,24.361,30.418,0.0,False,pgw,2026-05-16,Missing subscriber
DATA0000006219,SUB_BAD,CELL000165,2026-05-26 11:43:17,2026-05-26 12:17:17,433.957,94.308,37.504,32.982,2.8166,False,pgw,2026-05-26,Missing subscriber
DATA0000006282,SUB_BAD,CELL000153,2026-04-17 07:46:40,2026-04-17 10:43:40,18.432,85.494,11.738,52.599,0.0,False,pgw,2026-04-17,Missing subscriber
DATA0000006925,SUB_BAD,CELL000015,2026-05-25 16:35:16,2026-05-25 18:03:16,1711.271,115.024,29.233,38.978,0.0,True,pgw,2026-05-25,Missing subscriber
DATA0000007106,SUB_BAD,CELL000175,2026-04-07 08:04:01,2026-04-07 10:52:01,1017.133,0.1,15.479,34.5,1.6077,True,pgw,2026-04-07,Missing subscriber
DATA0000008747,SUB_BAD,CELL000048,2026-05-28 11:04:21,2026-05-28 13:19:21,54.75,160.205,27.351,39.872,0.0,False,pgw,2026-05-28,Missing subscriber
DATA0000008765,SUB_BAD,CELL000187,2026-04-27 05:04:28,2026-04-27 06:19:28,2.547,92.734,27.87,38.981,0.0,False,pgw,2026-04-27,Missing subscriber
DATA0000009025,SUB_BAD,CELL000103,2026-04-20 17:12:47,2026-04-20 19:38:47,643.382,39.048,26.386,78.527,0.0,False,pgw,2026-04-20,Missing subscriber
DATA0000009151,SUB_BAD,CELL000216,2026-04-20 17:28:40,2026-04-20 18:31:40,103.293,91.05,6.692,24.133,0.9655,True,pgw,2026-04-20,Missing subscriber
DATA0000010250,SUB_BAD,CELL000093,2026-05-07 18:44:28,2026-05-07 19:07:28,1318.468,43.255,40.905,39.665,1.4423,False,pgw,2026-05-07,Missing subscriber
DATA0000011596,SUB_BAD,CELL000085,2026-05-17 09:03:35,2026-05-17 10:53:35,1890.442,215.927,17.68,28.62,0.0,False,pgw,2026-05-17,Missing subscriber
DATA0000011704,SUB_BAD,CELL000035,2026-05-05 20:45:01,2026-05-05 23:16:01,47.009,57.963,21.264,34.145,0.8688,False,pgw,2026-05-05,Missing subscriber
DATA0000013041,SUB_BAD,CELL000114,2026-05-21 04:32:00,2026-05-21 07:30:00,384.756,189.646,32.262,26.342,0.0,False,pgw,2026-05-21,Missing subscriber
DATA0000014390,SUB_BAD,CELL000117,2026-04-12 04:59:18,2026-04-12 07:35:18,200.43,88.105,19.557,32.139,0.4018,False,pgw,2026-04-12,Missing subscriber
DATA0000014831,SUB_BAD,CELL000255,2026-05-22 19:08:38,2026-05-22 21:54:38,39.72,120.479,24.999,24.664,0.946,True,pgw,2026-05-22,Missing subscriber
DATA0000016920,SUB_BAD,CELL000208,2026-04-20 21:22:57,2026-04-20 21:32:57,515.273,123.809,6.02,45.512,0.7955,False,pgw,2026-04-20,Missing subscriber
DATA0000017279,SUB_BAD,CELL000111,2026-05-20 08:46:40,2026-05-20 09:45:40,1770.507,218.016,32.821,39.763,0.5634,False,pgw,2026-05-20,Missing subscriber
DATA0000017470,SUB_BAD,CELL000153,2026-05-19 00:09:28,2026-05-19 02:16:28,,146.434,11.447,28.703,2.4401,False,pgw,2026-05-19,Missing subscriber
DATA0000018434,SUB_BAD,CELL000171,2026-04-22 23:06:08,2026-04-22 23:50:08,58.684,112.464,26.649,41.186,0.0,False,pgw,2026-04-22,Missing subscriber
DATA0000019904,SUB_BAD,CELL000100,2026-05-12 15:39:18,2026-05-12 16:07:18,697.976,127.572,33.96,28.537,0.9547,False,pgw,2026-05-12,Missing subscriber
DATA0000020543,SUB_BAD,CELL000034,2026-04-22 16:02:16,2026-04-22 18:40:16,136.345,81.101,17.341,35.441,1.6322,False,pgw,2026-04-22,Missing subscriber
DATA0000021505,SUB_BAD,CELL000026,2026-04-25 05:51:24,2026-04-25 06:04:24,174.844,148.771,35.239,37.235,0.0,False,pgw,2026-04-25,Missing subscriber
DATA0000022384,SUB_BAD,CELL000158,2026-05-28 14:31:49,2026-05-28 17:06:49,317.246,102.764,16.318,26.074,0.5077,False,pgw,2026-05-28,Missing subscriber
DATA0000022962,SUB_BAD,CELL000082,2026-05-08 14:05:36,2026-05-08 15:23:36,219.28,152.982,25.479,51.569,1.494,False,pgw,2026-05-08,Missing subscriber
DATA0000023031,SUB_BAD,CELL000179,2026-04-27 04:35:37,2026-04-27 06:45:37,2.996,0.1,29.83,53.459,0.0,False,pgw,2026-04-27,Missing subscriber
DATA0000024259,SUB_BAD,CELL000150,2026-04-21 14:17:53,2026-04-21 16:41:53,125.2,246.33,47.194,33.694,0.5321,False,pgw,2026-04-21,Missing subscriber
DATA0000024494,SUB_BAD,CELL000103,2026-05-26 21:21:01,2026-05-27 00:00:01,148.126,185.538,20.909,36.426,0.8789,False,pgw,2026-05-26,Missing subscriber
DATA0000024797,SUB_BAD,CELL000055,2026-05-26 11:05:59,2026-05-26 12:31:59,157.776,37.872,43.694,60.034,0.9692,True,pgw,2026-05-26,Missing subscriber
DATA0000024993,SUB_BAD,CELL000234,2026-05-13 10:22:24,2026-05-13 11:30:24,1520.952,105.819,36.869,20.729,1.6216,False,pgw,2026-05-13,Missing subscriber
DATA0000025442,SUB_BAD,CELL000137,2026-05-03 10:48:21,2026-05-03 12:51:21,238.55,196.641,14.989,31.821,0.2317,False,pgw,2026-05-03,Missing subscriber
DATA0000025549,SUB_BAD,CELL000096,2026-05-28 17:48:54,2026-05-28 19:45:54,34.096,89.492,27.766,22.4,1.0606,False,pgw,2026-05-28,Missing subscriber
DATA0000025859,SUB_BAD,CELL000193,2026-05-28 11:11:30,2026-05-28 12:13:30,314.141,107.018,34.656,42.073,1.1089,False,pgw,2026-05-28,Missing subscriber
DATA0000026898,SUB_BAD,CELL000151,2026-05-15 21:53:13,2026-05-15 22:55:13,153.605,96.054,29.714,67.978,1.2654,False,pgw,2026-05-15,Missing subscriber
DATA0000027829,SUB_BAD,CELL000194,2026-05-21 15:32:12,2026-05-21 15:58:12,88.233,161.681,52.28,47.024,2.2541,False,pgw,2026-05-21,Missing subscriber
DATA0000028077,SUB_BAD,CELL000208,2026-04-25 21:22:52,2026-04-26 00:19:52,697.233,138.836,37.618,31.638,0.2744,False,pgw,2026-04-25,Missing subscriber
DATA0000028998,SUB_BAD,CELL000091,2026-05-03 15:45:39,2026-05-03 17:39:39,,34.995,45.674,52.996,0.5413,False,pgw,2026-05-03,Missing subscriber
DATA0000029042,SUB_BAD,CELL000255,2026-04-07 13:58:37,2026-04-07 14:50:37,594.379,211.526,16.054,20.157,0.6923,True,pgw,2026-04-07,Missing subscriber
DATA0000029218,SUB_BAD,CELL000053,2026-04-14 22:24:50,2026-04-15 00:44:50,599.278,58.916,53.485,20.996,0.7429,True,pgw,2026-04-14,Missing subscriber
DATA0000029287,SUB_BAD,CELL000152,2026-04-21 23:19:03,2026-04-22 00:31:03,956.798,55.846,2.74,47.14,1.5239,False,pgw,2026-04-21,Missing subscriber
DATA0000030001,SUB_BAD,CELL000221,2026-04-30 02:25:50,2026-04-30 03:11:50,723.023,117.347,13.551,12.119,0.3703,False,pgw,2026-04-30,Missing subscriber
DATA0000031167,SUB_BAD,CELL000133,2026-05-25 07:59:50,2026-05-25 09:13:50,44.672,186.858,15.653,72.746,1.8395,False,pgw,2026-05-25,Missing subscriber
DATA0000032124,SUB_BAD,CELL000113,2026-04-06 03:50:03,2026-04-06 04:50:03,730.237,115.982,38.78,39.168,1.8463,False,pgw,2026-04-06,Missing subscriber
DATA0000032176,SUB_BAD,CELL000123,2026-04-13 09:39:50,2026-04-13 10:05:50,444.595,206.609,51.081,35.161,0.4472,False,pgw,2026-04-13,Missing subscriber
DATA0000032569,SUB_BAD,CELL000072,2026-04-01 06:38:54,2026-04-01 08:05:54,771.261,140.572,26.479,36.526,0.0,True,pgw,2026-04-01,Missing subscriber
DATA0000033052,SUB_BAD,CELL000161,2026-05-27 19:56:32,2026-05-27 22:42:32,73.226,76.548,36.21,4.294,0.7987,True,pgw,2026-05-27,Missing subscriber
DATA0000033442,SUB_BAD,CELL000167,2026-05-28 10:15:26,2026-05-28 12:02:26,148.515,29.486,27.933,51.185,0.0,False,pgw,2026-05-28,Missing subscriber
DATA0000033633,SUB_BAD,CELL000147,2026-04-13 23:23:23,2026-04-13 23:54:23,190.8,51.695,30.266,33.343,2.0494,False,pgw,2026-04-13,Missing subscriber
DATA0000034083,SUB_BAD,CELL000003,2026-05-26 10:53:06,2026-05-26 12:25:06,218.144,201.393,47.422,21.755,0.0603,False,pgw,2026-05-26,Missing subscriber
DATA0000034202,SUB_BAD,CELL000112,2026-05-18 05:59:53,2026-05-18 08:36:53,517.306,201.395,41.454,33.148,0.937,True,pgw,2026-05-18,Missing subscriber
DATA0000034522,SUB_BAD,CELL000202,2026-04-28 08:22:11,2026-04-28 09:02:11,239.615,88.905,34.706,22.622,1.1986,False,pgw,2026-04-28,Missing subscriber
DATA0000034919,SUB_BAD,CELL000095,2026-04-26 16:50:43,2026-04-26 18:28:43,272.505,172.064,21.261,46.193,0.254,False,pgw,2026-04-26,Missing subscriber
DATA0000036277,SUB_BAD,CELL000232,2026-05-07 08:37:02,2026-05-07 10:07:02,222.901,68.062,17.605,18.588,1.3455,False,pgw,2026-05-07,Missing subscriber
DATA0000036417,SUB_BAD,CELL000093,2026-05-05 14:19:44,2026-05-05 16:03:44,114.184,94.925,23.714,29.615,0.9852,True,pgw,2026-05-05,Missing subscriber
DATA0000036554,SUB_BAD,CELL000106,2026-05-12 06:20:34,2026-05-12 08:18:34,692.072,0.1,46.782,37.139,0.0,False,pgw,2026-05-12,Missing subscriber
