invoice_id,subscriber_id,billing_month,invoice_date,due_date,monthly_charge,usage_charge,tax_amount,other_fees,total_amount,invoice_status,quarantine_reason
INV400000024,SUB00000024,2026-04-01,2026-04-28,2026-05-16,157.61,41.72,20.86,11.59,,Paid,Bad invoice amount
INV400000376,SUB00000376,2026-04-01,2026-04-28,2026-05-16,110.19,29.17,14.58,8.1,,Past Due,Bad invoice amount
INV400000479,SUB00000479,2026-04-01,2026-04-28,2026-05-16,73.28,19.4,9.7,5.39,,Past Due,Bad invoice amount
INV500000589,SUB00000589,2026-05-01,2026-05-28,2026-06-15,68.88,18.23,9.12,5.06,,Paid,Bad invoice amount
INV500000726,SUB00000726,2026-05-01,2026-05-28,2026-06-15,136.35,36.09,18.05,10.03,,Past Due,Bad invoice amount
INV500000774,SUB00000774,2026-05-01,2026-05-28,2026-06-15,51.03,13.51,6.75,3.75,,Cancelled,Bad invoice amount
INV500000997,SUB00000997,2026-05-01,2026-05-28,2026-06-15,149.62,39.61,19.8,11.0,,Open,Bad invoice amount
INV500001104,SUB00001104,2026-05-01,2026-05-28,2026-06-15,24.55,6.5,3.25,1.81,,Past Due,Bad invoice amount
INV400001219,SUB00001219,2026-04-01,2026-04-28,2026-05-16,25.28,6.69,3.35,1.86,,Past Due,Bad invoice amount
INV500001654,SUB00001654,2026-05-01,2026-05-28,2026-06-15,135.93,35.98,17.99,9.99,,Open,Bad invoice amount
INV500001897,SUB00001897,2026-05-01,2026-05-28,2026-06-15,63.34,16.77,8.38,4.66,,Open,Bad invoice amount
INV400002401,SUB00002401,2026-04-01,2026-04-28,2026-05-16,115.0,30.44,15.22,8.46,,Paid,Bad invoice amount
INV500002407,SUB00002407,2026-05-01,2026-05-28,2026-06-15,141.22,37.38,18.69,10.38,,Cancelled,Bad invoice amount
INV500002597,SUB00002597,2026-05-01,2026-05-28,2026-06-15,49.41,13.08,6.54,3.63,,Open,Bad invoice amount
INV400003111,SUB00003111,2026-04-01,2026-04-28,2026-05-16,104.49,27.66,13.83,7.68,,Cancelled,Bad invoice amount
INV500003316,SUB00003316,2026-05-01,2026-05-28,2026-06-15,105.26,27.86,13.93,7.74,,Cancelled,Bad invoice amount
INV400003509,SUB00003509,2026-04-01,2026-04-28,2026-05-16,101.68,26.92,13.46,7.48,,Open,Bad invoice amount
INV500003756,SUB00003756,2026-05-01,2026-05-28,2026-06-15,28.38,7.51,3.76,2.09,,Open,Bad invoice amount
INV400003834,SUB00003834,2026-04-01,2026-04-28,2026-05-16,162.73,43.07,21.54,11.97,,Paid,Bad invoice amount
INV400003849,SUB00003849,2026-04-01,2026-04-28,2026-05-16,94.32,24.97,12.48,6.94,,Open,Bad invoice amount
INV500003895,SUB00003895,2026-05-01,2026-05-28,2026-06-15,57.27,15.16,7.58,4.21,,Open,Bad invoice amount
INV500003979,SUB00003979,2026-05-01,2026-05-28,2026-06-15,103.27,27.34,13.67,7.59,,Cancelled,Bad invoice amount
INV400004112,SUB00004112,2026-04-01,2026-04-28,2026-05-16,45.89,12.15,6.07,3.37,,Open,Bad invoice amount
INV500004190,SUB00004190,2026-05-01,2026-05-28,2026-06-15,146.5,38.78,19.39,10.77,,Open,Bad invoice amount
INV400004247,SUB00004247,2026-04-01,2026-04-28,2026-05-16,86.08,22.78,11.39,6.33,,Open,Bad invoice amount
INV500004332,SUB00004332,2026-05-01,2026-05-28,2026-06-15,131.08,34.7,17.35,9.64,,Cancelled,Bad invoice amount
INV400004843,SUB00004843,2026-04-01,2026-04-28,2026-05-16,69.8,18.48,9.24,5.13,,Past Due,Bad invoice amount
