ticket_id,customer_id,opened_ts,resolved_ts,ticket_category,priority,ticket_status,channel,resolution_hours,quarantine_reason
TKT00000806,CUST_BAD,2026-04-03 02:16:09,,Billing,High,Pending Customer,Store,,Missing customer
TKT00000860,CUST_BAD,2026-04-02 23:48:03,2026-04-04 22:48:03,Network Speed,Low,Pending Customer,App,47.0,Missing customer
TKT00000876,CUST_BAD,2026-05-08 21:37:51,2026-05-09 15:37:51,Network Speed,Medium,Pending Customer,Store,18.0,Missing customer
TKT00001460,CUST_BAD,2026-03-02 02:13:37,2026-03-02 17:13:37,Coverage,High,Resolved,Web,15.0,Missing customer
TKT00002142,CUST_BAD,2026-04-25 07:10:59,,Network Speed,Medium,Escalated,App,,Missing customer
TKT00002456,CUST_BAD,2026-03-07 18:50:01,2026-03-11 12:50:01,Dropped Calls,High,Pending Customer,App,90.0,Missing customer
TKT00002658,CUST_BAD,2026-04-13 11:18:51,2026-04-15 16:18:51,Billing,Medium,Escalated,Phone,53.0,Missing customer
TKT00003028,CUST_BAD,2026-04-06 05:25:13,2026-04-07 00:25:13,Device,Low,Escalated,App,19.0,Missing customer
TKT00003746,CUST_BAD,2026-05-19 20:50:32,,Activation,Low,Open,App,,Missing customer
TKT00004246,CUST_BAD,2026-03-31 02:50:56,2026-04-04 23:50:56,Dropped Calls,Critical,Resolved,Store,117.0,Missing customer
TKT00004259,CUST_BAD,2026-04-14 16:04:52,2026-04-15 04:04:52,Dropped Calls,High,Pending Customer,Phone,12.0,Missing customer
TKT00004834,CUST_BAD,2026-04-05 16:09:28,2026-04-10 16:09:28,Dropped Calls,Medium,Resolved,App,120.0,Missing customer
TKT00005000,CUST_BAD,2026-03-21 00:06:54,2026-03-22 00:06:54,Roaming,Critical,Open,Store,24.0,Missing customer
TKT00005495,CUST_BAD,2026-05-03 10:34:56,2026-05-05 23:34:56,Roaming,Critical,Escalated,Store,61.0,Missing customer
TKT00005668,CUST_BAD,2026-03-04 17:27:29,2026-03-09 09:27:29,Device,High,Open,Phone,112.0,Missing customer
TKT00006215,CUST_BAD,2026-04-22 03:10:59,2026-04-26 09:10:59,Billing,High,Open,Store,102.0,Missing customer
