call_id,subscriber_id,cell_id,call_start_ts,duration_seconds,call_direction,call_status,roaming_flag,source_system,call_date,quarantine_reason
CALL0000000002,SUB00003473,CELL000234,2026-04-10 10:42:00,,MT,Failed,False,switch,2026-04-10,Bad timestamp/duration
CALL0000000006,SUB00002234,CELL000066,,218.0,MO,Failed,False,switch,,Bad timestamp/duration
CALL0000000009,SUB00004973,CELL000076,,295.0,MO,Failed,False,switch,,Bad timestamp/duration
CALL0000000015,SUB00000310,CELL000109,,7.0,MO,Dropped,False,switch,,Bad timestamp/duration
CALL0000000023,SUB00004963,CELL000236,,40.0,MO,Failed,False,switch,,Bad timestamp/duration
CALL0000000026,SUB00001158,CELL000248,,191.0,MO,Completed,False,switch,,Bad timestamp/duration
CALL0000000034,SUB00003900,CELL000032,,67.0,MO,Dropped,False,switch,,Bad timestamp/duration
CALL0000000036,SUB00000067,CELL000210,,198.0,MO,Completed,False,switch,,Bad timestamp/duration
CALL0000000037,SUB00004045,CELL000020,,723.0,MO,Completed,False,switch,,Bad timestamp/duration
CALL0000000038,SUB00000542,CELL000129,,62.0,MT,Failed,True,switch,,Bad timestamp/duration
CALL0000000042,SUB00004677,CELL000255,,57.0,MO,Dropped,False,switch,,Bad timestamp/duration
CALL0000000043,SUB00003088,CELL000228,,49.0,MO,Completed,False,switch,,Bad timestamp/duration
CALL0000000046,SUB00000012,CELL000157,,53.0,MT,Completed,False,switch,,Bad timestamp/duration
CALL0000000047,SUB00002693,CELL000249,,145.0,MO,Dropped,False,switch,,Bad timestamp/duration
CALL0000000049,SUB00003649,CELL000137,,22.0,MO,Completed,False,switch,,Bad timestamp/duration
CALL0000000056,SUB00001941,CELL000248,,61.0,MO,Failed,False,switch,,Bad timestamp/duration
CALL0000000058,SUB00001311,CELL000097,,94.0,MO,Dropped,True,switch,,Bad timestamp/duration
CALL0000000061,SUB00000593,CELL000109,,171.0,MO,Completed,True,switch,,Bad timestamp/duration
CALL0000000065,SUB00000282,CELL000099,,251.0,MO,Failed,False,switch,,Bad timestamp/duration
CALL0000000068,SUB00003529,CELL000163,,13.0,MO,Failed,False,switch,,Bad timestamp/duration
CALL0000000069,SUB00000074,CELL000138,,276.0,MO,Completed,True,switch,,Bad timestamp/duration
CALL0000000075,SUB00003662,CELL000141,,53.0,MO,Completed,False,switch,,Bad timestamp/duration
CALL0000000076,SUB00004667,CELL000204,,40.0,MO,Dropped,False,switch,,Bad timestamp/duration
CALL0000000078,SUB00004748,CELL000116,,147.0,MO,Dropped,False,switch,,Bad timestamp/duration
CALL0000000079,SUB00002227,CELL000243,,186.0,MO,Failed,False,switch,,Bad timestamp/duration
CALL0000000080,SUB00000325,CELL000193,,141.0,MT,Completed,False,switch,,Bad timestamp/duration
CALL0000000083,SUB00001225,CELL000212,,172.0,MT,Completed,True,switch,,Bad timestamp/duration
CALL0000000085,SUB00000218,CELL000044,,153.0,MO,Dropped,True,switch,,Bad timestamp/duration
CALL0000000088,SUB00004237,CELL000171,,245.0,MT,Completed,False,switch,,Bad timestamp/duration
CALL0000000090,SUB00000023,CELL000228,,111.0,MO,Completed,True,switch,,Bad timestamp/duration
CALL0000000091,SUB00000313,CELL000022,,77.0,MO,Completed,False,switch,,Bad timestamp/duration
CALL0000000094,SUB00003757,CELL000040,,176.0,MO,Completed,False,switch,,Bad timestamp/duration
CALL0000000096,SUB00002904,CELL000077,,173.0,MO,Failed,True,switch,,Bad timestamp/duration
CALL0000000098,SUB00002415,CELL000079,,10.0,MT,Completed,False,switch,,Bad timestamp/duration
CALL0000000099,SUB00001960,CELL000173,,10.0,MO,Completed,False,switch,,Bad timestamp/duration
CALL0000000100,SUB00001267,CELL000175,,51.0,MT,Failed,False,switch,,Bad timestamp/duration
CALL0000000102,SUB00001278,CELL000244,,547.0,MO,Failed,False,switch,,Bad timestamp/duration
CALL0000000103,SUB00003072,CELL000221,,100.0,MO,Dropped,False,switch,,Bad timestamp/duration
CALL0000000104,SUB00000168,CELL000050,,561.0,MO,Completed,True,switch,,Bad timestamp/duration
CALL0000000106,SUB00000771,CELL000109,,205.0,MO,Failed,False,switch,,Bad timestamp/duration
CALL0000000107,SUB00004043,CELL000035,,10.0,MO,Completed,True,switch,,Bad timestamp/duration
CALL0000000109,SUB00002546,CELL000203,,215.0,MT,Dropped,True,switch,,Bad timestamp/duration
CALL0000000110,SUB00002730,CELL000176,,415.0,MO,Dropped,True,switch,,Bad timestamp/duration
CALL0000000112,SUB00002196,CELL000017,,480.0,MT,Dropped,False,switch,,Bad timestamp/duration
CALL0000000114,SUB00001305,CELL000159,,38.0,MO,Completed,False,switch,,Bad timestamp/duration
CALL0000000115,SUB00004351,CELL000152,,138.0,MO,Completed,False,switch,,Bad timestamp/duration
CALL0000000116,SUB00001661,CELL000069,,381.0,MT,Completed,False,switch,,Bad timestamp/duration
CALL0000000119,SUB00004263,CELL000168,,278.0,MT,Completed,False,switch,,Bad timestamp/duration
CALL0000000120,SUB00000549,CELL000180,,26.0,MT,Failed,False,switch,,Bad timestamp/duration
CALL0000000121,SUB00004945,CELL000014,,73.0,MT,Dropped,False,switch,,Bad timestamp/duration
CALL0000000123,SUB00003962,CELL000092,,195.0,MT,Completed,False,switch,,Bad timestamp/duration
CALL0000000124,SUB00000798,CELL000106,,44.0,MO,Dropped,True,switch,,Bad timestamp/duration
