call_id,subscriber_id,cell_id,call_start_ts,duration_seconds,call_direction,call_status,roaming_flag,source_system,call_date,quarantine_reason
CALL0000000298,SUB00004306,CELL_BAD,,454.0,MT,Completed,False,switch,,Missing cell
CALL0000001129,SUB00001495,CELL_BAD,2026-04-21 02:39:00,508.0,MT,Completed,False,switch,2026-04-21,Missing cell
CALL0000001928,SUB00003684,CELL_BAD,2026-04-28 18:55:00,3.0,MO,Completed,False,switch,2026-04-28,Missing cell
CALL0000002557,SUB00003936,CELL_BAD,,20.0,MO,Completed,True,switch,,Missing cell
CALL0000002808,SUB00000346,CELL_BAD,2026-05-19 23:01:00,77.0,MO,Completed,True,switch,2026-05-19,Missing cell
CALL0000002880,SUB00003379,CELL_BAD,,490.0,MO,Failed,False,switch,,Missing cell
CALL0000002909,SUB00002780,CELL_BAD,2026-05-15 07:12:00,9.0,MO,Completed,False,switch,2026-05-15,Missing cell
CALL0000003811,SUB00000284,CELL_BAD,2026-04-27 08:03:00,3.0,MT,Completed,False,switch,2026-04-27,Missing cell
CALL0000004218,SUB00002470,CELL_BAD,,76.0,MO,Failed,False,switch,,Missing cell
CALL0000004581,SUB00000882,CELL_BAD,,126.0,MO,Completed,False,switch,,Missing cell
CALL0000005772,SUB00001567,CELL_BAD,2026-04-22 05:03:00,113.0,MT,Completed,False,switch,2026-04-22,Missing cell
CALL0000005808,SUB00000321,CELL_BAD,,32.0,MT,Completed,False,switch,,Missing cell
CALL0000005984,SUB00004544,CELL_BAD,2026-04-05 21:09:00,340.0,MO,Failed,True,switch,2026-04-05,Missing cell
CALL0000006234,SUB00004357,CELL_BAD,,170.0,MO,Completed,False,switch,,Missing cell
CALL0000006649,SUB00000398,CELL_BAD,2026-04-25 07:30:00,98.0,MO,Completed,False,switch,2026-04-25,Missing cell
CALL0000006890,SUB00000684,CELL_BAD,,93.0,MO,Failed,False,switch,,Missing cell
CALL0000007456,SUB00003324,CELL_BAD,2026-05-21 05:35:00,42.0,MO,Completed,False,switch,2026-05-21,Missing cell
CALL0000008302,SUB00004495,CELL_BAD,2026-04-06 15:09:00,86.0,MO,Dropped,True,switch,2026-04-06,Missing cell
CALL0000008691,SUB00002687,CELL_BAD,2026-05-01 14:46:00,157.0,MO,Completed,False,switch,2026-05-01,Missing cell
