invoice_id,subscriber_id,billing_month,invoice_date,due_date,monthly_charge,usage_charge,tax_amount,other_fees,total_amount,invoice_status
INV400000001,SUB00000001,2026-04-01,2026-04-28,2026-05-16,38.50,10.19,5.10,2.83,56.62,Paid
INV500000001,SUB00000001,2026-05-01,2026-05-28,2026-06-15,130.69,34.60,17.30,9.61,192.20,Paid
INV400000002,SUB00000002,2026-04-01,2026-04-28,2026-05-16,54.87,14.52,7.26,4.03,80.69,Paid
INV500000002,SUB00000002,2026-05-01,2026-05-28,2026-06-15,92.33,24.44,12.22,6.79,135.78,Paid
INV400000003,SUB00000003,2026-04-01,2026-04-28,2026-05-16,68.62,18.16,9.08,5.05,100.91,Past Due
INV500000003,SUB00000003,2026-05-01,2026-05-28,2026-06-15,71.68,18.97,9.49,5.27,105.41,Paid
INV400000004,SUB00000004,2026-04-01,2026-04-28,2026-05-16,34.99,9.26,4.63,2.57,51.45,Open
INV500000004,SUB00000004,2026-05-01,2026-05-28,2026-06-15,58.21,15.41,7.70,4.28,85.60,Paid
INV400000005,SUB00000005,2026-04-01,2026-04-28,2026-05-16,86.99,23.03,11.51,6.40,127.92,Paid
INV500000005,SUB00000005,2026-05-01,2026-05-28,2026-06-15,68.98,18.26,9.13,5.07,101.44,Paid
INV400000006,SUB00000006,2026-04-01,2026-04-28,2026-05-16,88.09,23.32,11.66,6.48,129.54,Past Due
INV500000006,SUB00000006,2026-05-01,2026-05-28,2026-06-15,173.47,45.92,22.96,12.76,255.10,Past Due
INV400000007,SUB00000007,2026-04-01,2026-04-28,2026-05-16,96.46,25.53,12.77,7.09,141.85,Past Due
INV500000007,SUB00000007,2026-05-01,2026-05-28,2026-06-15,39.96,10.58,5.29,2.94,58.77,Open
INV400000008,SUB00000008,2026-04-01,2026-04-28,2026-05-16,54.14,14.33,7.17,3.98,79.62,Open
INV500000008,SUB00000008,2026-05-01,2026-05-28,2026-06-15,128.77,34.09,17.04,9.47,189.37,Paid
INV400000009,SUB00000009,2026-04-01,2026-04-28,2026-05-16,60.91,16.12,8.06,4.48,89.57,Open
INV500000009,SUB00000009,2026-05-01,2026-05-28,2026-06-15,123.33,32.65,16.32,9.07,181.37,Cancelled
INV400000010,SUB00000010,2026-04-01,2026-04-28,2026-05-16,155.94,41.28,20.64,11.47,229.33,Cancelled
INV500000010,SUB00000010,2026-05-01,2026-05-28,2026-06-15,115.05,30.45,15.23,8.46,169.18,Paid
INV400000011,SUB00000011,2026-04-01,2026-04-28,2026-05-16,114.60,30.34,15.17,8.43,168.53,Paid
INV500000011,SUB00000011,2026-05-01,2026-05-28,2026-06-15,60.21,15.94,7.97,4.43,88.55,Cancelled
INV400000012,SUB00000012,2026-04-01,2026-04-28,2026-05-16,71.73,18.99,9.49,5.27,105.49,Open
INV500000012,SUB00000012,2026-05-01,2026-05-28,2026-06-15,41.33,10.94,5.47,3.04,60.79,Open
INV400000013,SUB00000013,2026-04-01,2026-04-28,2026-05-16,130.05,34.43,17.21,9.56,191.25,Open
INV500000013,SUB00000013,2026-05-01,2026-05-28,2026-06-15,132.24,35.00,17.50,9.72,194.47,Open
INV400000014,SUB00000014,2026-04-01,2026-04-28,2026-05-16,56.38,14.92,7.46,4.15,82.91,Cancelled
INV500000014,SUB00000014,2026-05-01,2026-05-28,2026-06-15,74.03,19.60,9.80,5.44,108.87,Past Due
INV400000015,SUB00000015,2026-04-01,2026-04-28,2026-05-16,81.40,21.55,10.77,5.99,119.70,Cancelled
INV500000015,SUB00000015,2026-05-01,2026-05-28,2026-06-15,134.37,35.57,17.78,9.88,197.60,Open
INV400000016,SUB00000016,2026-04-01,2026-04-28,2026-05-16,64.27,17.01,8.51,4.73,94.51,Open
INV500000016,SUB00000016,2026-05-01,2026-05-28,2026-06-15,68.61,18.16,9.08,5.05,100.90,Past Due
INV400000017,SUB00000017,2026-04-01,2026-04-28,2026-05-16,28.04,7.42,3.71,2.06,41.23,Paid
INV500000017,SUB00000017,2026-05-01,2026-05-28,2026-06-15,57.13,15.12,7.56,4.20,84.02,Past Due
INV400000018,SUB00000018,2026-04-01,2026-04-28,2026-05-16,162.71,43.07,21.54,11.96,239.29,Open
INV500000018,SUB00000018,2026-05-01,2026-05-28,2026-06-15,101.14,26.77,13.39,7.44,148.73,Past Due
INV400000019,SUB00000019,2026-04-01,2026-04-28,2026-05-16,133.85,35.43,17.72,9.84,196.84,Open
INV500000019,SUB00000019,2026-05-01,2026-05-28,2026-06-15,68.80,18.21,9.11,5.06,101.17,Paid
INV400000020,SUB00000020,2026-04-01,2026-04-28,2026-05-16,162.81,43.10,21.55,11.97,239.42,Paid
INV500000020,SUB00000020,2026-05-01,2026-05-28,2026-06-15,108.49,28.72,14.36,7.98,159.55,open 
INV400000021,SUB00000021,2026-04-01,2026-04-28,2026-05-16,68.03,18.01,9.00,5.00,100.05,Open
INV500000021,SUB00000021,2026-05-01,2026-05-28,2026-06-15,27.47,7.27,3.64,2.02,40.40,open 
INV400000022,SUB00000022,2026-04-01,2026-04-28,2026-05-16,50.27,13.31,6.65,3.70,73.93,Cancelled
INV500000022,SUB00000022,2026-05-01,2026-05-28,2026-06-15,89.02,23.57,11.78,6.55,130.92,Open
INV400000023,SUB00000023,2026-04-01,2026-04-28,2026-05-16,166.89,44.18,22.09,12.27,245.43,Paid
INV500000023,SUB00000023,2026-05-01,2026-05-28,2026-06-15,101.44,26.85,13.43,7.46,149.17,Paid
INV400000024,SUB00000024,2026-04-01,2026-04-28,2026-05-16,157.61,41.72,20.86,11.59,bad,Paid
INV500000024,SUB00000024,2026-05-01,2026-05-28,2026-06-15,63.74,16.87,8.44,4.69,93.74,Paid
INV400000025,SUB00000025,2026-04-01,2026-04-28,2026-05-16,101.12,26.77,13.38,7.44,148.70,Cancelled
INV500000025,SUB00000025,2026-05-01,2026-05-28,2026-06-15,100.58,26.62,13.31,7.40,147.91,Paid
INV400000026,SUB00000026,2026-04-01,2026-04-28,2026-05-16,100.42,26.58,13.29,7.38,147.67,Open
INV500000026,SUB00000026,2026-05-01,2026-05-28,2026-06-15,170.01,45.00,22.50,12.50,250.01,Past Due
INV400000027,SUB00000027,2026-04-01,2026-04-28,2026-05-16,141.65,37.50,18.75,10.42,208.31,Paid
INV500000027,SUB00000027,2026-05-01,2026-05-28,2026-06-15,154.81,40.98,20.49,11.38,227.66,Cancelled
INV400000028,SUB00000028,2026-04-01,2026-04-28,2026-05-16,147.43,39.03,19.51,10.84,216.81,Past Due
INV500000028,SUB00000028,2026-05-01,2026-05-28,2026-06-15,93.15,24.66,12.33,6.85,136.99,Past Due
INV400000029,SUB00000029,2026-04-01,2026-04-28,2026-05-16,32.31,8.55,4.28,2.38,47.51,Cancelled
INV500000029,SUB00000029,2026-05-01,2026-05-28,2026-06-15,22.76,6.03,3.01,1.67,33.47,Paid
INV400000030,SUB00000030,2026-04-01,2026-04-28,2026-05-16,118.74,31.43,15.72,8.73,174.61,Cancelled
INV500000030,SUB00000030,2026-05-01,2026-05-28,2026-06-15,100.63,26.64,13.32,7.40,147.99,Open
INV400000031,SUB00000031,2026-04-01,2026-04-28,2026-05-16,118.07,31.25,15.63,8.68,173.63,open 
INV500000031,SUB00000031,2026-05-01,2026-05-28,2026-06-15,34.99,9.26,4.63,2.57,51.46,Past Due
INV400000032,SUB00000032,2026-04-01,2026-04-28,2026-05-16,108.66,28.76,14.38,7.99,159.80,Open
INV500000032,SUB00000032,2026-05-01,2026-05-28,2026-06-15,106.17,28.10,14.05,7.81,156.13,Past Due
INV400000033,SUB00000033,2026-04-01,2026-04-28,2026-05-16,43.79,11.59,5.80,3.22,64.40,Paid
INV500000033,SUB00000033,2026-05-01,2026-05-28,2026-06-15,85.02,22.51,11.25,6.25,125.03,Cancelled
INV400000034,SUB00000034,2026-04-01,2026-04-28,2026-05-16,86.15,22.80,11.40,6.33,126.69,Open
INV500000034,SUB00000034,2026-05-01,2026-05-28,2026-06-15,61.45,16.27,8.13,4.52,90.37,Past Due
INV400000035,SUB00000035,2026-04-01,2026-04-28,2026-05-16,64.90,17.18,8.59,4.77,95.44,open 
INV500000035,SUB00000035,2026-05-01,2026-05-28,2026-06-15,95.20,25.20,12.60,7.00,140.00,Cancelled
INV400000036,SUB00000036,2026-04-01,2026-04-28,2026-05-16,14.40,3.81,1.91,1.06,21.18,open 
INV500000036,SUB00000036,2026-05-01,2026-05-28,2026-06-15,83.49,22.10,11.05,6.14,122.78,Paid
INV400000037,SUB00000037,2026-04-01,2026-04-28,2026-05-16,62.16,16.45,8.23,4.57,91.41,Past Due
INV500000037,SUB00000037,2026-05-01,2026-05-28,2026-06-15,113.78,30.12,15.06,8.37,167.32,open 
INV400000038,SUB00000038,2026-04-01,2026-04-28,2026-05-16,37.21,9.85,4.93,2.74,54.73,Past Due
INV500000038,SUB00000038,2026-05-01,2026-05-28,2026-06-15,90.72,24.02,12.01,6.67,133.42,open 
INV400000039,SUB00000039,2026-04-01,2026-04-28,2026-05-16,79.83,21.13,10.57,5.87,117.40,Paid
INV500000039,SUB00000039,2026-05-01,2026-05-28,2026-06-15,128.20,33.94,16.97,9.43,188.53,open 
INV400000040,SUB00000040,2026-04-01,2026-04-28,2026-05-16,160.54,42.50,21.25,11.80,236.09,Open
INV500000040,SUB00000040,2026-05-01,2026-05-28,2026-06-15,65.43,17.32,8.66,4.81,96.22,Cancelled
INV400000041,SUB00000041,2026-04-01,2026-04-28,2026-05-16,32.88,8.70,4.35,2.42,48.35,Open
INV500000041,SUB00000041,2026-05-01,2026-05-28,2026-06-15,26.74,7.08,3.54,1.97,39.33,Paid
INV400000042,SUB00000042,2026-04-01,2026-04-28,2026-05-16,146.47,38.77,19.39,10.77,215.40,open 
INV500000042,SUB00000042,2026-05-01,2026-05-28,2026-06-15,158.97,42.08,21.04,11.69,233.78,Paid
INV400000043,SUB00000043,2026-04-01,2026-04-28,2026-05-16,141.88,37.56,18.78,10.43,208.65,open 
INV500000043,SUB00000043,2026-05-01,2026-05-28,2026-06-15,145.76,38.58,19.29,10.72,214.35,open 
INV400000044,SUB00000044,2026-04-01,2026-04-28,2026-05-16,45.18,11.96,5.98,3.32,66.44,Paid
INV500000044,SUB00000044,2026-05-01,2026-05-28,2026-06-15,37.79,10.00,5.00,2.78,55.58,Past Due
INV400000045,SUB00000045,2026-04-01,2026-04-28,2026-05-16,82.50,21.84,10.92,6.07,121.32,Past Due
INV500000045,SUB00000045,2026-05-01,2026-05-28,2026-06-15,60.94,16.13,8.07,4.48,89.61,Cancelled
INV400000046,SUB00000046,2026-04-01,2026-04-28,2026-05-16,100.11,26.50,13.25,7.36,147.22,Cancelled
INV500000046,SUB00000046,2026-05-01,2026-05-28,2026-06-15,111.39,29.49,14.74,8.19,163.81,Open
INV400000047,SUB00000047,2026-04-01,2026-04-28,2026-05-16,40.80,10.80,5.40,3.00,60.00,Paid
INV500000047,SUB00000047,2026-05-01,2026-05-28,2026-06-15,78.73,20.84,10.42,5.79,115.77,Paid
INV400000048,SUB00000048,2026-04-01,2026-04-28,2026-05-16,16.64,4.41,2.20,1.22,24.48,Past Due
INV500000048,SUB00000048,2026-05-01,2026-05-28,2026-06-15,64.25,17.01,8.50,4.72,94.49,Paid
INV400000049,SUB00000049,2026-04-01,2026-04-28,2026-05-16,170.04,45.01,22.51,12.50,250.06,Cancelled
INV500000049,SUB00000049,2026-05-01,2026-05-28,2026-06-15,164.93,43.66,21.83,12.13,242.54,Past Due
INV400000050,SUB00000050,2026-04-01,2026-04-28,2026-05-16,115.33,30.53,15.26,8.48,169.60,Open
INV500000050,SUB00000050,2026-05-01,2026-05-28,2026-06-15,95.27,25.22,12.61,7.01,140.11,Cancelled
INV400000051,SUB00000051,2026-04-01,2026-04-28,2026-05-16,15.55,4.12,2.06,1.14,22.86,open 
INV500000051,SUB00000051,2026-05-01,2026-05-28,2026-06-15,40.76,10.79,5.39,3.00,59.94,Cancelled
INV400000052,SUB00000052,2026-04-01,2026-04-28,2026-05-16,31.60,8.36,4.18,2.32,46.47,Open
INV500000052,SUB00000052,2026-05-01,2026-05-28,2026-06-15,174.82,46.28,23.14,12.85,257.09,Cancelled
INV400000053,SUB00000053,2026-04-01,2026-04-28,2026-05-16,75.72,20.04,10.02,5.57,111.36,open 
INV500000053,SUB00000053,2026-05-01,2026-05-28,2026-06-15,171.31,45.35,22.67,12.60,251.93,Open
INV400000054,SUB00000054,2026-04-01,2026-04-28,2026-05-16,106.31,28.14,14.07,7.82,156.34,open 
INV500000054,SUB00000054,2026-05-01,2026-05-28,2026-06-15,32.14,8.51,4.25,2.36,47.27,Open
INV400000055,SUB00000055,2026-04-01,2026-04-28,2026-05-16,41.59,11.01,5.50,3.06,61.16,Paid
INV500000055,SUB00000055,2026-05-01,2026-05-28,2026-06-15,77.63,20.55,10.27,5.71,114.16,Paid
INV400000056,SUB00000056,2026-04-01,2026-04-28,2026-05-16,160.62,42.52,21.26,11.81,236.21,Cancelled
INV500000056,SUB00000056,2026-05-01,2026-05-28,2026-06-15,165.91,43.92,21.96,12.20,243.98,open 
INV400000057,SUB00000057,2026-04-01,2026-04-28,2026-05-16,176.66,46.76,23.38,12.99,259.79,Paid
INV500000057,SUB00000057,2026-05-01,2026-05-28,2026-06-15,71.16,18.84,9.42,5.23,104.65,Past Due
INV400000058,SUB00000058,2026-04-01,2026-04-28,2026-05-16,111.38,29.48,14.74,8.19,163.79,Open
INV500000058,SUB00000058,2026-05-01,2026-05-28,2026-06-15,174.63,46.23,23.11,12.84,256.81,Cancelled
INV400000059,SUB00000059,2026-04-01,2026-04-28,2026-05-16,36.49,9.66,4.83,2.68,53.67,Paid
INV500000059,SUB00000059,2026-05-01,2026-05-28,2026-06-15,91.82,24.31,12.15,6.75,135.04,Past Due
INV400000060,SUB00000060,2026-04-01,2026-04-28,2026-05-16,162.07,42.90,21.45,11.92,238.33,Open
INV500000060,SUB00000060,2026-05-01,2026-05-28,2026-06-15,159.39,42.19,21.10,11.72,234.40,open 
INV400000061,SUB00000061,2026-04-01,2026-04-28,2026-05-16,60.63,16.05,8.03,4.46,89.17,Paid
INV500000061,SUB00000061,2026-05-01,2026-05-28,2026-06-15,114.20,30.23,15.12,8.40,167.95,open 
INV400000062,SUB00000062,2026-04-01,2026-04-28,2026-05-16,106.29,28.14,14.07,7.82,156.31,open 
INV500000062,SUB00000062,2026-05-01,2026-05-28,2026-06-15,152.71,40.42,20.21,11.23,224.57,Past Due
INV400000063,SUB00000063,2026-04-01,2026-04-28,2026-05-16,14.09,3.73,1.86,1.04,20.71,open 
INV500000063,SUB00000063,2026-05-01,2026-05-28,2026-06-15,22.21,5.88,2.94,1.63,32.66,Cancelled
INV400000064,SUB00000064,2026-04-01,2026-04-28,2026-05-16,33.55,8.88,4.44,2.47,49.34,open 
INV500000064,SUB00000064,2026-05-01,2026-05-28,2026-06-15,73.51,19.46,9.73,5.40,108.10,Past Due
INV400000065,SUB00000065,2026-04-01,2026-04-28,2026-05-16,61.24,16.21,8.11,4.50,90.06,Cancelled
INV500000065,SUB00000065,2026-05-01,2026-05-28,2026-06-15,94.66,25.06,12.53,6.96,139.21,Past Due
INV400000066,SUB00000066,2026-04-01,2026-04-28,2026-05-16,115.87,30.67,15.34,8.52,170.40,Past Due
INV500000066,SUB00000066,2026-05-01,2026-05-28,2026-06-15,105.46,27.92,13.96,7.75,155.09,Paid
INV400000067,SUB00000067,2026-04-01,2026-04-28,2026-05-16,32.65,8.64,4.32,2.40,48.01,open 
INV500000067,SUB00000067,2026-05-01,2026-05-28,2026-06-15,91.71,24.28,12.14,6.74,134.86,Paid
INV400000068,SUB00000068,2026-04-01,2026-04-28,2026-05-16,160.50,42.48,21.24,11.80,236.02,Cancelled
INV500000068,SUB00000068,2026-05-01,2026-05-28,2026-06-15,114.30,30.26,15.13,8.40,168.09,Cancelled
INV400000069,SUB00000069,2026-04-01,2026-04-28,2026-05-16,24.29,6.43,3.21,1.79,35.71,Open
INV500000069,SUB00000069,2026-05-01,2026-05-28,2026-06-15,84.50,22.37,11.18,6.21,124.26,Open
INV400000070,SUB00000070,2026-04-01,2026-04-28,2026-05-16,174.02,46.07,23.03,12.80,255.92,Paid
INV500000070,SUB00000070,2026-05-01,2026-05-28,2026-06-15,137.32,36.35,18.17,10.10,201.93,Cancelled
INV400000071,SUB00000071,2026-04-01,2026-04-28,2026-05-16,124.05,32.84,16.42,9.12,182.42,Paid
INV500000071,SUB00000071,2026-05-01,2026-05-28,2026-06-15,158.72,42.01,21.01,11.67,233.41,open 
INV400000072,SUB00000072,2026-04-01,2026-04-28,2026-05-16,121.33,32.12,16.06,8.92,178.43,Cancelled
INV500000072,SUB00000072,2026-05-01,2026-05-28,2026-06-15,121.14,32.07,16.03,8.91,178.15,open 
INV400000073,SUB00000073,2026-04-01,2026-04-28,2026-05-16,102.17,27.04,13.52,7.51,150.25,Cancelled
INV500000073,SUB00000073,2026-05-01,2026-05-28,2026-06-15,86.64,22.93,11.47,6.37,127.41,Past Due
INV400000074,SUB00000074,2026-04-01,2026-04-28,2026-05-16,22.49,5.95,2.98,1.65,33.08,Open
INV500000074,SUB00000074,2026-05-01,2026-05-28,2026-06-15,135.01,35.74,17.87,9.93,198.54,Past Due
INV400000075,SUB00000075,2026-04-01,2026-04-28,2026-05-16,90.67,24.00,12.00,6.67,133.34,open 
INV500000075,SUB00000075,2026-05-01,2026-05-28,2026-06-15,140.85,37.28,18.64,10.36,207.13,Past Due
INV400000076,SUB00000076,2026-04-01,2026-04-28,2026-05-16,147.08,38.93,19.47,10.81,216.29,open 
INV500000076,SUB00000076,2026-05-01,2026-05-28,2026-06-15,45.09,11.94,5.97,3.32,66.32,Open
INV400000077,SUB00000077,2026-04-01,2026-04-28,2026-05-16,129.67,34.33,17.16,9.53,190.70,Open
INV500000077,SUB00000077,2026-05-01,2026-05-28,2026-06-15,29.74,7.87,3.94,2.19,43.74,Cancelled
INV400000078,SUB00000078,2026-04-01,2026-04-28,2026-05-16,97.90,25.91,12.96,7.20,143.97,Past Due
INV500000078,SUB00000078,2026-05-01,2026-05-28,2026-06-15,135.74,35.93,17.97,9.98,199.62,Paid
INV400000079,SUB00000079,2026-04-01,2026-04-28,2026-05-16,62.11,16.44,8.22,4.57,91.34,Open
INV500000079,SUB00000079,2026-05-01,2026-05-28,2026-06-15,86.36,22.86,11.43,6.35,127.00,Paid
INV400000080,SUB00000080,2026-04-01,2026-04-28,2026-05-16,149.03,39.45,19.72,10.96,219.16,Cancelled
INV500000080,SUB00000080,2026-05-01,2026-05-28,2026-06-15,133.06,35.22,17.61,9.78,195.68,Past Due
INV400000081,SUB00000081,2026-04-01,2026-04-28,2026-05-16,30.33,8.03,4.01,2.23,44.61,Cancelled
INV500000081,SUB00000081,2026-05-01,2026-05-28,2026-06-15,136.65,36.17,18.09,10.05,200.95,Cancelled
