cell_id,site_id,technology,band,sector,max_capacity_mbps,active_flag
CELL000001,SITE00001,4G LTE,B12,3,601.45,Y
CELL000002,SITE00001,5G NR,n77,3,598.19,Y
CELL000003,SITE00001,4G LTE,n71,2,1253.23,Y
CELL000004,SITE00001,5G NR,B2,3,846.65,Y
CELL000005,SITE00001,5G NR,B2,1,650.98,N
CELL000006,SITE00001,4G LTE,n71,1,603.74,Y
CELL000007,SITE00002,4G LTE,n77,3,746.92,Y
CELL000008,SITE00002,4G LTE,n71,1,2058.95,Y
CELL000009,SITE00002,4G LTE,B4,3,1437.49,Y
CELL000010,SITE00002,4G LTE,B4,3,781.17,N
CELL000011,SITE00002,5G NR,B4,3,543.50,Y
CELL000012,SITE00003,5G NR,n77,3,1659.16,Y
CELL000013,SITE00003,4G LTE,n71,3,1415.42,Y
CELL000014,SITE00003,4G LTE,B2,1,1186.59,N
CELL000015,SITE00004,5G NR,n77,3,2367.17,Y
CELL000016,SITE00004,4G LTE,n71,3,1726.00,Y
CELL000017,SITE00004,4G LTE,n77,2,405.27,Y
CELL000018,SITE00004,5G NR,B2,1,681.06,N
CELL000019,SITE00004,4G LTE,B12,3,1445.57,Y
CELL000020,SITE00004,4G LTE,n41,3,880.51,Y
CELL000021,SITE00005,4G LTE,n71,2,1056.62,Y
CELL000022,SITE00005,4G LTE,n41,1,1996.72,Y
CELL000023,SITE00005,4G LTE,n77,3,2304.13,Y
CELL000024,SITE00005,5G NR,n71,3,548.83,Y
CELL000025,SITE00006,5G NR,B4,1,2309.36,Y
CELL000026,SITE00006,5G NR,n77,3,645.70,Y
CELL000027,SITE00006,4G LTE,n41,1,1275.97,Y
CELL000028,SITE00006,5G NR,n41,2,1293.55,Y
CELL000029,SITE00006,4G LTE,B12,3,2186.33,Y
CELL000030,SITE00007,4G LTE,B2,1,793.25,Y
CELL000031,SITE00007,4G LTE,B2,2,1829.92,N
CELL000032,SITE00007,4G LTE,n41,3,1473.80,Y
CELL000033,SITE00007,5G NR,n41,3,1680.78,Y
CELL000034,SITE00007,4G LTE,B2,1,1426.34,N
CELL000035,SITE00007,5G NR,B12,1,994.18,Y
CELL000036,SITE00008,4G LTE,B12,3,1473.26,Y
CELL000037,SITE00008,4G LTE,B2,2,1502.43,Y
CELL000038,SITE00008,4G LTE,n71,3,979.03,Y
CELL000039,SITE00008,4G LTE,B4,3,1436.12,Y
CELL000040,SITE00009,5G NR,n71,2,977.54,Y
CELL000041,SITE00009,5G NR,B12,1,882.45,Y
CELL000042,SITE00009,4G LTE,B4,2,1843.57,N
CELL000043,SITE00009,5G NR,B12,3,1016.64,N
CELL000044,SITE00009,4G LTE,B2,3,891.21,Y
