call_id,subscriber_id,cell_id,call_start_ts,duration_seconds,call_direction,call_status,roaming_flag,source_system
CALL0000000001,SUB00001402,CELL000190,04/15/2026 23:58,335,MO,Completed,Y,switch
CALL0000000002,SUB00003473,CELL000234,04/10/2026 10:42,bad,MT,Failed,No,switch
CALL0000000003,SUB_BAD,CELL000127,04/14/2026 07:59,113,mo ,Failed,Y,switch
CALL0000000004,SUB00003217,CELL000058,05/24/2026 15:56,87,mo ,Dropped,N,switch
CALL0000000005,SUB00004303,CELL000150,04/20/2026 07:08,291,MO,completed ,N,switch
CALL0000000006,SUB00002234,CELL000066,2026-04-01 19:20:26,218,MO,Failed,N,switch
CALL0000000007,SUB00004390,CELL000254,05/21/2026 05:50,37,mo ,Completed,N,switch
CALL0000000008,SUB00001029,CELL000091,04/02/2026 18:34,121,MT,completed ,No,switch
CALL0000000009,SUB00004973,CELL000076,2026-04-21 19:55:59,295,MO,Failed,N,switch
CALL0000000010,SUB00004021,CELL000089,05/06/2026 12:02,22,mo ,Dropped,No,switch
CALL0000000011,SUB00001112,CELL000152,04/05/2026 02:58,113,MT,Completed,No,switch
CALL0000000012,SUB00000040,CELL000185,05/30/2026 22:14,178,MO,completed ,N,switch
CALL0000000013,SUB00003721,CELL000123,04/22/2026 10:04,312,MT,Failed,N,switch
CALL0000000014,SUB00004796,CELL000043,04/09/2026 09:10,571,MT,Dropped,N,switch
CALL0000000015,SUB00000310,CELL000109,2026-05-05 09:51:45,7,MO,Dropped,N,switch
CALL0000000016,SUB00000162,CELL000100,04/12/2026 20:05,530,MO,completed ,N,switch
CALL0000000017,SUB00002631,CELL000132,04/16/2026 07:26,116,MO,Completed,N,switch
CALL0000000018,SUB00002163,CELL000043,05/20/2026 02:46,108,MT,Completed,N,switch
CALL0000000019,SUB00000902,CELL000126,04/29/2026 23:17,52,MT,completed ,N,switch
CALL0000000020,SUB00001161,CELL000146,04/12/2026 02:46,56,mo ,completed ,N,switch
CALL0000000021,SUB00002250,CELL000210,04/06/2026 17:06,134,MT,Completed,Y,switch
CALL0000000022,SUB00003350,CELL000095,05/25/2026 14:56,66,mo ,Completed,N,switch
