cell_id,kpi_ts,connected_users,throughput_mbps,prb_utilization_pct,drop_call_rate_pct,handover_success_pct,availability_pct,kpi_date
CELL000001,2026-05-01 00:00:00,111,111.114,59.609,0.0,96.6529,99.904,2026-05-01
CELL000001,2026-05-01 01:00:00,244,649.506,52.539,1.3244,96.2091,100.0,2026-05-01
CELL000001,2026-05-01 02:00:00,256,336.065,29.821,0.2228,100.0,99.8134,2026-05-01
CELL000001,2026-05-01 03:00:00,56,565.674,100.0,2.8395,96.344,99.7436,2026-05-01
CELL000001,2026-05-01 04:00:00,147,358.183,80.74,1.789,98.3563,99.6546,2026-05-01
CELL000001,2026-05-01 05:00:00,274,273.08,39.63,0.4303,93.2486,99.6357,2026-05-01
CELL000001,2026-05-01 06:00:00,202,327.241,71.091,1.2276,96.4464,99.5285,2026-05-01
CELL000001,2026-05-01 07:00:00,182,426.491,55.378,1.06,93.3264,100.0,2026-05-01
CELL000001,2026-05-01 08:00:00,163,519.472,23.984,2.1488,94.2635,100.0,2026-05-01
CELL000001,2026-05-01 09:00:00,147,746.559,96.366,3.3821,96.1314,99.3325,2026-05-01
CELL000001,2026-05-01 10:00:00,302,540.295,20.569,1.524,96.5143,99.1948,2026-05-01
CELL000001,2026-05-01 11:00:00,210,241.203,30.718,0.1682,98.2241,99.9281,2026-05-01
CELL000001,2026-05-01 12:00:00,143,286.877,73.156,2.9167,92.5189,99.4436,2026-05-01
CELL000001,2026-05-01 13:00:00,239,328.622,32.533,1.4487,92.5593,99.6162,2026-05-01
CELL000001,2026-05-01 14:00:00,171,456.523,52.045,2.4406,94.4342,100.0,2026-05-01
CELL000001,2026-05-01 15:00:00,149,0.0,57.756,1.0135,97.136,99.4161,2026-05-01
CELL000001,2026-05-01 16:00:00,107,290.806,38.374,1.8203,94.1138,0.0,2026-05-01
CELL000001,2026-05-01 17:00:00,199,394.059,13.733,0.3249,97.0988,99.6701,2026-05-01
CELL000001,2026-05-01 18:00:00,348,677.648,45.071,2.3113,99.8,99.7281,2026-05-01
CELL000001,2026-05-01 19:00:00,236,401.289,68.471,1.6173,97.7083,100.0,2026-05-01
CELL000001,2026-05-01 20:00:00,77,488.629,65.813,0.5574,92.3278,99.7645,2026-05-01
CELL000001,2026-05-01 21:00:00,226,274.642,71.362,1.8931,99.6881,99.7869,2026-05-01
CELL000001,2026-05-01 22:00:00,164,425.355,44.694,0.5173,98.5555,99.7633,2026-05-01
CELL000001,2026-05-01 23:00:00,142,142.319,55.512,0.0,97.0032,99.5261,2026-05-01
CELL000001,2026-05-02 00:00:00,196,429.408,8.509,0.0,93.768,99.9191,2026-05-02
CELL000001,2026-05-02 01:00:00,266,382.486,47.407,1.3236,99.2986,99.1414,2026-05-02
CELL000001,2026-05-02 02:00:00,158,637.966,68.33,0.9822,96.2668,99.9204,2026-05-02
CELL000001,2026-05-02 03:00:00,149,454.277,29.654,1.1012,98.0938,99.8028,2026-05-02
CELL000001,2026-05-02 04:00:00,143,391.286,81.115,2.9096,94.0806,99.5397,2026-05-02
CELL000001,2026-05-02 05:00:00,228,561.132,86.797,2.6727,95.8805,99.4396,2026-05-02
