device_id,customer_id,device_type,manufacturer,model,imei_like,activation_date,5g_capable_flag,device_status
DEV0000001,CUST00001261,Hotspot,Apple,Model-28,525112966245082,2025-11-25,True,Suspended
DEV0000002,CUST00003179,Wearable,Apple,Model-34,506324064768826,2023-10-27,True,Active
DEV0000003,CUST00000705,Smartphone,Motorola,Model-79,174354008336898,2020-01-23,True,Active
DEV0000004,CUST00004026,Hotspot,Motorola,Model-24,250413007145017,2025-07-05,False,Suspended
DEV0000005,CUST00002647,Smartphone,Apple,Model-98,481779475954732,2022-04-04,False,Active
DEV0000006,CUST00003415,Tablet,Google,Model-73,869142973764937,2025-03-05,True,Active
DEV0000007,CUST00003793,Iot Router,Motorola,Model-62,857052677470498,2022-07-17,True,Retired
DEV0000008,CUST00003070,Iot Router,Apple,Model-75,316119054496268,2023-05-15,True,Active
DEV0000009,CUST00003505,Wearable,Nokia,Model-51,250037952288404,2023-12-09,True,Active
DEV0000010,CUST00001941,Tablet,Nokia,Model-78,387108890505709,2023-03-20,True,Active
DEV0000011,CUST00001982,Wearable,Google,Model-32,301704685347339,2022-04-30,True,Active
DEV0000012,CUST00000048,Hotspot,Samsung,Model-63,759173816113262,2021-07-20,False,Active
DEV0000013,CUST00002909,Smartphone,Google,Model-18,825834252101653,2025-12-25,True,Active
DEV0000014,CUST00003529,Iot Router,Google,Model-99,339974954524054,2025-08-25,True,Active
DEV0000015,CUST00003397,Tablet,Oneplus,Model-48,785967619939962,2021-07-19,True,Suspended
DEV0000016,CUST00003986,Tablet,Motorola,Model-65,600912033455547,2024-12-23,True,Retired
DEV0000017,CUST00002071,Hotspot,Apple,Model-33,474232050540600,2025-07-21,False,Active
DEV0000018,CUST00002564,Iot Router,Oneplus,Model-62,972903968654346,2020-07-14,True,Active
DEV0000019,CUST00000700,Wearable,Motorola,Model-17,236064557849389,2020-09-20,False,Active
DEV0000020,CUST00003673,Tablet,Motorola,Model-36,634698522342515,2022-12-05,True,Active
DEV0000021,CUST00001019,Smartphone,Google,Model-30,244823806968829,2021-05-15,False,Active
DEV0000022,CUST00004441,Tablet,Apple,Model-61,245207115550980,2020-09-11,True,Active
DEV0000023,CUST00001158,Hotspot,Motorola,Model-27,834434337001408,2023-10-13,True,Suspended
DEV0000024,CUST00002604,Iot Router,Oneplus,Model-97,256380218448508,2021-08-26,True,Suspended
DEV0000025,CUST00002049,Hotspot,Oneplus,Model-82,675577258968245,2020-10-29,False,Active
DEV0000026,CUST00003778,Wearable,Nokia,Model-25,251230116330406,2022-07-13,True,Active
DEV0000027,CUST00002502,Tablet,Nokia,Model-38,231615553109568,2022-09-20,True,Active
DEV0000028,CUST00003974,Smartphone,Google,Model-24,187512955688236,2020-03-12,True,Active
DEV0000029,CUST00002246,Iot Router,Motorola,Model-48,622879169716802,2020-02-25,True,Suspended
DEV0000030,CUST00002017,Smartphone,Google,Model-35,719982416826851,2023-07-24,True,Active
DEV0000031,CUST00000614,Iot Router,Samsung,Model-56,314534678888021,2023-01-23,True,Active
DEV0000032,CUST00004116,Wearable,Google,Model-77,533853648554396,2020-04-05,True,Active
DEV0000033,CUST00000950,Wearable,Samsung,Model-64,645026582707823,2023-12-15,True,Active
DEV0000034,CUST00003325,Iot Router,Samsung,Model-26,774402284760174,2022-06-19,True,Suspended
DEV0000035,CUST00000416,Iot Router,Motorola,Model-25,114878551070707,2021-05-21,True,Suspended
DEV0000036,CUST00002762,Wearable,Apple,Model-82,273500628319423,2025-03-21,True,Active
DEV0000037,CUST00000070,Iot Router,Google,Model-32,485052423203531,2025-03-28,True,Active
DEV0000038,CUST00002773,Iot Router,Motorola,Model-29,496049325645872,2020-06-08,True,Active
DEV0000039,CUST00000478,Iot Router,Oneplus,Model-97,822731415304513,2025-01-20,True,Suspended
DEV0000040,CUST00002096,Smartphone,Apple,Model-36,854314389840975,2022-09-15,False,Active
DEV0000041,CUST00004200,Wearable,Nokia,Model-80,200379178889250,2025-03-30,False,Active
DEV0000042,CUST00001524,Tablet,Nokia,Model-92,507519386772384,2021-02-22,True,Suspended
DEV0000043,CUST00001355,Smartphone,Google,Model-65,463733547607073,2026-03-12,True,Retired
DEV0000044,CUST00003629,Tablet,Apple,Model-92,809448292333083,2022-03-24,True,Active
DEV0000045,CUST00000237,Tablet,Google,Model-63,436275451235612,2021-02-27,True,Active
DEV0000046,CUST00004218,Smartphone,Motorola,Model-13,673729618843795,2022-11-06,True,Retired
DEV0000047,CUST00002778,Hotspot,Samsung,Model-81,292688486050788,2022-12-22,True,Active
DEV0000048,CUST00001665,Iot Router,Samsung,Model-38,971782555126340,2024-12-26,True,Retired
DEV0000049,CUST00003505,Tablet,Samsung,Model-59,115557295704494,2021-09-30,True,Active
DEV0000050,CUST00003255,Iot Router,Google,Model-58,436979608646128,2020-03-16,True,Active
DEV0000051,CUST00003718,Hotspot,Samsung,Model-45,378012155583023,2023-04-27,True,Active
DEV0000052,CUST00000504,Smartphone,Google,Model-50,680891255939360,2023-09-05,True,Active
DEV0000053,CUST00001720,Smartphone,Google,Model-41,806200485159417,2025-07-16,False,Active
DEV0000054,CUST00000980,Hotspot,Google,Model-16,600357553000166,2024-07-08,True,Retired
DEV0000055,CUST00003443,Tablet,Samsung,Model-59,966514358642770,2025-02-16,True,Active
DEV0000056,CUST00000774,Iot Router,Google,Model-53,337147762532512,2024-09-01,True,Active
DEV0000057,CUST00003655,Tablet,Nokia,Model-72,851463729232659,2026-03-19,True,Active
DEV0000058,CUST00000213,Hotspot,Apple,Model-56,673488986466439,2025-03-29,True,Active
DEV0000059,CUST00003643,Wearable,Motorola,Model-71,832223968349051,2021-03-10,True,Retired
DEV0000060,CUST00003015,Iot Router,Samsung,Model-33,929871698735938,2025-11-28,False,Active
DEV0000061,CUST00001657,Wearable,Samsung,Model-55,472053808617938,2022-01-16,False,Suspended
DEV0000062,CUST00002815,Hotspot,Apple,Model-62,830609946186092,2024-11-04,True,Suspended
DEV0000063,CUST00003228,Hotspot,Google,Model-93,823636961626184,2023-04-06,True,Active
DEV0000064,CUST00002895,Hotspot,Motorola,Model-40,174768421261839,2024-07-16,False,Suspended
DEV0000065,CUST00000429,Wearable,Google,Model-56,103415971305782,2022-11-03,True,Retired
DEV0000066,CUST00002958,Hotspot,Motorola,Model-10,186256571165265,2024-03-09,False,Active
