payment_id,invoice_id,payment_date,payment_amount,payment_method,payment_status
PMT500000001,INV500000001,2026-07-02,192.2,ACH,Reversed
PMT400000002,INV400000002,2026-05-16,40.35,CASH,Posted
PMT400000003,INV400000003,2026-05-16,100.91,CASH,Failed
PMT500000003,INV500000003,2026-06-15,105.41,CASH,Pending
PMT400000004,INV400000004,2026-05-20,51.45,CARD,Posted
PMT500000004,INV500000004,2026-07-02,85.6,CARD,Posted
PMT400000005,INV400000005,2026-05-20,95.94,CHECK,Failed
PMT500000005,INV500000005,2026-06-07,50.72,CHECK,Reversed
PMT500000006,INV500000006,2026-06-15,255.1,CARD,Failed
PMT400000007,INV400000007,2026-05-20,141.85,ACH,Posted
PMT500000007,INV500000007,2026-06-02,58.77,ACH,Posted
PMT500000008,INV500000008,2026-06-19,189.37,ACH,Posted
PMT400000009,INV400000009,2026-05-08,89.57,CARD,Posted
PMT500000009,INV500000009,2026-06-19,181.37,ACH,Posted
PMT400000010,INV400000010,2026-05-03,229.33,ACH,Failed
PMT500000010,INV500000010,2026-06-07,169.18,ACH,Posted
PMT400000011,INV400000011,2026-06-02,168.53,CHECK,Posted
PMT500000011,INV500000011,2026-06-07,44.27,CASH,Posted
PMT500000012,INV500000012,2026-07-02,60.79,CHECK,Posted
PMT500000013,INV500000013,2026-06-07,194.47,CHECK,Reversed
PMT400000014,INV400000014,2026-05-20,62.19,CASH,Posted
PMT500000014,INV500000014,2026-06-15,81.65,ACH,Posted
PMT400000015,INV400000015,2026-05-08,119.7,CARD,Posted
PMT400000016,INV400000016,2026-05-03,94.51,CASH,Reversed
PMT500000016,INV500000016,2026-06-02,50.45,ACH,Posted
PMT400000017,INV400000017,2026-05-08,41.23,CARD,Failed
PMT500000017,INV500000017,2026-06-07,42.01,CASH,Posted
PMT400000018,INV400000018,2026-05-08,239.29,CHECK,Reversed
PMT500000018,INV500000018,2026-06-19,74.36,ACH,Reversed
PMT400000019,INV400000019,2026-05-20,196.84,CARD,Failed
PMT500000019,INV500000019,2026-07-02,101.17,CARD,Reversed
PMT400000020,INV400000020,2026-05-08,179.57,ACH,Reversed
PMT400000021,INV400000021,2026-06-02,100.05,CASH,Posted
PMT500000021,INV500000021,2026-06-19,20.2,ACH,Failed
PMT400000022,INV400000022,2026-05-20,73.93,ACH,Posted
PMT400000023,INV400000023,2026-05-16,122.71,ACH,Reversed
PMT500000023,INV500000023,2026-06-19,74.59,CASH,Pending
PMT400000024,INV400000024,2026-06-02,231.77,CASH,Posted
PMT500000024,INV500000024,2026-06-02,93.74,CASH,Posted
PMT400000025,INV400000025,2026-06-02,148.7,CASH,Posted
PMT500000025,INV500000025,2026-06-19,147.91,ACH,Posted
PMT400000026,INV400000026,2026-05-08,147.67,CARD,Posted
PMT500000026,INV500000026,2026-06-07,187.51,ACH,Posted
PMT400000027,INV400000027,2026-05-20,104.15,CHECK,Posted
PMT500000027,INV500000027,2026-07-02,227.66,ACH,Reversed
PMT400000028,INV400000028,2026-05-08,162.61,CARD,Failed
PMT500000028,INV500000028,2026-06-15,136.99,CHECK,Pending
PMT400000029,INV400000029,2026-05-03,47.51,ACH,Posted
PMT500000029,INV500000029,2026-06-02,33.47,ACH,Pending
PMT400000030,INV400000030,2026-05-08,174.61,CARD,Posted
PMT500000030,INV500000030,2026-07-02,147.99,CHECK,Posted
PMT400000031,INV400000031,2026-05-20,173.63,ACH,Failed
PMT500000031,INV500000031,2026-06-19,51.46,CASH,Posted
PMT400000032,INV400000032,2026-05-03,159.8,CARD,Posted
PMT500000032,INV500000032,2026-06-02,156.13,ACH,Pending
PMT500000033,INV500000033,2026-06-15,62.52,ACH,Posted
PMT400000034,INV400000034,2026-05-20,126.69,CARD,Pending
PMT500000034,INV500000034,2026-06-15,90.37,CASH,Posted
PMT400000035,INV400000035,2026-05-16,95.44,CASH,Posted
PMT500000035,INV500000035,2026-07-02,70.0,CARD,Posted
PMT400000036,INV400000036,2026-06-02,21.18,ACH,Pending
PMT500000036,INV500000036,2026-06-19,92.08,CARD,Pending
PMT400000037,INV400000037,2026-06-02,45.7,ACH,Failed
PMT500000037,INV500000037,2026-06-02,83.66,CASH,Posted
