call_id,subscriber_id,cell_id,call_start_ts,duration_seconds,call_direction,call_status,roaming_flag,source_system,call_date
CALL0000000001,SUB00001402,CELL000190,2026-04-15 23:58:00,335.0,MO,Completed,True,switch,2026-04-15
CALL0000000002,SUB00003473,CELL000234,2026-04-10 10:42:00,,MT,Failed,False,switch,2026-04-10
CALL0000000003,SUB_BAD,CELL000127,2026-04-14 07:59:00,113.0,MO,Failed,True,switch,2026-04-14
CALL0000000004,SUB00003217,CELL000058,2026-05-24 15:56:00,87.0,MO,Dropped,False,switch,2026-05-24
CALL0000000005,SUB00004303,CELL000150,2026-04-20 07:08:00,291.0,MO,Completed,False,switch,2026-04-20
CALL0000000006,SUB00002234,CELL000066,,218.0,MO,Failed,False,switch,
CALL0000000007,SUB00004390,CELL000254,2026-05-21 05:50:00,37.0,MO,Completed,False,switch,2026-05-21
CALL0000000008,SUB00001029,CELL000091,2026-04-02 18:34:00,121.0,MT,Completed,False,switch,2026-04-02
CALL0000000009,SUB00004973,CELL000076,,295.0,MO,Failed,False,switch,
CALL0000000010,SUB00004021,CELL000089,2026-05-06 12:02:00,22.0,MO,Dropped,False,switch,2026-05-06
CALL0000000011,SUB00001112,CELL000152,2026-04-05 02:58:00,113.0,MT,Completed,False,switch,2026-04-05
CALL0000000012,SUB00000040,CELL000185,2026-05-30 22:14:00,178.0,MO,Completed,False,switch,2026-05-30
CALL0000000013,SUB00003721,CELL000123,2026-04-22 10:04:00,312.0,MT,Failed,False,switch,2026-04-22
CALL0000000014,SUB00004796,CELL000043,2026-04-09 09:10:00,571.0,MT,Dropped,False,switch,2026-04-09
CALL0000000015,SUB00000310,CELL000109,,7.0,MO,Dropped,False,switch,
CALL0000000016,SUB00000162,CELL000100,2026-04-12 20:05:00,530.0,MO,Completed,False,switch,2026-04-12
CALL0000000017,SUB00002631,CELL000132,2026-04-16 07:26:00,116.0,MO,Completed,False,switch,2026-04-16
CALL0000000018,SUB00002163,CELL000043,2026-05-20 02:46:00,108.0,MT,Completed,False,switch,2026-05-20
CALL0000000019,SUB00000902,CELL000126,2026-04-29 23:17:00,52.0,MT,Completed,False,switch,2026-04-29
CALL0000000020,SUB00001161,CELL000146,2026-04-12 02:46:00,56.0,MO,Completed,False,switch,2026-04-12
CALL0000000021,SUB00002250,CELL000210,2026-04-06 17:06:00,134.0,MT,Completed,True,switch,2026-04-06
CALL0000000022,SUB00003350,CELL000095,2026-05-25 14:56:00,66.0,MO,Completed,False,switch,2026-05-25
CALL0000000023,SUB00004963,CELL000236,,40.0,MO,Failed,False,switch,
CALL0000000024,SUB00000142,CELL000207,2026-05-16 22:48:00,200.0,MO,Dropped,False,switch,2026-05-16
CALL0000000025,SUB00001796,CELL000126,2026-04-14 12:36:00,163.0,MT,Completed,False,switch,2026-04-14
CALL0000000026,SUB00001158,CELL000248,,191.0,MO,Completed,False,switch,
CALL0000000027,SUB00001066,CELL000168,2026-04-25 14:51:00,67.0,MO,Completed,False,switch,2026-04-25
CALL0000000028,SUB00000389,CELL000059,2026-05-02 16:41:00,133.0,MO,Completed,False,switch,2026-05-02
CALL0000000029,SUB00001973,CELL000238,2026-05-05 06:32:00,490.0,MT,Completed,False,switch,2026-05-05
CALL0000000030,SUB00004700,CELL000151,2026-04-25 10:39:00,136.0,MO,Completed,False,switch,2026-04-25
CALL0000000031,SUB00004595,CELL000219,2026-05-26 17:30:00,6.0,MT,Dropped,True,switch,2026-05-26
CALL0000000032,SUB00002140,CELL000014,2026-04-23 09:51:00,477.0,MO,Dropped,False,switch,2026-04-23
CALL0000000033,SUB00002912,CELL000113,2026-04-15 11:05:00,138.0,MO,Failed,False,switch,2026-04-15
CALL0000000034,SUB00003900,CELL000032,,67.0,MO,Dropped,False,switch,
CALL0000000035,SUB00004785,CELL000177,2026-05-26 19:56:00,245.0,MO,Completed,False,switch,2026-05-26
CALL0000000036,SUB00000067,CELL000210,,198.0,MO,Completed,False,switch,
CALL0000000037,SUB00004045,CELL000020,,723.0,MO,Completed,False,switch,
CALL0000000038,SUB00000542,CELL000129,,62.0,MT,Failed,True,switch,
CALL0000000039,SUB00001341,CELL000148,2026-04-21 13:12:00,185.0,MT,Completed,False,switch,2026-04-21
CALL0000000040,SUB00000927,CELL000080,2026-05-17 09:35:00,143.0,MO,Completed,False,switch,2026-05-17
CALL0000000041,SUB00003092,CELL000232,2026-04-03 11:02:00,11.0,MO,Dropped,True,switch,2026-04-03
CALL0000000042,SUB00004677,CELL000255,,57.0,MO,Dropped,False,switch,
CALL0000000043,SUB00003088,CELL000228,,49.0,MO,Completed,False,switch,
CALL0000000044,SUB00003036,CELL000197,2026-04-04 03:03:00,159.0,MO,Completed,True,switch,2026-04-04
CALL0000000045,SUB00003905,CELL000002,2026-04-25 12:45:00,99.0,MO,Completed,False,switch,2026-04-25
CALL0000000046,SUB00000012,CELL000157,,53.0,MT,Completed,False,switch,
CALL0000000047,SUB00002693,CELL000249,,145.0,MO,Dropped,False,switch,
CALL0000000048,SUB00003888,CELL000217,2026-05-08 03:50:00,110.0,MT,Dropped,False,switch,2026-05-08
CALL0000000049,SUB00003649,CELL000137,,22.0,MO,Completed,False,switch,
CALL0000000050,SUB00004308,CELL000069,2026-04-27 11:28:00,96.0,MO,Completed,False,switch,2026-04-27
CALL0000000051,SUB00001921,CELL000217,2026-05-26 05:37:00,657.0,MO,Completed,False,switch,2026-05-26
CALL0000000052,SUB00000076,CELL000137,2026-05-26 12:11:00,222.0,MT,Completed,False,switch,2026-05-26
CALL0000000053,SUB00003515,CELL000227,2026-05-31 21:48:00,41.0,MO,Completed,False,switch,2026-05-31
CALL0000000054,SUB00001627,CELL000056,2026-04-10 20:36:00,82.0,MO,Completed,False,switch,2026-04-10
CALL0000000055,SUB00002256,CELL000188,2026-04-05 22:35:00,353.0,MT,Completed,False,switch,2026-04-05
CALL0000000056,SUB00001941,CELL000248,,61.0,MO,Failed,False,switch,
CALL0000000057,SUB00002466,CELL000231,2026-05-08 16:03:00,108.0,MO,Completed,False,switch,2026-05-08
CALL0000000058,SUB00001311,CELL000097,,94.0,MO,Dropped,True,switch,
CALL0000000059,SUB00000489,CELL000083,2026-04-23 13:20:00,184.0,MT,Failed,False,switch,2026-04-23
CALL0000000060,SUB00004824,CELL000160,2026-05-11 09:03:00,130.0,MO,Completed,False,switch,2026-05-11
CALL0000000061,SUB00000593,CELL000109,,171.0,MO,Completed,True,switch,
CALL0000000062,SUB00002171,CELL000124,2026-04-23 10:56:00,55.0,MT,Completed,False,switch,2026-04-23
CALL0000000063,SUB00004676,CELL000156,2026-05-16 20:36:00,41.0,MO,Failed,False,switch,2026-05-16
CALL0000000064,SUB00001674,CELL000028,2026-05-24 19:20:00,506.0,MO,Completed,False,switch,2026-05-24
CALL0000000065,SUB00000282,CELL000099,,251.0,MO,Failed,False,switch,
CALL0000000066,SUB00002730,CELL000082,2026-04-22 04:17:00,117.0,MO,Dropped,False,switch,2026-04-22
CALL0000000067,SUB00000049,CELL000095,2026-05-15 19:33:00,321.0,MO,Completed,True,switch,2026-05-15
CALL0000000068,SUB00003529,CELL000163,,13.0,MO,Failed,False,switch,
CALL0000000069,SUB00000074,CELL000138,,276.0,MO,Completed,True,switch,
CALL0000000070,SUB00000652,CELL000218,2026-04-26 01:49:00,358.0,MO,Dropped,True,switch,2026-04-26
CALL0000000071,SUB00002572,CELL000202,2026-05-19 12:29:00,534.0,MT,Failed,False,switch,2026-05-19
CALL0000000072,SUB00000141,CELL000047,2026-05-11 00:00:00,181.0,MT,Failed,False,switch,2026-05-11
CALL0000000073,SUB00004615,CELL000207,2026-04-08 09:12:00,86.0,MT,Failed,False,switch,2026-04-08
CALL0000000074,SUB00004779,CELL000143,2026-05-27 16:54:00,445.0,MT,Failed,True,switch,2026-05-27
CALL0000000075,SUB00003662,CELL000141,,53.0,MO,Completed,False,switch,
CALL0000000076,SUB00004667,CELL000204,,40.0,MO,Dropped,False,switch,
CALL0000000077,SUB00002009,CELL000187,2026-04-09 23:22:00,22.0,MO,Failed,False,switch,2026-04-09
CALL0000000078,SUB00004748,CELL000116,,147.0,MO,Dropped,False,switch,
CALL0000000079,SUB00002227,CELL000243,,186.0,MO,Failed,False,switch,
CALL0000000080,SUB00000325,CELL000193,,141.0,MT,Completed,False,switch,
CALL0000000081,SUB00002537,CELL000176,2026-04-09 17:22:00,195.0,MO,Failed,False,switch,2026-04-09
CALL0000000082,SUB00004970,CELL000032,2026-05-25 18:38:00,174.0,MT,Dropped,False,switch,2026-05-25
CALL0000000083,SUB00001225,CELL000212,,172.0,MT,Completed,True,switch,
CALL0000000084,SUB00003280,CELL000081,2026-04-18 21:32:00,157.0,MT,Completed,True,switch,2026-04-18
CALL0000000085,SUB00000218,CELL000044,,153.0,MO,Dropped,True,switch,
CALL0000000086,SUB00000834,CELL000090,2026-05-12 14:17:00,72.0,MO,Dropped,False,switch,2026-05-12
CALL0000000087,SUB00003291,CELL000154,2026-05-20 20:36:00,81.0,MT,Completed,False,switch,2026-05-20
CALL0000000088,SUB00004237,CELL000171,,245.0,MT,Completed,False,switch,
CALL0000000089,SUB00003940,CELL000125,2026-04-22 20:09:00,71.0,MT,Dropped,False,switch,2026-04-22
CALL0000000090,SUB00000023,CELL000228,,111.0,MO,Completed,True,switch,
CALL0000000091,SUB00000313,CELL000022,,77.0,MO,Completed,False,switch,
CALL0000000092,SUB00004324,CELL000156,2026-05-11 07:52:00,240.0,MO,Failed,True,switch,2026-05-11
CALL0000000093,SUB00000034,CELL000188,2026-05-05 13:03:00,59.0,MO,Completed,False,switch,2026-05-05
CALL0000000094,SUB00003757,CELL000040,,176.0,MO,Completed,False,switch,
CALL0000000095,SUB00000121,CELL000039,2026-04-12 12:01:00,78.0,MO,Failed,False,switch,2026-04-12
CALL0000000096,SUB00002904,CELL000077,,173.0,MO,Failed,True,switch,
CALL0000000097,SUB00001209,CELL000100,2026-04-24 15:52:00,410.0,MO,Completed,False,switch,2026-04-24
CALL0000000098,SUB00002415,CELL000079,,10.0,MT,Completed,False,switch,
CALL0000000099,SUB00001960,CELL000173,,10.0,MO,Completed,False,switch,
CALL0000000100,SUB00001267,CELL000175,,51.0,MT,Failed,False,switch,
CALL0000000101,SUB00004014,CELL000004,2026-05-15 22:31:00,280.0,MO,Dropped,False,switch,2026-05-15
CALL0000000102,SUB00001278,CELL000244,,547.0,MO,Failed,False,switch,
CALL0000000103,SUB00003072,CELL000221,,100.0,MO,Dropped,False,switch,
CALL0000000104,SUB00000168,CELL000050,,561.0,MO,Completed,True,switch,
CALL0000000105,SUB00002915,CELL000194,2026-05-04 23:27:00,217.0,MO,Dropped,False,switch,2026-05-04
CALL0000000106,SUB00000771,CELL000109,,205.0,MO,Failed,False,switch,
CALL0000000107,SUB00004043,CELL000035,,10.0,MO,Completed,True,switch,
CALL0000000108,SUB00004659,CELL000199,2026-05-31 14:52:00,17.0,MO,Completed,False,switch,2026-05-31
CALL0000000109,SUB00002546,CELL000203,,215.0,MT,Dropped,True,switch,
CALL0000000110,SUB00002730,CELL000176,,415.0,MO,Dropped,True,switch,
CALL0000000111,SUB00002566,CELL000228,2026-05-29 05:57:00,275.0,MO,Completed,False,switch,2026-05-29
CALL0000000112,SUB00002196,CELL000017,,480.0,MT,Dropped,False,switch,
CALL0000000113,SUB00001703,CELL000177,2026-04-21 17:03:00,30.0,MO,Failed,False,switch,2026-04-21
CALL0000000114,SUB00001305,CELL000159,,38.0,MO,Completed,False,switch,
CALL0000000115,SUB00004351,CELL000152,,138.0,MO,Completed,False,switch,
CALL0000000116,SUB00001661,CELL000069,,381.0,MT,Completed,False,switch,
CALL0000000117,SUB00000781,CELL000133,2026-05-26 13:21:00,163.0,MT,Failed,True,switch,2026-05-26
CALL0000000118,SUB00001488,CELL000171,2026-04-25 17:36:00,55.0,MT,Dropped,False,switch,2026-04-25
CALL0000000119,SUB00004263,CELL000168,,278.0,MT,Completed,False,switch,
CALL0000000120,SUB00000549,CELL000180,,26.0,MT,Failed,False,switch,
CALL0000000121,SUB00004945,CELL000014,,73.0,MT,Dropped,False,switch,
CALL0000000122,SUB00003468,CELL000021,2026-05-15 01:07:00,328.0,MO,Dropped,False,switch,2026-05-15
CALL0000000123,SUB00003962,CELL000092,,195.0,MT,Completed,False,switch,
CALL0000000124,SUB00000798,CELL000106,,44.0,MO,Dropped,True,switch,
CALL0000000125,SUB00003224,CELL000116,,123.0,MT,Completed,False,switch,
CALL0000000126,SUB00002444,CELL000208,,161.0,MO,Completed,False,switch,
CALL0000000127,SUB00002344,CELL000035,,245.0,MO,Dropped,True,switch,
CALL0000000128,SUB00000630,CELL000047,,26.0,MO,Failed,False,switch,
CALL0000000129,SUB00003885,CELL000020,2026-05-19 11:00:00,121.0,MO,Failed,False,switch,2026-05-19
CALL0000000130,SUB00004837,CELL000119,2026-05-04 06:23:00,93.0,MO,Failed,False,switch,2026-05-04
CALL0000000131,SUB00000663,CELL000243,2026-04-25 09:06:00,115.0,MT,Completed,True,switch,2026-04-25
