check_name,table_name,issue_count,severity
customers_raw_to_silver_delta,customers,1,info
plans_raw_to_silver_delta,plans,0,info
devices_raw_to_silver_delta,devices,0,info
subscribers_raw_to_silver_delta,subscribers,0,info
sites_raw_to_silver_delta,sites,0,info
cells_raw_to_silver_delta,cells,0,info
calendar_raw_to_silver_delta,calendar,0,info
voice_calls_raw_to_silver_delta,voice_calls,0,info
data_sessions_raw_to_silver_delta,data_sessions,0,info
sms_events_raw_to_silver_delta,sms_events,0,info
cell_kpis_raw_to_silver_delta,cell_kpis,0,info
network_alarms_raw_to_silver_delta,network_alarms,0,info
site_outages_raw_to_silver_delta,site_outages,0,info
invoices_raw_to_silver_delta,invoices,0,info
payments_raw_to_silver_delta,payments,0,info
support_tickets_raw_to_silver_delta,support_tickets,0,info
customer_cdc_raw_to_silver_delta,customer_cdc,0,info
plan_cdc_raw_to_silver_delta,plan_cdc,0,info
devices_invalid_customer,devices,3,warning
subscribers_invalid_customer,subscribers,7,warning
subscribers_invalid_device,subscribers,19,warning
subscribers_invalid_plan,subscribers,0,pass
cells_invalid_site,cells,0,pass
voice_invalid_subscriber,voice,58,warning
voice_invalid_cell,voice,55,warning
voice_bad_values,voice,14060,warning
data_invalid_subscriber,data,74,warning
data_invalid_cell,data,78,warning
data_bad_values,data,88,warning
sms_invalid_subscriber,sms,0,pass
kpis_invalid_cell,kpis,0,pass
alarms_invalid_cell,alarms,14,warning
outages_invalid_site,outages,0,pass
invoices_invalid_subscriber,invoices,19,warning
invoices_bad_values,invoices,27,warning
payments_invalid_invoice,payments,19,warning
payments_bad_values,payments,0,pass
tickets_invalid_customer,tickets,16,warning
