table_name,relative_path,row_count,column_count,duplicate_full_rows
invoices,data/raw/billing/invoices.csv,10000,11,0
payments,data/raw/billing/payments.csv,8985,6,0
customer_cdc,data/raw/cdc/customer_cdc.csv,500,8,0
plan_cdc,data/raw/cdc/plan_cdc.csv,15,7,0
cells,data/raw/master/cells.csv,255,7,0
customers,data/raw/master/customers.csv,4501,9,1
devices,data/raw/master/devices.csv,2600,9,0
plans,data/raw/master/plans.csv,20,9,0
sites,data/raw/master/sites.csv,60,9,0
subscribers,data/raw/master/subscribers.csv,5200,8,0
cell_kpis,data/raw/network/cell_kpis.csv,163680,8,0
network_alarms,data/raw/network/network_alarms.csv,2600,7,0
site_outages,data/raw/network/site_outages.csv,400,7,0
calendar,data/raw/reference/calendar.csv,181,8,0
support_tickets,data/raw/support/support_tickets.csv,6500,8,0
data_sessions,data/raw/usage/data_sessions.csv,42000,12,0
sms_events,data/raw/usage/sms_events.csv,18000,7,0
voice_calls,data/raw/usage/voice_calls.csv,28000,9,0
