cell_id,kpi_ts,connected_users,throughput_mbps,prb_utilization_pct,drop_call_rate_pct,handover_success_pct,availability_pct,kpi_date,site_id,technology,max_capacity_mbps,high_utilization_flag,high_drop_rate_flag,poor_availability_flag
CELL000001,2026-05-01 03:00:00,56,565.674,100.0,2.8395,96.344,99.7436,2026-05-01,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-01 09:00:00,147,746.559,96.366,3.3821,96.1314,99.3325,2026-05-01,SITE00001,4G LTE,601.45,True,True,False
CELL000001,2026-05-02 05:00:00,228,561.132,86.797,2.6727,95.8805,99.4396,2026-05-02,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-03 09:00:00,176,355.05,87.932,3.0913,96.172,99.4762,2026-05-03,SITE00001,4G LTE,601.45,True,True,False
CELL000001,2026-05-03 15:00:00,300,560.65,100.0,0.0,95.0373,99.6788,2026-05-03,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-03 16:00:00,176,718.191,90.205,1.9692,99.1437,99.5806,2026-05-03,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-03 20:00:00,350,323.537,86.19,2.7159,94.1495,99.7229,2026-05-03,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-04 03:00:00,273,549.868,87.373,0.0,99.2505,99.8791,2026-05-04,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-04 09:00:00,244,0.0,93.514,1.4448,94.4929,99.754,2026-05-04,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-04 12:00:00,228,73.146,89.963,1.6696,97.1781,99.946,2026-05-04,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-05 18:00:00,424,814.202,85.761,0.0,99.061,99.8674,2026-05-05,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-06 08:00:00,301,93.842,100.0,1.8231,93.3573,99.9105,2026-05-06,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-07 01:00:00,377,308.987,100.0,0.0,94.6287,99.5387,2026-05-07,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-07 03:00:00,108,199.376,87.43,0.0,97.575,99.929,2026-05-07,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-07 10:00:00,236,263.742,98.409,3.0574,98.7928,99.4146,2026-05-07,SITE00001,4G LTE,601.45,True,True,False
CELL000001,2026-05-08 12:00:00,245,563.977,99.029,2.1983,96.0505,99.8814,2026-05-08,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-08 17:00:00,90,675.646,97.09,1.3053,97.3929,99.401,2026-05-08,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-08 21:00:00,253,206.609,94.793,1.5254,92.3869,99.8689,2026-05-08,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-09 05:00:00,151,394.275,93.364,1.1184,99.2621,99.83,2026-05-09,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-09 11:00:00,219,255.119,90.616,1.2338,97.3068,99.7008,2026-05-09,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-09 19:00:00,154,490.684,90.324,1.6335,98.0906,99.7795,2026-05-09,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-09 22:00:00,232,346.161,96.218,2.0788,92.1276,99.694,2026-05-09,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-10 11:00:00,274,535.473,89.376,1.3898,93.0873,99.968,2026-05-10,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-11 01:00:00,244,593.47,100.0,0.6883,100.0,100.0,2026-05-11,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-11 04:00:00,101,583.55,89.927,2.1666,92.7559,99.6585,2026-05-11,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-11 07:00:00,101,431.037,89.336,1.1735,96.8086,99.843,2026-05-11,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-12 10:00:00,190,392.243,100.0,1.5266,94.1562,99.0782,2026-05-12,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-12 13:00:00,275,691.413,88.557,0.9748,99.2495,99.8153,2026-05-12,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-12 19:00:00,170,303.954,94.014,1.6334,97.2249,99.3563,2026-05-12,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-12 21:00:00,154,144.59,86.404,0.9669,97.9032,99.7994,2026-05-12,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-13 05:00:00,183,577.675,100.0,0.0,95.991,99.6736,2026-05-13,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-13 08:00:00,146,237.963,100.0,3.5083,95.5103,99.4064,2026-05-13,SITE00001,4G LTE,601.45,True,True,False
CELL000001,2026-05-13 14:00:00,198,482.99,86.856,0.6311,94.6332,99.6282,2026-05-13,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-14 03:00:00,106,303.5,93.733,0.1478,96.9526,99.7024,2026-05-14,SITE00001,4G LTE,601.45,True,False,False
CELL000001,2026-05-14 10:00:00,107,157.447,98.396,1.9609,94.8247,99.4608,2026-05-14,SITE00001,4G LTE,601.45,True,False,False
