reading_id,meter_id,reading_ts,kwh,kw_demand,voltage,power_factor,quality_flag,source_system,ingestion_batch_id,reading_date
MR0000000003,MTR0000001,2026-04-01 02:00:00,31.8556,31.3905,234.97,0.9838,MISSING,ami_headend,AMI_20260602_A,2026-04-01
MR0000000004,MTR0000001,2026-04-01 03:00:00,12.8612,15.0646,252.58,0.9438,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-01
MR0000000005,MTR0000001,2026-04-01 04:00:00,32.3529,44.3371,241.84,0.9053,MISSING,ami_headend,AMI_20260602_A,2026-04-01
MR0000000007,MTR0000001,2026-04-01 06:00:00,23.2998,19.0463,236.51,0.9584,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-01
MR0000000010,MTR0000001,2026-04-01 09:00:00,82.3016,114.273,242.31,0.9876,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-01
MR0000000016,MTR0000001,2026-04-01 15:00:00,61.2831,62.7031,241.39,0.9289,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-01
MR0000000018,MTR0000001,2026-04-01 17:00:00,75.4599,92.2592,239.82,0.9479,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-01
MR0000000019,MTR0000001,2026-04-01 18:00:00,93.5433,81.3568,241.15,0.9611,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-01
MR0000000025,MTR0000001,2026-04-02 00:00:00,51.8415,69.1126,239.87,0.9884,MISSING,ami_headend,AMI_20260602_A,2026-04-02
MR0000000026,MTR0000001,2026-04-02 01:00:00,43.194,50.6342,242.37,0.9145,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-02
MR0000000030,MTR0000001,2026-04-02 05:00:00,38.436,36.388,231.6,0.8973,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-02
MR0000000033,MTR0000001,2026-04-02 08:00:00,95.4546,81.8248,236.12,0.9293,MISSING,ami_headend,AMI_20260601_B,2026-04-02
MR0000000037,MTR0000001,2026-04-02 12:00:00,80.119,108.0953,243.06,0.9342,MISSING,ami_headend,AMI_20260601_B,2026-04-02
MR0000000039,MTR0000001,2026-04-02 14:00:00,89.5386,88.8438,248.15,0.9314,MISSING,ami_headend,AMI_20260601_A,2026-04-02
MR0000000043,MTR0000001,2026-04-02 18:00:00,111.7065,147.7482,248.14,0.9601,MISSING,ami_headend,AMI_20260602_A,2026-04-02
MR0000000045,MTR0000001,2026-04-02 20:00:00,102.1058,117.6001,238.69,0.8994,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-02
MR0000000047,MTR0000001,2026-04-02 22:00:00,23.624,31.9379,237.37,0.9884,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-02
MR0000000048,MTR0000001,2026-04-02 23:00:00,50.1171,45.0716,241.04,0.9985,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-02
MR0000000051,MTR0000001,2026-04-03 02:00:00,19.4727,25.3717,243.27,0.9475,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-03
MR0000000052,MTR0000001,2026-04-03 03:00:00,28.6091,23.9223,238.18,0.9382,MISSING,ami_headend,AMI_20260601_A,2026-04-03
MR0000000058,MTR0000001,2026-04-03 09:00:00,80.0954,81.2057,243.78,0.9546,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-03
MR0000000059,MTR0000001,2026-04-03 10:00:00,83.7838,81.9132,243.79,0.8988,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-03
MR0000000061,MTR0000001,2026-04-03 12:00:00,85.3631,85.637,242.55,0.9556,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-03
MR0000000065,MTR0000001,2026-04-03 16:00:00,58.9579,73.4158,238.92,0.9873,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-03
MR0000000069,MTR0000001,2026-04-03 20:00:00,86.0092,118.393,239.11,0.9185,MISSING,ami_headend,AMI_20260602_A,2026-04-03
MR0000000070,MTR0000001,2026-04-03 21:00:00,43.3119,57.5672,236.67,0.9492,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-03
MR0000000072,MTR0000001,2026-04-03 23:00:00,15.0111,14.605,242.4,0.9545,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-03
MR0000000073,MTR0000001,2026-04-04 00:00:00,22.8656,22.7695,233.88,0.965,MISSING,ami_headend,AMI_20260601_B,2026-04-04
MR0000000074,MTR0000001,2026-04-04 01:00:00,19.0738,19.0093,243.51,0.981,MISSING,ami_headend,AMI_20260601_B,2026-04-04
MR0000000076,MTR0000001,2026-04-04 03:00:00,49.4369,65.8552,228.58,0.9701,MISSING,ami_headend,AMI_20260602_A,2026-04-04
MR0000000080,MTR0000001,2026-04-04 07:00:00,39.969,36.7024,240.94,0.9035,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-04
MR0000000083,MTR0000001,2026-04-04 10:00:00,55.2896,76.0627,243.91,0.913,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-04
MR0000000089,MTR0000001,2026-04-04 16:00:00,71.8094,83.5709,236.77,0.9425,MISSING,ami_headend,AMI_20260601_A,2026-04-04
MR0000000091,MTR0000001,2026-04-04 18:00:00,93.2448,123.076,236.55,0.9652,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-04
MR0000000092,MTR0000001,2026-04-04 19:00:00,47.2448,58.0547,239.52,0.8752,MISSING,ami_headend,AMI_20260601_A,2026-04-04
MR0000000093,MTR0000001,2026-04-04 20:00:00,72.0423,84.1151,236.17,0.9478,MISSING,ami_headend,AMI_20260601_B,2026-04-04
MR0000000096,MTR0000001,2026-04-04 23:00:00,27.1476,25.3742,240.02,0.9259,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-04
MR0000000098,MTR0000001,2026-04-05 01:00:00,31.0641,37.912,238.68,0.9868,MISSING,ami_headend,AMI_20260601_A,2026-04-05
MR0000000099,MTR0000001,2026-04-05 02:00:00,43.1245,46.6517,246.18,0.9372,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-05
MR0000000100,MTR0000001,2026-04-05 03:00:00,21.2702,17.4369,238.46,0.9546,MISSING,ami_headend,AMI_20260601_A,2026-04-05
MR0000000102,MTR0000001,2026-04-05 05:00:00,18.3602,22.9519,242.52,0.9666,MISSING,ami_headend,AMI_20260602_A,2026-04-05
MR0000000105,MTR0000001,2026-04-05 08:00:00,62.0679,81.4581,238.71,0.9655,MISSING,ami_headend,AMI_20260602_A,2026-04-05
MR0000000110,MTR0000001,2026-04-05 13:00:00,66.6272,58.1156,234.56,1.0,MISSING,ami_headend,AMI_20260601_B,2026-04-05
MR0000000113,MTR0000001,2026-04-05 16:00:00,60.4773,75.0931,238.29,0.9039,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-05
MR0000000115,MTR0000001,2026-04-05 18:00:00,72.4795,63.806,238.31,0.9501,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-05
MR0000000117,MTR0000001,2026-04-05 20:00:00,65.8238,62.1793,240.36,0.9388,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-05
MR0000000120,MTR0000001,2026-04-05 23:00:00,50.3646,53.3733,240.44,0.9504,MISSING,ami_headend,AMI_20260601_A,2026-04-05
MR0000000125,MTR0000001,2026-04-06 04:00:00,36.6455,43.7358,241.86,0.9662,MISSING,ami_headend,AMI_20260601_A,2026-04-06
MR0000000126,MTR0000001,2026-04-06 05:00:00,23.3395,25.1414,247.99,0.9442,MISSING,ami_headend,AMI_20260601_A,2026-04-06
MR0000000130,MTR0000001,2026-04-06 09:00:00,82.0225,79.1211,238.16,0.9541,MISSING,ami_headend,AMI_20260601_A,2026-04-06
MR0000000133,MTR0000001,2026-04-06 12:00:00,89.7509,101.6966,236.09,0.9735,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-06
MR0000000135,MTR0000001,2026-04-06 14:00:00,90.7135,82.1807,232.67,0.9412,MISSING,ami_headend,AMI_20260601_A,2026-04-06
MR0000000144,MTR0000001,2026-04-06 23:00:00,11.9517,10.0483,241.69,0.9014,MISSING,ami_headend,AMI_20260601_B,2026-04-06
MR0000000149,MTR0000001,2026-04-07 04:00:00,34.2377,34.8613,242.39,0.9452,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-07
MR0000000165,MTR0000001,2026-04-07 20:00:00,69.5688,96.3722,246.92,0.93,MISSING,ami_headend,AMI_20260601_A,2026-04-07
MR0000000168,MTR0000001,2026-04-07 23:00:00,25.9866,22.1805,239.16,0.9949,MISSING,ami_headend,AMI_20260601_B,2026-04-07
MR0000000171,MTR0000001,2026-04-08 02:00:00,56.5355,79.0112,236.38,0.9739,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-08
MR0000000173,MTR0000001,2026-04-08 04:00:00,56.8123,77.4021,235.04,0.9284,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-08
MR0000000176,MTR0000001,2026-04-08 07:00:00,47.2078,55.8621,243.79,0.8863,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-08
MR0000000179,MTR0000001,2026-04-08 10:00:00,74.3973,71.4962,246.7,0.9807,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-08
MR0000000181,MTR0000001,2026-04-08 12:00:00,104.5266,144.3896,243.29,0.9465,MISSING,ami_headend,AMI_20260601_A,2026-04-08
MR0000000182,MTR0000001,2026-04-08 13:00:00,96.048,91.5422,241.25,0.9637,MISSING,ami_headend,AMI_20260601_B,2026-04-08
MR0000000187,MTR0000001,2026-04-08 18:00:00,75.4508,80.3203,242.12,0.8839,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-08
MR0000000189,MTR0000001,2026-04-08 20:00:00,89.2045,115.9097,243.07,0.9639,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-08
