cell_id,kpi_ts,connected_users,throughput_mbps,prb_utilization_pct,drop_call_rate_pct,handover_success_pct,availability_pct,kpi_date,site_id,technology,max_capacity_mbps,high_utilization_flag,high_drop_rate_flag,poor_availability_flag
CELL000001,2026-05-01 16:00:00,107,290.806,38.374,1.8203,94.1138,0.0,2026-05-01,SITE00001,4G LTE,601.45,False,False,True
CELL000001,2026-05-16 20:00:00,156,399.234,55.455,0.8133,99.1791,0.0,2026-05-16,SITE00001,4G LTE,601.45,False,False,True
CELL000001,2026-05-26 05:00:00,205,330.312,86.724,1.7664,93.8825,0.0,2026-05-26,SITE00001,4G LTE,601.45,True,False,True
CELL000002,2026-05-12 03:00:00,268,179.774,21.777,2.4216,99.1037,98.9951,2026-05-12,SITE00001,5G NR,598.19,False,False,True
CELL000002,2026-05-14 12:00:00,153,720.3,68.442,1.0244,97.7402,0.0,2026-05-14,SITE00001,5G NR,598.19,False,False,True
CELL000002,2026-05-15 07:00:00,251,610.354,55.964,0.502,96.8538,0.0,2026-05-15,SITE00001,5G NR,598.19,False,False,True
CELL000002,2026-05-30 17:00:00,120,294.702,39.414,0.7516,94.7095,98.997,2026-05-30,SITE00001,5G NR,598.19,False,False,True
CELL000003,2026-05-23 08:00:00,171,292.612,59.397,1.7299,96.876,98.9673,2026-05-23,SITE00001,4G LTE,1253.23,False,False,True
CELL000004,2026-05-06 15:00:00,266,382.261,69.009,0.8785,100.0,0.0,2026-05-06,SITE00001,5G NR,846.65,False,False,True
CELL000004,2026-05-27 15:00:00,18,599.321,67.647,0.7032,91.4252,0.0,2026-05-27,SITE00001,5G NR,846.65,False,False,True
CELL000005,2026-05-06 03:00:00,310,682.529,67.107,1.2715,100.0,98.9613,2026-05-06,SITE00001,5G NR,650.98,False,False,True
CELL000005,2026-05-06 04:00:00,170,250.506,72.391,0.0,95.317,98.8249,2026-05-06,SITE00001,5G NR,650.98,False,False,True
CELL000005,2026-05-13 17:00:00,68,8.961,91.596,1.4984,94.9432,0.0,2026-05-13,SITE00001,5G NR,650.98,True,False,True
CELL000005,2026-05-22 22:00:00,202,289.955,78.801,2.4828,98.4569,98.995,2026-05-22,SITE00001,5G NR,650.98,False,False,True
