invoice_id,subscriber_id,billing_month,invoice_date,due_date,monthly_charge,usage_charge,tax_amount,other_fees,total_amount,invoice_status,amount_paid,last_payment_date,open_amount,days_past_due,past_due_flag
INV400000001,SUB00000001,2026-04-01,2026-04-28,2026-05-16,38.5,10.19,5.1,2.83,56.62,Paid,0.0,,56.62,30,True
INV400000002,SUB00000002,2026-04-01,2026-04-28,2026-05-16,54.87,14.52,7.26,4.03,80.69,Paid,40.35,2026-05-16,40.339999999999996,30,True
INV400000003,SUB00000003,2026-04-01,2026-04-28,2026-05-16,68.62,18.16,9.08,5.05,100.91,Past Due,0.0,,100.91,30,True
INV400000005,SUB00000005,2026-04-01,2026-04-28,2026-05-16,86.99,23.03,11.51,6.4,127.92,Paid,0.0,,127.92,30,True
INV400000006,SUB00000006,2026-04-01,2026-04-28,2026-05-16,88.09,23.32,11.66,6.48,129.54,Past Due,0.0,,129.54,30,True
INV400000008,SUB00000008,2026-04-01,2026-04-28,2026-05-16,54.14,14.33,7.17,3.98,79.62,Open,0.0,,79.62,30,True
INV400000010,SUB00000010,2026-04-01,2026-04-28,2026-05-16,155.94,41.28,20.64,11.47,229.33,Cancelled,0.0,,229.33,30,True
INV400000012,SUB00000012,2026-04-01,2026-04-28,2026-05-16,71.73,18.99,9.49,5.27,105.49,Open,0.0,,105.49,30,True
INV400000013,SUB00000013,2026-04-01,2026-04-28,2026-05-16,130.05,34.43,17.21,9.56,191.25,Open,0.0,,191.25,30,True
INV400000014,SUB00000014,2026-04-01,2026-04-28,2026-05-16,56.38,14.92,7.46,4.15,82.91,Cancelled,62.19,2026-05-20,20.72,30,True
INV400000016,SUB00000016,2026-04-01,2026-04-28,2026-05-16,64.27,17.01,8.51,4.73,94.51,Open,0.0,,94.51,30,True
INV400000017,SUB00000017,2026-04-01,2026-04-28,2026-05-16,28.04,7.42,3.71,2.06,41.23,Paid,0.0,,41.23,30,True
INV400000018,SUB00000018,2026-04-01,2026-04-28,2026-05-16,162.71,43.07,21.54,11.96,239.29,Open,0.0,,239.29,30,True
INV400000019,SUB00000019,2026-04-01,2026-04-28,2026-05-16,133.85,35.43,17.72,9.84,196.84,Open,0.0,,196.84,30,True
INV400000020,SUB00000020,2026-04-01,2026-04-28,2026-05-16,162.81,43.1,21.55,11.97,239.42,Paid,0.0,,239.42,30,True
INV400000023,SUB00000023,2026-04-01,2026-04-28,2026-05-16,166.89,44.18,22.09,12.27,245.43,Paid,0.0,,245.43,30,True
