session_id,subscriber_id,cell_id,session_start_ts,session_end_ts,data_mb,avg_downlink_mbps,avg_uplink_mbps,latency_ms,packet_loss_pct,roaming_flag,source_system,session_date,customer_id,plan_id,device_id,home_region,site_id,technology,data_gb,poor_qoe_flag,month
DATA0000000051,SUB00003469,CELL000239,2026-04-04 02:28:47,2026-04-04 05:09:47,194.279,134.085,8.219,13.194,2.7042,False,pgw,2026-04-04,CUST00004033,PLN016,DEV0000232,Midwest,SITE00056,4G LTE,0.1897255859375,True,2026-04
DATA0000000072,SUB00002790,CELL000122,2026-05-29 23:17:37,2026-05-29 23:49:37,191.399,48.77,31.149,29.935,2.5419,False,pgw,2026-05-29,CUST00003622,PLN007,DEV0001754,Northeast,SITE00029,5G NR,0.1869130859375,True,2026-05
DATA0000000091,SUB00004596,CELL000094,2026-04-01 22:01:59,2026-04-02 00:16:59,265.586,181.687,41.506,32.902,2.3489,False,pgw,2026-04-01,CUST00002096,PLN012,DEV0000761,West,SITE00022,5G NR,0.259361328125,True,2026-04
DATA0000000109,SUB00002414,CELL000061,2026-05-18 14:08:57,2026-05-18 14:56:57,176.252,141.196,26.063,53.54,2.2387,False,pgw,2026-05-18,CUST00000892,PLN017,DEV0001238,Northeast,SITE00014,5G NR,0.17212109375,True,2026-05
DATA0000000130,SUB00004686,CELL000121,2026-05-14 09:25:14,2026-05-14 11:04:14,2142.825,62.582,31.318,30.052,2.2725,False,pgw,2026-05-14,CUST00003277,PLN014,DEV0001293,Southwest,SITE00028,4G LTE,2.0926025390625,True,2026-05
DATA0000000134,SUB00004714,CELL000158,2026-05-27 16:30:55,2026-05-27 19:11:55,137.781,108.611,42.308,36.15,2.9937,False,pgw,2026-05-27,CUST00000392,PLN005,DEV0001593,West,SITE00037,5G NR,0.1345517578125,True,2026-05
DATA0000000140,SUB00002468,CELL000168,2026-04-05 10:21:57,2026-04-05 12:08:57,152.776,238.077,26.049,41.375,2.4708,False,pgw,2026-04-05,CUST00002123,PLN003,DEV0000633,Southwest,SITE00039,4G LTE,0.1491953125,True,2026-04
DATA0000000156,SUB00000741,CELL000140,2026-04-09 21:11:19,2026-04-09 23:11:19,741.921,160.5,14.398,29.577,2.1183,False,pgw,2026-04-09,CUST00001723,PLN016,DEV_BAD,Southwest,SITE00033,4G LTE,0.7245322265625,True,2026-04
DATA0000000168,SUB00004168,CELL000070,2026-05-10 20:33:34,2026-05-10 21:19:34,399.635,76.832,46.224,33.878,2.3764,False,pgw,2026-05-10,CUST00003317,PLN014,DEV0001859,West,SITE00016,5G NR,0.3902685546875,True,2026-05
DATA0000000171,SUB00004558,CELL000202,2026-04-16 15:02:29,2026-04-16 17:19:29,228.011,75.968,37.853,21.307,2.0714,False,pgw,2026-04-16,CUST00003708,PLN013,DEV0001360,Midwest,SITE00048,4G LTE,0.2226669921875,True,2026-04
DATA0000000212,SUB00002899,CELL000232,2026-04-13 15:27:21,2026-04-13 16:34:21,566.97,128.751,20.794,31.862,2.1055,False,pgw,2026-04-13,CUST00002830,PLN006,DEV0001264,West,SITE00054,4G LTE,0.553681640625,True,2026-04
DATA0000000216,SUB00001563,CELL000153,2026-05-18 02:42:11,2026-05-18 03:59:11,566.825,231.613,31.032,34.11,2.0474,False,pgw,2026-05-18,CUST00004336,PLN001,DEV0001000,Northeast,SITE00036,5G NR,0.5535400390625,True,2026-05
DATA0000000217,SUB00003568,CELL000053,2026-05-30 20:29:09,2026-05-30 21:38:09,560.485,108.725,32.244,57.423,2.4003,False,pgw,2026-05-30,CUST00003115,PLN004,DEV0001586,Midwest,SITE00012,5G NR,0.5473486328125,True,2026-05
DATA0000000223,SUB00003325,CELL000050,2026-04-30 22:24:30,2026-04-30 22:28:30,2505.08,187.381,47.798,27.055,2.1376,False,pgw,2026-04-30,CUST00004149,PLN020,DEV0001965,Southwest,SITE00011,4G LTE,2.4463671875,True,2026-04
DATA0000000236,SUB00002912,CELL000255,2026-04-18 22:27:51,2026-04-18 23:20:51,148.148,136.625,28.138,23.177,3.3734,True,pgw,2026-04-18,CUST00000332,PLN018,DEV0001258,Midwest,SITE00060,5G NR,0.14467578125,True,2026-04
DATA0000000335,SUB00003115,CELL000006,2026-05-18 19:41:03,2026-05-18 20:05:03,485.338,77.527,35.384,14.179,2.1157,False,pgw,2026-05-18,CUST00001764,PLN009,DEV0001816,Northeast,SITE00001,4G LTE,0.473962890625,True,2026-05
DATA0000000336,SUB00002954,CELL000062,2026-04-22 07:18:09,2026-04-22 10:09:09,1485.975,205.402,12.832,43.599,2.3082,False,pgw,2026-04-22,CUST00004223,PLN013,DEV0001499,Northeast,SITE00014,5G NR,1.4511474609375,True,2026-04
DATA0000000378,SUB00004026,CELL000204,2026-05-19 23:29:54,2026-05-20 00:01:54,227.931,62.934,18.137,14.284,2.2714,True,pgw,2026-05-19,CUST00002710,PLN011,DEV0001862,Midwest,SITE00048,5G NR,0.2225888671875,True,2026-05
DATA0000000392,SUB00002167,CELL000111,2026-04-19 07:24:52,2026-04-19 08:13:52,2409.113,160.515,15.171,51.029,3.1891,False,pgw,2026-04-19,CUST00002051,PLN013,DEV0001955,Midwest,SITE00026,4G LTE,2.3526494140625,True,2026-04
DATA0000000414,SUB00004733,CELL000255,2026-05-15 09:27:09,2026-05-15 11:24:09,1564.701,48.47,25.431,88.009,0.5355,False,pgw,2026-05-15,CUST00001408,PLN007,DEV0000190,Northeast,SITE00060,5G NR,1.5280283203125,True,2026-05
DATA0000000423,SUB00000026,CELL000074,2026-04-14 19:30:17,2026-04-14 20:54:17,912.784,216.971,7.565,9.993,2.5246,False,pgw,2026-04-14,CUST00000981,PLN018,DEV0001236,Southeast,SITE00017,5G NR,0.891390625,True,2026-04
DATA0000000432,SUB00002895,CELL000160,2026-04-05 23:57:09,2026-04-06 00:41:09,52.074,31.513,18.998,39.246,2.0963,False,pgw,2026-04-05,CUST00002341,PLN002,DEV0000569,Northeast,SITE00037,5G NR,0.050853515625,True,2026-04
DATA0000000433,SUB00002494,CELL000184,2026-04-18 16:07:24,2026-04-18 16:39:24,290.206,161.737,11.749,52.187,2.094,True,pgw,2026-04-18,CUST00003349,PLN016,DEV0000236,Southwest,SITE00043,5G NR,0.283404296875,True,2026-04
DATA0000000452,SUB00004474,CELL000037,2026-05-05 06:04:41,2026-05-05 08:43:41,1748.167,109.527,49.226,11.953,2.0586,False,pgw,2026-05-05,CUST00002685,PLN016,DEV0000251,Southeast,SITE00008,4G LTE,1.7071943359375,True,2026-05
DATA0000000482,SUB00000732,CELL000031,2026-04-02 17:28:52,2026-04-02 19:37:52,799.3,137.494,23.85,32.68,2.4772,True,pgw,2026-04-02,CUST00004242,PLN007,DEV0001644,Northeast,SITE00007,4G LTE,0.78056640625,True,2026-04
DATA0000000506,SUB00002791,CELL000032,2026-05-21 15:43:50,2026-05-21 18:12:50,468.526,43.389,55.83,54.798,2.3192,False,pgw,2026-05-21,CUST00003218,PLN001,DEV0000001,Southeast,SITE00007,4G LTE,0.457544921875,True,2026-05
DATA0000000507,SUB00004715,CELL000231,2026-05-19 09:24:26,2026-05-19 11:16:26,144.09,39.312,23.205,40.843,2.2287,False,pgw,2026-05-19,CUST00004353,PLN008,DEV0001107,West,SITE00054,5G NR,0.140712890625,True,2026-05
DATA0000000515,SUB00004949,CELL000101,2026-05-04 02:09:05,2026-05-04 04:10:05,52.598,106.135,34.249,25.847,2.5432,False,pgw,2026-05-04,CUST00004201,PLN004,DEV0000733,Southeast,SITE00023,4G LTE,0.051365234375,True,2026-05
DATA0000000516,SUB00003007,CELL000156,2026-04-08 18:40:15,2026-04-08 21:31:15,92.607,112.456,40.622,21.755,2.1759,False,pgw,2026-04-08,CUST00000696,PLN020,DEV0001510,Northeast,SITE00037,4G LTE,0.0904365234375,True,2026-04
DATA0000000540,SUB00004131,CELL000255,2026-04-03 08:42:42,2026-04-03 10:43:42,662.797,213.752,33.449,24.383,2.283,False,pgw,2026-04-03,CUST00003666,PLN013,DEV0000510,Northeast,SITE00060,5G NR,0.6472626953125,True,2026-04
DATA0000000543,SUB00001129,CELL000192,2026-04-05 11:49:52,2026-04-05 13:18:52,466.181,148.442,40.874,34.818,2.0185,False,pgw,2026-04-05,CUST00004040,PLN009,DEV0000059,Northeast,SITE00046,4G LTE,0.4552548828125,True,2026-04
DATA0000000556,SUB00001388,CELL000038,2026-04-28 12:17:38,2026-04-28 15:10:38,90.412,188.828,15.777,22.96,2.5824,True,pgw,2026-04-28,CUST00000502,PLN002,DEV0000400,Midwest,SITE00008,4G LTE,0.08829296875,True,2026-04
