manufacturer,device_type,device_count,five_g_capable,active_subscribers,five_g_adoption_rate
Apple,Hotspot,170,142,91,0.8352941176470589
Apple,Iot Router,177,131,105,0.7401129943502824
Apple,Smartphone,194,155,103,0.7989690721649485
Apple,Tablet,172,146,92,0.8488372093023255
Apple,Wearable,178,132,106,0.7415730337078652
Google,Hotspot,152,134,80,0.881578947368421
Google,Iot Router,158,129,88,0.8164556962025317
Google,Smartphone,205,168,112,0.8195121951219512
Google,Tablet,224,189,119,0.84375
Google,Wearable,239,184,138,0.7698744769874477
Motorola,Hotspot,215,165,131,0.7674418604651163
Motorola,Iot Router,170,143,84,0.8411764705882353
Motorola,Smartphone,159,133,100,0.8364779874213837
Motorola,Tablet,183,159,106,0.8688524590163934
Motorola,Wearable,168,124,92,0.7380952380952381
Nokia,Hotspot,207,170,113,0.821256038647343
Nokia,Iot Router,179,130,99,0.7262569832402235
Nokia,Smartphone,182,143,89,0.7857142857142857
Nokia,Tablet,204,177,114,0.8676470588235294
Nokia,Wearable,194,157,91,0.8092783505154639
Oneplus,Hotspot,169,141,100,0.834319526627219
Oneplus,Iot Router,204,167,115,0.8186274509803921
Oneplus,Smartphone,163,124,91,0.7607361963190185
Oneplus,Tablet,214,156,125,0.7289719626168224
Oneplus,Wearable,129,112,67,0.8682170542635659
Samsung,Hotspot,205,164,127,0.8
Samsung,Iot Router,248,196,135,0.7903225806451613
Samsung,Smartphone,176,155,99,0.8806818181818182
Samsung,Tablet,177,150,105,0.847457627118644
Samsung,Wearable,200,156,111,0.78
