ticket_category,priority,ticket_count,avg_resolution_hours,unresolved_count
Activation,Critical,199,66.53370786516854,21
Activation,High,191,63.794285714285714,16
Activation,Low,196,58.616766467065865,29
Activation,Medium,365,61.1319018404908,39
Billing,Critical,185,60.75739644970414,16
Billing,High,203,59.55428571428571,28
Billing,Low,162,58.75714285714286,22
Billing,Medium,360,59.563291139240505,44
Coverage,Critical,202,60.95580110497237,21
Coverage,High,202,60.6764705882353,32
Coverage,Low,194,64.27167630057804,21
Coverage,Medium,333,57.399328859060404,35
Device,Critical,183,58.04907975460123,20
Device,High,200,60.50574712643678,26
Device,Low,197,58.94219653179191,24
Device,Medium,401,60.333333333333336,47
Dropped Calls,Critical,215,63.76086956521739,31
Dropped Calls,High,182,60.74545454545454,17
Dropped Calls,Low,186,58.47133757961783,29
Dropped Calls,Medium,355,62.19749216300941,36
Network Speed,Critical,200,60.29834254143646,19
Network Speed,High,165,59.93421052631579,13
Network Speed,Low,197,66.66091954022988,23
Network Speed,Medium,333,58.02333333333333,33
Roaming,Critical,186,60.95061728395062,24
Roaming,High,191,60.72941176470588,21
Roaming,Low,183,62.32748538011696,12
Roaming,Medium,334,61.404761904761905,40
