cdc_id,customer_id,effective_ts,operation,new_segment,new_credit_class,new_autopay_flag,change_reason,_bronze_loaded_at_utc,_source_file
CCDC0000001,CUST0000468,2026-05-21 14:38:20,UPDATE,Commercial,A,N,credit_review,2026-07-13T04:58:51.819719+00:00,data/raw/cdc/customer_cdc.csv
CCDC0000002,CUST0000457,2026-05-07 01:11:45,UPDATE,Municipal,D,Y,usage_change,2026-07-13T04:58:51.819719+00:00,data/raw/cdc/customer_cdc.csv
CCDC0000003,CUST0000456,2026-03-21 02:49:38,UPDATE,Municipal,D,N,credit_review,2026-07-13T04:58:51.819719+00:00,data/raw/cdc/customer_cdc.csv
CCDC0000004,CUST0000186,2026-04-05 15:04:43,UPDATE,Municipal,D,N,customer_request,2026-07-13T04:58:51.819719+00:00,data/raw/cdc/customer_cdc.csv
CCDC0000005,CUST0000462,2026-04-24 13:25:52,UPDATE,Municipal,C,Y,credit_review,2026-07-13T04:58:51.819719+00:00,data/raw/cdc/customer_cdc.csv
CCDC0000006,CUST0000378,2026-04-25 03:06:58,UPDATE,Commercial,D,Y,usage_change,2026-07-13T04:58:51.819719+00:00,data/raw/cdc/customer_cdc.csv
CCDC0000007,CUST0000124,2026-04-27 23:34:39,UPDATE,Commercial,A,Y,usage_change,2026-07-13T04:58:51.819719+00:00,data/raw/cdc/customer_cdc.csv
CCDC0000008,CUST0000512,2026-04-29 15:05:26,UPDATE,Commercial,A,N,customer_request,2026-07-13T04:58:51.819719+00:00,data/raw/cdc/customer_cdc.csv
CCDC0000009,CUST0000516,2026-02-06 06:50:03,UPDATE,Residential,C,N,credit_review,2026-07-13T04:58:51.819719+00:00,data/raw/cdc/customer_cdc.csv
CCDC0000010,CUST0000548,2026-02-13 17:12:14,UPDATE,Municipal,B,Y,credit_review,2026-07-13T04:58:51.819719+00:00,data/raw/cdc/customer_cdc.csv
CCDC0000011,CUST0000589,2026-03-09 07:29:22,UPDATE,Commercial,A,N,credit_review,2026-07-13T04:58:51.819719+00:00,data/raw/cdc/customer_cdc.csv
CCDC0000012,CUST0000478,2026-05-18 04:00:21,UPDATE,Municipal,D,Y,usage_change,2026-07-13T04:58:51.819719+00:00,data/raw/cdc/customer_cdc.csv
CCDC0000013,CUST0000521,2026-05-02 23:59:19,UPDATE,Residential,B,N,customer_request,2026-07-13T04:58:51.819719+00:00,data/raw/cdc/customer_cdc.csv
CCDC0000014,CUST0000793,2026-03-20 18:01:00,UPDATE,Municipal,B,Y,credit_review,2026-07-13T04:58:51.819719+00:00,data/raw/cdc/customer_cdc.csv
