work_order_id,asset_id,site_id,created_date,scheduled_date,completed_date,maintenance_type,priority,status,labor_hours,parts_cost,_bronze_loaded_at_utc,_source_file
WO00000001,AST000089,SITE0011,2026-03-31,2026-04-01,,Inspection,Medium,Completed,29.26,5974.95,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000002,AST000233,SITE0028,2026-03-14,2026-03-16,2026-03-16,preventive ,High,In Progress,59.95,27995.62,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000003,AST000231,SITE0027,2026-05-26,2026-06-05,2026-05-31,Preventive,medium ,open ,73.61,21359.77,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000004,AST000001,SITE0001,2026-05-14,2026-05-23,2026-06-03,preventive ,High,Cancelled,25.03,44271.95,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000005,AST000021,SITE0003,2026-05-22,2026-06-01,,preventive ,Low,Open,29.60,40478.67,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000006,AST000154,SITE0018,2026-05-12,2026-05-18,2026-06-21,Inspection,Critical,Completed,45.22,23962.89,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000007,AST000133,SITE0016,2026-03-08,2026-03-17,2026-03-10,Preventive,Critical,In Progress,61.17,13942.29,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000008,AST000137,SITE0017,2026-03-02,2026-03-04,2026-04-11,Preventive,Medium,open ,13.98,29875.10,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000009,AST000072,SITE0009,2026-04-30,2026-05-06,2026-05-10,Corrective,medium ,Completed,63.01,23466.70,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000010,AST000005,SITE0001,2026-03-14,2026-03-18,2026-03-19,Preventive,Critical,open ,74.43,5186.03,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
