asset_id,site_id,asset_type,manufacturer,model_number,install_date,rated_capacity_kw,asset_status,criticality,effective_start_date,record_source,effective_end_date,is_current,asset_sk
AST000001,SITE0001,Solar Inverter,Novapower,MDL-144,2018-03-25,1559.3,Maintenance,Medium,2018-03-25,asset_master,9999-12-31,True,78ccef0be8a316099dc0
AST000002,SITE0001,Solar Inverter,Heliotech,MDL-779,2024-10-29,3074.65,Maintenance,Medium,2026-02-09,maintenance_review,9999-12-31,True,e57be1cbbeb5b6a672b2
AST000003,SITE0001,Solar Inverter,Voltedge,MDL-902,2017-10-03,1244.9,Active,Critical,2026-05-31,condition_update,9999-12-31,True,7cdb69ff4b82baec90c9
AST000004,SITE0001,Solar Inverter,Ecodyn,MDL-214,2016-05-02,348.68,Retired,Medium,2016-05-02,asset_master,9999-12-31,True,a0111c6926511a1ff153
AST000005,SITE0001,Solar Inverter,Voltedge,MDL-766,,2819.31,Standby,Low,2026-04-05,condition_update,9999-12-31,True,2d7eec35ca9af4e84689
AST000005,SITE0001,Solar Inverter,Voltedge,MDL-766,,2819.31,Standby,Medium,,asset_master,9999-12-31,True,5bb4d583252486e83911
AST000006,SITE0001,Solar Inverter,Voltedge,MDL-144,,151.09,Maintenance,High,,asset_master,9999-12-31,True,4752b66669e48aa10783
AST000007,SITE0001,Solar Inverter,Novapower,MDL-644,2019-12-11,3414.81,Retired,Medium,2019-12-11,asset_master,9999-12-31,True,bb01c41c4f7ba05ec4fb
AST000008,SITE0001,Solar Inverter,Aeroflux,MDL-984,2015-11-10,2398.28,Retired,Medium,2026-02-01,capacity_change,9999-12-31,True,e305e10a3112f869a77e
AST000009,SITE0002,Battery Rack,Aeroflux,MDL-160,2018-05-13,424.36,Active,Medium,2018-05-13,asset_master,9999-12-31,True,9b68a506f76111644fa9
AST000010,SITE0002,Battery Rack,Aeroflux,MDL-528,,130.8,Active,Low,2026-03-22,maintenance_review,9999-12-31,True,f0cc88879b0cc7442dc0
AST000010,SITE0002,Battery Rack,Aeroflux,MDL-528,,130.8,Active,Low,,asset_master,9999-12-31,True,961159dcdd9f60531572
AST000011,SITE0002,Battery Rack,Heliotech,MDL-901,,2741.48,Maintenance,Medium,,asset_master,9999-12-31,True,4230bec02ba804af5651
AST000012,SITE0002,Battery Rack,Voltedge,MDL-306,2021-03-24,2723.71,Retired,High,2026-02-26,condition_update,9999-12-31,True,d2494a544d4fa1df3ca1
AST000013,SITE0002,Battery Rack,Heliotech,MDL-276,,2042.71,Maintenance,Medium,2026-04-22,maintenance_review,9999-12-31,True,2befc0f1525b4d6fa099
AST000013,SITE0002,Battery Rack,Heliotech,MDL-276,,2042.71,Retired,Medium,,asset_master,9999-12-31,True,f544aa54eda2885d3d49
AST000014,SITE0002,Battery Rack,Heliotech,MDL-431,2023-01-10,3137.51,Maintenance,High,2023-01-10,asset_master,9999-12-31,True,5407ab76202e17cee7a9
AST000015,SITE0002,Battery Rack,Aeroflux,MDL-325,2024-09-23,3336.84,Retired,Medium,2024-09-23,asset_master,9999-12-31,True,8e245937df4cfa0c63af
AST000016,SITE0003,Solar Inverter,Voltedge,MDL-668,,2595.44,Maintenance,Low,,asset_master,9999-12-31,True,639f9a4e21d835df22c1
AST000017,SITE0003,Solar Inverter,Novapower,MDL-127,2019-10-23,3056.64,Maintenance,Medium,2026-05-10,maintenance_review,9999-12-31,True,b19a433c501ce32b3a26
AST000018,SITE0003,Solar Inverter,Gridworks,MDL-561,2023-02-13,3006.08,Standby,Low,2023-02-13,asset_master,9999-12-31,True,adddc0129839d1f0d71f
