telemetry_id,asset_id,reading_ts,power_output_kw,temperature_c,vibration_mm_s,frequency_hz,status_code,reading_date,site_id,asset_type,criticality,rated_capacity_kw,temperature_alert,vibration_alert,status_alert,anomaly_flag
AT0000000001,AST000001,2026-04-01 00:00:00,13.24,42.641,1.352,60.0117,TRIP,2026-04-01,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000002,AST000001,2026-04-01 01:00:00,0.0,58.629,0.872,59.9232,TRIP,2026-04-01,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000003,AST000001,2026-04-01 02:00:00,0.0,49.133,1.21,60.0135,TRIP,2026-04-01,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000004,AST000001,2026-04-01 03:00:00,11.286,34.971,1.806,59.9706,TRIP,2026-04-01,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000008,AST000001,2026-04-01 07:00:00,471.12,38.358,1.648,60.0239,TRIP,2026-04-01,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000010,AST000001,2026-04-01 09:00:00,290.415,41.474,0.954,60.0325,TRIP,2026-04-01,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000017,AST000001,2026-04-01 16:00:00,222.324,35.102,0.56,60.0125,WARNING,2026-04-01,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000027,AST000001,2026-04-02 02:00:00,43.105,28.597,1.097,60.0274,WARNING,2026-04-02,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000031,AST000001,2026-04-02 06:00:00,58.922,41.385,0.791,59.9696,TRIP,2026-04-02,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000034,AST000001,2026-04-02 09:00:00,318.164,42.862,0.971,59.9359,WARNING,2026-04-02,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000035,AST000001,2026-04-02 10:00:00,164.934,38.378,0.987,60.0526,TRIP,2026-04-02,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000040,AST000001,2026-04-02 15:00:00,457.674,34.281,0.717,59.9874,TRIP,2026-04-02,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000044,AST000001,2026-04-02 19:00:00,82.422,40.882,0.876,60.0308,WARNING,2026-04-02,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000047,AST000001,2026-04-02 22:00:00,0.0,51.378,1.314,59.9802,TRIP,2026-04-02,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000048,AST000001,2026-04-02 23:00:00,93.494,50.251,1.532,60.1264,TRIP,2026-04-02,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000055,AST000001,2026-04-03 06:00:00,126.601,46.507,1.37,59.9508,WARNING,2026-04-03,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000056,AST000001,2026-04-03 07:00:00,374.865,30.968,1.165,60.0485,TRIP,2026-04-03,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000058,AST000001,2026-04-03 09:00:00,379.628,44.318,0.733,60.0081,TRIP,2026-04-03,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000063,AST000001,2026-04-03 14:00:00,228.581,46.592,1.391,60.0011,TRIP,2026-04-03,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000066,AST000001,2026-04-03 17:00:00,315.176,48.275,1.002,60.021,TRIP,2026-04-03,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000067,AST000001,2026-04-03 18:00:00,317.013,52.445,0.798,59.8967,TRIP,2026-04-03,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000068,AST000001,2026-04-03 19:00:00,0.0,45.967,1.335,60.0363,TRIP,2026-04-03,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000072,AST000001,2026-04-03 23:00:00,98.016,37.539,1.072,59.9898,TRIP,2026-04-03,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000079,AST000001,2026-04-04 06:00:00,0.0,49.746,1.055,59.9861,WARNING,2026-04-04,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000081,AST000001,2026-04-04 08:00:00,294.712,56.59,0.89,60.0483,WARNING,2026-04-04,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000082,AST000001,2026-04-04 09:00:00,221.951,46.133,0.894,59.9397,TRIP,2026-04-04,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000089,AST000001,2026-04-04 16:00:00,438.689,44.188,0.47,60.0027,TRIP,2026-04-04,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000091,AST000001,2026-04-04 18:00:00,276.15,10.154,0.863,59.9801,WARNING,2026-04-04,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000092,AST000001,2026-04-04 19:00:00,42.297,35.878,1.145,59.9765,TRIP,2026-04-04,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000093,AST000001,2026-04-04 20:00:00,0.0,39.932,0.774,60.0404,WARNING,2026-04-04,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000095,AST000001,2026-04-04 22:00:00,73.718,35.77,0.996,59.9771,TRIP,2026-04-04,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000096,AST000001,2026-04-04 23:00:00,23.465,45.079,1.096,60.0304,TRIP,2026-04-04,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000104,AST000001,2026-04-05 07:00:00,299.735,40.549,1.044,60.0268,WARNING,2026-04-05,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000114,AST000001,2026-04-05 17:00:00,289.044,50.18,1.013,60.0054,WARNING,2026-04-05,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000115,AST000001,2026-04-05 18:00:00,427.609,51.258,0.674,59.9608,TRIP,2026-04-05,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000116,AST000001,2026-04-05 19:00:00,95.442,50.041,1.17,60.0143,WARNING,2026-04-05,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000118,AST000001,2026-04-05 21:00:00,0.0,35.032,1.23,59.9665,TRIP,2026-04-05,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000122,AST000001,2026-04-06 01:00:00,86.166,39.089,1.359,59.9322,WARNING,2026-04-06,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000127,AST000001,2026-04-06 06:00:00,0.0,49.179,0.862,60.0152,WARNING,2026-04-06,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000129,AST000001,2026-04-06 08:00:00,338.191,55.674,1.094,59.9528,WARNING,2026-04-06,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000130,AST000001,2026-04-06 09:00:00,388.326,48.93,1.369,60.012,WARNING,2026-04-06,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000131,AST000001,2026-04-06 10:00:00,325.214,24.852,1.205,60.0451,TRIP,2026-04-06,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000133,AST000001,2026-04-06 12:00:00,570.823,37.059,1.301,59.9689,WARNING,2026-04-06,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000134,AST000001,2026-04-06 13:00:00,297.237,33.646,1.806,60.0516,TRIP,2026-04-06,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000135,AST000001,2026-04-06 14:00:00,308.579,45.992,0.982,59.9615,TRIP,2026-04-06,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000139,AST000001,2026-04-06 18:00:00,396.72,42.361,0.68,60.0314,TRIP,2026-04-06,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000144,AST000001,2026-04-06 23:00:00,0.0,40.451,1.112,60.0053,TRIP,2026-04-06,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000145,AST000001,2026-04-07 00:00:00,135.772,38.387,1.325,60.0402,WARNING,2026-04-07,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000146,AST000001,2026-04-07 01:00:00,118.668,52.265,0.892,59.9665,TRIP,2026-04-07,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000153,AST000001,2026-04-07 08:00:00,243.21,45.397,1.119,60.0341,WARNING,2026-04-07,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000154,AST000001,2026-04-07 09:00:00,213.114,85.758,1.531,59.9906,NORMAL,2026-04-07,SITE0001,Solar Inverter,Medium,1559.3,True,False,False,True
AT0000000156,AST000001,2026-04-07 11:00:00,447.16,42.875,1.047,59.9806,TRIP,2026-04-07,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000157,AST000001,2026-04-07 12:00:00,365.72,35.521,0.888,60.0046,WARNING,2026-04-07,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000162,AST000001,2026-04-07 17:00:00,390.637,47.483,0.703,60.0298,TRIP,2026-04-07,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000165,AST000001,2026-04-07 20:00:00,49.955,45.971,1.138,59.9922,WARNING,2026-04-07,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000166,AST000001,2026-04-07 21:00:00,0.774,38.296,0.697,59.9788,TRIP,2026-04-07,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000167,AST000001,2026-04-07 22:00:00,11.733,36.068,1.165,59.9908,TRIP,2026-04-07,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000180,AST000001,2026-04-08 11:00:00,363.297,31.23,1.09,59.9941,WARNING,2026-04-08,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000186,AST000001,2026-04-08 17:00:00,394.244,43.785,1.076,60.0509,WARNING,2026-04-08,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000189,AST000001,2026-04-08 20:00:00,0.0,48.583,1.149,59.9767,TRIP,2026-04-08,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000190,AST000001,2026-04-08 21:00:00,0.0,53.285,0.978,60.0013,WARNING,2026-04-08,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000192,AST000001,2026-04-08 23:00:00,64.483,53.439,1.494,60.0643,TRIP,2026-04-08,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000195,AST000001,2026-04-09 02:00:00,0.0,45.288,1.035,60.06,TRIP,2026-04-09,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000207,AST000001,2026-04-09 14:00:00,236.891,41.197,0.926,59.9908,TRIP,2026-04-09,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000209,AST000001,2026-04-09 16:00:00,305.06,44.686,1.333,60.015,WARNING,2026-04-09,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000214,AST000001,2026-04-09 21:00:00,137.015,56.165,1.422,59.9041,TRIP,2026-04-09,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000222,AST000001,2026-04-10 05:00:00,10.237,37.253,1.387,59.9622,WARNING,2026-04-10,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000230,AST000001,2026-04-10 13:00:00,345.547,42.036,1.305,59.9895,WARNING,2026-04-10,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000231,AST000001,2026-04-10 14:00:00,440.852,31.098,0.934,59.9585,TRIP,2026-04-10,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000239,AST000001,2026-04-10 22:00:00,0.0,41.547,1.177,60.057,TRIP,2026-04-10,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000241,AST000001,2026-04-11 00:00:00,12.516,44.043,1.237,59.9897,TRIP,2026-04-11,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000244,AST000001,2026-04-11 03:00:00,0.0,39.653,0.904,60.013,TRIP,2026-04-11,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000245,AST000001,2026-04-11 04:00:00,87.373,53.94,1.236,60.0184,TRIP,2026-04-11,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000246,AST000001,2026-04-11 05:00:00,0.0,35.871,0.871,59.9659,WARNING,2026-04-11,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000247,AST000001,2026-04-11 06:00:00,11.822,46.862,1.266,60.0224,TRIP,2026-04-11,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000252,AST000001,2026-04-11 11:00:00,415.971,46.877,1.242,59.9242,WARNING,2026-04-11,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000253,AST000001,2026-04-11 12:00:00,432.22,33.3,1.549,60.0285,WARNING,2026-04-11,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000254,AST000001,2026-04-11 13:00:00,348.072,32.288,1.435,59.9498,TRIP,2026-04-11,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000259,AST000001,2026-04-11 18:00:00,231.026,46.836,1.139,59.9477,TRIP,2026-04-11,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000262,AST000001,2026-04-11 21:00:00,0.0,30.717,0.92,60.0461,TRIP,2026-04-11,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000263,AST000001,2026-04-11 22:00:00,0.0,42.696,1.324,60.0278,TRIP,2026-04-11,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000264,AST000001,2026-04-11 23:00:00,0.0,53.878,1.865,60.0194,TRIP,2026-04-11,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000265,AST000001,2026-04-12 00:00:00,5.737,40.13,1.517,60.0142,TRIP,2026-04-12,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000266,AST000001,2026-04-12 01:00:00,0.0,49.94,1.304,60.0581,TRIP,2026-04-12,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000267,AST000001,2026-04-12 02:00:00,0.0,35.8,0.768,60.0294,WARNING,2026-04-12,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000275,AST000001,2026-04-12 10:00:00,504.121,43.889,1.629,60.0441,WARNING,2026-04-12,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000276,AST000001,2026-04-12 11:00:00,500.945,42.421,1.092,60.0258,TRIP,2026-04-12,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000277,AST000001,2026-04-12 12:00:00,377.854,42.683,0.987,59.9641,TRIP,2026-04-12,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000279,AST000001,2026-04-12 14:00:00,366.093,43.181,1.383,59.9854,TRIP,2026-04-12,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000280,AST000001,2026-04-12 15:00:00,239.962,35.079,1.494,60.0285,TRIP,2026-04-12,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000283,AST000001,2026-04-12 18:00:00,422.126,38.041,1.968,59.9914,WARNING,2026-04-12,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000285,AST000001,2026-04-12 20:00:00,0.0,41.084,1.481,59.9976,TRIP,2026-04-12,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000288,AST000001,2026-04-12 23:00:00,0.0,39.464,1.13,60.0072,WARNING,2026-04-12,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000295,AST000001,2026-04-13 06:00:00,25.594,34.836,1.496,59.9743,WARNING,2026-04-13,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000301,AST000001,2026-04-13 12:00:00,296.661,50.13,1.266,59.9885,WARNING,2026-04-13,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000303,AST000001,2026-04-13 14:00:00,448.908,46.28,1.084,60.0226,WARNING,2026-04-13,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000304,AST000001,2026-04-13 15:00:00,351.605,30.216,0.899,60.0536,TRIP,2026-04-13,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000309,AST000001,2026-04-13 20:00:00,0.0,45.643,1.526,60.0822,TRIP,2026-04-13,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000310,AST000001,2026-04-13 21:00:00,0.0,36.162,1.365,60.088,WARNING,2026-04-13,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000314,AST000001,2026-04-14 01:00:00,0.0,51.228,0.861,59.9454,TRIP,2026-04-14,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
