generation_id,site_id,reading_ts,generation_mw,available_capacity_mw,curtailment_mw,source_system,reading_date,site_type,region,rated_capacity_mw,grid_zone,weather_ts,temperature_c,wind_speed_mps,solar_irradiance_wm2,humidity_pct,weather_condition,capacity_factor,net_generation_mw
GEN0000000001,SITE0001,2026-04-01 00:00:00,4.4449,45.0764,0.0,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 00:00:00,18.053,5.837,0.0,61.609,Cloudy,0.08693330725601407,4.4449
GEN0000000002,SITE0001,2026-04-01 01:00:00,1.7319,45.954,0.0,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 01:00:00,32.411,8.144,0.0,41.25,Clear,0.03387248190885977,1.7319
GEN0000000003,SITE0001,2026-04-01 02:00:00,7.4578,46.767,0.0,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 02:00:00,-7.254,5.486,124.965,35.998,Clear,0.14585957363583021,7.4578
GEN0000000004,SITE0001,2026-04-01 03:00:00,0.0,45.4261,1.0444,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 03:00:00,15.947,1.27,98.944,75.184,Cloudy,0.0,-1.0444
GEN0000000005,SITE0001,2026-04-01 04:00:00,0.2335,49.0512,0.0,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 04:00:00,1.725,5.715,234.877,68.511,Rain,0.0045667905339331115,0.2335
GEN0000000006,SITE0001,2026-04-01 05:00:00,2.8159,48.8583,0.0,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 05:00:00,16.086,8.424,0.0,96.295,Cloudy,0.05507334246039507,2.8159
GEN0000000007,SITE0001,2026-04-01 06:00:00,0.5331,50.6663,0.0,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 06:00:00,22.387,7.122,607.916,67.273,Clear,0.010426364169763348,0.5331
GEN0000000008,SITE0001,2026-04-01 07:00:00,43.9259,46.2019,0.8039,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 07:00:00,15.704,6.973,848.984,74.492,Cloudy,0.8591022882847642,43.122
GEN0000000009,SITE0001,2026-04-01 08:00:00,37.0549,46.3372,0.0,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 08:00:00,19.957,9.163,656.556,90.787,Clear,0.7247193428515549,37.0549
GEN0000000010,SITE0001,2026-04-01 09:00:00,51.13,49.1071,0.0,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 09:00:00,15.398,9.808,574.725,82.031,Rain,1.0,51.13
GEN0000000011,SITE0001,2026-04-01 10:00:00,37.3653,45.4647,0.0,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 10:00:00,43.098,5.238,670.672,92.436,Storm,0.7307901427733228,37.3653
GEN0000000012,SITE0001,2026-04-01 11:00:00,48.5334,47.0121,0.7943,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 11:00:00,5.105,4.504,678.683,62.074,Rain,0.9492157246235087,47.7391
GEN0000000013,SITE0001,2026-04-01 12:00:00,41.0979,47.727,0.7156,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 12:00:00,30.028,8.826,481.97,77.52,Cloudy,0.8037922941521611,40.3823
GEN0000000014,SITE0001,2026-04-01 13:00:00,42.3454,47.6339,0.0,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 13:00:00,22.818,6.869,565.289,49.954,Snow,0.8281908859769215,42.3454
