reading_date,region,segment,meter_count,customer_count,consumption_kwh,peak_demand_kw,estimated_reading_count
2026-04-01,Midwest,Commercial,7,7,115645.2801,119.329,19
2026-04-01,Midwest,Industrial,8,8,4801.9826,250.1437,33
2026-04-01,Midwest,Municipal,6,6,11503.811,623.4125,24
2026-04-01,Midwest,Residential,7,6,8714.4235,548.4132,30
2026-04-01,Midwest,Unknown,6,6,211698.5571,151.9175,20
2026-04-01,Northeast,Commercial,4,4,16926.7162,437.299,15
2026-04-01,Northeast,Industrial,9,9,71982.4188,674.208,48
2026-04-01,Northeast,Municipal,8,7,1085337.3594,545.9385,30
2026-04-01,Northeast,Residential,11,9,32502.0584,706.7266,41
2026-04-01,Northeast,Unknown,6,6,1613.5774999999999,62.998,27
2026-04-01,South,Commercial,10,8,582237.5712,468.5062,46
2026-04-01,South,Industrial,9,9,26411.8539,109.1098,32
2026-04-01,South,Municipal,5,5,15401.7938,96.6414,13
2026-04-01,South,Residential,14,14,266599.2239,525.0652,49
2026-04-01,South,Unknown,8,8,638380.2626,330.3272,40
2026-04-01,West,Commercial,22,18,54184.7565,479.9994,94
2026-04-01,West,Industrial,9,9,34038.4683,336.1199,34
2026-04-01,West,Municipal,11,10,76834.14,478.3968,38
2026-04-01,West,Residential,10,9,73533.7731,441.271,39
2026-04-01,West,Unknown,10,8,23423.0811,554.0999,53
2026-04-02,Midwest,Commercial,7,7,119930.4927,112.1837,26
2026-04-02,Midwest,Industrial,8,8,4524.5293,219.0146,29
2026-04-02,Midwest,Municipal,6,6,11273.6214,586.7829,23
2026-04-02,Midwest,Residential,7,6,8353.1195,460.5659,24
2026-04-02,Midwest,Unknown,6,6,228300.34279999998,154.8432,19
2026-04-02,Northeast,Commercial,4,4,16674.0505,429.6539,14
2026-04-02,Northeast,Industrial,9,9,72349.0827,677.1366,33
2026-04-02,Northeast,Municipal,8,7,1117260.5696,517.3493,20
2026-04-02,Northeast,Residential,11,9,33637.8183,620.5163,52
2026-04-02,Northeast,Unknown,6,6,1711.6801,68.4248,25
2026-04-02,South,Commercial,10,8,520910.67329999997,440.3849,37
2026-04-02,South,Industrial,9,9,26923.245899999998,105.5857,40
2026-04-02,South,Municipal,5,5,14036.8635,99.9498,20
2026-04-02,South,Residential,14,14,276165.9784,477.4234,53
2026-04-02,South,Unknown,8,8,617061.3804,299.3652,32
2026-04-02,West,Commercial,22,18,53492.1005,500.1651,77
2026-04-02,West,Industrial,9,9,33113.662,375.4442,36
2026-04-02,West,Municipal,11,10,76439.59300000001,426.6573,35
2026-04-02,West,Residential,10,9,69304.6194,382.0436,34
2026-04-02,West,Unknown,10,8,22565.5952,473.7646,44
2026-04-03,Midwest,Commercial,7,7,122748.7251,108.5174,24
2026-04-03,Midwest,Industrial,8,8,4787.8162,232.6862,21
2026-04-03,Midwest,Municipal,6,6,11632.2255,533.0674,22
2026-04-03,Midwest,Residential,7,6,8752.7913,552.8219,25
2026-04-03,Midwest,Unknown,6,6,209925.3298,138.2412,25
2026-04-03,Northeast,Commercial,4,4,17590.2674,472.9514,17
2026-04-03,Northeast,Industrial,9,9,73024.1581,630.4164,37
2026-04-03,Northeast,Municipal,8,7,1080077.9916,570.5472,35
2026-04-03,Northeast,Residential,11,9,33211.3065,515.8982,48
2026-04-03,Northeast,Unknown,6,6,1641.8662,66.6596,24
2026-04-03,South,Commercial,10,8,539267.096,438.3841,37
2026-04-03,South,Industrial,9,9,28037.9549,106.9989,31
2026-04-03,South,Municipal,5,5,15073.344799999999,114.7599,25
2026-04-03,South,Residential,14,14,270134.0184,425.9351,62
2026-04-03,South,Unknown,8,8,569028.0806,432.6395,34
2026-04-03,West,Commercial,22,18,53425.107,604.5237,88
2026-04-03,West,Industrial,9,9,33873.8563,386.0401,35
2026-04-03,West,Municipal,11,10,80168.475,446.2308,55
2026-04-03,West,Residential,10,9,71173.3521,378.3606,35
2026-04-03,West,Unknown,10,8,23482.7921,480.9154,37
2026-04-04,Midwest,Commercial,7,7,99787.1527,93.2408,33
2026-04-04,Midwest,Industrial,8,8,3907.773,190.3457,33
2026-04-04,Midwest,Municipal,6,6,8898.3454,373.8384,32
2026-04-04,Midwest,Residential,7,6,7367.3597,517.5263,25
2026-04-04,Midwest,Unknown,6,6,176483.6181,123.7244,28
2026-04-04,Northeast,Commercial,4,4,14400.085799999999,443.2354,19
2026-04-04,Northeast,Industrial,9,9,59467.5871,600.3538,38
2026-04-04,Northeast,Municipal,8,7,884504.3437,457.432,32
2026-04-04,Northeast,Residential,11,9,26628.4489,563.635,44
2026-04-04,Northeast,Unknown,6,6,1328.407,50.5284,27
2026-04-04,South,Commercial,10,8,468740.3287,442.218,41
2026-04-04,South,Industrial,9,9,23032.8224,77.2836,39
2026-04-04,South,Municipal,5,5,11984.0156,97.1258,15
2026-04-04,South,Residential,14,14,233679.6895,357.75,61
2026-04-04,South,Unknown,8,8,498041.5821,302.4033,26
2026-04-04,West,Commercial,22,18,42401.1866,448.0876,94
2026-04-04,West,Industrial,9,9,26324.4312,332.0942,33
2026-04-04,West,Municipal,11,10,64979.0153,419.441,51
2026-04-04,West,Residential,10,9,59572.1219,306.6527,38
2026-04-04,West,Unknown,10,8,18733.1832,390.9846,42
2026-04-05,Midwest,Commercial,7,7,93203.3706,88.6879,31
2026-04-05,Midwest,Industrial,8,8,4018.5961,227.3422,27
2026-04-05,Midwest,Municipal,6,6,9383.7356,521.9207,21
2026-04-05,Midwest,Residential,7,6,6724.0237,501.1173,30
2026-04-05,Midwest,Unknown,6,6,165801.7549,101.7823,20
2026-04-05,Northeast,Commercial,4,4,13401.7309,369.1869,13
2026-04-05,Northeast,Industrial,9,9,59148.9533,474.3042,37
2026-04-05,Northeast,Municipal,8,7,834773.9821,485.8231,26
2026-04-05,Northeast,Residential,11,9,27375.9602,663.0516,47
2026-04-05,Northeast,Unknown,6,6,1288.3384,46.1678,34
2026-04-05,South,Commercial,10,8,444066.6801,415.3511,32
2026-04-05,South,Industrial,9,9,21788.3855,83.6418,39
2026-04-05,South,Municipal,5,5,12134.6395,103.9842,20
2026-04-05,South,Residential,14,14,220274.567,447.5832,37
2026-04-05,South,Unknown,8,8,524669.4242,295.6927,24
2026-04-05,West,Commercial,22,18,41987.9527,471.9486,78
2026-04-05,West,Industrial,9,9,28326.1685,364.9679,28
2026-04-05,West,Municipal,11,10,61197.5184,406.9941,54
