reading_date,site_id,site_type,region,grid_zone,generation_mwh,net_generation_mwh,curtailment_mwh,avg_capacity_factor,avg_wind_speed_mps,avg_solar_irradiance_wm2
2026-04-01,SITE0001,Solar Farm,Northeast,MISO,522.9624,512.0034,10.959,0.4261705456679053,5.86175,388.8833333333334
2026-04-01,SITE0002,Battery Storage,Northeast,SPP,-73.64699999999999,-86.69579999999999,13.0488,0.25987459539610497,6.238916666666667,387.11987500000004
2026-04-01,SITE0003,Solar Farm,West,SPP,376.0627,357.3062,18.7565,0.4422976590359519,6.167583333333333,327.9195416666667
2026-04-01,SITE0004,Solar Farm,Midwest,MISO,1211.673,1186.2,25.473,0.42950678463567143,6.396083333333333,344.81199999999995
2026-04-01,SITE0006,Solar Farm,South,CAISO,433.8299,405.5211,28.308799999999998,0.3774534523560938,5.996125,400.8219583333334
2026-04-01,SITE0007,Wind Farm,West,PJM,1270.2682,1239.0531,31.2151,0.443973372814155,6.428541666666667,377.31891666666667
2026-04-01,SITE0009,Battery Storage,West,CAISO,40.6558,18.555300000000003,22.1005,0.3906700540298424,6.381374999999999,358.51050000000004
2026-04-01,SITE0011,Wind Farm,West,ERCOT,1422.771,1400.5083,22.2627,0.36419898140980744,5.271541666666667,421.88483333333335
2026-04-01,SITE0012,Wind Farm,West,ERCOT,677.3297,658.596,18.7337,0.4512282489940576,6.125375000000001,325.37899999999996
2026-04-01,SITE0014,Wind Farm,West,MISO,1276.3013,1249.4938,26.8075,0.35850273925813075,5.385750000000001,424.35575
2026-04-01,SITE0015,Solar Farm,South,PJM,470.1242,451.0752,19.049,0.4073810068491251,5.154583333333333,393.2147916666667
2026-04-01,SITE0017,Solar Farm,Midwest,PJM,804.3302,775.3848,28.9454,0.42249736310191666,5.843583333333334,354.2130833333333
2026-04-01,SITE0019,Solar Farm,South,PJM,793.6858,769.672,24.0138,0.4210570487600956,6.503333333333333,359.7193333333333
2026-04-01,SITE0022,Solar Farm,West,PJM,805.119,786.8289,18.2901,0.41745946315907373,5.457708333333333,364.68816666666663
2026-04-01,SITE0023,Battery Storage,South,PJM,126.6729,100.7927,25.880200000000002,0.24691411833365481,6.560833333333334,371.76916666666665
2026-04-01,SITE0024,Solar Farm,Midwest,CAISO,380.2826,355.2418,25.0408,0.37775916875273174,6.502291666666667,392.1707916666667
2026-04-01,SITE0025,Battery Storage,Northeast,CAISO,-140.2751,-176.1851,35.91,0.3585659372698256,6.720666666666666,333.06125000000003
2026-04-01,SITE0028,Solar Farm,South,CAISO,618.9359,602.6045,16.3314,0.3834965996004778,5.518041666666666,390.0519583333333
2026-04-01,SITE0029,Solar Farm,Midwest,CAISO,179.7315,155.2027,24.5288,0.39421027004263826,5.1539166666666665,398.7349583333333
2026-04-01,SITE0030,Wind Farm,West,CAISO,1410.7294,1391.0491,19.6803,0.47209753244076064,5.805666666666667,471.2985416666667
2026-04-02,SITE0001,Solar Farm,Northeast,MISO,483.3779,457.7269,25.651,0.39391249429558645,6.0196250000000004,298.28995833333335
2026-04-02,SITE0002,Battery Storage,Northeast,SPP,-55.277699999999996,-84.9759,29.6982,0.3607635937867308,6.437208333333333,353.863625
2026-04-02,SITE0003,Solar Farm,West,SPP,348.7381,318.1144,30.6237,0.4101604473047864,5.6295,371.9759583333334
2026-04-02,SITE0004,Solar Farm,Midwest,MISO,1157.2604000000001,1134.105,23.1554,0.4102189232492521,5.400708333333333,342.4855
2026-04-02,SITE0006,Solar Farm,South,CAISO,428.8796,406.6286,22.251,0.3731464467181736,5.813291666666667,371.35479166666664
2026-04-02,SITE0007,Wind Farm,West,PJM,1296.3903,1281.6936,14.6967,0.453103347761169,5.415375,378.5932083333333
2026-04-02,SITE0009,Battery Storage,West,CAISO,-18.137,-38.008,19.871,0.24136222390190643,5.544208333333334,386.19570833333336
