region,grid_zone,outage_count,forced_outage_count,major_outage_count,customer_interruptions,customer_interruption_hours,energy_not_served_mwh,avg_duration_hours,saidi_proxy,saifi_proxy
Midwest,CAISO,42,18,31,370351,626.5,7592.9130000000005,15.6625,0.0016916384726921219,0.00011340593113019811
Midwest,ERCOT,38,17,25,304052,710.0,7037.199,20.285714285714285,0.00233512688619052,0.00012497862207780247
Midwest,MISO,31,10,20,271939,739.0,4759.527,25.482758620689655,0.002717521208800503,0.00011399615354914154
Midwest,PJM,16,10,11,112252,232.5,3122.292,15.5,0.002071232583829241,0.0001425364358764209
Northeast,CAISO,14,6,12,149425,367.0,2622.012,28.23076923076923,0.0024560816463108583,9.369248787016898e-05
Northeast,ERCOT,22,14,16,183776,376.0,3988.052,18.8,0.0020459690057461257,0.00011971095246386906
Northeast,MISO,16,3,13,154682,651.5,3546.758,40.71875,0.004211866926985687,0.00010343802123065385
Northeast,SPP,17,8,12,148487,277.5,2318.938,16.323529411764707,0.0018688504717584704,0.00011448813700862702
South,CAISO,50,20,37,478995,859.5,8288.719,17.540816326530614,0.0017943819872858798,0.00010438522322779988
South,ERCOT,17,11,11,146581,243.0,2820.387,14.294117647058824,0.0016577864798302646,0.00011597683192228188
South,MISO,15,3,9,111119,253.0,2762.111,18.071428571428573,0.002276838344477542,0.00013499041568048667
South,PJM,44,22,30,399617,1055.0,7795.567,23.977272727272727,0.0026400278266440116,0.00011010542594534267
South,SPP,15,7,10,141504,393.0,2438.313,26.2,0.0027773066485753052,0.00010600407055630937
West,CAISO,55,29,35,431036,969.5,8969.726,18.64423076923077,0.002249232082703069,0.000127599550849581
West,ERCOT,26,9,20,231644,511.0,4403.0869999999995,20.44,0.0022059712317176357,0.00011224119769991884
West,MISO,16,11,11,143168,403.5,2667.7619999999997,25.21875,0.002818367232901207,0.00011175681716584712
West,PJM,31,10,26,322599,674.5,6110.202,23.25862068965517,0.0020908310317142953,9.609453222111662e-05
West,SPP,29,13,23,258603,526.5,6159.527,18.803571428571427,0.0020359392582452638,0.00011214100377799175
