reading_date,grid_zone,load_mwh,generation_mwh,net_supply_gap_mwh
2026-04-01,CAISO,343.26070020000003,2751.9894,2408.7286998
2026-04-01,ERCOT,1244.4148937,2059.1043,814.6894063
2026-04-01,MISO,782.4928179999999,2947.6972,2165.204382
2026-04-01,PJM,363.54608550000006,4122.8067,3759.2606145
2026-04-01,SPP,597.6313946,270.6104,-327.0209946
2026-04-02,CAISO,344.8033654,2588.3604,2243.5570346
2026-04-02,ERCOT,1231.1150274,2356.6965999999998,1125.5815725999998
2026-04-02,MISO,724.1831149,3222.5591,2498.3759851
2026-04-02,PJM,374.51376949999997,3785.6636,3411.1498305
2026-04-02,SPP,629.8038322999998,233.13850000000002,-396.6653322999998
2026-04-03,CAISO,345.3645842,2921.5491,2576.1845158
2026-04-03,ERCOT,1203.1892681,2015.6437,812.4544319000001
2026-04-03,MISO,748.248757,3026.3815,2278.132743
2026-04-03,PJM,360.9188158,3634.205,3273.2861841999998
2026-04-03,SPP,569.4969138,459.9101,-109.58681380000002
2026-04-04,CAISO,294.7468042,2966.364,2671.6171958
2026-04-04,ERCOT,977.2151682,1914.365,937.1498318
2026-04-04,MISO,635.1454109,2906.0699,2270.9244891
2026-04-04,PJM,293.7152518,3690.3038,3396.5885482000003
2026-04-04,SPP,513.0759538,146.4732,-366.60275379999996
2026-04-05,CAISO,280.20108459999994,2729.9032,2449.7021154000004
2026-04-05,ERCOT,1011.9092665999999,2071.7677,1059.8584334
2026-04-05,MISO,603.3875826,2754.8402,2151.4526174000002
2026-04-05,PJM,298.0003853,3820.5553,3522.5549147
2026-04-05,SPP,436.88334370000007,232.5474,-204.33594370000006
2026-04-06,CAISO,347.6225442,2684.0012,2336.3786558
2026-04-06,ERCOT,1263.1557277,2148.3677,885.2119722999998
2026-04-06,MISO,718.92595,2988.7508,2269.82485
2026-04-06,PJM,363.06052029999995,3877.5858,3514.5252797
2026-04-06,SPP,601.3959542,327.9505,-273.44545420000003
2026-04-07,CAISO,330.0877735,2529.5439,2199.4561265
2026-04-07,ERCOT,1208.8150349,2138.8752,930.0601651
2026-04-07,MISO,733.6988662,3092.8809,2359.1820338
2026-04-07,PJM,360.7136169,3814.2204,3453.5067831
2026-04-07,SPP,585.0423721,339.3236,-245.71877209999997
2026-04-08,CAISO,358.5258434,2708.147,2349.6211566
2026-04-08,ERCOT,1269.566994,2086.9339,817.366906
2026-04-08,MISO,751.3860979,2898.1662,2146.7801021
2026-04-08,PJM,367.18449880000003,3618.385,3251.2005012
2026-04-08,SPP,535.7106428999999,267.9607,-267.74994289999995
2026-04-09,CAISO,332.29834999999997,2867.9675,2535.66915
2026-04-09,ERCOT,1222.2690797,2128.3129,906.0438202999999
2026-04-09,MISO,758.3331297000001,2878.7704,2120.4372703
2026-04-09,PJM,361.09144369999996,3740.7278,3379.6363563
2026-04-09,SPP,591.0177462,341.7674,-249.25034620000002
2026-04-10,CAISO,344.12680570000003,2786.3714,2442.2445943
2026-04-10,ERCOT,1231.8804664,2187.2233,955.3428336000002
2026-04-10,MISO,752.4357453999999,2862.9294,2110.4936546
2026-04-10,PJM,368.0311136,3769.6118,3401.5806864
2026-04-10,SPP,613.3851449,362.1572,-251.2279449
2026-04-11,CAISO,274.4048737,2850.189,2575.7841263
2026-04-11,ERCOT,952.6020994,2251.3304,1298.7283005999998
2026-04-11,MISO,559.1740367000001,3089.1193,2529.9452632999996
2026-04-11,PJM,283.7647663,3710.2773,3426.5125337
2026-04-11,SPP,449.68527940000007,259.7083,-189.97697940000006
2026-04-12,CAISO,256.0287742,2611.4647999999997,2355.4360257999997
2026-04-12,ERCOT,942.7995847,2350.3043,1407.5047152999998
2026-04-12,MISO,603.6615249000001,2890.9623,2287.3007751
2026-04-12,PJM,298.43215040000007,3747.4296,3448.9974496
2026-04-12,SPP,472.03137480000004,344.0152,-128.01617480000004
2026-04-13,CAISO,343.2555103,2797.3446,2454.0890897
2026-04-13,ERCOT,1206.6126207999998,2148.5836,941.9709792000001
2026-04-13,MISO,747.4492152,3056.1269,2308.6776848
2026-04-13,PJM,355.4692992,3695.4423,3339.9730008
2026-04-13,SPP,589.9655338,70.9874,-518.9781338
2026-04-14,CAISO,330.70556460000006,2835.3073,2504.6017354
2026-04-14,ERCOT,1194.5101151000001,2188.8806,994.3704848999998
2026-04-14,MISO,723.6215371,2850.5373,2126.9157629
2026-04-14,PJM,371.1905081,3787.6881,3416.4975919
2026-04-14,SPP,595.4726138000001,334.5787,-260.89391380000006
2026-04-15,CAISO,347.4461396,2820.3468,2472.9006603999997
2026-04-15,ERCOT,1224.7088331999998,2217.1669,992.4580668000003
2026-04-15,MISO,770.2027476999999,2892.752,2122.5492523000003
2026-04-15,PJM,359.27441350000004,3707.2138,3347.9393865
2026-04-15,SPP,562.1670238999999,196.75160000000002,-365.41542389999984
2026-04-16,CAISO,352.8364163,2867.5496,2514.7131836999997
2026-04-16,ERCOT,1281.2228137,2231.7344,950.5115862999999
2026-04-16,MISO,726.0197346000001,3055.466,2329.4462654
2026-04-16,PJM,372.68771330000004,3437.7214,3065.0336866999996
2026-04-16,SPP,567.2286809999999,112.62000000000002,-454.60868099999993
2026-04-17,CAISO,347.8387182,2802.0425999999998,2454.2038817999996
2026-04-17,ERCOT,1203.1277626,2502.2273,1299.0995374
2026-04-17,MISO,769.9519426000002,2880.1241,2110.1721574
2026-04-17,PJM,360.27650710000006,3513.8727,3153.5961929
2026-04-17,SPP,550.9812419,258.73109999999997,-292.2501419
2026-04-18,CAISO,274.5540529,2682.6591,2408.1050471
2026-04-18,ERCOT,1015.35013,2130.5675,1115.21737
2026-04-18,MISO,602.3694565,3010.0353,2407.6658435
2026-04-18,PJM,298.3819881,3969.8425,3671.4605119000003
2026-04-18,SPP,473.24530819999995,467.277,-5.968308199999967
2026-04-19,CAISO,281.5380808,2929.5061,2647.9680192
2026-04-19,ERCOT,954.7160901,2093.782,1139.0659099000002
2026-04-19,MISO,622.4947102,2981.6021,2359.1073898
2026-04-19,PJM,286.61183539999996,3627.1203,3340.5084646
2026-04-19,SPP,457.52332299999995,382.6198,-74.90352299999995
2026-04-20,CAISO,332.84496290000004,2819.7536,2486.9086371
2026-04-20,ERCOT,1240.5152756,2224.3436,983.8283244000002
2026-04-20,MISO,742.2723050000001,3000.0493,2257.776995
2026-04-20,PJM,347.2324761,3828.6915,3481.4590239
2026-04-20,SPP,592.003562,263.2548,-328.748762
2026-04-21,CAISO,331.7739305,2810.1779,2478.4039695
2026-04-21,ERCOT,1203.922838,2283.55,1079.6271620000002
2026-04-21,MISO,741.3104455,2943.7399,2202.4294545000002
2026-04-21,PJM,373.6944599,3560.891,3187.1965401
2026-04-21,SPP,580.1184488,79.0382,-501.0802488
2026-04-22,CAISO,350.813566,2727.4812,2376.6676340000004
2026-04-22,ERCOT,1180.5375682,2066.6273,886.0897318000002
2026-04-22,MISO,737.7810394,2890.8501,2153.0690606
2026-04-22,PJM,364.0626944,3800.4547000000002,3436.3920056
2026-04-22,SPP,601.5975605,412.9184,-188.67916049999997
2026-04-23,CAISO,347.30735610000005,2643.659,2296.3516439
2026-04-23,ERCOT,1260.745144,2319.2496,1058.5044560000001
2026-04-23,MISO,745.9052789,3031.1179,2285.2126211000004
2026-04-23,PJM,357.5065002,3952.7015,3595.1949998
2026-04-23,SPP,571.4465396,238.5184,-332.9281396
2026-04-24,CAISO,334.5380663,2840.9903,2506.4522337
2026-04-24,ERCOT,1236.1276962000002,2024.5671,788.4394037999998
2026-04-24,MISO,750.6683826999999,3132.8087,2382.1403173
2026-04-24,PJM,346.11140729999994,3752.6778,3406.5663927
2026-04-24,SPP,562.836697,292.7718,-270.064897
2026-04-25,CAISO,277.8410606,2825.6518,2547.8107394
2026-04-25,ERCOT,987.4518270000001,2338.9673,1351.5154729999997
2026-04-25,MISO,614.9073250999999,3051.4362,2436.5288749
2026-04-25,PJM,285.41083089999995,3591.3707,3305.9598691
2026-04-25,SPP,449.4590548,449.5922,0.1331452000000013
2026-04-26,CAISO,268.22915589999997,2730.5827,2462.3535441
2026-04-26,ERCOT,949.4516050000001,2258.4691000000003,1309.017495
2026-04-26,MISO,584.2679181,3012.3186,2428.0506819
2026-04-26,PJM,290.1197385,3931.0891,3640.9693615
2026-04-26,SPP,480.8838585,255.19650000000001,-225.68735849999996
2026-04-27,CAISO,329.8470457,2661.2543,2331.4072543
2026-04-27,ERCOT,1217.3277570999999,2369.3291,1152.0013429
2026-04-27,MISO,783.3274881,2941.2634,2157.9359119
2026-04-27,PJM,364.14501160000003,3820.6169,3456.4718884
2026-04-27,SPP,572.6617412,196.4992,-376.1625412000001
2026-04-28,CAISO,332.11231609999993,2690.2588,2358.1464839
2026-04-28,ERCOT,1175.0953277,2041.938,866.8426723
2026-04-28,MISO,762.2285821,2695.6381,1933.4095179
2026-04-28,PJM,357.0316712,3776.5203,3419.4886288000002
2026-04-28,SPP,579.4827177,339.1499,-240.33281769999996
2026-04-29,CAISO,336.50781900000004,2743.4684,2406.9605810000003
2026-04-29,ERCOT,1233.4388465,2386.4849,1153.0460535
2026-04-29,MISO,730.6822867000001,2833.3192,2102.6369133
2026-04-29,PJM,360.42600300000004,3736.9739,3376.547897
2026-04-29,SPP,568.0867026999999,412.8886,-155.19810269999994
2026-04-30,CAISO,338.9714114,2577.5146,2238.5431886
2026-04-30,ERCOT,1246.697617,2269.4743,1022.7766829999998
2026-04-30,MISO,740.5288693000001,2961.4686,2220.9397307
2026-04-30,PJM,361.53154639999997,3815.7576,3454.2260536
2026-04-30,SPP,568.4560316999999,333.61940000000004,-234.83663169999988
2026-05-01,CAISO,326.0022051,2879.7461,2553.7438948999998
2026-05-01,ERCOT,1244.1562327999998,2322.0299,1077.8736672000002
2026-05-01,MISO,755.6085436000001,3188.9788,2433.3702563999996
2026-05-01,PJM,361.9195031,3594.8802,3232.9606969
2026-05-01,SPP,540.8177748999999,322.4287,-218.3890748999999
2026-05-02,CAISO,266.80611330000005,2602.8491,2336.0429867
2026-05-02,ERCOT,1013.4207225,2212.5598,1199.1390775
2026-05-02,MISO,573.3495485000001,3082.1859,2508.8363515
2026-05-02,PJM,292.2287387999999,3524.3696,3232.1408612
2026-05-02,SPP,482.44013700000005,333.3139,-149.12623700000006
2026-05-03,CAISO,273.3830726,2763.3272,2489.9441274
2026-05-03,ERCOT,918.6511374,2387.6926,1469.0414625999997
2026-05-03,MISO,620.4394296,3114.4733,2494.0338704
2026-05-03,PJM,291.6679659,3832.1867,3540.5187341
2026-05-03,SPP,420.2037269,310.7388,-109.46492689999997
2026-05-04,CAISO,330.110599,2819.1642,2489.053601
2026-05-04,ERCOT,1302.3415581,2086.0368,783.6952418999999
2026-05-04,MISO,733.1594195999999,3172.6436,2439.4841804
2026-05-04,PJM,367.99296569999996,3717.5686,3349.5756343000003
2026-05-04,SPP,549.9220841,210.1139,-339.8081841
2026-05-05,CAISO,330.74357869999994,2897.5503,2566.8067213
2026-05-05,ERCOT,1222.4562415,2208.456,985.9997585000001
2026-05-05,MISO,709.0514682,2870.2715,2161.2200317999996
2026-05-05,PJM,361.2910970000001,3958.1733,3596.8822029999997
2026-05-05,SPP,566.0724345,195.37129999999996,-370.7011345
2026-05-06,CAISO,342.9544931000001,2600.4289,2257.4744069
2026-05-06,ERCOT,1224.8901689,2296.9603,1072.0701311000003
2026-05-06,MISO,763.2300124999999,2958.2701,2195.0400875000005
2026-05-06,PJM,362.68327910000005,3772.0416,3409.3583209
2026-05-06,SPP,603.8772655,280.3872,-323.4900655
2026-05-07,CAISO,342.45237950000006,2746.2205,2403.7681205
2026-05-07,ERCOT,1239.4331189000002,2314.4511,1075.0179811
2026-05-07,MISO,747.2441418999999,2793.2397,2045.9955581000002
2026-05-07,PJM,370.5113449,3417.842,3047.3306551
2026-05-07,SPP,537.1797543000001,172.29989999999998,-364.87985430000015
2026-05-08,CAISO,343.947091,2889.6848,2545.737709
2026-05-08,ERCOT,1197.0556086,2365.8276,1168.7719914000002
2026-05-08,MISO,730.0345482,2954.9596,2224.9250518
2026-05-08,PJM,372.5496728,3444.8103,3072.2606272000003
2026-05-08,SPP,603.0585044,175.51659999999998,-427.54190439999996
2026-05-09,CAISO,274.3495887,2844.0937,2569.7441113
2026-05-09,ERCOT,1026.2892304,2076.6474,1050.3581695999999
2026-05-09,MISO,564.3427527,2966.2171,2401.8743473
2026-05-09,PJM,292.96741330000003,3890.6521000000002,3597.6846867000004
2026-05-09,SPP,481.1882294,283.1032,-198.0850294
2026-05-10,CAISO,268.6129679,2846.4378,2577.8248321
2026-05-10,ERCOT,999.6724522,2119.1345,1119.4620478000002
2026-05-10,MISO,587.5352074,2738.6589,2151.1236926
2026-05-10,PJM,276.0630179,4048.2602,3772.1971821
2026-05-10,SPP,456.05431189999996,260.184,-195.87031189999993
2026-05-11,CAISO,346.8523708,2567.1766000000002,2220.3242292000004
2026-05-11,ERCOT,1196.1664933000002,2184.3827,988.2162066999999
2026-05-11,MISO,785.8969777,2897.1501,2111.2531222999996
2026-05-11,PJM,350.9848920999999,3831.8503,3480.8654079000003
2026-05-11,SPP,568.6732449000001,424.3904,-144.2828449000001
2026-05-12,CAISO,345.0004096,2730.3479,2385.3474904000004
2026-05-12,ERCOT,1228.4521738,2291.9529,1063.5007262000001
2026-05-12,MISO,753.1392564,3075.8258,2322.6865436
2026-05-12,PJM,360.21571609999995,3736.822,3376.6062839
2026-05-12,SPP,568.6036877,311.0525,-257.5511877
2026-05-13,CAISO,340.95114959999995,2695.7678,2354.8166504
2026-05-13,ERCOT,1206.8670627,2031.0172,824.1501373000001
2026-05-13,MISO,740.1993588,3000.1673,2259.9679412
2026-05-13,PJM,366.62464370000004,3497.3565,3130.7318563
2026-05-13,SPP,543.9439256,278.0587,-265.88522559999996
2026-05-14,CAISO,346.48525029999996,2569.1746,2222.6893497
2026-05-14,ERCOT,1214.3721425,2060.0075,845.6353575
2026-05-14,MISO,760.6188059,3034.3154,2273.6965941
2026-05-14,PJM,368.9120185,3606.0089,3237.0968814999997
2026-05-14,SPP,585.2420317,146.28379999999999,-438.9582317
2026-05-15,CAISO,353.14977619999996,2791.7892,2438.6394238000003
2026-05-15,ERCOT,1229.5401094,2199.9491,970.4089905999999
2026-05-15,MISO,754.0669601000001,3246.3386,2492.2716399
2026-05-15,PJM,365.44463149999996,3784.07,3418.6253685
2026-05-15,SPP,578.4554198000001,202.8981,-375.5573198000001
2026-05-16,CAISO,273.47099440000005,2830.8445,2557.3735056
2026-05-16,ERCOT,990.7766270000001,2095.9744,1105.1977729999999
2026-05-16,MISO,615.3874114000001,3144.179,2528.7915886
2026-05-16,PJM,289.4292552,3816.4903,3527.0610447999998
2026-05-16,SPP,435.6374932,339.0376,-96.5998932
2026-05-17,CAISO,265.40629779999995,2652.172,2386.7657022000003
2026-05-17,ERCOT,995.5548708,2220.2197,1224.6648292
2026-05-17,MISO,581.9145512000001,3024.9074,2442.9928488
2026-05-17,PJM,291.45723840000005,3723.3456,3431.8883616000003
2026-05-17,SPP,484.33520619999996,336.7679,-147.56730619999996
2026-05-18,CAISO,341.7976738,2529.0386,2187.2409262
2026-05-18,ERCOT,1277.2747122999997,2067.288,790.0132877000003
2026-05-18,MISO,776.1174268,3164.1518,2388.0343732
2026-05-18,PJM,363.2863101,3727.1152,3363.8288899000004
2026-05-18,SPP,533.3755265000001,289.8764,-243.4991265000001
2026-05-19,CAISO,322.6658532,2943.9487,2621.2828468
2026-05-19,ERCOT,1198.4747854,2039.6173000000001,841.1425146000001
2026-05-19,MISO,788.4902229,3042.2137,2253.7234771
2026-05-19,PJM,360.6578125,3919.6236,3558.9657875
2026-05-19,SPP,571.3613016999999,283.4465,-287.9148016999999
2026-05-20,CAISO,347.1856962,2678.2736,2331.0879038
2026-05-20,ERCOT,1221.6096605,2162.6168,941.0071394999998
2026-05-20,MISO,744.9166384,2901.2545,2156.3378616
2026-05-20,PJM,367.13726689999993,3750.3232,3383.1859331
2026-05-20,SPP,603.0921470000001,349.4393,-253.65284700000007
2026-05-21,CAISO,329.53705980000007,2728.2961999999998,2398.7591402
2026-05-21,ERCOT,1212.2572019,2278.9845,1066.7272981
2026-05-21,MISO,773.1029328,3134.8494,2361.7464672
2026-05-21,PJM,371.5368752,3891.2243,3519.6874248
2026-05-21,SPP,577.0979022,221.4017,-355.6962022
2026-05-22,CAISO,330.1387664,2835.7216,2505.5828336
2026-05-22,ERCOT,1231.8927666,2349.2317000000003,1117.3389334000003
2026-05-22,MISO,709.2065393,3030.7378,2321.5312606999996
2026-05-22,PJM,361.2176137,3698.0922,3336.8745863
2026-05-22,SPP,584.480885,227.16109999999998,-357.31978499999997
2026-05-23,CAISO,261.1437977,2736.1771,2475.0333023
2026-05-23,ERCOT,981.8384872999999,1935.6462,953.8077127
2026-05-23,MISO,575.3628051,3072.3847,2497.0218949
2026-05-23,PJM,297.4048925,4164.3576,3866.9527075
2026-05-23,SPP,465.45930759999993,316.0868,-149.37250759999995
2026-05-24,CAISO,272.0724601,2963.0003,2690.9278399
2026-05-24,ERCOT,955.3987754999999,2055.2085,1099.8097245000004
2026-05-24,MISO,617.4140435,3060.4302000000002,2443.0161565000003
2026-05-24,PJM,303.77778520000004,3994.2332,3690.4554148
2026-05-24,SPP,507.47721520000005,335.2484,-172.22881520000004
2026-05-25,CAISO,338.7043827,2611.9561,2273.2517172999997
2026-05-25,ERCOT,1278.777425,2345.3893,1066.6118749999998
2026-05-25,MISO,711.9196158,2847.0578,2135.1381842
2026-05-25,PJM,364.00388419999996,3837.6677,3473.6638158
2026-05-25,SPP,585.3466961,187.4683,-397.87839610000003
2026-05-26,CAISO,344.95047050000005,2661.7932,2316.8427295
2026-05-26,ERCOT,1311.0897978,2254.1688,943.0790021999999
2026-05-26,MISO,747.5987061999999,3138.7031,2391.1043938000003
2026-05-26,PJM,360.52595499999995,3467.3637,3106.837745
2026-05-26,SPP,611.520974,459.7291,-151.791874
2026-05-27,CAISO,349.25732500000004,2671.4395,2322.182175
2026-05-27,ERCOT,1211.5017798,2185.644,974.1422201999999
2026-05-27,MISO,728.2009148999999,3003.2415,2275.0405851
2026-05-27,PJM,354.6556932,4026.114,3671.4583068
2026-05-27,SPP,582.087559,480.0298,-102.05775900000003
2026-05-28,CAISO,331.35738799999996,2848.856,2517.4986120000003
2026-05-28,ERCOT,1220.4937255,1994.9909,774.4971745
2026-05-28,MISO,752.3762380000001,3120.3411,2367.964862
