asset_id,maintenance_type,priority,work_order_count,completed_count,avg_completion_days,labor_hours,parts_cost
AST000001,Corrective,High,1,0,2.0,24.95,19619.23
AST000001,Corrective,Low,1,0,,27.67,15928.49
AST000001,Preventive,High,1,0,20.0,25.03,44271.95
AST000002,Preventive,Low,1,0,20.0,5.76,17359.83
AST000002,Preventive,Medium,1,0,5.0,59.96,26770.84
AST000004,Preventive,Medium,2,1,5.0,83.48,26576.17
AST000005,Inspection,Critical,1,1,1.0,29.25,4899.52
AST000005,Inspection,Medium,1,0,40.0,78.7,3157.39
AST000005,Preventive,Critical,1,0,5.0,74.43,5186.03
AST000005,Preventive,Medium,1,0,10.0,40.74,26045.84
AST000006,Preventive,Medium,1,0,40.0,77.74,10653.91
AST000007,Corrective,Medium,1,1,20.0,49.48,21753.1
AST000007,Emergency,High,1,0,2.0,75.24,7042.23
AST000007,Inspection,High,1,1,2.0,43.88,38936.04
AST000007,Inspection,Medium,1,0,20.0,15.07,37965.54
AST000007,Preventive,Low,1,0,5.0,74.53,4981.84
AST000008,Emergency,High,1,0,1.0,9.72,6184.34
AST000008,Preventive,High,1,0,5.0,58.45,8157.51
AST000009,Emergency,Medium,2,1,,125.44,31733.82
AST000009,Preventive,Critical,1,1,,19.71,22056.49
AST000010,Preventive,Critical,1,0,5.0,20.17,41110.55
AST000010,Preventive,Low,1,0,20.0,39.86,9849.43
AST000011,Corrective,Low,1,1,2.0,35.13,4401.07
AST000011,Corrective,Medium,1,1,5.0,77.16,40137.76
AST000011,Preventive,Medium,2,1,12.5,37.51,68369.22
AST000012,Corrective,High,1,0,20.0,24.46,33755.85
AST000012,Corrective,Low,2,0,3.5,133.31,61875.15
AST000012,Emergency,Medium,1,0,40.0,33.24,39916.76
AST000013,Corrective,Low,1,0,40.0,40.18,18355.7
AST000014,Corrective,Medium,1,0,5.0,14.56,36387.1
AST000014,Emergency,Low,1,0,,24.83,33338.73
AST000014,Preventive,Low,1,0,10.0,58.68,7567.46
AST000014,Preventive,Medium,1,0,20.0,0.95,43992.61
AST000015,Corrective,High,1,1,2.0,11.37,10185.81
AST000015,Inspection,Medium,1,0,5.0,72.19,34066.73
AST000015,Preventive,Critical,1,0,,15.3,15633.2
AST000015,Preventive,High,1,0,5.0,38.54,24431.6
AST000016,Preventive,Medium,1,0,40.0,16.21,33255.58
AST000017,Emergency,Medium,1,0,20.0,44.27,18716.3
AST000017,Inspection,Medium,1,0,5.0,74.19,39010.77
AST000018,Inspection,Critical,1,0,40.0,13.77,33959.73
AST000018,Inspection,High,1,0,,47.44,27391.62
AST000018,Inspection,Low,1,0,10.0,24.46,19189.41
AST000018,Preventive,Critical,1,0,40.0,24.61,1157.37
AST000018,Preventive,High,1,0,20.0,14.53,37411.33
AST000018,Preventive,Medium,2,0,7.5,110.49,51865.59
AST000020,Corrective,Medium,1,0,40.0,38.11,30667.88
AST000020,Preventive,High,1,0,40.0,17.55,44183.08
AST000021,Corrective,Medium,1,0,2.0,44.23,30439.06
AST000021,Emergency,High,1,0,5.0,56.92,33683.12
AST000021,Preventive,Low,1,0,,29.6,40478.67
AST000022,Corrective,Medium,1,0,20.0,19.32,10324.71
AST000022,Preventive,High,1,1,2.0,75.13,33457.38
AST000023,Corrective,Medium,1,0,2.0,69.2,31492.86
AST000023,Emergency,Medium,1,0,,65.18,26071.48
AST000023,Inspection,Low,1,0,10.0,48.85,18326.93
AST000023,Inspection,Medium,1,0,2.0,68.21,15813.42
AST000024,Corrective,Critical,1,0,2.0,61.82,32491.97
AST000024,Corrective,Low,1,1,10.0,10.68,44046.39
AST000025,Corrective,Low,1,0,2.0,36.25,42993.55
AST000025,Emergency,Medium,1,0,5.0,57.5,27289.24
AST000025,Preventive,High,1,1,40.0,60.57,8593.48
AST000027,Inspection,Medium,1,0,20.0,31.69,12230.35
AST000028,Preventive,Medium,2,1,20.0,49.93,59127.49
AST000029,Emergency,Critical,1,0,40.0,50.68,29673.85
AST000029,Preventive,Medium,2,0,1.0,127.63,65644.78
AST000030,Corrective,Medium,1,0,10.0,71.94,29714.96
AST000030,Inspection,Critical,1,0,40.0,72.85,38679.56
AST000030,Inspection,Medium,1,0,10.0,79.5,8265.62
AST000030,Preventive,High,1,0,5.0,39.6,1635.9
AST000030,Preventive,Medium,1,0,1.0,61.77,26181.52
AST000031,Preventive,Medium,1,0,1.0,12.19,221.57
AST000032,Emergency,Low,1,0,1.0,31.33,3116.89
AST000032,Preventive,High,1,0,20.0,36.07,26019.04
AST000032,Preventive,Medium,1,0,2.0,16.63,36199.52
