reading_date,region,hour,total_kwh,peak_kw
2026-04-01,Midwest,15,18847.537,623.4125
2026-04-01,Northeast,15,61444.5303,706.7266
2026-04-01,South,14,83699.2775,525.0652
2026-04-01,West,14,15460.0156,554.0999
2026-04-02,Midwest,8,18853.618899999998,586.7829
2026-04-02,Northeast,18,66276.6424,677.1366
2026-04-02,South,15,75282.55960000001,477.4234
2026-04-02,West,19,14858.9986,500.1651
2026-04-03,Midwest,18,18596.5925,552.8219
2026-04-03,Northeast,14,66321.6992,630.4164
2026-04-03,South,14,85231.2974,438.3841
2026-04-03,West,19,15060.4475,604.5237
2026-04-04,Midwest,16,14770.716100000001,517.5263
2026-04-04,Northeast,13,64855.2241,600.3538
2026-04-04,South,18,74608.4847,442.218
2026-04-04,West,15,12361.4035,448.0876
2026-04-05,Midwest,10,16499.0452,521.9207
2026-04-05,Northeast,12,48075.0034,663.0516
2026-04-05,South,13,70055.463,447.5832
2026-04-05,West,20,12899.9492,471.9486
2026-04-06,Midwest,18,17693.7062,697.8133
2026-04-06,Northeast,19,72443.2851,656.4794
2026-04-06,South,8,89330.4019,494.1029
2026-04-06,West,13,15516.1918,587.2851
2026-04-07,Midwest,10,20433.8502,654.2153
2026-04-07,Northeast,9,53699.8059,632.7992
2026-04-07,South,8,85879.4663,410.0839
2026-04-07,West,19,16057.8692,545.3823
2026-04-08,Midwest,12,21309.0173,596.3569
2026-04-08,Northeast,8,72112.2151,624.5693
2026-04-08,South,9,101155.974,484.8177
2026-04-08,West,16,14928.859199999999,549.3176
2026-04-09,Midwest,16,16984.2985,569.8771
2026-04-09,Northeast,15,60596.469099999995,657.2116
2026-04-09,South,12,89601.6602,466.6558
2026-04-09,West,16,14001.2024,583.2121
2026-04-10,Midwest,20,20316.1469,591.0868
2026-04-10,Northeast,8,71685.9308,646.5879
2026-04-10,South,15,91296.89289999999,441.5889
2026-04-10,West,19,14954.2677,529.093
2026-04-11,Midwest,16,17862.9539,430.0716
2026-04-11,Northeast,13,52972.023,580.468
2026-04-11,South,18,57215.3776,414.8074
2026-04-11,West,15,11635.4656,475.7579
2026-04-12,Midwest,18,16010.8693,449.6472
2026-04-12,Northeast,15,59245.5753,560.8814
2026-04-12,South,11,68978.9437,368.0585
2026-04-12,West,9,10928.3933,485.1656
2026-04-13,Midwest,13,17521.471100000002,554.3676
2026-04-13,Northeast,9,69014.70240000001,660.4058
2026-04-13,South,20,86333.4658,526.9543
2026-04-13,West,9,15445.6681,534.5098
2026-04-14,Midwest,8,19129.991,539.9149
2026-04-14,Northeast,20,58615.461899999995,623.389
2026-04-14,South,19,81444.9641,461.7035
2026-04-14,West,19,14668.231099999999,547.3692
2026-04-15,Midwest,8,21449.6416,640.248
2026-04-15,Northeast,10,60595.098600000005,671.3899
2026-04-15,South,18,84176.1345,496.4934
2026-04-15,West,19,15394.1121,544.2799
2026-04-16,Midwest,14,19418.6565,635.2416
2026-04-16,Northeast,14,70575.35399999999,666.0339
2026-04-16,South,11,84405.58,422.2791
2026-04-16,West,10,15355.188400000001,597.6884
2026-04-17,Midwest,14,21168.7978,592.0725
2026-04-17,Northeast,17,61229.2373,682.6846
2026-04-17,South,18,85316.7537,482.3588
