billing_month,region,segment,bill_count,billed_amount,paid_amount,open_amount,past_due_amount
2026-04-01,Midwest,Commercial,30,361311.15,81454.98,279856.17,279856.17
2026-04-01,Midwest,Industrial,29,328190.79,109903.5,218287.29,218287.29
2026-04-01,Midwest,Municipal,34,405714.76,138895.47,266819.29000000004,266819.29
2026-04-01,Midwest,Residential,36,452537.65,165277.08000000002,287260.57,287260.57
2026-04-01,Midwest,Unknown,31,391740.02999999997,126910.0,264830.02999999997,264830.02999999997
2026-04-01,Northeast,Commercial,28,384059.23,80013.2,304046.03,304046.03
2026-04-01,Northeast,Industrial,30,315612.96,107574.43000000001,208038.53,208038.53
2026-04-01,Northeast,Municipal,34,454370.45,106598.34,347772.11,347772.11
2026-04-01,Northeast,Residential,28,365082.87,83856.58,281226.29,281226.29000000004
2026-04-01,Northeast,Unknown,32,436059.2,139965.19,296094.01,296094.01
2026-04-01,South,Commercial,47,597732.97,221418.13,376314.84,376314.83999999997
2026-04-01,South,Industrial,51,612718.33,254959.4,357758.93,357758.93
2026-04-01,South,Municipal,33,384861.96,141294.93,243567.03,243567.03
2026-04-01,South,Residential,55,676473.37,228164.99,448308.38,448308.38
2026-04-01,South,Unknown,44,594631.77,95240.54000000001,499391.23,499391.23
2026-04-01,West,Commercial,53,672613.11,192601.80000000002,480011.31,480011.31
2026-04-01,West,Industrial,42,536177.56,111619.09,424558.47,424558.47
2026-04-01,West,Municipal,58,775624.07,311290.56,464333.51,464333.51
2026-04-01,West,Residential,47,626859.0,231411.12,395447.88,395447.88
2026-04-01,West,Unknown,51,602337.97,189539.01,412798.96,412798.95999999996
2026-05-01,Midwest,Commercial,30,346946.45999999996,69567.48999999999,277378.97,0.0
2026-05-01,Midwest,Industrial,30,461922.13,201203.95,260718.18,0.0
2026-05-01,Midwest,Municipal,34,410588.17,142605.56,267982.61,0.0
2026-05-01,Midwest,Residential,36,444898.26,151396.65,293501.61,0.0
2026-05-01,Midwest,Unknown,31,436167.1,104572.02,331595.08,0.0
2026-05-01,Northeast,Commercial,28,314154.05,70991.11,243162.94,0.0
2026-05-01,Northeast,Industrial,31,323221.28,51741.27,271480.01,0.0
2026-05-01,Northeast,Municipal,34,374808.68,123226.41,251582.27,0.0
2026-05-01,Northeast,Residential,27,357606.1,139581.27,218024.83,0.0
2026-05-01,Northeast,Unknown,32,305116.73,171179.47,133937.26,0.0
2026-05-01,South,Commercial,47,603653.88,154638.21,449015.67,0.0
2026-05-01,South,Industrial,51,615471.58,194185.37,421286.21,0.0
2026-05-01,South,Municipal,34,416714.33,106101.31999999999,310613.01,0.0
2026-05-01,South,Residential,55,688722.99,256349.35,432373.64,0.0
2026-05-01,South,Unknown,44,487217.99,121659.20999999999,365558.78,0.0
2026-05-01,West,Commercial,53,584692.15,220132.38,364559.77,0.0
2026-05-01,West,Industrial,42,454588.83,162720.05,291868.78,0.0
2026-05-01,West,Municipal,58,833594.4,151258.66,682335.74,0.0
2026-05-01,West,Residential,47,691837.33,164066.49,527770.84,0.0
2026-05-01,West,Unknown,52,634145.83,199317.53,434828.3,0.0
