telemetry_id,asset_id,reading_ts,power_output_kw,temperature_c,vibration_mm_s,frequency_hz,status_code,reading_date,quarantine_reason
AT0000000413,AST000001,2026-04-18 04:00:00,,49.004,1.286,59.9393,WARNING,2026-04-18,Invalid timestamp or power output
AT0000002732,AST000002,2026-05-23 19:00:00,,38.725,0.829,60.037,WARNING,2026-05-23,Invalid timestamp or power output
AT0000004588,AST000004,2026-04-09 03:00:00,,51.424,1.019,60.0062,WARNING,2026-04-09,Invalid timestamp or power output
AT0000005037,AST000004,2026-04-27 20:00:00,,48.144,1.128,59.9614,NORMAL,2026-04-27,Invalid timestamp or power output
AT0000006654,AST000005,2026-05-04 05:00:00,,28.598,0.937,59.9607,NORMAL,2026-05-04,Invalid timestamp or power output
AT0000008816,AST000007,2026-04-02 07:00:00,,23.262,1.565,60.0395,NORMAL,2026-04-02,Invalid timestamp or power output
AT0000013487,AST000010,2026-04-13 22:00:00,,27.056,0.5,60.0305,NORMAL,2026-04-13,Invalid timestamp or power output
AT0000014925,AST000011,2026-04-12 20:00:00,,30.968,0.385,59.8975,TRIP,2026-04-12,Invalid timestamp or power output
AT0000016423,AST000012,2026-04-14 06:00:00,,28.277,0.38,59.9773,NORMAL,2026-04-14,Invalid timestamp or power output
AT0000016579,AST000012,2026-04-20 18:00:00,,24.772,0.367,60.0101,TRIP,2026-04-20,Invalid timestamp or power output
AT0000016731,AST000012,2026-04-27 02:00:00,,33.078,0.476,60.0107,WARNING,2026-04-27,Invalid timestamp or power output
AT0000019101,AST000014,2026-04-03 20:00:00,,28.207,0.374,59.9604,NORMAL,2026-04-03,Invalid timestamp or power output
AT0000020249,AST000014,2026-05-21 16:00:00,,23.281,0.068,60.0329,NORMAL,2026-05-21,Invalid timestamp or power output
AT0000021605,AST000015,2026-05-17 04:00:00,,38.931,0.64,60.0721,NORMAL,2026-05-17,Invalid timestamp or power output
AT0000021816,AST000015,2026-05-25 23:00:00,,24.466,0.333,59.9987,NORMAL,2026-05-25,Invalid timestamp or power output
AT0000022473,AST000016,2026-04-22 08:00:00,,60.663,1.36,60.07,WARNING,2026-04-22,Invalid timestamp or power output
AT0000024426,AST000017,2026-05-12 17:00:00,,39.99,1.69,60.0036,WARNING,2026-05-12,Invalid timestamp or power output
AT0000025032,AST000018,2026-04-06 23:00:00,,25.021,1.786,59.923,NORMAL,2026-04-06,Invalid timestamp or power output
AT0000025407,AST000018,2026-04-22 14:00:00,,36.533,1.086,60.0706,TRIP,2026-04-22,Invalid timestamp or power output
AT0000026644,AST000019,2026-04-13 03:00:00,,45.646,1.209,59.9764,TRIP,2026-04-13,Invalid timestamp or power output
AT0000027190,AST000019,2026-05-05 21:00:00,,58.21,1.394,60.0479,NORMAL,2026-05-05,Invalid timestamp or power output
AT0000028042,AST000020,2026-04-10 09:00:00,,35.509,1.334,60.0329,WARNING,2026-04-10,Invalid timestamp or power output
AT0000028507,AST000020,2026-04-29 18:00:00,,26.633,1.432,59.9662,WARNING,2026-04-29,Invalid timestamp or power output
AT0000032189,AST000022,2026-05-31 04:00:00,,50.588,1.49,60.0362,NORMAL,2026-05-31,Invalid timestamp or power output
AT0000034052,AST000024,2026-04-16 19:00:00,,37.207,1.094,59.8947,NORMAL,2026-04-16,Invalid timestamp or power output
AT0000036798,AST000026,2026-04-09 05:00:00,,45.122,0.892,60.0195,NORMAL,2026-04-09,Invalid timestamp or power output
AT0000037225,AST000026,2026-04-27 00:00:00,,27.753,1.758,59.9451,NORMAL,2026-04-27,Invalid timestamp or power output
AT0000037444,AST000026,2026-05-06 03:00:00,,51.418,1.101,60.0672,WARNING,2026-05-06,Invalid timestamp or power output
AT0000037680,AST000026,2026-05-15 23:00:00,,31.871,1.699,59.9559,WARNING,2026-05-15,Invalid timestamp or power output
AT0000038674,AST000027,2026-04-26 09:00:00,,34.851,1.279,59.997,NORMAL,2026-04-26,Invalid timestamp or power output
AT0000041089,AST000029,2026-04-05 00:00:00,,53.842,1.023,60.0309,NORMAL,2026-04-05,Invalid timestamp or power output
AT0000042066,AST000029,2026-05-15 17:00:00,,39.257,0.945,60.0626,NORMAL,2026-05-15,Invalid timestamp or power output
AT0000043780,AST000030,2026-05-26 03:00:00,,41.571,1.561,60.0418,NORMAL,2026-05-26,Invalid timestamp or power output
AT0000045162,AST000031,2026-05-22 17:00:00,,44.945,1.614,60.0833,TRIP,2026-05-22,Invalid timestamp or power output
AT0000048327,AST000034,2026-04-01 14:00:00,,38.106,2.189,59.976,TRIP,2026-04-01,Invalid timestamp or power output
AT0000050644,AST000035,2026-05-07 03:00:00,,49.995,2.222,60.1012,NORMAL,2026-05-07,Invalid timestamp or power output
AT0000054996,AST000038,2026-05-05 11:00:00,,32.392,2.552,59.9273,NORMAL,2026-05-05,Invalid timestamp or power output
AT0000058520,AST000040,2026-05-30 07:00:00,,51.273,1.974,59.9696,TRIP,2026-05-30,Invalid timestamp or power output
AT0000061831,AST000043,2026-04-15 06:00:00,,45.501,1.636,59.9789,NORMAL,2026-04-15,Invalid timestamp or power output
AT0000063187,AST000044,2026-04-10 18:00:00,,46.23,1.26,59.9727,NORMAL,2026-04-10,Invalid timestamp or power output
AT0000063586,AST000044,2026-04-27 09:00:00,,39.994,1.283,59.9876,NORMAL,2026-04-27,Invalid timestamp or power output
AT0000064094,AST000044,2026-05-18 13:00:00,,30.194,1.109,59.9869,NORMAL,2026-05-18,Invalid timestamp or power output
AT0000067013,AST000046,2026-05-18 04:00:00,,52.487,1.335,59.9764,WARNING,2026-05-18,Invalid timestamp or power output
AT0000067102,AST000046,2026-05-21 21:00:00,,47.468,1.249,59.9945,NORMAL,2026-05-21,Invalid timestamp or power output
AT0000067330,AST000046,2026-05-31 09:00:00,,45.246,0.932,60.017,NORMAL,2026-05-31,Invalid timestamp or power output
AT0000069754,AST000048,2026-05-10 09:00:00,,30.892,1.343,59.9653,NORMAL,2026-05-10,Invalid timestamp or power output
AT0000069911,AST000048,2026-05-16 22:00:00,,46.162,1.129,59.9908,NORMAL,2026-05-16,Invalid timestamp or power output
AT0000072918,AST000050,2026-05-20 05:00:00,,37.28,1.506,60.0741,NORMAL,2026-05-20,Invalid timestamp or power output
AT0000074248,AST000051,2026-05-14 15:00:00,,32.359,3.477,59.9705,NORMAL,2026-05-14,Invalid timestamp or power output
AT0000074841,AST000052,2026-04-08 08:00:00,,27.348,4.719,60.0582,NORMAL,2026-04-08,Invalid timestamp or power output
AT0000075536,AST000052,2026-05-07 07:00:00,,34.256,2.947,59.9866,TRIP,2026-05-07,Invalid timestamp or power output
AT0000075721,AST000052,2026-05-15 00:00:00,,35.681,1.707,59.9782,NORMAL,2026-05-15,Invalid timestamp or power output
AT0000077332,AST000053,2026-05-21 03:00:00,,32.952,4.071,59.8809,WARNING,2026-05-21,Invalid timestamp or power output
AT0000077384,AST000053,2026-05-23 07:00:00,,39.818,3.147,60.0118,NORMAL,2026-05-23,Invalid timestamp or power output
AT0000077421,AST000053,2026-05-24 20:00:00,,36.567,3.389,60.0074,WARNING,2026-05-24,Invalid timestamp or power output
AT0000078328,AST000054,2026-05-01 15:00:00,,29.078,2.853,59.8987,NORMAL,2026-05-01,Invalid timestamp or power output
AT0000079989,AST000055,2026-05-09 20:00:00,,30.306,1.331,59.9882,WARNING,2026-05-09,Invalid timestamp or power output
AT0000080841,AST000056,2026-04-14 08:00:00,,36.017,1.708,60.0263,NORMAL,2026-04-14,Invalid timestamp or power output
AT0000081806,AST000056,2026-05-24 13:00:00,,37.858,3.243,59.9343,NORMAL,2026-05-24,Invalid timestamp or power output
AT0000082451,AST000057,2026-04-20 10:00:00,,27.134,2.895,59.9381,NORMAL,2026-04-20,Invalid timestamp or power output
AT0000083148,AST000057,2026-05-19 11:00:00,,33.567,2.712,59.9338,NORMAL,2026-05-19,Invalid timestamp or power output
AT0000083975,AST000058,2026-04-22 22:00:00,,30.462,2.119,59.9692,NORMAL,2026-04-22,Invalid timestamp or power output
AT0000084887,AST000058,2026-05-30 22:00:00,,44.842,1.484,59.9922,NORMAL,2026-05-30,Invalid timestamp or power output
AT0000085683,AST000059,2026-05-03 02:00:00,,43.603,2.89,60.1048,NORMAL,2026-05-03,Invalid timestamp or power output
AT0000086136,AST000059,2026-05-21 23:00:00,,52.556,2.524,59.9144,TRIP,2026-05-21,Invalid timestamp or power output
AT0000087816,AST000060,2026-05-30 23:00:00,,39.777,2.3,59.9555,NORMAL,2026-05-30,Invalid timestamp or power output
AT0000093773,AST000065,2026-04-04 04:00:00,,51.966,1.821,59.9475,NORMAL,2026-04-04,Invalid timestamp or power output
AT0000093935,AST000065,2026-04-10 22:00:00,,36.664,1.491,59.8268,NORMAL,2026-04-10,Invalid timestamp or power output
AT0000097050,AST000067,2026-04-18 17:00:00,,61.038,1.507,60.0336,NORMAL,2026-04-18,Invalid timestamp or power output
AT0000097302,AST000067,2026-04-29 05:00:00,,63.324,1.966,60.0193,NORMAL,2026-04-29,Invalid timestamp or power output
AT0000098064,AST000067,2026-05-30 23:00:00,,47.149,2.72,60.0011,WARNING,2026-05-30,Invalid timestamp or power output
AT0000100456,AST000069,2026-05-08 15:00:00,,30.436,0.644,59.9808,NORMAL,2026-05-08,Invalid timestamp or power output
AT0000109960,AST000076,2026-04-07 15:00:00,,42.192,1.869,59.9965,NORMAL,2026-04-07,Invalid timestamp or power output
AT0000110048,AST000076,2026-04-11 07:00:00,,50.297,2.358,59.9598,TRIP,2026-04-11,Invalid timestamp or power output
AT0000111935,AST000077,2026-04-28 22:00:00,,50.152,1.484,59.952,NORMAL,2026-04-28,Invalid timestamp or power output
AT0000112394,AST000077,2026-05-18 01:00:00,,41.741,1.623,60.0439,NORMAL,2026-05-18,Invalid timestamp or power output
AT0000113967,AST000078,2026-05-22 14:00:00,,28.081,1.155,59.963,NORMAL,2026-05-22,Invalid timestamp or power output
AT0000116845,AST000080,2026-05-20 12:00:00,,36.674,1.743,60.0192,NORMAL,2026-05-20,Invalid timestamp or power output
