telemetry_id,asset_id,reading_ts,power_output_kw,temperature_c,vibration_mm_s,frequency_hz,status_code,reading_date,quarantine_reason
AT0000000701,AST_BAD,2026-04-30 04:00:00,0.0,53.575,1.081,60.0135,NORMAL,2026-04-30,Telemetry references missing asset
AT0000001645,AST_BAD,2026-04-08 12:00:00,290.357,44.431,1.081,60.0458,NORMAL,2026-04-08,Telemetry references missing asset
AT0000003814,AST_BAD,2026-05-07 21:00:00,0.0,60.43,1.45,60.0316,WARNING,2026-05-07,Telemetry references missing asset
AT0000003908,AST_BAD,2026-05-11 19:00:00,0.0,34.512,1.303,59.9715,WARNING,2026-05-11,Telemetry references missing asset
AT0000004148,AST_BAD,2026-05-21 19:00:00,0.0,45.687,1.336,59.9394,WARNING,2026-05-21,Telemetry references missing asset
AT0000004277,AST_BAD,2026-05-27 04:00:00,0.0,44.909,1.039,60.0235,NORMAL,2026-05-27,Telemetry references missing asset
AT0000004283,AST_BAD,2026-05-27 10:00:00,368.841,45.116,0.965,59.9842,NORMAL,2026-05-27,Telemetry references missing asset
AT0000004348,AST_BAD,2026-05-30 03:00:00,121.145,16.279,1.206,60.0277,NORMAL,2026-05-30,Telemetry references missing asset
AT0000004419,AST_BAD,2026-04-02 02:00:00,25.876,50.587,1.682,60.0089,WARNING,2026-04-02,Telemetry references missing asset
AT0000004975,AST_BAD,2026-04-25 06:00:00,47.963,41.86,1.274,59.9816,NORMAL,2026-04-25,Telemetry references missing asset
AT0000006127,AST_BAD,2026-04-12 06:00:00,19.052,46.14,0.952,60.0834,TRIP,2026-04-12,Telemetry references missing asset
AT0000006361,AST_BAD,2026-04-22 00:00:00,61.944,44.52,1.022,59.9796,WARNING,2026-04-22,Telemetry references missing asset
AT0000006973,AST_BAD,2026-05-17 12:00:00,353.603,29.114,0.983,59.9567,NORMAL,2026-05-17,Telemetry references missing asset
AT0000006994,AST_BAD,2026-05-18 09:00:00,333.1,42.084,1.453,60.067,NORMAL,2026-05-18,Telemetry references missing asset
AT0000007269,AST_BAD,2026-05-29 20:00:00,75.041,41.516,0.684,59.9991,TRIP,2026-05-29,Telemetry references missing asset
AT0000007726,AST_BAD,2026-04-17 21:00:00,18.28,33.59,1.448,60.048,WARNING,2026-04-17,Telemetry references missing asset
AT0000008286,AST_BAD,2026-05-11 05:00:00,0.0,49.232,0.748,60.0997,NORMAL,2026-05-11,Telemetry references missing asset
