reading_id,meter_id,reading_ts,kwh,kw_demand,voltage,power_factor,quality_flag,source_system,ingestion_batch_id,reading_date,quarantine_reason
MR0000000604,MTR0000001,,28.9151,32.5588,238.8,0.9675,GOOD,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000000962,MTR0000001,2026-05-11 01:00:00,,36.1105,239.21,0.998,GOOD,ami_headend,AMI_20260602_A,2026-05-11,"Invalid timestamp, kWh, or negative consumption"
MR0000001930,MTR0000002,2026-04-20 09:00:00,-502.2146,0.0,239.98,0.9257,GOOD,ami_headend,AMI_20260601_B,2026-04-20,"Invalid timestamp, kWh, or negative consumption"
MR0000002448,MTR0000002,,205.7441,204.723,237.95,0.9245,GOOD,ami_headend,AMI_20260602_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000003519,MTR0000003,2026-04-25 14:00:00,,3.4086,237.81,0.9382,GOOD,ami_headend,AMI_20260601_B,2026-04-25,"Invalid timestamp, kWh, or negative consumption"
MR0000004201,MTR0000003,2026-05-24 00:00:00,-2.3547,0.0,236.35,0.9295,GOOD,ami_headend,AMI_20260602_A,2026-05-24,"Invalid timestamp, kWh, or negative consumption"
MR0000005287,MTR0000004,2026-05-08 06:00:00,,6.295,239.59,0.9445,GOOD,ami_headend,AMI_20260601_A,2026-05-08,"Invalid timestamp, kWh, or negative consumption"
MR0000005751,MTR0000004,2026-05-27 14:00:00,,9.5517,246.47,0.9107,GOOD,ami_headend,AMI_20260601_A,2026-05-27,"Invalid timestamp, kWh, or negative consumption"
MR0000006813,MTR0000005,2026-05-10 20:00:00,-9.9377,0.0,239.42,0.9811,GOOD,ami_headend,AMI_20260602_A,2026-05-10,"Invalid timestamp, kWh, or negative consumption"
MR0000007988,MTR0000006,2026-04-28 19:00:00,,2.6361,235.87,0.9308,GOOD,ami_headend,AMI_20260601_B,2026-04-28,"Invalid timestamp, kWh, or negative consumption"
MR0000008148,MTR0000006,2026-05-05 11:00:00,-1.8263,0.0,243.06,0.9465,MISSING,ami_headend,AMI_20260601_B,2026-05-05,"Invalid timestamp, kWh, or negative consumption"
MR0000008671,MTR0000006,2026-05-27 06:00:00,-0.7873,0.0,238.67,0.9452,GOOD,ami_headend,AMI_20260601_B,2026-05-27,"Invalid timestamp, kWh, or negative consumption"
MR0000009189,MTR0000007,2026-04-17 20:00:00,,144.8442,234.69,0.9345,GOOD,ami_headend,AMI_20260601_A,2026-04-17,"Invalid timestamp, kWh, or negative consumption"
MR0000009644,MTR0000007,2026-05-06 19:00:00,,132.3887,234.29,0.9754,MISSING,ami_headend,AMI_20260601_A,2026-05-06,"Invalid timestamp, kWh, or negative consumption"
MR0000010288,MTR0000008,,75.0931,86.5643,243.1,0.9439,ESTIMATED,ami_headend,AMI_20260601_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000012374,MTR0000009,,61.1486,66.0281,242.39,0.9639,GOOD,ami_headend,AMI_20260602_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000013285,MTR0000010,2026-04-05 12:00:00,-8.3126,0.0,235.04,0.9481,GOOD,ami_headend,AMI_20260601_A,2026-04-05,"Invalid timestamp, kWh, or negative consumption"
MR0000013694,MTR0000010,2026-04-22 13:00:00,,8.5695,236.39,0.9444,GOOD,ami_headend,AMI_20260601_B,2026-04-22,"Invalid timestamp, kWh, or negative consumption"
MR0000013916,MTR0000010,,9.8122,10.7905,238.37,1.0,MISSING,ami_headend,AMI_20260602_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000014900,MTR0000011,,53.9418,66.3315,238.04,0.919,GOOD,ami_headend,AMI_20260601_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000015408,MTR0000011,2026-05-02 23:00:00,-15.6702,0.0,242.2,0.9399,MISSING,ami_headend,AMI_20260601_B,2026-05-02,"Invalid timestamp, kWh, or negative consumption"
MR0000015749,MTR0000011,2026-05-17 04:00:00,-22.8001,0.0,240.85,0.8912,MISSING,ami_headend,AMI_20260602_A,2026-05-17,"Invalid timestamp, kWh, or negative consumption"
MR0000016425,MTR0000012,2026-04-14 08:00:00,,0.5631,240.41,0.9483,GOOD,ami_headend,AMI_20260601_B,2026-04-14,"Invalid timestamp, kWh, or negative consumption"
MR0000016678,MTR0000012,2026-04-24 21:00:00,,0.4014,244.79,0.9236,GOOD,ami_headend,AMI_20260601_A,2026-04-24,"Invalid timestamp, kWh, or negative consumption"
MR0000017179,MTR0000012,,0.4536,0.5185,240.42,0.964,GOOD,ami_headend,AMI_20260602_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000018027,MTR0000013,2026-04-20 02:00:00,-25.616,0.0,240.47,0.9546,MISSING,ami_headend,AMI_20260602_A,2026-04-20,"Invalid timestamp, kWh, or negative consumption"
MR0000018067,MTR0000013,2026-04-21 18:00:00,-33.1015,0.0,238.3,0.9284,MISSING,ami_headend,AMI_20260601_B,2026-04-21,"Invalid timestamp, kWh, or negative consumption"
MR0000018578,MTR0000013,2026-05-13 01:00:00,-9.9391,0.0,238.81,0.9426,GOOD,ami_headend,AMI_20260601_A,2026-05-13,"Invalid timestamp, kWh, or negative consumption"
MR0000018810,MTR0000013,2026-05-22 17:00:00,,34.1908,242.8,0.9691,GOOD,ami_headend,AMI_20260601_A,2026-05-22,"Invalid timestamp, kWh, or negative consumption"
MR0000018967,MTR0000013,2026-05-29 06:00:00,-14.0016,0.0,238.0,0.988,GOOD,ami_headend,AMI_20260602_A,2026-05-29,"Invalid timestamp, kWh, or negative consumption"
MR0000019420,MTR0000014,2026-04-17 03:00:00,-4.3712,0.0,239.63,1.0,GOOD,ami_headend,AMI_20260602_A,2026-04-17,"Invalid timestamp, kWh, or negative consumption"
MR0000019516,MTR0000014,2026-04-21 03:00:00,,14.0586,242.35,0.9718,MISSING,ami_headend,AMI_20260601_A,2026-04-21,"Invalid timestamp, kWh, or negative consumption"
MR0000019966,MTR0000014,2026-05-09 21:00:00,-17.184,0.0,243.61,0.897,MISSING,ami_headend,AMI_20260601_A,2026-05-09,"Invalid timestamp, kWh, or negative consumption"
MR0000020365,MTR0000014,2026-05-26 12:00:00,,55.1254,236.93,0.9376,MISSING,ami_headend,AMI_20260601_A,2026-05-26,"Invalid timestamp, kWh, or negative consumption"
MR0000020991,MTR0000015,2026-04-21 14:00:00,-4.7087,0.0,236.74,0.9657,GOOD,ami_headend,AMI_20260601_B,2026-04-21,"Invalid timestamp, kWh, or negative consumption"
MR0000021162,MTR0000015,2026-04-28 17:00:00,,4.2278,240.28,0.9624,MISSING,ami_headend,AMI_20260602_A,2026-04-28,"Invalid timestamp, kWh, or negative consumption"
MR0000021439,MTR0000015,,1.7357,1.7499,234.44,0.8698,MISSING,ami_headend,AMI_20260601_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000021681,MTR0000015,2026-05-20 08:00:00,-3.6548,0.0,240.33,0.9352,GOOD,ami_headend,AMI_20260601_B,2026-05-20,"Invalid timestamp, kWh, or negative consumption"
MR0000021795,MTR0000015,2026-05-25 02:00:00,,1.7086,248.45,0.9241,GOOD,ami_headend,AMI_20260601_A,2026-05-25,"Invalid timestamp, kWh, or negative consumption"
MR0000022467,MTR0000016,,49.2483,39.7454,231.14,0.9317,GOOD,ami_headend,AMI_20260601_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000022740,MTR0000016,,80.6243,67.6363,240.73,0.927,GOOD,ami_headend,AMI_20260602_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000024469,MTR0000017,,210.75,244.1128,240.4,1.0,ESTIMATED,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000024516,MTR0000017,2026-05-16 11:00:00,-175.4117,0.0,239.65,0.9122,MISSING,ami_headend,AMI_20260601_B,2026-05-16,"Invalid timestamp, kWh, or negative consumption"
MR0000025892,MTR0000018,,81.2447,78.8102,245.02,0.9651,GOOD,ami_headend,AMI_20260602_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000026392,MTR0000019,2026-04-02 15:00:00,-334.2226,0.0,236.95,0.9112,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-02,"Invalid timestamp, kWh, or negative consumption"
MR0000026722,MTR0000019,,341.6934,332.5725,237.04,0.9867,ESTIMATED,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000026816,MTR0000019,2026-04-20 07:00:00,,121.8985,240.77,0.9593,GOOD,ami_headend,AMI_20260602_A,2026-04-20,"Invalid timestamp, kWh, or negative consumption"
MR0000026942,MTR0000019,2026-04-25 13:00:00,-362.6925,0.0,239.94,0.9319,GOOD,ami_headend,AMI_20260601_A,2026-04-25,"Invalid timestamp, kWh, or negative consumption"
