reading_id,meter_id,reading_ts,kwh,kw_demand,voltage,power_factor,quality_flag,source_system,ingestion_batch_id,reading_date,quarantine_reason
MR0000003138,MTR_BAD,2026-04-09 17:00:00,4.4409,5.8663,238.12,0.9502,GOOD,ami_headend,AMI_20260601_A,2026-04-09,Reading references missing meter
MR0000003184,MTR_BAD,2026-04-11 15:00:00,3.3233,4.3175,241.36,0.8843,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-11,Reading references missing meter
MR0000003601,MTR_BAD,2026-04-29 00:00:00,1.753,2.1676,244.12,0.9449,GOOD,ami_headend,AMI_20260602_A,2026-04-29,Reading references missing meter
MR0000004191,MTR_BAD,2026-05-23 14:00:00,3.4208,4.6167,239.94,0.9775,GOOD,ami_headend,AMI_20260601_B,2026-05-23,Reading references missing meter
MR0000005463,MTR_BAD,2026-05-15 14:00:00,10.5095,9.5241,240.92,0.9738,GOOD,ami_headend,AMI_20260601_A,2026-05-15,Reading references missing meter
MR0000007818,MTR_BAD,2026-04-21 17:00:00,1.5785,1.3992,242.1,0.9075,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-21,Reading references missing meter
MR0000009532,MTR_BAD,2026-05-02 03:00:00,21.4042,21.288,240.67,0.9241,GOOD,ami_headend,AMI_20260601_A,2026-05-02,Reading references missing meter
MR0000010311,MTR_BAD,2026-04-03 14:00:00,90.7209,98.2615,239.5,0.9265,GOOD,ami_headend,AMI_20260601_A,2026-04-03,Reading references missing meter
MR0000014122,MTR_BAD,2026-05-10 09:00:00,5.6028,6.5174,236.0,0.9206,MISSING,ami_headend,AMI_20260601_B,2026-05-10,Reading references missing meter
MR0000014871,MTR_BAD,2026-04-10 14:00:00,57.5859,75.9337,237.14,0.9632,GOOD,ami_headend,AMI_20260601_A,2026-04-10,Reading references missing meter
MR0000016848,MTR_BAD,2026-05-01 23:00:00,0.3124,0.2572,239.49,0.9534,GOOD,ami_headend,AMI_20260602_A,2026-05-01,Reading references missing meter
MR0000018438,MTR_BAD,2026-05-07 05:00:00,20.0492,21.7386,233.84,0.9338,MISSING,ami_headend,AMI_20260601_B,2026-05-07,Reading references missing meter
MR0000018984,MTR_BAD,2026-05-29 23:00:00,21.1597,26.6741,241.46,0.9604,GOOD,ami_headend,AMI_20260602_A,2026-05-29,Reading references missing meter
MR0000019047,MTR_BAD,2026-04-01 14:00:00,36.333,44.7094,239.24,0.8995,MISSING,ami_headend,AMI_20260601_B,2026-04-01,Reading references missing meter
MR0000019667,MTR_BAD,2026-04-27 10:00:00,27.1845,25.2617,237.72,0.9108,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-27,Reading references missing meter
MR0000020807,MTR_BAD,2026-04-13 22:00:00,0.7067,0.5958,237.78,0.9616,GOOD,ami_headend,AMI_20260602_A,2026-04-13,Reading references missing meter
MR0000022071,MTR_BAD,2026-04-05 14:00:00,78.5835,106.6235,241.52,0.9517,GOOD,ami_headend,AMI_20260601_A,2026-04-05,Reading references missing meter
MR0000025104,MTR_BAD,2026-04-09 23:00:00,28.9009,35.0386,237.37,0.9058,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-09,Reading references missing meter
MR0000025226,MTR_BAD,2026-04-15 01:00:00,15.1564,17.9123,242.22,0.954,MISSING,ami_headend,AMI_20260602_A,2026-04-15,Reading references missing meter
MR0000025845,MTR_BAD,2026-05-10 20:00:00,45.3733,49.062,246.45,0.9128,GOOD,ami_headend,AMI_20260601_A,2026-05-10,Reading references missing meter
MR0000026267,MTR_BAD,2026-05-28 10:00:00,77.7423,95.7104,237.83,0.9004,MISSING,ami_headend,AMI_20260602_A,2026-05-28,Reading references missing meter
MR0000026325,MTR_BAD,2026-05-30 20:00:00,57.6083,79.7051,230.91,0.94,GOOD,ami_headend,AMI_20260602_A,2026-05-30,Reading references missing meter
MR0000028081,MTR_BAD,2026-04-12 00:00:00,1.3729,1.3601,239.07,0.9086,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-12,Reading references missing meter
MR0000028419,MTR_BAD,2026-04-26 02:00:00,2.6449,3.3975,241.85,0.9054,GOOD,ami_headend,AMI_20260601_A,2026-04-26,Reading references missing meter
MR0000028654,MTR_BAD,2026-05-05 21:00:00,4.0279,4.9216,246.56,0.9469,GOOD,ami_headend,AMI_20260602_A,2026-05-05,Reading references missing meter
MR0000029805,MTR_BAD,2026-04-22 20:00:00,6.0266,5.6002,247.42,0.9396,GOOD,ami_headend,AMI_20260601_B,2026-04-22,Reading references missing meter
MR0000030009,MTR_BAD,2026-05-01 08:00:00,5.4509,5.2208,240.41,1.0,GOOD,ami_headend,AMI_20260602_A,2026-05-01,Reading references missing meter
MR0000030063,MTR_BAD,2026-05-03 14:00:00,5.8286,6.655,244.35,0.9454,GOOD,ami_headend,AMI_20260602_A,2026-05-03,Reading references missing meter
MR0000030804,MTR_BAD,2026-04-03 11:00:00,12.2806,13.5369,239.74,0.9471,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-03,Reading references missing meter
MR0000032782,MTR_BAD,2026-04-24 21:00:00,2.0969,2.6602,235.05,0.9089,GOOD,ami_headend,AMI_20260602_A,2026-04-24,Reading references missing meter
MR0000034214,MTR_BAD,2026-04-23 13:00:00,104.4784,88.64,241.68,0.9009,GOOD,ami_headend,AMI_20260602_A,2026-04-23,Reading references missing meter
MR0000035965,MTR_BAD,2026-05-05 12:00:00,25.3887,33.6303,243.92,0.9559,ESTIMATED,ami_headend,AMI_20260602_A,2026-05-05,Reading references missing meter
MR0000036034,MTR_BAD,2026-05-08 09:00:00,17.1144,14.894,242.81,0.8769,ESTIMATED,ami_headend,AMI_20260602_A,2026-05-08,Reading references missing meter
MR0000036194,MTR_BAD,2026-05-15 01:00:00,11.0403,13.1872,239.28,0.9367,ESTIMATED,ami_headend,AMI_20260601_B,2026-05-15,Reading references missing meter
MR0000037595,MTR_BAD,2026-05-12 10:00:00,6.3218,6.4605,234.4,0.9916,ESTIMATED,ami_headend,AMI_20260602_A,2026-05-12,Reading references missing meter
MR0000037785,MTR_BAD,2026-05-20 08:00:00,9.6777,12.0328,238.57,0.925,ESTIMATED,ami_headend,AMI_20260601_A,2026-05-20,Reading references missing meter
MR0000040816,MTR_BAD,2026-05-24 15:00:00,21.3349,22.9892,239.31,0.8874,GOOD,ami_headend,AMI_20260602_A,2026-05-24,Reading references missing meter
MR0000041093,MTR_BAD,2026-04-05 04:00:00,184.0559,169.1843,243.41,0.8929,MISSING,ami_headend,AMI_20260601_B,2026-04-05,Reading references missing meter
MR0000041572,MTR_BAD,2026-04-25 03:00:00,67.2832,55.1043,233.24,0.9766,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-25,Reading references missing meter
MR0000044688,MTR_BAD,2026-05-02 23:00:00,3.752,3.7078,242.35,0.9502,GOOD,ami_headend,AMI_20260602_A,2026-05-02,Reading references missing meter
MR0000045032,MTR_BAD,2026-05-17 07:00:00,2.2353,3.1108,233.7,0.9327,GOOD,ami_headend,AMI_20260601_B,2026-05-17,Reading references missing meter
MR0000046470,MTR_BAD,2026-05-16 05:00:00,3.3725,4.5039,240.97,0.9314,GOOD,ami_headend,AMI_20260601_B,2026-05-16,Reading references missing meter
MR0000049240,MTR_BAD,2026-05-09 15:00:00,4.0485,3.3822,245.94,0.8867,MISSING,ami_headend,AMI_20260601_A,2026-05-09,Reading references missing meter
MR0000049447,MTR_BAD,2026-05-18 06:00:00,1.3988,1.673,245.59,0.9332,GOOD,ami_headend,AMI_20260601_A,2026-05-18,Reading references missing meter
MR0000049514,MTR_BAD,2026-05-21 01:00:00,2.9261,3.3344,244.33,0.9224,GOOD,ami_headend,AMI_20260601_A,2026-05-21,Reading references missing meter
MR0000049601,MTR_BAD,2026-05-24 16:00:00,3.7579,3.8046,240.01,0.9446,GOOD,ami_headend,AMI_20260601_A,2026-05-24,Reading references missing meter
MR0000051021,MTR_BAD,2026-05-22 20:00:00,31.6829,37.5868,246.31,0.9373,GOOD,ami_headend,AMI_20260601_B,2026-05-22,Reading references missing meter
MR0000051852,MTR_BAD,2026-04-26 11:00:00,3.3466,4.6608,234.84,0.9168,MISSING,ami_headend,AMI_20260601_A,2026-04-26,Reading references missing meter
MR0000052417,MTR_BAD,2026-05-20 00:00:00,2.6877,3.4461,239.29,0.9557,MISSING,ami_headend,AMI_20260601_A,2026-05-20,Reading references missing meter
MR0000055959,MTR_BAD,2026-04-14 14:00:00,5.1361,6.5554,240.24,0.8701,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-14,Reading references missing meter
