meter_id,customer_id,site_id,meter_type,install_date,multiplier,status,firmware_version
MTR0000001,CUST0000408,SITE0017,Commercial Meter,2020-10-19,10,Disconnected,v1.3
MTR0000002,CUST0000075,SITE0028,Industrial Meter,2023-03-15,bad,Disconnected,
MTR0000003,CUST0000305,SITE0029,smart meter,2022-04-06,10,Active,v1.3
MTR0000004,CUST0000644,SITE0003,Smart Meter,08/15/2021,10,Active,v1.3
MTR0000005,CUST0000562,SITE0015,Net Meter,08/03/2024,100,Inactive,v1.2
MTR0000006,CUST0000577,SITE0026,smart meter,10/02/2020,10,Inactive,v1.3
MTR0000007,CUST0000006,SITE0011,Commercial Meter,10/19/2018,1,Active,v2.1
MTR0000008,CUST0000577,SITE0008,Commercial Meter,03/04/2020,1,Inactive,v1.2
MTR0000009,CUST0000072,SITE0023,Commercial Meter,2018-05-02,1,Active,v1.2
MTR0000010,CUST0000310,SITE0025,Smart Meter,02/05/2021,100,active ,v1.3
MTR0000011,CUST0000341,SITE0024,Commercial Meter,07/29/2020,1,active ,v1.3
MTR0000012,CUST0000074,SITE0028,smart meter,02/01/2020,1,Inactive,
MTR0000013,CUST0000442,SITE0016,Commercial Meter,2023-11-14,1,Active,
MTR0000014,CUST0000375,SITE0003,Commercial Meter,2019-03-12,bad,Disconnected,v2.1
MTR0000015,CUST0000563,SITE0002,Smart Meter,2022-11-29,1,Active,
MTR0000016,CUST0000146,SITE0026,Commercial Meter,06/03/2023,100,Disconnected,v1.3
MTR0000017,CUST0000039,SITE0014,Industrial Meter,01/25/2021,bad,active ,v1.3
MTR0000018,CUST0000627,SITE0027,Commercial Meter,04/29/2023,bad,Disconnected,
MTR0000019,CUST0000052,SITE0028,Industrial Meter,2019-05-31,1,Active,
MTR0000020,CUST0000169,SITE0025,Smart Meter,02/09/2021,1,Disconnected,v1.3
MTR0000021,CUST0000444,SITE0029,smart meter,02/23/2024,bad,active ,v2.1
MTR0000022,CUST0000298,SITE0002,Smart Meter,2021-08-17,bad,active ,v1.3
MTR0000023,CUST0000290,SITE0017,smart meter,02/25/2023,100,Disconnected,v1.3
MTR0000024,CUST0000505,SITE0009,Commercial Meter,10/16/2019,1,active ,
MTR0000025,CUST0000173,SITE_UNKNOWN,Industrial Meter,07/23/2021,10,Disconnected,v1.3
MTR0000026,CUST0000785,SITE0023,Net Meter,05/13/2020,1,active ,
MTR0000027,CUST0000237,SITE0019,Smart Meter,11/13/2024,1,Disconnected,v2.1
MTR0000028,CUST0000282,SITE0002,Commercial Meter,2019-10-07,10,Disconnected,v1.2
MTR0000029,CUST0000707,SITE0003,Industrial Meter,2022-10-13,100,active ,v2.0
MTR0000030,CUST0000072,SITE0015,Net Meter,2025-01-14,10,Inactive,v2.0
MTR0000031,CUST0000794,SITE0012,Smart Meter,07/09/2020,1,active ,v2.0
MTR0000032,CUST0000697,SITE0019,Smart Meter,09/17/2019,1,Inactive,v2.0
MTR0000033,CUST0000066,SITE0007,Net Meter,11/03/2021,10,active ,v1.2
MTR0000034,CUST0000708,SITE0027,smart meter,07/03/2021,1,Active,v1.2
MTR0000035,CUST0000223,SITE0022,Commercial Meter,2018-10-30,1,Disconnected,
MTR0000036,CUST0000760,SITE0015,Smart Meter,05/17/2022,1,Disconnected,v1.2
MTR0000037,CUST0000794,SITE0019,Commercial Meter,04/27/2019,1,Disconnected,v2.1
MTR0000038,CUST0000362,SITE0016,Industrial Meter,2022-02-01,10,Inactive,v1.2
MTR0000039,CUST0000402,SITE0020,smart meter,2024-01-15,10,Active,v2.0
MTR0000040,CUST0000493,SITE0001,smart meter,09/14/2025,10,Disconnected,v1.3
MTR0000041,CUST0000279,SITE0007,Industrial Meter,2025-04-15,10,Disconnected,v1.2
MTR0000042,CUST0000393,SITE0013,Smart Meter,10/25/2022,1,Active,v2.1
MTR0000043,CUST0000483,SITE0006,Smart Meter,2021-05-29,1,Inactive,v1.3
MTR0000044,CUST0000198,SITE0022,smart meter,2025-09-28,10,Inactive,v1.2
MTR0000045,CUST0000419,SITE0022,smart meter,01/29/2018,100,active ,v2.1
MTR0000046,CUST0000020,SITE0015,Smart Meter,01/08/2020,1,active ,
MTR0000047,CUST0000720,SITE0030,smart meter,08/28/2021,100,active ,v1.3
MTR0000048,CUST0000210,SITE0014,Industrial Meter,07/22/2018,100,active ,v2.1
MTR0000049,CUST0000091,SITE0025,Industrial Meter,2021-04-29,1,Disconnected,v1.2
MTR0000050,CUST0000546,SITE0016,Net Meter,01/18/2019,100,Inactive,v1.2
MTR0000051,CUST0000477,SITE0021,Net Meter,01/24/2023,bad,Active,v1.3
MTR0000052,CUST0000451,SITE0001,Commercial Meter,2025-11-30,10,Disconnected,v2.1
