telemetry_id,asset_id,reading_ts,power_output_kw,temperature_c,vibration_mm_s,frequency_hz,status_code
AT0000000001,AST000001,2026-04-01 00:00:00,13.240,42.641,1.352,60.0117,TRIP
AT0000000002,AST000001,2026-04-01 01:00:00,0.000,58.629,0.872,59.9232,TRIP
AT0000000003,AST000001,2026-04-01 02:00:00,0.000,49.133,1.210,60.0135,TRIP
AT0000000004,AST000001,2026-04-01 03:00:00,11.286,34.971,1.806,59.9706,TRIP
AT0000000005,AST000001,2026-04-01 04:00:00,0.000,44.340,1.842,60.0849,NORMAL
AT0000000006,AST000001,2026-04-01 05:00:00,0.000,50.233,1.413,60.0054,NORMAL
AT0000000007,AST000001,2026-04-01 06:00:00,0.000,39.832,0.840,60.0084,NORMAL
AT0000000008,AST000001,2026-04-01 07:00:00,471.120,38.358,1.648,60.0239,TRIP
AT0000000009,AST000001,2026-04-01 08:00:00,388.989,31.520,1.402,59.9581,NORMAL
AT0000000010,AST000001,2026-04-01 09:00:00,290.415,41.474,0.954,60.0325,TRIP
AT0000000011,AST000001,2026-04-01 10:00:00,309.418,33.783,1.538,59.9034,NORMAL
AT0000000012,AST000001,2026-04-01 11:00:00,188.121,46.044,1.336,60.0399,NORMAL
AT0000000013,AST000001,2026-04-01 12:00:00,360.011,45.536,1.270,60.0976,NORMAL
AT0000000014,AST000001,2026-04-01 13:00:00,343.896,39.655,0.641,60.0054,NORMAL
AT0000000015,AST000001,2026-04-01 14:00:00,395.070,36.210,0.919,60.0641,NORMAL
AT0000000016,AST000001,2026-04-01 15:00:00,453.791,37.647,1.047,59.9455,NORMAL
AT0000000017,AST000001,2026-04-01 16:00:00,222.324,35.102,0.560,60.0125,WARNING
AT0000000018,AST000001,2026-04-01 17:00:00,312.461,23.542,1.099,59.9679,NORMAL
AT0000000019,AST000001,2026-04-01 18:00:00,444.135,37.436,1.503,59.9728,NORMAL
AT0000000020,AST000001,2026-04-01 19:00:00,0.000,28.127,1.128,59.9554,normal 
AT0000000021,AST000001,2026-04-01 20:00:00,0.000,43.354,1.392,59.9697,NORMAL
AT0000000022,AST000001,2026-04-01 21:00:00,0.000,53.973,0.881,60.0009,NORMAL
AT0000000023,AST000001,2026-04-01 22:00:00,0.000,39.161,1.535,60.0927,normal 
AT0000000024,AST000001,2026-04-01 23:00:00,0.000,41.569,1.083,60.0409,NORMAL
AT0000000025,AST000001,2026-04-02 00:00:00,58.566,37.327,0.719,59.9519,NORMAL
AT0000000026,AST000001,2026-04-02 01:00:00,136.589,42.641,1.609,60.0689,NORMAL
AT0000000027,AST000001,2026-04-02 02:00:00,43.105,28.597,1.097,60.0274,WARNING
AT0000000028,AST000001,2026-04-02 03:00:00,0.000,57.573,1.107,59.9634,normal 
AT0000000029,AST000001,2026-04-02 04:00:00,34.662,45.011,0.986,60.0644,NORMAL
AT0000000030,AST000001,2026-04-02 05:00:00,114.155,52.442,1.282,60.0295,NORMAL
AT0000000031,AST000001,2026-04-02 06:00:00,58.922,41.385,0.791,59.9696,TRIP
AT0000000032,AST000001,2026-04-02 07:00:00,380.917,52.249,1.212,60.0286,normal 
AT0000000033,AST000001,2026-04-02 08:00:00,273.460,38.474,1.227,60.0289,normal 
AT0000000034,AST000001,2026-04-02 09:00:00,318.164,42.862,0.971,59.9359,WARNING
AT0000000035,AST000001,2026-04-02 10:00:00,164.934,38.378,0.987,60.0526,TRIP
AT0000000036,AST000001,2026-04-02 11:00:00,344.308,50.955,1.213,59.9992,normal 
AT0000000037,AST000001,2026-04-02 12:00:00,467.911,45.230,1.350,59.9335,normal 
AT0000000038,AST000001,2026-04-02 13:00:00,405.819,35.870,1.399,59.9983,NORMAL
AT0000000039,AST000001,2026-04-02 14:00:00,430.502,41.833,1.586,59.9486,NORMAL
AT0000000040,AST000001,2026-04-02 15:00:00,457.674,34.281,0.717,59.9874,TRIP
AT0000000041,AST000001,2026-04-02 16:00:00,388.435,26.548,1.021,60.0234,NORMAL
AT0000000042,AST000001,2026-04-02 17:00:00,306.311,38.219,1.254,60.0327,NORMAL
AT0000000043,AST000001,2026-04-02 18:00:00,391.687,54.916,1.365,60.0196,NORMAL
AT0000000044,AST000001,2026-04-02 19:00:00,82.422,40.882,0.876,60.0308,WARNING
AT0000000045,AST000001,2026-04-02 20:00:00,46.382,32.953,1.578,59.9759,NORMAL
AT0000000046,AST000001,2026-04-02 21:00:00,126.851,49.735,1.751,60.0236,NORMAL
AT0000000047,AST000001,2026-04-02 22:00:00,0.000,51.378,1.314,59.9802,TRIP
AT0000000048,AST000001,2026-04-02 23:00:00,93.494,50.251,1.532,60.1264,TRIP
AT0000000049,AST000001,2026-04-03 00:00:00,0.000,23.005,0.814,60.0020,NORMAL
AT0000000050,AST000001,2026-04-03 01:00:00,139.537,47.937,0.849,60.0570,NORMAL
AT0000000051,AST000001,2026-04-03 02:00:00,0.000,44.333,1.113,59.9368,NORMAL
AT0000000052,AST000001,2026-04-03 03:00:00,134.282,46.718,1.567,60.0052,normal 
AT0000000053,AST000001,2026-04-03 04:00:00,0.000,44.039,1.536,59.9595,normal 
AT0000000054,AST000001,2026-04-03 05:00:00,104.290,51.060,1.146,59.9861,NORMAL
AT0000000055,AST000001,2026-04-03 06:00:00,126.601,46.507,1.370,59.9508,WARNING
AT0000000056,AST000001,2026-04-03 07:00:00,374.865,30.968,1.165,60.0485,TRIP
AT0000000057,AST000001,2026-04-03 08:00:00,349.149,42.587,1.984,59.9773,NORMAL
AT0000000058,AST000001,2026-04-03 09:00:00,379.628,44.318,0.733,60.0081,TRIP
AT0000000059,AST000001,2026-04-03 10:00:00,246.234,49.179,1.339,60.0164,NORMAL
AT0000000060,AST000001,2026-04-03 11:00:00,293.588,36.715,1.584,60.0476,NORMAL
AT0000000061,AST000001,2026-04-03 12:00:00,302.069,46.651,1.299,60.0385,normal 
AT0000000062,AST000001,2026-04-03 13:00:00,416.516,38.646,0.856,60.0246,NORMAL
AT0000000063,AST000001,2026-04-03 14:00:00,228.581,46.592,1.391,60.0011,TRIP
AT0000000064,AST000001,2026-04-03 15:00:00,436.770,42.521,1.435,60.0165,NORMAL
AT0000000065,AST000001,2026-04-03 16:00:00,252.639,41.022,0.942,59.9436,normal 
AT0000000066,AST000001,2026-04-03 17:00:00,315.176,48.275,1.002,60.0210,TRIP
AT0000000067,AST000001,2026-04-03 18:00:00,317.013,52.445,0.798,59.8967,TRIP
AT0000000068,AST000001,2026-04-03 19:00:00,0.000,45.967,1.335,60.0363,TRIP
AT0000000069,AST000001,2026-04-03 20:00:00,0.000,40.597,1.088,59.9639,NORMAL
AT0000000070,AST000001,2026-04-03 21:00:00,0.000,41.076,0.921,59.8630,NORMAL
AT0000000071,AST000001,2026-04-03 22:00:00,44.869,43.435,1.338,59.9931,NORMAL
AT0000000072,AST000001,2026-04-03 23:00:00,98.016,37.539,1.072,59.9898,TRIP
AT0000000073,AST000001,2026-04-04 00:00:00,95.481,44.728,1.090,59.9975,NORMAL
AT0000000074,AST000001,2026-04-04 01:00:00,10.776,25.871,0.957,60.0129,NORMAL
AT0000000075,AST000001,2026-04-04 02:00:00,0.000,41.894,1.400,59.9194,NORMAL
AT0000000076,AST000001,2026-04-04 03:00:00,50.557,36.054,1.099,60.0922,NORMAL
AT0000000077,AST000001,2026-04-04 04:00:00,66.388,45.307,1.121,59.9493,normal 
AT0000000078,AST000001,2026-04-04 05:00:00,0.000,42.663,0.835,60.0430,normal 
AT0000000079,AST000001,2026-04-04 06:00:00,0.000,49.746,1.055,59.9861,WARNING
AT0000000080,AST000001,2026-04-04 07:00:00,400.284,53.895,0.845,59.8783,NORMAL
AT0000000081,AST000001,2026-04-04 08:00:00,294.712,56.590,0.890,60.0483,WARNING
AT0000000082,AST000001,2026-04-04 09:00:00,221.951,46.133,0.894,59.9397,TRIP
AT0000000083,AST000001,2026-04-04 10:00:00,202.196,37.908,1.247,60.1139,NORMAL
AT0000000084,AST000001,2026-04-04 11:00:00,377.453,55.692,1.266,59.9955,NORMAL
AT0000000085,AST000001,2026-04-04 12:00:00,438.181,39.392,0.804,59.9343,NORMAL
AT0000000086,AST000001,2026-04-04 13:00:00,306.342,29.262,1.352,60.0772,NORMAL
AT0000000087,AST000001,2026-04-04 14:00:00,278.140,54.987,1.246,59.9847,NORMAL
AT0000000088,AST000001,2026-04-04 15:00:00,363.292,32.653,1.234,60.0102,NORMAL
AT0000000089,AST000001,2026-04-04 16:00:00,438.689,44.188,0.470,60.0027,TRIP
AT0000000090,AST000001,2026-04-04 17:00:00,432.685,32.566,1.176,60.1029,NORMAL
AT0000000091,AST000001,2026-04-04 18:00:00,276.150,10.154,0.863,59.9801,WARNING
AT0000000092,AST000001,2026-04-04 19:00:00,42.297,35.878,1.145,59.9765,TRIP
AT0000000093,AST000001,2026-04-04 20:00:00,0.000,39.932,0.774,60.0404,WARNING
AT0000000094,AST000001,2026-04-04 21:00:00,45.131,44.003,1.131,60.0034,NORMAL
AT0000000095,AST000001,2026-04-04 22:00:00,73.718,35.770,0.996,59.9771,TRIP
AT0000000096,AST000001,2026-04-04 23:00:00,23.465,45.079,1.096,60.0304,TRIP
AT0000000097,AST000001,2026-04-05 00:00:00,25.137,42.578,1.496,60.0264,NORMAL
AT0000000098,AST000001,2026-04-05 01:00:00,70.189,48.127,1.350,59.9484,normal 
AT0000000099,AST000001,2026-04-05 02:00:00,0.000,49.081,0.598,59.9403,normal 
AT0000000100,AST000001,2026-04-05 03:00:00,26.289,56.828,0.878,60.0047,NORMAL
AT0000000101,AST000001,2026-04-05 04:00:00,0.000,38.104,1.528,59.9569,NORMAL
AT0000000102,AST000001,2026-04-05 05:00:00,0.000,57.626,1.121,60.0117,NORMAL
AT0000000103,AST000001,2026-04-05 06:00:00,122.043,31.161,1.221,59.9942,NORMAL
AT0000000104,AST000001,2026-04-05 07:00:00,299.735,40.549,1.044,60.0268,WARNING
AT0000000105,AST000001,2026-04-05 08:00:00,165.518,52.930,0.885,60.0249,NORMAL
AT0000000106,AST000001,2026-04-05 09:00:00,266.020,60.605,1.388,60.0054,NORMAL
AT0000000107,AST000001,2026-04-05 10:00:00,399.701,47.595,1.078,59.9622,NORMAL
AT0000000108,AST000001,2026-04-05 11:00:00,325.145,47.481,1.219,60.0787,NORMAL
AT0000000109,AST000001,2026-04-05 12:00:00,325.878,40.528,1.310,59.9270,NORMAL
AT0000000110,AST000001,2026-04-05 13:00:00,240.277,43.312,1.458,60.0481,normal 
AT0000000111,AST000001,2026-04-05 14:00:00,401.741,38.206,1.396,60.0187,NORMAL
AT0000000112,AST000001,2026-04-05 15:00:00,298.095,33.759,0.986,59.9096,normal 
AT0000000113,AST000001,2026-04-05 16:00:00,445.679,47.485,1.147,60.0592,NORMAL
AT0000000114,AST000001,2026-04-05 17:00:00,289.044,50.180,1.013,60.0054,WARNING
AT0000000115,AST000001,2026-04-05 18:00:00,427.609,51.258,0.674,59.9608,TRIP
AT0000000116,AST000001,2026-04-05 19:00:00,95.442,50.041,1.170,60.0143,WARNING
AT0000000117,AST000001,2026-04-05 20:00:00,41.943,26.092,1.212,59.9328,NORMAL
AT0000000118,AST000001,2026-04-05 21:00:00,0.000,35.032,1.230,59.9665,TRIP
AT0000000119,AST000001,2026-04-05 22:00:00,0.000,46.403,1.382,59.9814,NORMAL
AT0000000120,AST000001,2026-04-05 23:00:00,32.775,55.727,1.039,60.0125,normal 
AT0000000121,AST000001,2026-04-06 00:00:00,12.640,23.950,0.827,59.9937,normal 
AT0000000122,AST000001,2026-04-06 01:00:00,86.166,39.089,1.359,59.9322,WARNING
AT0000000123,AST000001,2026-04-06 02:00:00,79.501,44.438,0.450,59.8685,normal 
AT0000000124,AST000001,2026-04-06 03:00:00,86.230,36.814,1.090,59.9877,NORMAL
AT0000000125,AST000001,2026-04-06 04:00:00,0.000,49.474,0.739,60.0235,NORMAL
AT0000000126,AST000001,2026-04-06 05:00:00,31.987,41.614,0.562,59.9943,normal 
AT0000000127,AST000001,2026-04-06 06:00:00,0.000,49.179,0.862,60.0152,WARNING
AT0000000128,AST000001,2026-04-06 07:00:00,430.132,29.599,1.035,60.0638,normal 
AT0000000129,AST000001,2026-04-06 08:00:00,338.191,55.674,1.094,59.9528,WARNING
AT0000000130,AST000001,2026-04-06 09:00:00,388.326,48.930,1.369,60.0120,WARNING
AT0000000131,AST000001,2026-04-06 10:00:00,325.214,24.852,1.205,60.0451,TRIP
AT0000000132,AST000001,2026-04-06 11:00:00,359.989,43.368,1.028,60.1062,NORMAL
AT0000000133,AST000001,2026-04-06 12:00:00,570.823,37.059,1.301,59.9689,WARNING
AT0000000134,AST000001,2026-04-06 13:00:00,297.237,33.646,1.806,60.0516,TRIP
AT0000000135,AST000001,2026-04-06 14:00:00,308.579,45.992,0.982,59.9615,TRIP
AT0000000136,AST000001,2026-04-06 15:00:00,459.374,51.159,1.176,60.0181,NORMAL
AT0000000137,AST000001,2026-04-06 16:00:00,411.226,40.914,2.020,59.9947,normal 
AT0000000138,AST000001,2026-04-06 17:00:00,444.837,54.819,1.463,59.9601,NORMAL
AT0000000139,AST000001,2026-04-06 18:00:00,396.720,42.361,0.680,60.0314,TRIP
AT0000000140,AST000001,2026-04-06 19:00:00,102.194,44.429,1.206,60.0002,normal 
AT0000000141,AST000001,2026-04-06 20:00:00,115.351,41.317,1.135,59.9609,NORMAL
AT0000000142,AST000001,2026-04-06 21:00:00,0.000,45.436,1.568,59.9986,NORMAL
AT0000000143,AST000001,2026-04-06 22:00:00,3.646,41.200,1.433,59.9353,NORMAL
AT0000000144,AST000001,2026-04-06 23:00:00,0.000,40.451,1.112,60.0053,TRIP
AT0000000145,AST000001,2026-04-07 00:00:00,135.772,38.387,1.325,60.0402,WARNING
AT0000000146,AST000001,2026-04-07 01:00:00,118.668,52.265,0.892,59.9665,TRIP
AT0000000147,AST000001,2026-04-07 02:00:00,85.848,40.488,1.037,60.0681,NORMAL
AT0000000148,AST000001,2026-04-07 03:00:00,0.000,42.795,1.774,59.9363,NORMAL
AT0000000149,AST000001,2026-04-07 04:00:00,0.000,25.000,1.075,60.0134,normal 
AT0000000150,AST000001,2026-04-07 05:00:00,86.155,48.729,0.997,60.0706,NORMAL
AT0000000151,AST000001,2026-04-07 06:00:00,161.727,51.929,0.557,59.9642,NORMAL
AT0000000152,AST000001,2026-04-07 07:00:00,222.917,28.479,1.207,59.9312,normal 
AT0000000153,AST000001,2026-04-07 08:00:00,243.210,45.397,1.119,60.0341,WARNING
AT0000000154,AST000001,2026-04-07 09:00:00,213.114,85.758,1.531,59.9906,normal 
AT0000000155,AST000001,2026-04-07 10:00:00,324.197,40.661,1.397,60.0325,NORMAL
AT0000000156,AST000001,2026-04-07 11:00:00,447.160,42.875,1.047,59.9806,TRIP
AT0000000157,AST000001,2026-04-07 12:00:00,365.720,35.521,0.888,60.0046,WARNING
AT0000000158,AST000001,2026-04-07 13:00:00,424.586,43.882,1.517,60.0223,NORMAL
AT0000000159,AST000001,2026-04-07 14:00:00,433.456,41.939,1.425,59.9892,normal 
AT0000000160,AST000001,2026-04-07 15:00:00,364.056,40.580,1.340,59.9322,NORMAL
AT0000000161,AST000001,2026-04-07 16:00:00,299.027,46.994,1.299,59.9419,normal 
AT0000000162,AST000001,2026-04-07 17:00:00,390.637,47.483,0.703,60.0298,TRIP
AT0000000163,AST000001,2026-04-07 18:00:00,517.992,36.281,1.136,59.9836,NORMAL
AT0000000164,AST000001,2026-04-07 19:00:00,0.000,33.388,1.653,60.0720,NORMAL
AT0000000165,AST000001,2026-04-07 20:00:00,49.955,45.971,1.138,59.9922,WARNING
AT0000000166,AST000001,2026-04-07 21:00:00,0.774,38.296,0.697,59.9788,TRIP
AT0000000167,AST000001,2026-04-07 22:00:00,11.733,36.068,1.165,59.9908,TRIP
AT0000000168,AST000001,2026-04-07 23:00:00,0.000,66.214,1.429,59.9579,NORMAL
AT0000000169,AST000001,2026-04-08 00:00:00,0.000,46.311,1.492,59.9458,NORMAL
AT0000000170,AST000001,2026-04-08 01:00:00,21.808,41.644,0.881,60.0774,normal 
AT0000000171,AST000001,2026-04-08 02:00:00,0.000,37.051,1.722,60.0254,NORMAL
AT0000000172,AST000001,2026-04-08 03:00:00,0.000,58.461,1.215,60.1145,normal 
AT0000000173,AST000001,2026-04-08 04:00:00,31.176,40.857,1.482,60.0186,NORMAL
AT0000000174,AST000001,2026-04-08 05:00:00,0.000,37.160,1.316,59.9709,NORMAL
AT0000000175,AST000001,2026-04-08 06:00:00,100.569,42.247,1.378,60.0789,NORMAL
AT0000000176,AST000001,2026-04-08 07:00:00,204.025,48.123,1.111,59.9752,normal 
AT0000000177,AST000001,2026-04-08 08:00:00,301.106,33.316,1.508,59.9782,NORMAL
AT0000000178,AST000001,2026-04-08 09:00:00,322.105,48.849,0.915,59.9317,normal 
AT0000000179,AST000001,2026-04-08 10:00:00,201.975,29.694,0.899,60.1013,normal 
AT0000000180,AST000001,2026-04-08 11:00:00,363.297,31.230,1.090,59.9941,WARNING
AT0000000181,AST000001,2026-04-08 12:00:00,247.068,34.262,0.777,60.0193,normal 
AT0000000182,AST000001,2026-04-08 13:00:00,275.976,51.891,0.874,59.9948,normal 
AT0000000183,AST000001,2026-04-08 14:00:00,511.190,39.590,0.980,60.0328,NORMAL
AT0000000184,AST000001,2026-04-08 15:00:00,283.924,51.702,1.707,59.9643,NORMAL
AT0000000185,AST000001,2026-04-08 16:00:00,140.178,51.891,0.561,59.9954,NORMAL
AT0000000186,AST000001,2026-04-08 17:00:00,394.244,43.785,1.076,60.0509,WARNING
AT0000000187,AST000001,2026-04-08 18:00:00,461.160,37.127,0.925,59.9781,normal 
AT0000000188,AST000001,2026-04-08 19:00:00,83.285,41.549,1.574,59.9897,normal 
AT0000000189,AST000001,2026-04-08 20:00:00,0.000,48.583,1.149,59.9767,TRIP
AT0000000190,AST000001,2026-04-08 21:00:00,0.000,53.285,0.978,60.0013,WARNING
AT0000000191,AST000001,2026-04-08 22:00:00,0.000,37.085,1.131,60.0466,NORMAL
AT0000000192,AST000001,2026-04-08 23:00:00,64.483,53.439,1.494,60.0643,TRIP
AT0000000193,AST000001,2026-04-09 00:00:00,0.000,40.419,1.126,60.0212,NORMAL
AT0000000194,AST000001,2026-04-09 01:00:00,0.000,33.662,1.213,59.9163,NORMAL
AT0000000195,AST000001,2026-04-09 02:00:00,0.000,45.288,1.035,60.0600,TRIP
AT0000000196,AST000001,2026-04-09 03:00:00,0.000,49.785,1.194,59.9573,NORMAL
AT0000000197,AST000001,2026-04-09 04:00:00,151.246,26.250,1.438,60.0251,normal 
AT0000000198,AST000001,2026-04-09 05:00:00,76.389,32.391,1.136,60.0358,NORMAL
AT0000000199,AST000001,2026-04-09 06:00:00,40.720,39.009,1.277,59.9989,NORMAL
AT0000000200,AST000001,2026-04-09 07:00:00,317.375,42.078,1.104,60.0543,normal 
AT0000000201,AST000001,2026-04-09 08:00:00,377.992,40.790,1.534,59.8752,normal 
AT0000000202,AST000001,2026-04-09 09:00:00,371.505,42.807,1.169,60.0739,NORMAL
AT0000000203,AST000001,2026-04-09 10:00:00,189.266,44.174,1.149,60.0798,normal 
AT0000000204,AST000001,2026-04-09 11:00:00,396.208,45.016,1.045,60.0674,NORMAL
AT0000000205,AST000001,2026-04-09 12:00:00,318.789,41.248,1.304,60.0785,normal 
AT0000000206,AST000001,2026-04-09 13:00:00,469.470,37.480,1.541,60.0653,NORMAL
AT0000000207,AST000001,2026-04-09 14:00:00,236.891,41.197,0.926,59.9908,TRIP
AT0000000208,AST000001,2026-04-09 15:00:00,300.083,38.926,1.087,60.0351,NORMAL
AT0000000209,AST000001,2026-04-09 16:00:00,305.060,44.686,1.333,60.0150,WARNING
AT0000000210,AST000001,2026-04-09 17:00:00,371.297,43.186,1.174,59.9872,normal 
AT0000000211,AST000001,2026-04-09 18:00:00,386.135,25.759,1.732,59.9830,normal 
AT0000000212,AST000001,2026-04-09 19:00:00,0.000,52.955,1.489,59.9817,normal 
AT0000000213,AST000001,2026-04-09 20:00:00,108.628,36.450,0.514,59.9835,NORMAL
AT0000000214,AST000001,2026-04-09 21:00:00,137.015,56.165,1.422,59.9041,TRIP
AT0000000215,AST000001,2026-04-09 22:00:00,100.428,45.591,1.077,60.0579,NORMAL
AT0000000216,AST000001,2026-04-09 23:00:00,32.935,41.656,1.510,60.0241,normal 
AT0000000217,AST000001,2026-04-10 00:00:00,53.869,34.682,1.302,59.9853,NORMAL
AT0000000218,AST000001,2026-04-10 01:00:00,0.000,39.121,0.837,59.9973,NORMAL
AT0000000219,AST000001,2026-04-10 02:00:00,77.454,45.305,0.972,59.9004,NORMAL
AT0000000220,AST000001,2026-04-10 03:00:00,0.000,58.417,1.225,59.9522,normal 
AT0000000221,AST000001,2026-04-10 04:00:00,0.000,37.527,1.685,59.9944,NORMAL
AT0000000222,AST000001,2026-04-10 05:00:00,10.237,37.253,1.387,59.9622,WARNING
AT0000000223,AST000001,2026-04-10 06:00:00,0.000,27.743,1.028,60.0683,NORMAL
AT0000000224,AST000001,2026-04-10 07:00:00,446.076,38.985,1.283,59.9665,normal 
AT0000000225,AST000001,2026-04-10 08:00:00,267.449,32.526,1.152,59.9848,NORMAL
AT0000000226,AST000001,2026-04-10 09:00:00,294.258,25.349,1.542,59.9391,normal 
AT0000000227,AST000001,2026-04-10 10:00:00,298.088,42.079,1.475,59.9882,NORMAL
AT0000000228,AST000001,2026-04-10 11:00:00,539.111,45.996,1.496,59.9614,NORMAL
AT0000000229,AST000001,2026-04-10 12:00:00,300.033,35.938,1.183,59.9732,NORMAL
AT0000000230,AST000001,2026-04-10 13:00:00,345.547,42.036,1.305,59.9895,WARNING
AT0000000231,AST000001,2026-04-10 14:00:00,440.852,31.098,0.934,59.9585,TRIP
AT0000000232,AST000001,2026-04-10 15:00:00,276.320,45.416,1.565,60.0787,normal 
AT0000000233,AST000001,2026-04-10 16:00:00,465.193,28.510,1.024,59.9612,normal 
AT0000000234,AST000001,2026-04-10 17:00:00,543.464,44.781,1.420,60.0277,NORMAL
AT0000000235,AST000001,2026-04-10 18:00:00,292.540,52.577,0.953,59.9808,NORMAL
AT0000000236,AST000001,2026-04-10 19:00:00,0.000,29.124,1.210,60.0163,NORMAL
AT0000000237,AST000001,2026-04-10 20:00:00,0.000,34.723,0.815,60.0060,NORMAL
AT0000000238,AST000001,2026-04-10 21:00:00,109.361,39.450,1.063,60.0100,NORMAL
