cdc_id,asset_id,effective_ts,operation,new_asset_status,new_criticality,change_reason
ACDC0000001,AST000217,2026-02-08 07:24:50,UPDATE,Maintenance,High,maintenance_review
ACDC0000002,AST000024,2026-02-03 15:59:29,UPDATE,Standby,High,maintenance_review
ACDC0000003,AST000155,2026-03-19 02:10:13,UPDATE,Maintenance,Critical,maintenance_review
ACDC0000004,AST000193,2026-03-14 17:55:41,UPDATE,Maintenance,High,maintenance_review
ACDC0000005,AST000189,2026-02-08 07:04:17,UPDATE,Active,Medium,retirement
ACDC0000006,AST000150,2026-03-02 11:22:06,UPDATE,Standby,High,condition_update
ACDC0000007,AST000175,2026-03-25 14:00:37,RETIRE,Retired,Medium,condition_update
ACDC0000008,AST000173,2026-05-13 15:34:54,UPDATE,Active,High,condition_update
ACDC0000009,AST000195,2026-04-15 17:22:46,UPDATE,Retired,Low,capacity_change
ACDC0000010,AST000153,2026-05-28 05:35:58,UPDATE,Active,Low,retirement
ACDC0000011,AST000242,2026-02-26 18:07:04,UPDATE,Maintenance,Medium,retirement
ACDC0000012,AST000227,2026-04-06 09:43:08,UPDATE,Standby,Low,capacity_change
ACDC0000013,AST000059,2026-05-22 01:41:35,UPDATE,Maintenance,Low,condition_update
ACDC0000014,AST000233,2026-05-26 22:44:55,UPDATE,Retired,Critical,maintenance_review
ACDC0000015,AST000248,2026-05-10 05:46:53,UPDATE,Retired,Critical,capacity_change
ACDC0000016,AST000172,2026-05-10 15:06:26,RETIRE,Retired,Low,maintenance_review
ACDC0000017,AST000069,2026-02-14 05:35:39,RETIRE,Maintenance,Low,retirement
ACDC0000018,AST000154,2026-05-08 22:51:03,UPDATE,Retired,Medium,condition_update
ACDC0000019,AST000157,2026-02-04 03:39:20,UPDATE,Standby,Low,maintenance_review
ACDC0000020,AST000022,2026-03-06 22:13:00,UPDATE,Standby,High,condition_update
ACDC0000021,AST000099,2026-05-28 20:23:53,UPDATE,Maintenance,Medium,condition_update
ACDC0000022,AST000041,2026-04-22 16:07:37,UPDATE,Maintenance,Critical,condition_update
ACDC0000023,AST000033,2026-02-26 15:21:26,RETIRE,Maintenance,Critical,capacity_change
ACDC0000024,AST000209,2026-02-11 06:25:19,UPDATE,Retired,Low,condition_update
ACDC0000025,AST000121,2026-02-07 08:14:23,RETIRE,Standby,Low,capacity_change
