bill_id,customer_id,billing_month,bill_date,due_date,energy_charge,demand_charge,fixed_charge,tax_amount,total_amount,bill_status
BILL00000001,CUST0000001,2026-04-01,2026-04-28,2026-05-18,1332.17,204.95,51.24,119.55,1707.91,Paid
BILL00000002,CUST0000001,2026-05-01,2026-05-28,2026-06-17,17224.91,2649.99,662.5,1545.83,22083.22,Cancelled
BILL00000003,CUST0000002,2026-04-01,2026-04-28,2026-05-18,11053.91,1700.6,425.15,992.02,14171.68,Past Due
BILL00000004,CUST0000002,2026-05-01,2026-05-28,2026-06-17,14880.18,2289.26,572.31,1335.4,19077.15,Open
BILL00000005,CUST0000003,2026-04-01,2026-04-28,2026-05-18,8039.05,1236.78,309.19,721.45,10306.47,Open
BILL00000006,CUST0000003,2026-05-01,2026-05-28,2026-06-17,10124.99,1557.69,389.42,908.65,12980.76,Cancelled
BILL00000007,CUST0000004,2026-04-01,2026-04-28,2026-05-18,4201.27,646.35,161.59,377.04,5386.24,Past Due
BILL00000008,CUST0000004,2026-05-01,2026-05-28,2026-06-17,2375.8,365.51,91.38,213.21,3045.89,Cancelled
BILL00000009,CUST0000005,2026-04-01,2026-04-28,2026-05-18,13562.65,2086.56,521.64,1217.16,17388.01,Cancelled
BILL00000010,CUST0000005,2026-05-01,2026-05-28,2026-06-17,18662.22,2871.11,717.78,1674.81,23925.93,Open
BILL00000011,CUST0000006,2026-04-01,2026-04-28,2026-05-18,2909.26,447.58,111.89,261.09,3729.83,Paid
BILL00000012,CUST0000006,2026-05-01,2026-05-28,2026-06-17,3135.78,482.43,120.61,281.42,4020.23,Paid
BILL00000013,CUST0000007,2026-04-01,2026-04-28,2026-05-18,18370.83,2826.28,706.57,1648.66,23552.35,Paid
BILL00000014,CUST0000007,2026-05-01,2026-05-28,2026-06-17,13796.86,2122.59,530.65,1238.18,17688.28,Open
BILL00000015,CUST0000008,2026-04-01,2026-04-28,2026-05-18,2732.72,420.42,105.1,245.24,3503.49,Paid
BILL00000016,CUST0000008,2026-05-01,2026-05-28,2026-06-17,6496.13,999.4,249.85,582.99,8328.37,Open
BILL00000017,CUST0000009,2026-04-01,2026-04-28,2026-05-18,8458.38,1301.29,325.32,759.09,10844.08,Paid
BILL00000018,CUST0000009,2026-05-01,2026-05-28,2026-06-17,5976.22,919.42,229.85,536.33,7661.83,Open
BILL00000019,CUST0000010,2026-04-01,2026-04-28,2026-05-18,7201.23,1107.88,276.97,646.26,9232.34,Cancelled
BILL00000020,CUST0000010,2026-05-01,2026-05-28,2026-06-17,1052.96,161.99,40.5,94.5,1349.95,Open
BILL00000021,CUST0000011,2026-04-01,2026-04-28,2026-05-18,5574.47,857.61,214.4,500.27,7146.76,Cancelled
BILL00000022,CUST0000011,2026-05-01,2026-05-28,2026-06-17,17867.69,2748.88,687.22,1603.51,22907.3,Cancelled
BILL00000023,CUST0000012,2026-04-01,2026-04-28,2026-05-18,15031.2,2312.49,578.12,1348.95,19270.77,Past Due
BILL00000024,CUST0000012,2026-05-01,2026-05-28,2026-06-17,8693.28,1337.43,334.36,780.17,11145.22,Past Due
BILL00000025,CUST0000013,2026-04-01,2026-04-28,2026-05-18,18132.25,2789.58,697.39,1627.25,23246.48,Open
BILL00000026,CUST0000013,2026-05-01,2026-05-28,2026-06-17,2766.33,425.59,106.4,248.26,3546.57,Past Due
BILL00000027,CUST0000014,2026-04-01,2026-04-28,2026-05-18,9918.27,1525.89,381.47,890.1,12715.73,Open
BILL00000028,CUST0000014,2026-05-01,2026-05-28,2026-06-17,633.16,97.41,24.35,56.82,811.74,Open
BILL00000029,CUST0000015,2026-04-01,2026-04-28,2026-05-18,15806.36,2431.75,607.94,1418.52,20264.56,Paid
BILL00000030,CUST0000015,2026-05-01,2026-05-28,2026-06-17,12782.21,1966.49,491.62,1147.12,16387.45,Paid
BILL00000031,CUST0000016,2026-04-01,2026-04-28,2026-05-18,6343.63,975.94,243.99,569.3,8132.86,Past Due
BILL00000032,CUST0000016,2026-05-01,2026-05-28,2026-06-17,9210.55,1417.01,354.25,826.59,11808.4,Past Due
BILL00000033,CUST0000017,2026-04-01,2026-04-28,2026-05-18,13620.51,2095.46,523.87,1222.35,17462.2,Open
BILL00000034,CUST0000017,2026-05-01,2026-05-28,2026-06-17,9576.04,1473.24,368.31,859.39,12276.97,Open
BILL00000035,CUST0000018,2026-04-01,2026-04-28,2026-05-18,829.48,127.61,31.9,74.44,1063.43,Cancelled
BILL00000036,CUST0000018,2026-05-01,2026-05-28,2026-06-17,13347.22,2053.42,513.35,1197.83,17111.82,Cancelled
BILL00000037,CUST0000019,2026-04-01,2026-04-28,2026-05-18,17544.99,2699.23,674.81,1574.55,22493.57,Cancelled
BILL00000038,CUST0000019,2026-05-01,2026-05-28,2026-06-17,1655.37,254.67,63.67,148.56,2122.27,Cancelled
BILL00000039,CUST0000020,2026-04-01,2026-04-28,2026-05-18,1428.44,219.76,54.94,128.19,1831.34,Open
BILL00000040,CUST0000020,2026-05-01,2026-05-28,2026-06-17,10219.97,1572.3,393.08,917.18,13102.53,Cancelled
BILL00000041,CUST0000021,2026-04-01,2026-04-28,2026-05-18,624.1,96.01,24.0,56.01,800.12,Open
BILL00000042,CUST0000021,2026-05-01,2026-05-28,2026-06-17,14675.21,2257.72,564.43,1317.01,18814.37,Past Due
BILL00000043,CUST0000022,2026-04-01,2026-04-28,2026-05-18,4799.88,738.44,184.61,430.76,6153.7,Open
BILL00000044,CUST0000022,2026-05-01,2026-05-28,2026-06-17,16891.62,2598.71,649.68,1515.91,21655.92,Open
BILL00000045,CUST0000023,2026-04-01,2026-04-28,2026-05-18,2162.66,332.72,83.18,194.08,2772.64,Past Due
BILL00000046,CUST0000023,2026-05-01,2026-05-28,2026-06-17,10030.8,1543.2,385.8,900.2,12859.99,Paid
BILL00000047,CUST0000024,2026-04-01,2026-04-28,2026-05-18,11571.6,1780.25,445.06,1038.48,14835.38,Open
BILL00000048,CUST0000024,2026-05-01,2026-05-28,2026-06-17,9954.62,1531.48,382.87,893.36,12762.33,Open
BILL00000049,CUST0000025,2026-04-01,2026-04-28,2026-05-18,6966.45,1071.76,267.94,625.19,8931.34,Cancelled
BILL00000050,CUST0000025,2026-05-01,2026-05-28,2026-06-17,525.94,80.91,20.23,47.2,674.28,Open
BILL00000051,CUST0000026,2026-04-01,2026-04-28,2026-05-18,7429.03,1142.93,285.73,666.71,9524.4,Cancelled
BILL00000052,CUST0000026,2026-05-01,2026-05-28,2026-06-17,8094.88,1245.37,311.34,726.46,10378.06,Open
BILL00000053,CUST0000027,2026-04-01,2026-04-28,2026-05-18,14282.1,2197.25,549.31,1281.73,18310.39,Open
BILL00000054,CUST0000027,2026-05-01,2026-05-28,2026-06-17,1998.01,307.39,76.85,179.31,2561.55,Open
BILL00000055,CUST0000028,2026-04-01,2026-04-28,2026-05-18,5865.64,902.41,225.6,526.4,7520.05,Cancelled
BILL00000056,CUST0000028,2026-05-01,2026-05-28,2026-06-17,8886.94,1367.22,341.81,797.55,11393.51,Past Due
BILL00000057,CUST0000029,2026-04-01,2026-04-28,2026-05-18,16838.52,2590.54,647.64,1511.15,21587.84,Paid
BILL00000058,CUST0000029,2026-05-01,2026-05-28,2026-06-17,16271.56,2503.32,625.83,1460.27,20860.98,Paid
BILL00000059,CUST0000030,2026-04-01,2026-04-28,2026-05-18,14973.16,2303.56,575.89,1343.74,19196.35,Past Due
BILL00000060,CUST0000030,2026-05-01,2026-05-28,2026-06-17,12879.14,1981.41,495.35,1155.82,16511.72,Open
BILL00000061,CUST0000031,2026-04-01,2026-04-28,2026-05-18,883.92,135.99,34.0,79.33,1133.23,Paid
BILL00000062,CUST0000031,2026-05-01,2026-05-28,2026-06-17,7999.5,1230.69,307.67,717.9,10255.77,Open
BILL00000063,CUST0000032,2026-04-01,2026-04-28,2026-05-18,3011.73,463.34,115.84,270.28,3861.2,Paid
BILL00000064,CUST0000032,2026-05-01,2026-05-28,2026-06-17,18347.6,2822.71,705.68,1646.58,23522.57,Paid
BILL00000065,CUST0000033,2026-04-01,2026-04-28,2026-05-18,8220.28,1264.66,316.16,737.72,10538.82,Past Due
BILL00000066,CUST0000033,2026-05-01,2026-05-28,2026-06-17,9835.74,1513.19,378.3,882.69,12609.93,Paid
BILL00000067,CUST0000034,2026-04-01,2026-04-28,2026-05-18,7179.49,1104.54,276.13,644.31,9204.47,Past Due
BILL00000068,CUST0000034,2026-05-01,2026-05-28,2026-06-17,19172.7,2949.65,737.41,1720.63,24580.38,Paid
BILL00000069,CUST0000035,2026-04-01,2026-04-28,2026-05-18,5191.25,798.65,199.66,465.88,6655.45,Open
BILL00000070,CUST0000035,2026-05-01,2026-05-28,2026-06-17,14725.92,2265.53,566.38,1321.56,18879.38,Paid
BILL00000071,CUST0000036,2026-04-01,2026-04-28,2026-05-18,12872.87,1980.44,495.11,1155.26,16503.67,Open
BILL00000072,CUST0000036,2026-05-01,2026-05-28,2026-06-17,16197.2,2491.88,622.97,1453.59,20765.64,Open
BILL00000073,CUST0000037,2026-04-01,2026-04-28,2026-05-18,13468.49,2072.07,518.02,1208.71,17267.29,Cancelled
BILL00000074,CUST0000037,2026-05-01,2026-05-28,2026-06-17,10132.63,1558.87,389.72,909.34,12990.55,Open
BILL00000075,CUST0000038,2026-04-01,2026-04-28,2026-05-18,3594.38,552.98,138.25,322.57,4608.18,Past Due
BILL00000076,CUST0000038,2026-05-01,2026-05-28,2026-06-17,18385.52,2828.54,707.14,1649.98,23571.18,Open
BILL00000077,CUST0000039,2026-04-01,2026-04-28,2026-05-18,10833.99,1666.77,416.69,972.28,13889.73,Paid
BILL00000078,CUST0000039,2026-05-01,2026-05-28,2026-06-17,11558.1,1778.17,444.54,1037.27,14818.07,Open
BILL00000079,CUST0000040,2026-04-01,2026-04-28,2026-05-18,7422.13,1141.87,285.47,666.09,9515.55,Paid
BILL00000080,CUST0000040,2026-05-01,2026-05-28,2026-06-17,770.2,118.49,29.62,69.12,987.44,Past Due
BILL00000081,CUST0000041,2026-04-01,2026-04-28,2026-05-18,6302.63,969.64,242.41,565.62,8080.3,Past Due
BILL00000082,CUST0000041,2026-05-01,2026-05-28,2026-06-17,10693.79,1645.2,411.3,959.7,13709.99,Paid
BILL00000083,CUST0000042,2026-04-01,2026-04-28,2026-05-18,13639.21,2098.34,524.58,1224.03,17486.16,Past Due
BILL00000084,CUST0000042,2026-05-01,2026-05-28,2026-06-17,16275.6,2503.94,625.98,1460.63,20866.16,Past Due
BILL00000085,CUST0000043,2026-04-01,2026-04-28,2026-05-18,10557.21,1624.19,406.05,947.44,13534.89,Paid
BILL00000086,CUST0000043,2026-05-01,2026-05-28,2026-06-17,13186.58,2028.7,507.18,1183.41,16905.87,Past Due
BILL00000087,CUST0000044,2026-04-01,2026-04-28,2026-05-18,19083.34,2935.9,733.97,1712.61,24465.82,Open
BILL00000088,CUST0000044,2026-05-01,2026-05-28,2026-06-17,1778.18,273.57,68.39,159.58,2279.72,Paid
BILL00000089,CUST0000045,2026-04-01,2026-04-28,2026-05-18,2331.7,358.72,89.68,209.25,2989.36,Past Due
BILL00000090,CUST0000045,2026-05-01,2026-05-28,2026-06-17,9548.28,1468.97,367.24,856.9,12241.38,Paid
BILL00000091,CUST0000046,2026-04-01,2026-04-28,2026-05-18,17072.02,2626.46,656.62,1532.1,21887.2,Open
BILL00000092,CUST0000046,2026-05-01,2026-05-28,2026-06-17,3511.53,540.24,135.06,315.14,4501.96,Paid
BILL00000093,CUST0000047,2026-04-01,2026-04-28,2026-05-18,9904.42,1523.76,380.94,888.86,12697.97,Open
BILL00000094,CUST0000047,2026-05-01,2026-05-28,2026-06-17,1895.14,291.56,72.89,170.08,2429.67,Paid
BILL00000095,CUST0000048,2026-04-01,2026-04-28,2026-05-18,7755.88,1193.21,298.3,696.04,9943.44,Cancelled
BILL00000096,CUST0000048,2026-05-01,2026-05-28,2026-06-17,19498.32,2999.74,749.94,1749.85,24997.85,Open
BILL00000097,CUST0000049,2026-04-01,2026-04-28,2026-05-18,13340.69,2052.41,513.1,1197.24,17103.44,Cancelled
BILL00000098,CUST0000049,2026-05-01,2026-05-28,2026-06-17,3676.03,565.54,141.39,329.9,4712.86,Past Due
BILL00000099,CUST0000050,2026-04-01,2026-04-28,2026-05-18,5770.17,887.72,221.93,517.84,7397.66,Paid
BILL00000100,CUST0000050,2026-05-01,2026-05-28,2026-06-17,16643.77,2560.58,640.14,1493.67,21338.16,Open
BILL00000101,CUST0000051,2026-04-01,2026-04-28,2026-05-18,3218.01,495.08,123.77,288.8,4125.66,Open
BILL00000102,CUST0000051,2026-05-01,2026-05-28,2026-06-17,12735.79,1959.35,489.84,1142.96,16327.93,Past Due
BILL00000103,CUST0000052,2026-04-01,2026-04-28,2026-05-18,16632.63,2558.87,639.72,1492.67,21323.88,Cancelled
BILL00000104,CUST0000052,2026-05-01,2026-05-28,2026-06-17,1104.93,169.99,42.5,99.16,1416.58,Cancelled
BILL00000105,CUST0000053,2026-04-01,2026-04-28,2026-05-18,12160.18,1870.8,467.7,1091.3,15589.97,Past Due
BILL00000106,CUST0000053,2026-05-01,2026-05-28,2026-06-17,15021.27,2310.97,577.74,1348.06,19258.04,Open
BILL00000107,CUST0000054,2026-04-01,2026-04-28,2026-05-18,14842.4,2283.45,570.86,1332.01,19028.72,Paid
BILL00000108,CUST0000054,2026-05-01,2026-05-28,2026-06-17,9056.27,1393.27,348.32,812.74,11610.6,Open
BILL00000109,CUST0000055,2026-04-01,2026-04-28,2026-05-18,11748.17,1807.41,451.85,1054.32,15061.76,Open
BILL00000110,CUST0000055,2026-05-01,2026-05-28,2026-06-17,17714.77,2725.35,681.34,1589.79,22711.24,Open
BILL00000111,CUST0000056,2026-04-01,2026-04-28,2026-05-18,4031.67,620.26,155.06,361.82,5168.8,Paid
BILL00000112,CUST0000056,2026-05-01,2026-05-28,2026-06-17,8330.49,1281.61,320.4,747.61,10680.12,Paid
BILL00000113,CUST0000057,2026-04-01,2026-04-28,2026-05-18,1279.11,196.79,49.2,114.79,1639.89,Paid
BILL00000114,CUST0000057,2026-05-01,2026-05-28,2026-06-17,3311.56,509.47,127.37,297.19,4245.58,Past Due
BILL00000115,CUST0000058,2026-04-01,2026-04-28,2026-05-18,4409.78,678.43,169.61,395.75,5653.57,Open
BILL00000116,CUST0000058,2026-05-01,2026-05-28,2026-06-17,8307.6,1278.09,319.52,745.55,10650.77,Paid
BILL00000117,CUST0000059,2026-04-01,2026-04-28,2026-05-18,6219.72,956.88,239.22,558.18,7974.0,Paid
BILL00000118,CUST0000059,2026-05-01,2026-05-28,2026-06-17,1210.62,186.25,46.56,108.65,1552.07,Past Due
BILL00000119,CUST0000060,2026-04-01,2026-04-28,2026-05-18,18371.46,2826.38,706.59,1648.72,23553.15,Open
BILL00000120,CUST0000060,2026-05-01,2026-05-28,2026-06-17,4885.85,751.67,187.92,438.47,6263.91,Past Due
BILL00000121,CUST0000061,2026-04-01,2026-04-28,2026-05-18,2620.06,403.09,100.77,235.13,3359.05,Open
BILL00000122,CUST0000061,2026-05-01,2026-05-28,2026-06-17,2482.52,381.93,95.48,222.79,3182.72,Cancelled
BILL00000123,CUST0000062,2026-04-01,2026-04-28,2026-05-18,7779.21,1196.8,299.2,698.13,9973.35,Open
BILL00000124,CUST0000062,2026-05-01,2026-05-28,2026-06-17,2772.86,426.59,106.65,248.85,3554.94,Paid
BILL00000125,CUST0000063,2026-04-01,2026-04-28,2026-05-18,12908.17,1985.87,496.47,1158.43,16548.93,Cancelled
BILL00000126,CUST0000063,2026-05-01,2026-05-28,2026-06-17,12786.47,1967.15,491.79,1147.5,16392.91,Open
BILL00000127,CUST0000064,2026-04-01,2026-04-28,2026-05-18,9212.68,1417.34,354.33,826.78,11811.13,Open
BILL00000128,CUST0000064,2026-05-01,2026-05-28,2026-06-17,6060.51,932.39,233.1,543.89,7769.89,Past Due
BILL00000129,CUST0000065,2026-04-01,2026-04-28,2026-05-18,15775.83,2427.05,606.76,1415.78,20225.42,Paid
BILL00000130,CUST0000065,2026-05-01,2026-05-28,2026-06-17,1111.11,170.94,42.73,99.71,1424.5,Cancelled
BILL00000131,CUST0000066,2026-04-01,2026-04-28,2026-05-18,14671.98,2257.23,564.31,1316.72,18810.23,Paid
