customer_tariff_id,customer_id,tariff_id,effective_start_date,effective_end_date
CT0000001,CUST0000001,TAR005,2025-10-15,
CT0000002,CUST0000002,TAR004,2025-04-10,
CT0000003,CUST0000003,TAR002,2025-05-06,
CT0000004,CUST0000004,TAR002,2025-03-07,
CT0000005,CUST0000005,TAR005,2025-07-16,
CT0000006,CUST0000006,TAR003,2025-01-31,
CT0000007,CUST0000007,TAR004,2025-01-24,
CT0000008,CUST0000008,TAR003,2025-02-20,
CT0000009,CUST0000009,TAR001,2025-03-31,
CT0000010,CUST0000010,TAR005,2025-12-30,
CT0000011,CUST0000011,TAR003,2025-01-22,
CT0000012,CUST0000012,TAR001,2025-06-09,
CT0000013,CUST0000013,TAR005,2025-10-27,
CT0000014,CUST0000014,TAR004,2025-07-10,
CT0000015,CUST0000015,TAR003,2025-08-19,
CT0000016,CUST0000016,TAR003,2025-01-21,
CT0000017,CUST0000017,TAR003,2025-06-17,
CT0000018,CUST0000018,TAR003,2025-09-13,
CT0000019,CUST0000019,TAR001,2025-10-31,
CT0000020,CUST0000020,TAR003,2025-03-15,
CT0000021,CUST0000021,TAR005,2025-07-07,
CT0000022,CUST0000022,TAR002,2025-08-10,
CT0000023,CUST0000023,TAR005,2025-02-19,
CT0000024,CUST0000024,TAR002,2025-11-15,
CT0000025,CUST0000025,TAR005,2025-06-08,
CT0000026,CUST0000026,TAR004,2025-03-26,
CT0000027,CUST0000027,TAR005,2025-08-06,
CT0000028,CUST0000028,TAR005,2025-04-27,
CT0000029,CUST0000029,TAR003,2025-05-04,
CT0000030,CUST0000030,TAR005,2025-12-14,
CT0000031,CUST0000031,TAR002,2025-09-03,
CT0000032,CUST0000032,TAR002,2025-01-05,
CT0000033,CUST0000033,TAR002,2025-08-12,
CT0000034,CUST0000034,TAR002,2025-07-17,
CT0000035,CUST0000035,TAR001,2025-09-27,
CT0000036,CUST0000036,TAR005,2025-09-21,
CT0000037,CUST0000037,TAR003,2025-10-30,
CT0000038,CUST0000038,TAR005,2025-08-13,
CT0000039,CUST0000039,TAR001,2025-09-22,
CT0000040,CUST0000040,TAR004,2025-11-29,
CT0000041,CUST0000041,TAR001,2025-04-12,
CT0000042,CUST0000042,TAR003,2025-01-04,
CT0000043,CUST0000043,TAR001,2025-02-06,
CT0000044,CUST0000044,TAR002,2025-11-10,
CT0000045,CUST0000045,TAR003,2025-06-20,
CT0000046,CUST0000046,TAR003,2025-10-04,
CT0000047,CUST0000047,TAR002,2025-09-16,
CT0000048,CUST0000048,TAR003,2025-10-30,
CT0000049,CUST0000049,TAR001,2025-07-27,
CT0000050,CUST0000050,TAR002,2025-06-14,
CT0000051,CUST0000051,TAR002,2025-10-04,
CT0000052,CUST0000052,TAR001,2025-06-24,
CT0000053,CUST0000053,TAR003,2025-01-11,
CT0000054,CUST0000054,TAR005,2025-03-27,
CT0000055,CUST0000055,TAR002,2025-01-22,
CT0000056,CUST0000056,TAR001,2025-11-25,
CT0000057,CUST0000057,TAR003,2025-09-08,
CT0000058,CUST0000058,TAR001,2025-03-11,
CT0000059,CUST0000059,TAR001,2025-09-27,
CT0000060,CUST0000060,TAR002,2025-03-01,
CT0000061,CUST0000061,TAR004,2025-01-26,
CT0000062,CUST0000062,TAR003,2025-12-24,
CT0000063,CUST0000063,TAR005,2025-10-13,
CT0000064,CUST0000064,TAR002,2025-05-07,
CT0000065,CUST0000065,TAR004,2025-01-14,
CT0000066,CUST0000066,TAR003,2025-09-21,
CT0000067,CUST0000067,TAR003,2025-01-09,
CT0000068,CUST0000068,TAR005,2025-09-04,
CT0000069,CUST0000069,TAR001,2025-06-06,
CT0000070,CUST0000070,TAR004,2025-05-14,
CT0000071,CUST0000071,TAR005,2025-01-07,
CT0000072,CUST0000072,TAR003,2025-01-02,
CT0000073,CUST0000073,TAR001,2025-05-24,
CT0000074,CUST0000074,TAR005,2025-05-26,
CT0000075,CUST0000075,TAR004,2025-02-25,
CT0000076,CUST0000076,TAR001,2025-10-29,
CT0000077,CUST0000077,TAR003,2025-10-29,
CT0000078,CUST0000078,TAR001,2025-07-03,
CT0000079,CUST0000079,TAR001,2025-11-23,
CT0000080,CUST0000080,TAR002,2025-02-28,
CT0000081,CUST0000081,TAR005,2025-09-28,
CT0000082,CUST0000082,TAR005,2025-05-11,
CT0000083,CUST0000083,TAR004,2025-02-14,
CT0000084,CUST0000084,TAR002,2025-06-14,
CT0000085,CUST0000085,TAR003,2025-05-09,
CT0000086,CUST0000086,TAR002,2025-10-10,
CT0000087,CUST0000087,TAR003,2025-08-25,
CT0000088,CUST0000088,TAR001,2025-12-22,
CT0000089,CUST0000089,TAR001,2025-04-15,
CT0000090,CUST0000090,TAR001,2025-10-31,
CT0000091,CUST0000091,TAR002,2025-03-16,
CT0000092,CUST0000092,TAR005,2025-11-11,
CT0000093,CUST0000093,TAR004,2025-05-05,
CT0000094,CUST0000094,TAR002,2025-11-03,
CT0000095,CUST0000095,TAR002,2025-10-27,
CT0000096,CUST0000096,TAR005,2025-01-28,
CT0000097,CUST0000097,TAR002,2025-08-16,
CT0000098,CUST0000098,TAR002,2025-06-28,
CT0000099,CUST0000099,TAR004,2025-01-06,
CT0000100,CUST0000100,TAR002,2025-12-06,
CT0000101,CUST0000101,TAR003,2025-04-05,
CT0000102,CUST0000102,TAR003,2025-10-01,
CT0000103,CUST0000103,TAR004,2025-06-09,
CT0000104,CUST0000104,TAR001,2025-03-29,
CT0000105,CUST0000105,TAR004,2025-06-01,
CT0000106,CUST0000106,TAR003,2025-06-27,
CT0000107,CUST0000107,TAR001,2025-01-22,
CT0000108,CUST0000108,TAR003,2025-11-02,
CT0000109,CUST0000109,TAR001,2025-03-07,
CT0000110,CUST0000110,TAR004,2025-02-24,
CT0000111,CUST0000111,TAR002,2025-08-08,
CT0000112,CUST0000112,TAR001,2025-06-06,
CT0000113,CUST0000113,TAR002,2025-04-04,
CT0000114,CUST0000114,TAR004,2025-11-12,
CT0000115,CUST0000115,TAR002,2025-11-08,
CT0000116,CUST0000116,TAR005,2025-12-22,
CT0000117,CUST0000117,TAR001,2025-11-25,
CT0000118,CUST0000118,TAR004,2025-10-03,
CT0000119,CUST0000119,TAR004,2025-03-24,
CT0000120,CUST0000120,TAR003,2025-07-25,
CT0000121,CUST0000121,TAR001,2025-03-22,
CT0000122,CUST0000122,TAR003,2025-05-22,
CT0000123,CUST0000123,TAR002,2025-11-30,
CT0000124,CUST0000124,TAR004,2025-07-09,
CT0000125,CUST0000125,TAR001,2025-11-06,
CT0000126,CUST0000126,TAR001,2025-05-09,
CT0000127,CUST0000127,TAR002,2025-04-20,
CT0000128,CUST0000128,TAR004,2025-10-02,
CT0000129,CUST0000129,TAR003,2025-10-11,
CT0000130,CUST0000130,TAR002,2025-01-10,
CT0000131,CUST0000131,TAR002,2025-12-11,
CT0000132,CUST0000132,TAR005,2025-10-09,
CT0000133,CUST0000133,TAR003,2025-10-14,
CT0000134,CUST0000134,TAR003,2025-05-12,
CT0000135,CUST0000135,TAR001,2025-02-18,
CT0000136,CUST0000136,TAR003,2025-10-10,
CT0000137,CUST0000137,TAR004,2025-08-08,
CT0000138,CUST0000138,TAR001,2025-02-19,
CT0000139,CUST0000139,TAR002,2025-09-06,
CT0000140,CUST0000140,TAR003,2025-02-09,
CT0000141,CUST0000141,TAR001,2025-06-03,
CT0000142,CUST0000142,TAR002,2025-03-31,
CT0000143,CUST0000143,TAR003,2025-02-09,
CT0000144,CUST0000144,TAR001,2025-08-01,
CT0000145,CUST0000145,TAR004,2025-09-18,
CT0000146,CUST0000146,TAR001,2025-07-03,
CT0000147,CUST0000147,TAR003,2025-09-17,
CT0000148,CUST0000148,TAR005,2025-01-16,
CT0000149,CUST0000149,TAR002,2025-05-26,
CT0000150,CUST0000150,TAR002,2025-04-23,
CT0000151,CUST0000151,TAR001,2025-12-31,
CT0000152,CUST0000152,TAR005,2025-10-29,
CT0000153,CUST0000153,TAR004,2025-01-09,
CT0000154,CUST0000154,TAR003,2025-06-27,
CT0000155,CUST0000155,TAR001,2025-11-04,
CT0000156,CUST0000156,TAR001,2025-11-10,
CT0000157,CUST0000157,TAR002,2025-01-30,
CT0000158,CUST0000158,TAR003,2025-05-12,
CT0000159,CUST0000159,TAR005,2025-05-09,
CT0000160,CUST0000160,TAR004,2025-05-02,
CT0000161,CUST0000161,TAR001,2025-09-15,
CT0000162,CUST0000162,TAR001,2025-02-28,
CT0000163,CUST0000163,TAR002,2025-02-10,
CT0000164,CUST0000164,TAR002,2025-10-22,
CT0000165,CUST0000165,TAR003,2025-06-27,
CT0000166,CUST0000166,TAR002,2025-01-15,
CT0000167,CUST0000167,TAR001,2025-12-05,
CT0000168,CUST0000168,TAR005,2025-09-08,
CT0000169,CUST0000169,TAR004,2025-12-30,
CT0000170,CUST0000170,TAR004,2025-12-10,
CT0000171,CUST0000171,TAR005,2025-10-06,
CT0000172,CUST0000172,TAR005,2025-05-16,
CT0000173,CUST0000173,TAR004,2025-05-08,
CT0000174,CUST0000174,TAR005,2025-01-09,
CT0000175,CUST0000175,TAR001,2025-03-23,
CT0000176,CUST0000176,TAR002,2025-08-05,
CT0000177,CUST0000177,TAR004,2025-05-20,
CT0000178,CUST0000178,TAR004,2025-09-05,
CT0000179,CUST0000179,TAR004,2025-10-14,
CT0000180,CUST0000180,TAR004,2025-09-24,
CT0000181,CUST0000181,TAR003,2025-08-22,
CT0000182,CUST0000182,TAR004,2025-05-14,
CT0000183,CUST0000183,TAR004,2025-01-28,
CT0000184,CUST0000184,TAR004,2025-01-23,
CT0000185,CUST0000185,TAR004,2025-08-20,
CT0000186,CUST0000186,TAR001,2025-05-08,
CT0000187,CUST0000187,TAR002,2025-10-15,
CT0000188,CUST0000188,TAR005,2025-07-24,
CT0000189,CUST0000189,TAR003,2025-09-30,
CT0000190,CUST0000190,TAR004,2025-08-26,
CT0000191,CUST0000191,TAR003,2025-08-09,
CT0000192,CUST0000192,TAR005,2025-10-02,
CT0000193,CUST0000193,TAR001,2025-11-21,
CT0000194,CUST0000194,TAR002,2025-03-05,
CT0000195,CUST0000195,TAR005,2025-05-14,
CT0000196,CUST0000196,TAR003,2025-10-05,
CT0000197,CUST0000197,TAR002,2025-06-11,
CT0000198,CUST0000198,TAR004,2025-10-28,
CT0000199,CUST0000199,TAR003,2025-09-07,
CT0000200,CUST0000200,TAR005,2025-05-24,
CT0000201,CUST0000201,TAR003,2025-04-04,
CT0000202,CUST0000202,TAR005,2025-06-03,
CT0000203,CUST0000203,TAR003,2025-02-03,
CT0000204,CUST0000204,TAR001,2025-07-08,
CT0000205,CUST0000205,TAR002,2025-06-10,
CT0000206,CUST0000206,TAR002,2025-08-16,
CT0000207,CUST0000207,TAR005,2025-06-16,
CT0000208,CUST0000208,TAR002,2025-05-18,
CT0000209,CUST0000209,TAR005,2025-07-16,
CT0000210,CUST0000210,TAR003,2025-08-07,
CT0000211,CUST0000211,TAR004,2025-10-16,
CT0000212,CUST0000212,TAR004,2025-10-18,
CT0000213,CUST0000213,TAR001,2025-01-28,
CT0000214,CUST0000214,TAR001,2025-07-15,
CT0000215,CUST0000215,TAR003,2025-03-29,
CT0000216,CUST0000216,TAR005,2025-04-20,
CT0000217,CUST0000217,TAR002,2025-09-06,
CT0000218,CUST0000218,TAR001,2025-09-23,
CT0000219,CUST0000219,TAR001,2025-01-31,
CT0000220,CUST0000220,TAR002,2025-09-10,
CT0000221,CUST0000221,TAR003,2025-09-16,
CT0000222,CUST0000222,TAR002,2025-07-18,
CT0000223,CUST0000223,TAR003,2025-06-01,
CT0000224,CUST0000224,TAR003,2025-05-22,
CT0000225,CUST0000225,TAR001,2025-04-04,
CT0000226,CUST0000226,TAR004,2025-11-23,
CT0000227,CUST0000227,TAR001,2025-11-07,
CT0000228,CUST0000228,TAR002,2025-09-22,
CT0000229,CUST0000229,TAR001,2025-01-12,
CT0000230,CUST0000230,TAR002,2025-12-08,
CT0000231,CUST0000231,TAR003,2025-08-17,
CT0000232,CUST0000232,TAR001,2025-09-06,
CT0000233,CUST0000233,TAR003,2025-12-29,
CT0000234,CUST0000234,TAR003,2025-12-16,
CT0000235,CUST0000235,TAR004,2025-11-20,
CT0000236,CUST0000236,TAR005,2025-04-28,
CT0000237,CUST0000237,TAR004,2025-03-27,
CT0000238,CUST0000238,TAR005,2025-04-12,
CT0000239,CUST0000239,TAR003,2025-08-26,
CT0000240,CUST0000240,TAR005,2025-07-01,
CT0000241,CUST0000241,TAR001,2025-02-27,
CT0000242,CUST0000242,TAR002,2025-11-30,
CT0000243,CUST0000243,TAR004,2025-11-11,
CT0000244,CUST0000244,TAR003,2025-05-24,
CT0000245,CUST0000245,TAR002,2025-11-08,
CT0000246,CUST0000246,TAR002,2025-11-23,
CT0000247,CUST0000247,TAR003,2025-08-03,
CT0000248,CUST0000248,TAR002,2025-09-23,
CT0000249,CUST0000249,TAR003,2025-02-25,
CT0000250,CUST0000250,TAR001,2025-02-19,
CT0000251,CUST0000251,TAR005,2025-02-05,
CT0000252,CUST0000252,TAR005,2025-06-14,
CT0000253,CUST0000253,TAR002,2025-12-23,
CT0000254,CUST0000254,TAR005,2025-10-11,
CT0000255,CUST0000255,TAR004,2025-12-20,
CT0000256,CUST0000256,TAR005,2025-11-23,
CT0000257,CUST0000257,TAR003,2025-09-11,
CT0000258,CUST0000258,TAR001,2025-05-08,
CT0000259,CUST0000259,TAR002,2025-01-26,
CT0000260,CUST0000260,TAR004,2025-08-17,
CT0000261,CUST0000261,TAR005,2025-11-29,
CT0000262,CUST0000262,TAR004,2025-05-16,
CT0000263,CUST0000263,TAR005,2025-01-21,
CT0000264,CUST0000264,TAR002,2025-06-02,
CT0000265,CUST0000265,TAR005,2025-10-29,
CT0000266,CUST0000266,TAR001,2025-07-10,
CT0000267,CUST0000267,TAR001,2025-02-03,
CT0000268,CUST0000268,TAR003,2025-02-23,
CT0000269,CUST0000269,TAR001,2025-12-22,
CT0000270,CUST0000270,TAR001,2025-01-26,
CT0000271,CUST0000271,TAR005,2025-04-07,
CT0000272,CUST0000272,TAR005,2025-12-02,
CT0000273,CUST0000273,TAR004,2025-09-25,
CT0000274,CUST0000274,TAR001,2025-06-23,
CT0000275,CUST0000275,TAR005,2025-09-15,
CT0000276,CUST0000276,TAR002,2025-08-04,
CT0000277,CUST0000277,TAR001,2025-01-23,
CT0000278,CUST0000278,TAR004,2025-08-29,
CT0000279,CUST0000279,TAR002,2025-08-20,
CT0000280,CUST0000280,TAR001,2025-03-31,
CT0000281,CUST0000281,TAR002,2025-07-03,
CT0000282,CUST0000282,TAR002,2025-04-27,
CT0000283,CUST0000283,TAR003,2025-11-10,
CT0000284,CUST0000284,TAR002,2025-09-24,
CT0000285,CUST0000285,TAR001,2025-09-17,
CT0000286,CUST0000286,TAR004,2025-12-26,
CT0000287,CUST0000287,TAR001,2025-01-29,
CT0000288,CUST0000288,TAR004,2025-05-13,
CT0000289,CUST0000289,TAR001,2025-06-25,
CT0000290,CUST0000290,TAR003,2025-04-26,
CT0000291,CUST0000291,TAR005,2025-12-19,
CT0000292,CUST0000292,TAR004,2025-05-03,
CT0000293,CUST0000293,TAR004,2025-03-08,
CT0000294,CUST0000294,TAR002,2025-03-16,
CT0000295,CUST0000295,TAR003,2025-11-23,
CT0000296,CUST0000296,TAR001,2025-10-06,
CT0000297,CUST0000297,TAR004,2025-02-07,
CT0000298,CUST0000298,TAR005,2025-05-03,
CT0000299,CUST0000299,TAR003,2025-06-18,
CT0000300,CUST0000300,TAR004,2025-08-12,
CT0000301,CUST0000301,TAR004,2025-05-27,
CT0000302,CUST0000302,TAR002,2025-10-08,
CT0000303,CUST0000303,TAR001,2025-06-26,
CT0000304,CUST0000304,TAR004,2025-05-22,
CT0000305,CUST0000305,TAR004,2025-03-25,
CT0000306,CUST0000306,TAR005,2025-02-27,
CT0000307,CUST0000307,TAR001,2025-02-25,
CT0000308,CUST0000308,TAR004,2025-05-02,
CT0000309,CUST0000309,TAR004,2025-01-04,
CT0000310,CUST0000310,TAR004,2025-11-01,
CT0000311,CUST0000311,TAR004,2025-05-31,
CT0000312,CUST0000312,TAR002,2025-11-11,
CT0000313,CUST0000313,TAR004,2025-09-22,
CT0000314,CUST0000314,TAR004,2025-12-04,
CT0000315,CUST0000315,TAR004,2025-08-08,
CT0000316,CUST0000316,TAR001,2025-05-04,
CT0000317,CUST0000317,TAR002,2025-12-29,
CT0000318,CUST0000318,TAR003,2025-02-25,
CT0000319,CUST0000319,TAR001,2025-04-25,
CT0000320,CUST0000320,TAR003,2025-02-23,
CT0000321,CUST0000321,TAR001,2025-08-26,
CT0000322,CUST0000322,TAR005,2025-10-07,
CT0000323,CUST0000323,TAR001,2025-04-23,
CT0000324,CUST0000324,TAR001,2025-03-14,
CT0000325,CUST0000325,TAR002,2025-05-11,
CT0000326,CUST0000326,TAR001,2025-09-28,
CT0000327,CUST0000327,TAR003,2025-06-30,
CT0000328,CUST0000328,TAR005,2025-10-17,
CT0000329,CUST0000329,TAR003,2025-09-07,
CT0000330,CUST0000330,TAR005,2025-08-15,
CT0000331,CUST0000331,TAR001,2025-12-05,
CT0000332,CUST0000332,TAR001,2025-07-26,
CT0000333,CUST0000333,TAR002,2025-05-25,
CT0000334,CUST0000334,TAR005,2025-02-07,
CT0000335,CUST0000335,TAR001,2025-05-18,
CT0000336,CUST0000336,TAR004,2025-02-26,
CT0000337,CUST0000337,TAR002,2025-11-15,
CT0000338,CUST0000338,TAR002,2025-10-13,
CT0000339,CUST0000339,TAR002,2025-07-22,
CT0000340,CUST0000340,TAR002,2025-08-20,
CT0000341,CUST0000341,TAR004,2025-08-21,
CT0000342,CUST0000342,TAR001,2025-06-13,
CT0000343,CUST0000343,TAR003,2025-07-06,
CT0000344,CUST0000344,TAR005,2025-11-10,
CT0000345,CUST0000345,TAR005,2025-12-25,
CT0000346,CUST0000346,TAR001,2025-03-15,
CT0000347,CUST0000347,TAR003,2025-12-17,
CT0000348,CUST0000348,TAR001,2025-07-05,
CT0000349,CUST0000349,TAR005,2025-07-29,
CT0000350,CUST0000350,TAR003,2025-12-09,
CT0000351,CUST0000351,TAR005,2025-08-09,
CT0000352,CUST0000352,TAR004,2025-01-24,
CT0000353,CUST0000353,TAR004,2025-01-25,
CT0000354,CUST0000354,TAR005,2025-02-05,
CT0000355,CUST0000355,TAR002,2025-06-10,
CT0000356,CUST0000356,TAR004,2025-05-07,
CT0000357,CUST0000357,TAR003,2025-02-03,
CT0000358,CUST0000358,TAR004,2025-04-16,
CT0000359,CUST0000359,TAR003,2025-02-03,
CT0000360,CUST0000360,TAR004,2025-03-15,
CT0000361,CUST0000361,TAR002,2025-01-31,
CT0000362,CUST0000362,TAR005,2025-05-26,
CT0000363,CUST0000363,TAR004,2025-08-05,
CT0000364,CUST0000364,TAR003,2025-06-05,
CT0000365,CUST0000365,TAR002,2025-05-23,
CT0000366,CUST0000366,TAR005,2025-08-04,
CT0000367,CUST0000367,TAR003,2025-01-22,
CT0000368,CUST0000368,TAR005,2025-01-10,
CT0000369,CUST0000369,TAR003,2025-07-23,
CT0000370,CUST0000370,TAR002,2025-03-17,
CT0000371,CUST0000371,TAR001,2025-12-19,
CT0000372,CUST0000372,TAR005,2025-04-12,
