generation_id,site_id,reading_ts,generation_mw,available_capacity_mw,curtailment_mw,source_system,reading_date
GEN0000000001,SITE0001,2026-04-01 00:00:00,4.4449,45.0764,0.0,scada,2026-04-01
GEN0000000002,SITE0001,2026-04-01 01:00:00,1.7319,45.954,0.0,scada,2026-04-01
GEN0000000003,SITE0001,2026-04-01 02:00:00,7.4578,46.767,0.0,scada,2026-04-01
GEN0000000004,SITE0001,2026-04-01 03:00:00,0.0,45.4261,1.0444,scada,2026-04-01
GEN0000000005,SITE0001,2026-04-01 04:00:00,0.2335,49.0512,0.0,scada,2026-04-01
GEN0000000006,SITE0001,2026-04-01 05:00:00,2.8159,48.8583,0.0,scada,2026-04-01
GEN0000000007,SITE0001,2026-04-01 06:00:00,0.5331,50.6663,0.0,scada,2026-04-01
GEN0000000008,SITE0001,2026-04-01 07:00:00,43.9259,46.2019,0.8039,scada,2026-04-01
GEN0000000009,SITE0001,2026-04-01 08:00:00,37.0549,46.3372,0.0,scada,2026-04-01
GEN0000000010,SITE0001,2026-04-01 09:00:00,51.13,49.1071,0.0,scada,2026-04-01
GEN0000000011,SITE0001,2026-04-01 10:00:00,37.3653,45.4647,0.0,scada,2026-04-01
GEN0000000012,SITE0001,2026-04-01 11:00:00,48.5334,47.0121,0.7943,scada,2026-04-01
GEN0000000013,SITE0001,2026-04-01 12:00:00,41.0979,47.727,0.7156,scada,2026-04-01
GEN0000000014,SITE0001,2026-04-01 13:00:00,42.3454,47.6339,0.0,scada,2026-04-01
GEN0000000015,SITE0001,2026-04-01 14:00:00,41.9863,48.0067,0.0,scada,2026-04-01
GEN0000000016,SITE0001,2026-04-01 15:00:00,32.9063,45.9212,1.1916,scada,2026-04-01
GEN0000000017,SITE0001,2026-04-01 16:00:00,39.6546,45.2754,0.5179,scada,2026-04-01
GEN0000000018,SITE0001,2026-04-01 17:00:00,32.1252,45.6006,2.7824,scada,2026-04-01
GEN0000000019,SITE0001,2026-04-01 18:00:00,39.3645,49.8884,0.0,scada,2026-04-01
GEN0000000020,SITE0001,2026-04-01 19:00:00,0.0,45.3919,1.4722,scada,2026-04-01
GEN0000000021,SITE0001,2026-04-01 20:00:00,7.6677,47.0553,0.136,scada,2026-04-01
GEN0000000022,SITE0001,2026-04-01 21:00:00,10.5879,45.8009,0.6414,scada,2026-04-01
GEN0000000023,SITE0001,2026-04-01 22:00:00,0.0,47.2035,0.0,scada,2026-04-01
GEN0000000024,SITE0001,2026-04-01 23:00:00,0.0,49.2927,0.8593,scada,2026-04-01
GEN0000000025,SITE0001,2026-04-02 00:00:00,2.7077,48.3352,3.2073,scada,2026-04-02
GEN0000000026,SITE0001,2026-04-02 01:00:00,0.0,45.1079,0.5456,scada,2026-04-02
GEN0000000027,SITE0001,2026-04-02 02:00:00,5.8992,46.4612,2.7383,scada,2026-04-02
GEN0000000028,SITE0001,2026-04-02 03:00:00,19.5484,48.0453,1.4172,scada,2026-04-02
GEN0000000029,SITE0001,2026-04-02 04:00:00,0.0,50.5995,2.8259,scada,2026-04-02
GEN0000000030,SITE0001,2026-04-02 05:00:00,17.715,48.9191,0.0,scada,2026-04-02
GEN0000000031,SITE0001,2026-04-02 06:00:00,2.5837,50.0181,0.4603,scada,2026-04-02
GEN0000000032,SITE0001,2026-04-02 07:00:00,45.6619,46.0754,0.0,scada,2026-04-02
GEN0000000033,SITE0001,2026-04-02 08:00:00,36.5149,47.297,2.0328,scada,2026-04-02
GEN0000000034,SITE0001,2026-04-02 09:00:00,29.7532,45.2903,2.2781,scada,2026-04-02
GEN0000000035,SITE0001,2026-04-02 10:00:00,41.2404,46.0789,0.0,scada,2026-04-02
GEN0000000036,SITE0001,2026-04-02 11:00:00,28.2614,48.2265,0.0,scada,2026-04-02
GEN0000000037,SITE0001,2026-04-02 12:00:00,37.0477,47.1064,0.2981,scada,2026-04-02
GEN0000000038,SITE0001,2026-04-02 13:00:00,46.409,46.9843,2.0712,scada,2026-04-02
GEN0000000039,SITE0001,2026-04-02 14:00:00,20.9878,50.3769,2.2759,scada,2026-04-02
GEN0000000040,SITE0001,2026-04-02 15:00:00,25.1377,46.2804,0.0,scada,2026-04-02
GEN0000000041,SITE0001,2026-04-02 16:00:00,45.555,46.0472,0.4646,scada,2026-04-02
GEN0000000042,SITE0001,2026-04-02 17:00:00,43.8637,47.2869,0.0,scada,2026-04-02
GEN0000000043,SITE0001,2026-04-02 18:00:00,21.683,49.897,3.1089,scada,2026-04-02
GEN0000000044,SITE0001,2026-04-02 19:00:00,1.6415,47.2519,0.2895,scada,2026-04-02
GEN0000000045,SITE0001,2026-04-02 20:00:00,0.0,49.6452,0.5872,scada,2026-04-02
GEN0000000046,SITE0001,2026-04-02 21:00:00,0.0,48.3412,0.9723,scada,2026-04-02
GEN0000000047,SITE0001,2026-04-02 22:00:00,11.1667,48.8169,0.0778,scada,2026-04-02
GEN0000000048,SITE0001,2026-04-02 23:00:00,0.0,46.6151,0.0,scada,2026-04-02
GEN0000000049,SITE0001,2026-04-03 00:00:00,0.0,45.0451,2.124,scada,2026-04-03
GEN0000000050,SITE0001,2026-04-03 01:00:00,1.0047,49.5183,0.9406,scada,2026-04-03
GEN0000000051,SITE0001,2026-04-03 02:00:00,5.1678,47.116,0.0,scada,2026-04-03
GEN0000000052,SITE0001,2026-04-03 03:00:00,2.545,45.9808,2.6142,scada,2026-04-03
GEN0000000053,SITE0001,2026-04-03 04:00:00,2.3733,47.7699,1.4936,scada,2026-04-03
GEN0000000054,SITE0001,2026-04-03 05:00:00,0.0,50.1239,0.0,scada,2026-04-03
GEN0000000055,SITE0001,2026-04-03 06:00:00,0.0,46.5741,0.9239,scada,2026-04-03
GEN0000000056,SITE0001,2026-04-03 07:00:00,51.13,46.2684,0.0,scada,2026-04-03
GEN0000000057,SITE0001,2026-04-03 08:00:00,38.8051,50.1383,0.6358,scada,2026-04-03
GEN0000000058,SITE0001,2026-04-03 09:00:00,50.8277,48.0779,3.1823,scada,2026-04-03
GEN0000000059,SITE0001,2026-04-03 10:00:00,38.4143,47.7615,0.0,scada,2026-04-03
GEN0000000060,SITE0001,2026-04-03 11:00:00,32.1889,45.6768,2.9081,scada,2026-04-03
GEN0000000061,SITE0001,2026-04-03 12:00:00,24.3077,45.9447,1.0728,scada,2026-04-03
GEN0000000062,SITE0001,2026-04-03 13:00:00,39.43,47.3011,0.2959,scada,2026-04-03
GEN0000000063,SITE0001,2026-04-03 14:00:00,28.4965,46.1823,0.1512,scada,2026-04-03
GEN0000000064,SITE0001,2026-04-03 15:00:00,51.13,50.2823,1.3088,scada,2026-04-03
GEN0000000065,SITE0001,2026-04-03 16:00:00,38.086,48.3406,1.4052,scada,2026-04-03
GEN0000000066,SITE0001,2026-04-03 17:00:00,49.2414,47.1763,0.3593,scada,2026-04-03
GEN0000000067,SITE0001,2026-04-03 18:00:00,41.0968,45.1017,1.7156,scada,2026-04-03
GEN0000000068,SITE0001,2026-04-03 19:00:00,6.3216,49.0075,0.8945,scada,2026-04-03
GEN0000000069,SITE0001,2026-04-03 20:00:00,1.3654,50.1202,0.0,scada,2026-04-03
