outage_id,site_id,asset_id,outage_start_ts,outage_end_ts,outage_type,cause_code,customers_affected,estimated_energy_not_served_mwh,outage_status,duration_hours
OUT0000001,SITE0009,AST000071,2026-05-12 16:58:25,2026-05-13 04:58:25,Weather,Equipment Failure,5294,126.191,Open,12.0
OUT0000002,SITE0018,AST000146,2026-05-17 14:41:10,2026-05-20 14:41:10,Forced,Equipment Failure,5471,336.351,Investigating,72.0
OUT0000003,SITE0017,AST000138,2026-03-20 14:37:55,2026-03-21 14:37:55,Forced,Storm,8060,314.859,Investigating,24.0
OUT0000004,SITE0004,AST000028,2026-03-11 18:15:12,2026-03-12 18:15:12,Planned,Unknown,8519,188.139,Open,24.0
OUT0000005,SITE0011,AST000091,2026-04-30 22:17:34,2026-04-30 22:47:34,Forced,Unknown,1969,340.908,Open,0.5
OUT0000006,SITE0023,AST000195,2026-02-23 16:28:59,2026-02-24 04:28:59,Forced,Storm,16442,237.478,Investigating,12.0
OUT0000007,SITE0010,AST000079,2026-01-16 12:25:47,2026-01-16 14:25:47,Planned,Storm,12725,210.994,Investigating,2.0
OUT0000008,SITE0010,AST000082,2026-03-11 19:48:11,2026-03-11 21:48:11,Forced,Maintenance,1149,43.865,Closed,2.0
OUT0000009,SITE0009,AST000071,2026-02-10 11:53:51,2026-02-10 23:53:51,Forced,Equipment Failure,12341,271.395,Investigating,12.0
OUT0000010,SITE0020,AST000167,2026-01-26 14:20:59,2026-01-26 15:20:59,Forced,Storm,6663,8.959,Closed,1.0
OUT0000011,SITE0009,AST000069,2026-01-24 16:16:19,2026-01-25 00:16:19,Grid Event,Unknown,328,73.149,Investigating,8.0
OUT0000012,SITE0004,AST000029,2026-01-07 05:26:35,2026-01-07 17:26:35,Planned,Storm,128,220.342,Open,12.0
OUT0000013,SITE0021,AST000173,2026-01-09 20:22:29,2026-01-10 00:22:29,Grid Event,Maintenance,7768,151.077,Open,4.0
OUT0000014,SITE0029,AST000244,2026-01-13 22:44:06,2026-01-13 23:14:06,Forced,Storm,8956,209.328,Closed,0.5
OUT0000015,SITE0013,AST000109,2026-01-12 02:09:21,2026-01-12 03:09:21,Forced,Equipment Failure,1265,223.289,Investigating,1.0
OUT0000016,SITE0001,AST000002,2026-05-14 04:28:48,2026-05-15 04:28:48,Planned,Storm,6788,85.942,Closed,24.0
OUT0000017,SITE0024,AST000201,2026-02-20 00:33:02,2026-02-22 00:33:02,Grid Event,Unknown,7208,336.332,Closed,48.0
OUT0000018,SITE0014,AST000118,2026-04-19 17:56:27,2026-04-20 01:56:27,Planned,Equipment Failure,7437,260.063,Closed,8.0
OUT0000019,SITE0020,AST000171,2026-03-13 08:33:18,2026-03-13 20:33:18,Forced,Storm,3782,338.483,Closed,12.0
OUT0000020,SITE0004,AST000028,2026-03-22 04:45:58,2026-03-22 05:45:58,Weather,Maintenance,8896,106.48,Investigating,1.0
OUT0000021,SITE0028,AST000238,2026-03-28 20:29:52,2026-03-29 08:29:52,Forced,Protection Trip,16466,251.816,Open,12.0
OUT0000022,SITE0020,AST000169,2026-03-15 18:23:59,2026-03-17 18:23:59,Forced,Maintenance,15246,205.634,Closed,48.0
OUT0000023,SITE_BAD,AST000240,2026-04-02 02:21:46,2026-04-02 03:21:46,Forced,Protection Trip,2389,291.762,Closed,1.0
OUT0000024,SITE0024,AST000202,2026-04-22 11:18:51,2026-04-23 11:18:51,Forced,Maintenance,8045,66.051,Closed,24.0
OUT0000025,SITE0025,AST000206,2026-01-24 03:09:28,2026-01-24 05:09:28,Planned,Storm,9176,83.72,Closed,2.0
OUT0000026,SITE0008,AST000063,2026-04-21 23:28:24,2026-04-23 23:28:24,Planned,Protection Trip,15326,106.572,Open,48.0
