payment_id,bill_id,payment_date,payment_amount,payment_method,payment_status
PAY00000001,BILL00000001,2026-05-08,1280.93,ACH,Reversed
PAY00000002,BILL00000002,2026-06-17,22083.22,CASH,Posted
PAY00000003,BILL00000003,2026-05-03,7085.84,CHECK,Posted
PAY00000004,BILL00000004,2026-06-02,14307.87,CASH,Pending
PAY00000005,BILL00000005,2026-05-08,5153.24,ACH,Reversed
PAY00000006,BILL00000006,2026-06-02,9735.57,CARD,Failed
PAY00000007,BILL00000007,2026-05-08,5386.24,CASH,Failed
PAY00000008,BILL00000008,2026-06-22,3045.89,CHECK,Posted
PAY00000009,BILL00000009,2026-05-08,8694.0,CARD,Posted
PAY00000010,BILL00000010,2026-07-02,11962.96,ACH,Pending
PAY00000011,BILL00000011,2026-05-03,3729.83,CHECK,Pending
PAY00000012,BILL00000012,2026-06-07,4020.23,CHECK,Pending
PAY00000013,BILL00000013,2026-05-08,23552.35,ACH,Posted
PAY00000014,BILL00000014,2026-06-22,17688.28,CASH,Posted
PAY00000015,BILL00000015,2026-05-03,3503.49,CARD,Failed
PAY00000016,BILL00000016,2026-06-17,8328.37,CASH,Posted
PAY00000017,BILL00000017,2026-05-03,10844.08,CHECK,Posted
PAY00000018,BILL00000018,2026-06-07,5746.37,CARD,Posted
PAY00000019,BILL00000019,2026-05-18,4616.17,CHECK,Pending
PAY00000020,BILL00000020,2026-06-17,1349.95,CHECK,Reversed
PAY00000021,BILL00000021,2026-05-08,7146.76,CHECK,Posted
PAY00000022,BILL00000022,2026-07-02,17180.48,ACH,Posted
PAY00000023,BILL00000023,2026-05-18,19270.77,ACH,Posted
PAY00000024,BILL00000024,2026-06-02,11145.22,CARD,Failed
PAY00000025,BILL00000025,2026-05-18,23246.48,ACH,Reversed
PAY00000026,BILL00000026,2026-07-02,3546.57,CASH,Posted
PAY00000027,BILL00000027,2026-05-08,12715.73,ACH,Pending
PAY00000028,BILL00000028,2026-06-17,811.74,CASH,Reversed
PAY00000029,BILL00000029,2026-05-08,20264.56,CASH,Pending
PAY00000031,BILL00000031,2026-05-08,6099.64,ACH,Failed
PAY00000032,BILL00000032,2026-07-02,11808.4,CARD,Failed
PAY00000033,BILL00000033,2026-05-03,17462.2,CARD,Reversed
PAY00000034,BILL00000034,2026-07-02,12276.97,CARD,Pending
PAY00000035,BILL00000035,2026-05-03,1063.43,ACH,Reversed
PAY00000036,BILL00000036,2026-07-02,17111.82,CASH,Posted
PAY00000038,BILL00000038,2026-06-07,2122.27,ACH,Pending
PAY00000039,BILL00000039,2026-05-08,1831.34,CASH,Reversed
PAY00000040,BILL00000040,2026-06-17,9826.9,CHECK,Pending
PAY00000041,BILL00000041,2026-05-18,400.06,ACH,Pending
PAY00000042,BILL00000042,2026-06-02,18814.37,CHECK,Posted
PAY00000043,BILL00000043,2026-05-18,3076.85,CARD,Posted
PAY00000044,BILL00000044,2026-06-17,21655.92,CHECK,Posted
PAY00000045,BILL00000045,2026-05-08,2772.64,CARD,Failed
PAY00000046,BILL00000046,2026-06-17,12859.99,CHECK,Failed
PAY00000047,BILL00000047,2026-05-18,11126.54,CASH,Reversed
PAY00000048,BILL00000048,2026-06-17,12762.33,CHECK,Failed
PAY00000049,BILL00000049,2026-05-23,8931.34,CHECK,Posted
PAY00000050,BILL00000050,2026-06-22,674.28,CARD,Reversed
PAY00000051,BILL00000051,2026-05-23,9524.4,ACH,Failed
PAY00000052,BILL00000052,2026-06-22,5189.03,CHECK,Reversed
PAY00000053,BILL00000053,2026-05-18,13732.79,ACH,Failed
PAY00000054,BILL00000054,2026-06-07,2561.55,ACH,Reversed
PAY00000056,BILL00000056,2026-07-02,5696.76,ACH,Pending
PAY00000057,BILL00000057,2026-06-02,21587.84,CASH,Pending
PAY00000058,BILL00000058,2026-06-17,10430.49,CARD,Posted
PAY00000059,BILL00000059,2026-05-23,19196.35,CASH,Posted
PAY00000060,BILL00000060,2026-06-02,16511.72,CHECK,Failed
PAY00000061,BILL00000061,2026-06-02,1133.23,ACH,Pending
PAY00000063,BILL00000063,2026-06-02,3861.2,CARD,Posted
PAY00000064,BILL00000064,2026-06-17,23522.57,CASH,Pending
PAY00000065,BILL00000065,2026-05-08,10538.82,ACH,Posted
PAY00000067,BILL00000067,2026-06-02,6903.35,ACH,Posted
PAY00000068,BILL00000068,2026-07-02,24580.38,ACH,Posted
PAY00000069,BILL00000069,2026-05-18,6655.45,ACH,Posted
PAY00000070,BILL00000070,2026-07-02,18879.38,ACH,Posted
PAY00000071,BILL00000071,2026-05-08,16503.67,CASH,Posted
PAY00000072,BILL00000072,2026-06-02,20765.64,CHECK,Pending
PAY00000073,BILL00000073,2026-05-23,17267.29,ACH,Pending
PAY00000074,BILL00000074,2026-06-22,12990.55,CASH,Pending
PAY00000077,BILL00000077,2026-06-02,10417.3,CARD,Posted
PAY00000078,BILL00000078,2026-06-02,11113.56,CARD,Posted
PAY00000079,BILL00000079,2026-05-08,4757.77,CARD,Posted
PAY00000080,BILL00000080,2026-07-02,493.72,ACH,Posted
PAY00000081,BILL00000081,2026-05-03,8080.3,ACH,Posted
