site_id,weather_ts,temperature_c,wind_speed_mps,solar_irradiance_wm2,humidity_pct,weather_condition
SITE0001,2026-04-01 00:00:00,18.053,5.837,0.0,61.609,Cloudy
SITE0001,2026-04-01 01:00:00,32.411,8.144,0.0,41.25,Clear
SITE0001,2026-04-01 02:00:00,-7.254,5.486,124.965,35.998,Clear
SITE0001,2026-04-01 03:00:00,15.947,1.27,98.944,75.184,Cloudy
SITE0001,2026-04-01 04:00:00,1.725,5.715,234.877,68.511,Rain
SITE0001,2026-04-01 05:00:00,16.086,8.424,0.0,96.295,Cloudy
SITE0001,2026-04-01 06:00:00,22.387,7.122,607.916,67.273,Clear
SITE0001,2026-04-01 07:00:00,15.704,6.973,848.984,74.492,Cloudy
SITE0001,2026-04-01 08:00:00,19.957,9.163,656.556,90.787,Clear
SITE0001,2026-04-01 09:00:00,15.398,9.808,574.725,82.031,Rain
SITE0001,2026-04-01 10:00:00,43.098,5.238,670.672,92.436,Storm
SITE0001,2026-04-01 11:00:00,5.105,4.504,678.683,62.074,Rain
SITE0001,2026-04-01 12:00:00,30.028,8.826,481.97,77.52,Cloudy
SITE0001,2026-04-01 13:00:00,22.818,6.869,565.289,49.954,Snow
SITE0001,2026-04-01 14:00:00,20.722,1.199,454.671,77.998,Clear
SITE0001,2026-04-01 15:00:00,22.903,5.039,458.844,66.549,Storm
SITE0001,2026-04-01 16:00:00,22.985,6.065,781.851,57.518,Clear
SITE0001,2026-04-01 17:00:00,36.22,3.342,480.018,49.553,Clear
SITE0001,2026-04-01 18:00:00,21.403,7.922,560.425,46.782,Storm
SITE0001,2026-04-01 19:00:00,16.292,5.966,766.135,60.222,Storm
SITE0001,2026-04-01 20:00:00,12.755,6.012,0.0,18.261,Cloudy
SITE0001,2026-04-01 21:00:00,29.754,6.489,45.712,100.0,Clear
SITE0001,2026-04-01 22:00:00,19.681,4.67,112.332,67.944,Snow
SITE0001,2026-04-01 23:00:00,31.276,0.599,129.631,47.909,Clear
SITE0001,2026-04-02 00:00:00,23.098,7.261,0.0,51.353,Cloudy
SITE0001,2026-04-02 01:00:00,13.669,5.624,172.479,62.98,Clear
