check_name,table_name,raw_count,silver_count,issue_count,severity
sites_raw_to_silver_delta,sites,30.0,30.0,0,info
assets_raw_to_silver_delta,assets,256.0,256.0,0,info
customers_raw_to_silver_delta,customers,801.0,800.0,1,info
meters_raw_to_silver_delta,meters,1000.0,1000.0,0,info
tariffs_raw_to_silver_delta,tariffs,5.0,5.0,0,info
customer_tariffs_raw_to_silver_delta,customer_tariffs,800.0,800.0,0,info
meter_readings_raw_to_silver_delta,meter_readings,263520.0,263520.0,0,info
asset_telemetry_raw_to_silver_delta,asset_telemetry,117120.0,117120.0,0,info
weather_hourly_raw_to_silver_delta,weather_hourly,43920.0,43920.0,0,info
generation_readings_raw_to_silver_delta,generation_readings,29280.0,29280.0,0,info
generation_forecast_raw_to_silver_delta,generation_forecast,29280.0,29280.0,0,info
outages_raw_to_silver_delta,outages,500.0,500.0,0,info
work_orders_raw_to_silver_delta,work_orders,700.0,700.0,0,info
demand_response_events_raw_to_silver_delta,demand_response_events,80.0,80.0,0,info
bills_raw_to_silver_delta,bills,1600.0,1600.0,0,info
payments_raw_to_silver_delta,payments,1431.0,1431.0,0,info
customer_cdc_raw_to_silver_delta,customer_cdc,200.0,200.0,0,info
asset_cdc_raw_to_silver_delta,asset_cdc,150.0,150.0,0,info
calendar_raw_to_silver_delta,calendar,181.0,181.0,0,info
energy_market_prices_raw_to_silver_delta,energy_market_prices,7320.0,7320.0,0,info
assets_invalid_site_id,assets,,,2,warning
meters_invalid_customer_id,meters,,,3,warning
meters_invalid_site_id,meters,,,6,warning
meter_readings_invalid_meter_id,meter,,,251,warning
meter_readings_bad_values,meter,,,548,warning
asset_telemetry_invalid_asset_id,asset,,,113,warning
asset_telemetry_bad_values,asset,,,78,warning
outages_invalid_site_id,outages,,,3,warning
outages_invalid_asset_id,outages,,,3,warning
work_orders_invalid_asset_id,work,,,1,warning
bills_invalid_customer_id,bills,,,5,warning
payments_invalid_bill_id,payments,,,2,warning
