associate_id,store_id,role,hire_date,employment_status,_loaded_at_utc,_source_file
ASC000001,STR0017,Cashier,2022-03-18,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000002,STR0004,Stock Associate,2021-05-01,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000003,STR0015,Store Manager,2025-10-23,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000004,STR0019,Store Manager,2021-08-25,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000005,STR0012,Store Manager,2018-12-02,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000006,STR0001,Store Manager,2023-12-22,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000007,STR0016,Stock Associate,2022-08-22,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000008,STR0025,Customer Service,2021-07-11,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000009,STR0004,Department Lead,2017-12-14,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000010,STR0010,Store Manager,2019-12-22,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000011,STR0002,Customer Service,2020-05-12,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000012,STR0011,Stock Associate,2021-02-04,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000013,STR0019,Cashier,2023-02-07,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000014,STR0015,Department Lead,2017-09-19,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000015,STR0005,Stock Associate,2025-06-26,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000016,STR0025,Department Lead,2018-02-14,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000017,STR0018,Customer Service,2025-08-27,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000018,STR0023,Department Lead,2021-09-05,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000019,STR0019,Cashier,2023-03-27,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000020,STR0015,Stock Associate,2021-07-14,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000021,STR0025,Cashier,2019-05-02,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000022,STR0007,Department Lead,2018-04-30,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000023,STR0012,Cashier,2021-10-24,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000024,STR0017,Customer Service,2018-03-21,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000025,STR0002,Customer Service,2023-03-23,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000026,STR0019,Department Lead,2018-06-09,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000027,STR0019,Stock Associate,2017-08-12,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000028,STR0003,Cashier,2018-02-18,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000029,STR0015,Customer Service,2020-09-05,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000030,STR0006,Customer Service,2019-10-16,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000031,STR0017,Store Manager,2021-02-07,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000032,STR0023,Store Manager,2024-07-09,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000033,STR0011,Stock Associate,2017-07-01,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000034,STR0006,Customer Service,2020-12-18,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000035,STR0001,Store Manager,2021-10-18,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000036,STR0018,Store Manager,2022-11-08,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
