supplier_id,supplier_name,country,supplier_tier,lead_time_days,on_time_rate,defect_rate,active_flag,_loaded_at_utc,_source_file
SUP00001,Value Supply 1,CHN,Backup,7,0.9151,0.0536,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00002,Summit Supply 2,CHN,Strategic,30,0.8904,0.0587,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00003,North Supply 3,USA,Preferred,,0.7593,0.0356,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00004,Summit Supply 4,MEX,Backup,3,0.8661,0.0380,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00005,Global Supply 5,CHN,preferred ,bad,0.7640,0.0061,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00006,Value Supply 6,CHN,Strategic,10,0.9203,0.0600,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00007,Summit Supply 7,USA,preferred ,3,0.9924,0.0381,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00008,Prime Supply 8,CHN,Preferred,bad,0.8574,0.0384,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00009,Value Supply 9,IND,preferred ,3,0.8130,0.0065,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00010,Evergreen Supply 10,USA,Strategic,bad,0.7663,0.0139,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00011,Global Supply 11,IND,Backup,30,0.7798,0.0786,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00012,Global Supply 12,USA,preferred ,5,0.7293,0.0014,Yes,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00013,Prime Supply 13,USA,Backup,,0.8982,0.0554,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00014,Value Supply 14,USA,preferred ,7,0.9564,0.0789,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00015,Prime Supply 15,USA,preferred ,10,0.7033,0.0764,Yes,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00016,North Supply 16,USA,preferred ,,0.9476,0.0686,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00017,Evergreen Supply 17,USA,preferred ,10,0.9492,0.0313,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00018,Value Supply 18,CAN,Preferred,bad,0.7945,0.0547,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00019,North Supply 19,VNM,Backup,21,0.7337,0.0542,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00020,Summit Supply 20,MEX,Preferred,5,0.8780,0.0248,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00021,Value Supply 21,MEX,Strategic,14,0.9480,0.0432,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00022,Evergreen Supply 22,USA,Standard,10,0.9361,0.0063,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00023,Prime Supply 23,USA,preferred ,21,0.9063,0.0373,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00024,Summit Supply 24,MEX,Standard,7,0.7705,0.0023,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00025,North Supply 25,USA,Backup,7,0.8323,0.0714,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00026,Summit Supply 26,IND,Preferred,3,0.9922,0.0124,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00027,Evergreen Supply 27,MEX,preferred ,14,0.8957,,Yes,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
