product_id,upc,product_name,department,subcategory,brand,supplier_id,standard_cost,regular_price,tax_category,product_status,launch_date,effective_start_date,source,effective_end_date,is_current,product_sk
SKU0000001,420876442491,Premium Car Care Item 1,Automotive,Car Care,Northpeak,SUP00030,252.44,332.22,Food Exempt,Active,2018-03-11,2018-03-11,product_master,9999-12-31,True,be3da0efb947eb50cdd1
SKU0000002,793495953767,Smart Bedding Item 2,Home,Bedding,Greathome,SUP00036,428.69,1062.46,Taxable,Seasonal,,1900-01-01,product_master,9999-12-31,True,366452cb06e20e802311
SKU0000003,361933686194,Family Decor Item 3,Home,Decor,Urbanbasics,SUP00038,167.55,269.12,Pharmacy Exempt,Active,,1900-01-01,product_master,2026-04-29,False,baba80cf8118950b482d
SKU0000003,361933686194,Family Decor Item 3,Home,Decor,Urbanbasics,SUP00038,167.55,283.63,Pharmacy Exempt,Seasonal,,2026-04-29,price_cdc,9999-12-31,True,4ed783b4e68407e98747
SKU0000004,750164815182,Everyday Decor Item 4,Home,Decor,Greathome,SUP00003,262.75,411.62,Food Exempt,Active,2024-03-02,2024-03-02,product_master,9999-12-31,True,81ae06f5a0bd959a93ec
SKU0000005,487344913586,Everyday Storage Item 5,Home,Storage,Urbanbasics,SUP00050,58.85,129.56,Food Exempt,Active,2022-05-06,2022-05-06,product_master,9999-12-31,True,5e909bcfbdb418b0a7d2
SKU0000006,344037135175,Everyday School Supplies Item 6,Office,School Supplies,Greathome,SUP00008,424.82,732.82,Pharmacy Exempt,Discontinued,2021-03-09,2021-03-09,product_master,2026-05-17,False,8f1e6bd80dfe72815a7a
SKU0000006,344037135175,Everyday School Supplies Item 6,Office,School Supplies,Greathome,SUP00008,424.82,793.16,Pharmacy Exempt,Discontinued,2021-03-09,2026-05-17,price_cdc,9999-12-31,True,6fd2d8470f2c62f95ff7
SKU0000007,667128882108,Smart Shoes Item 7,Apparel,Shoes,Greathome,SUP00048,174.8,378.86,Taxable,Active,2021-12-19,2021-12-19,product_master,9999-12-31,True,d0b8c41662263a512cb0
SKU0000008,196817432775,Smart Computers Item 8,Electronics,Computers,Healthyyou,SUP00017,145.54,247.63,Taxable,Active,,1900-01-01,product_master,9999-12-31,True,e8f47f0179e7d1f1d962
SKU0000009,949889426865,Everyday Produce Item 9,Grocery,Produce,Healthyyou,SUP00045,19.64,41.87,Pharmacy Exempt,Active,,1900-01-01,product_master,2026-05-06,False,7e83dd72a196b0f76341
SKU0000009,949889426865,Everyday Produce Item 9,Grocery,Produce,Healthyyou,SUP00045,19.64,37.43,Pharmacy Exempt,Discontinued,,2026-05-06,price_cdc,9999-12-31,True,64047274ad3b18d9664a
SKU0000010,517539968756,Family Men Item 10,Apparel,Men,Northpeak,SUP00001,193.5,502.78,Pharmacy Exempt,Seasonal,,1900-01-01,product_master,9999-12-31,True,e686718b1bbb7df8d31f
SKU0000011,177427934372,Premium Stationery Item 11,Office,Stationery,Healthyyou,SUP00003,72.59,112.26,Food Exempt,Active,,1900-01-01,product_master,9999-12-31,True,45930ce3b54eaaf77593
SKU0000012,831490914214,Classic Pharmacy Item 12,Health & Beauty,Pharmacy,Urbanbasics,SUP00057,393.69,895.36,Food Exempt,Active,2020-01-16,2020-01-16,product_master,2026-04-23,False,bd83e5094b07dd4679e6
SKU0000012,831490914214,Classic Pharmacy Item 12,Health & Beauty,Pharmacy,Urbanbasics,SUP00057,393.69,800.91,Food Exempt,Discontinued,2020-01-16,2026-04-23,price_cdc,9999-12-31,True,a8329c312a01fb58ed58
SKU0000013,137882667007,Smart Pharmacy Item 13,Health & Beauty,Pharmacy,Northpeak,SUP00025,191.56,343.89,Pharmacy Exempt,Active,,1900-01-01,product_master,9999-12-31,True,27b5b82f0413ba112421
SKU0000014,634765334223,Family Shoes Item 14,Apparel,Shoes,Northpeak,SUP00017,140.55,357.47,Taxable,Active,2020-03-08,2020-03-08,product_master,9999-12-31,True,52aad2075494ed1fcf65
SKU0000015,894319981521,Everyday Gaming Item 15,Electronics,Gaming,Techline,SUP00066,10.84,12.63,Food Exempt,Discontinued,,1900-01-01,product_master,9999-12-31,True,8dc48893f2b0de8c7104
SKU0000016,150957226209,Classic Decor Item 16,Home,Decor,Healthyyou,SUP00001,294.07,579.13,Taxable,Discontinued,,1900-01-01,product_master,9999-12-31,True,e9b8f2e9d92085eaaaa8
SKU0000017,147395284996,Smart Fitness Item 17,Sports,Fitness,Northpeak,SUP00031,66.57,99.36,Food Exempt,Active,2021-07-23,2021-07-23,product_master,2026-05-13,False,4995f7792d6fdda00bcb
SKU0000017,147395284996,Smart Fitness Item 17,Sports,Fitness,Northpeak,SUP00031,66.57,92.77,Food Exempt,Active,2021-07-23,2026-05-13,price_cdc,9999-12-31,True,156d5a4f43a8b46b4036
SKU0000018,855040992864,Value Kitchen Item 18,Home,Kitchen,Techline,SUP00042,309.53,685.31,Food Exempt,Active,2024-12-05,2024-12-05,product_master,9999-12-31,True,8ae212f8debd1c362ee4
