supplier_id,supplier_name,country,supplier_tier,lead_time_days,on_time_rate,defect_rate,active_flag
SUP00001,Value Supply 1,CHN,Backup,7.0,0.9151,0.0536,True
SUP00002,Summit Supply 2,CHN,Strategic,30.0,0.8904,0.0587,True
SUP00003,North Supply 3,USA,Preferred,,0.7593,0.0356,True
SUP00004,Summit Supply 4,MEX,Backup,3.0,0.8661,0.038,False
SUP00005,Global Supply 5,CHN,Preferred,,0.764,0.0061,True
SUP00006,Value Supply 6,CHN,Strategic,10.0,0.9203,0.06,True
SUP00007,Summit Supply 7,USA,Preferred,3.0,0.9924,0.0381,True
SUP00008,Prime Supply 8,CHN,Preferred,,0.8574,0.0384,True
SUP00009,Value Supply 9,IND,Preferred,3.0,0.813,0.0065,True
SUP00010,Evergreen Supply 10,USA,Strategic,,0.7663,0.0139,True
SUP00011,Global Supply 11,IND,Backup,30.0,0.7798,0.0786,False
SUP00012,Global Supply 12,USA,Preferred,5.0,0.7293,0.0014,True
SUP00013,Prime Supply 13,USA,Backup,,0.8982,0.0554,True
SUP00014,Value Supply 14,USA,Preferred,7.0,0.9564,0.0789,True
SUP00015,Prime Supply 15,USA,Preferred,10.0,0.7033,0.0764,True
SUP00016,North Supply 16,USA,Preferred,,0.9476,0.0686,True
SUP00017,Evergreen Supply 17,USA,Preferred,10.0,0.9492,0.0313,True
SUP00018,Value Supply 18,CAN,Preferred,,0.7945,0.0547,True
SUP00019,North Supply 19,VNM,Backup,21.0,0.7337,0.0542,False
SUP00020,Summit Supply 20,MEX,Preferred,5.0,0.878,0.0248,True
SUP00021,Value Supply 21,MEX,Strategic,14.0,0.948,0.0432,True
SUP00022,Evergreen Supply 22,USA,Standard,10.0,0.9361,0.0063,True
SUP00023,Prime Supply 23,USA,Preferred,21.0,0.9063,0.0373,True
SUP00024,Summit Supply 24,MEX,Standard,7.0,0.7705,0.0023,True
SUP00025,North Supply 25,USA,Backup,7.0,0.8323,0.0714,False
SUP00026,Summit Supply 26,IND,Preferred,3.0,0.9922,0.0124,True
SUP00027,Evergreen Supply 27,MEX,Preferred,14.0,0.8957,,True
SUP00028,Value Supply 28,VNM,Preferred,21.0,0.8657,0.067,True
SUP00029,Global Supply 29,VNM,Strategic,21.0,0.7214,0.0212,False
SUP00030,North Supply 30,USA,Preferred,21.0,0.7304,0.067,True
SUP00031,Prime Supply 31,CAN,Backup,30.0,0.8276,0.027,True
SUP00032,Value Supply 32,CAN,Strategic,5.0,0.7748,0.0691,True
SUP00033,Summit Supply 33,USA,Standard,30.0,0.8395,0.0089,True
SUP00034,Evergreen Supply 34,CAN,Standard,,0.8942,0.0213,False
SUP00035,Evergreen Supply 35,CAN,Preferred,21.0,0.8657,0.0243,True
SUP00036,Global Supply 36,CAN,Preferred,7.0,0.7411,0.01,True
SUP00037,Prime Supply 37,VNM,Standard,30.0,0.9286,0.043,True
SUP00038,Summit Supply 38,VNM,Standard,21.0,0.9022,0.048,False
SUP00039,North Supply 39,USA,Preferred,21.0,0.7083,0.0739,True
SUP00040,Prime Supply 40,VNM,Preferred,,0.9506,0.019,True
SUP00041,Value Supply 41,USA,Standard,,0.9916,0.0258,True
SUP00042,Evergreen Supply 42,USA,Backup,21.0,0.9264,0.0425,True
SUP00043,North Supply 43,USA,Backup,14.0,0.9839,0.0538,True
SUP00044,Summit Supply 44,VNM,Preferred,,0.9629,0.0236,True
SUP00045,Evergreen Supply 45,CHN,Backup,14.0,0.7217,0.0472,True
SUP00046,Value Supply 46,CHN,Strategic,,0.7799,0.079,True
SUP00047,North Supply 47,IND,Backup,21.0,0.7918,0.0242,True
SUP00048,Prime Supply 48,MEX,Standard,21.0,0.7836,0.037,True
SUP00049,Global Supply 49,USA,Preferred,5.0,0.9847,0.0179,True
SUP00050,Evergreen Supply 50,USA,Backup,21.0,0.7481,0.0711,True
SUP00051,Global Supply 51,MEX,Strategic,7.0,0.7715,0.038,True
SUP00052,Evergreen Supply 52,USA,Standard,30.0,0.7653,0.0661,True
SUP00053,Evergreen Supply 53,CAN,Standard,3.0,0.9625,0.0214,True
SUP00054,Global Supply 54,MEX,Backup,3.0,0.9304,0.053,False
SUP00055,Evergreen Supply 55,MEX,Backup,,0.7691,0.0761,False
SUP00056,Global Supply 56,USA,Strategic,3.0,0.8261,0.0753,True
SUP00057,Prime Supply 57,CHN,Preferred,5.0,0.8867,0.0672,True
SUP00058,Summit Supply 58,USA,Strategic,,0.8919,0.0201,True
SUP00059,Prime Supply 59,MEX,Strategic,14.0,0.9582,0.0191,True
SUP00060,Summit Supply 60,USA,Backup,14.0,0.8909,0.0391,True
SUP00061,Summit Supply 61,USA,Preferred,3.0,0.9515,0.0135,False
SUP00062,Prime Supply 62,USA,Standard,14.0,0.7825,0.059,False
SUP00063,North Supply 63,IND,Standard,14.0,0.8428,0.0539,True
SUP00064,Prime Supply 64,IND,Backup,21.0,0.7989,0.0565,True
SUP00065,Summit Supply 65,IND,Backup,21.0,0.9833,0.0079,True
SUP00066,Summit Supply 66,USA,Preferred,14.0,0.7517,0.0078,False
