customer_id,store_transactions,online_orders,lifetime_sales,return_count,refund_amount,purchase_count,return_rate,suspicious_return_flag
CUST00000002,2.0,0.0,3108.46,1.0,0.0,2.0,0.5,True
CUST00000022,1.0,0.0,2967.8500000000004,1.0,0.0,1.0,1.0,True
CUST00000028,4.0,0.0,12271.32,2.0,131.41,4.0,0.5,True
CUST00000040,1.0,1.0,2284.25,1.0,92.2,2.0,0.5,True
CUST00000046,2.0,0.0,7766.55,2.0,108.28,2.0,1.0,True
CUST00000048,1.0,0.0,3839.7799999999997,1.0,0.0,1.0,1.0,True
CUST00000057,1.0,2.0,7632.1900000000005,2.0,51.75,3.0,0.6666666666666666,True
CUST00000061,1.0,0.0,1149.28,1.0,0.0,1.0,1.0,True
CUST00000064,2.0,0.0,6642.63,1.0,0.0,2.0,0.5,True
CUST00000078,2.0,0.0,5553.15,1.0,0.0,2.0,0.5,True
CUST00000086,1.0,1.0,8827.02,1.0,0.0,2.0,0.5,True
CUST00000108,2.0,0.0,6644.8,1.0,0.0,2.0,0.5,True
CUST00000109,1.0,1.0,5714.16,1.0,124.72,2.0,0.5,True
CUST00000114,1.0,4.0,5610.259999999999,2.0,117.57,5.0,0.4,True
CUST00000132,0.0,1.0,1995.35,2.0,167.97,1.0,2.0,True
CUST00000144,1.0,0.0,3966.0,2.0,149.47,1.0,2.0,True
CUST00000165,1.0,1.0,2242.88,1.0,0.0,2.0,0.5,True
CUST00000177,2.0,2.0,7558.99,2.0,345.29999999999995,4.0,0.5,True
CUST00000190,1.0,1.0,3543.5699999999997,1.0,0.0,2.0,0.5,True
CUST00000192,1.0,0.0,629.0799999999999,3.0,0.0,1.0,3.0,True
CUST00000196,2.0,0.0,7194.599999999999,1.0,96.96,2.0,0.5,True
CUST00000225,2.0,0.0,3653.43,1.0,0.0,2.0,0.5,True
CUST00000230,1.0,1.0,8853.09,1.0,0.0,2.0,0.5,True
CUST00000240,0.0,1.0,459.17,1.0,47.61,1.0,1.0,True
CUST00000256,2.0,0.0,8532.7,1.0,0.0,2.0,0.5,True
CUST00000281,2.0,0.0,2133.09,2.0,0.0,2.0,1.0,True
CUST00000282,2.0,0.0,6453.780000000001,1.0,0.0,2.0,0.5,True
CUST00000284,1.0,1.0,1412.3600000000001,1.0,0.0,2.0,0.5,True
CUST00000288,1.0,1.0,5437.539999999999,1.0,0.0,2.0,0.5,True
CUST00000289,1.0,1.0,3502.84,1.0,0.0,2.0,0.5,True
CUST00000299,4.0,1.0,8529.14,2.0,61.1,5.0,0.4,True
CUST00000304,1.0,1.0,4718.41,1.0,0.0,2.0,0.5,True
CUST00000311,0.0,2.0,1152.71,1.0,0.0,2.0,0.5,True
CUST00000313,2.0,0.0,1439.78,1.0,0.0,2.0,0.5,True
CUST00000329,2.0,0.0,13248.76,2.0,32.19,2.0,1.0,True
CUST00000333,1.0,1.0,5824.94,1.0,0.0,2.0,0.5,True
CUST00000338,1.0,1.0,1775.91,1.0,0.0,2.0,0.5,True
CUST00000340,2.0,0.0,3498.26,1.0,104.33,2.0,0.5,True
CUST00000343,1.0,1.0,3709.78,4.0,0.0,2.0,2.0,True
CUST00000356,3.0,1.0,5654.900000000001,2.0,0.0,4.0,0.5,True
CUST00000370,1.0,1.0,4334.4400000000005,1.0,0.0,2.0,0.5,True
CUST00000371,2.0,0.0,9308.03,1.0,0.0,2.0,0.5,True
