online_order_line_id,online_order_id,line_number,product_id,quantity,unit_price,discount_amount,line_status,valid_values,customer_id,order_ts,fulfillment_type,fulfillment_store_id,order_status,device_type,order_date,department,subcategory,brand,standard_cost,gross_sales,net_sales,estimated_cogs,gross_margin
OL0000000003,WEB00000002,1,SKU0000199,1.0,46.13,0.0,Open,True,CUST00001673,2026-05-17 08:20:06,Pickup,STR0009,Shipped,Ios,2026-05-17,Office,School Supplies,Techline,18.42,46.13,46.13,18.42,27.71
OL0000000004,WEB00000002,2,SKU0000116,1.0,910.2,0.0,Cancelled,True,CUST00001673,2026-05-17 08:20:06,Pickup,STR0009,Shipped,Ios,2026-05-17,Office,Printing,Healthyyou,419.57,910.2,910.2,419.57,490.63000000000005
OL0000000005,WEB00000002,3,SKU0000539,2.0,415.73,2.0,Shipped,True,CUST00001673,2026-05-17 08:20:06,Pickup,STR0009,Shipped,Ios,2026-05-17,Home,Decor,Healthyyou,312.86,831.46,829.46,625.72,203.74
OL0000000006,WEB00000003,1,SKU0000031,2.0,289.05,5.0,Allocated,True,CUST00000647,2026-05-20 20:51:49,Delivery,STR0011,Delivered,Web,2026-05-20,Office,School Supplies,Healthyyou,196.94,578.1,573.1,393.88,179.22000000000003
OL0000000008,WEB00000004,1,SKU0000335,3.0,437.19,5.0,Picked,True,CUST00000094,2026-05-19 09:33:38,Delivery,STR0006,Shipped,Android,2026-05-19,Apparel,Men,Urbanbasics,219.15,1311.57,1306.57,657.45,649.1199999999999
OL0000000009,WEB00000005,1,SKU0000254,4.0,285.81,0.0,Cancelled,True,CUST00000836,2026-05-09 01:58:36,Delivery,STR0021,Placed,Android,2026-05-09,Apparel,Women,Greathome,188.76,1143.24,1143.24,755.04,388.20000000000005
OL0000000010,WEB00000005,2,SKU0000417,1.0,246.82,0.0,Picked,True,CUST00000836,2026-05-09 01:58:36,Delivery,STR0021,Placed,Android,2026-05-09,Health & Beauty,Cosmetics,Valueplus,101.52,246.82,246.82,101.52,145.3
OL0000000011,WEB00000006,1,SKU0000376,2.0,438.3,0.0,Open,True,CUST00001710,2026-04-15 12:40:43,Pickup,STR0008,Processing,Web,2026-04-15,Home,Kitchen,Northpeak,404.75,876.6,876.6,809.5,67.10000000000002
OL0000000012,WEB00000006,2,SKU0000018,1.0,685.31,0.0,Picked,True,CUST00001710,2026-04-15 12:40:43,Pickup,STR0008,Processing,Web,2026-04-15,Home,Kitchen,Techline,309.53,685.31,685.31,309.53,375.78
OL0000000013,WEB00000007,1,SKU0000559,3.0,492.88,2.0,Cancelled,True,CUST00000349,2026-05-31 07:47:11,Delivery,STR0011,Placed,Android,2026-05-31,Grocery,Dairy,Healthyyou,409.77,1478.6399999999999,1476.6399999999999,1229.31,247.32999999999993
OL0000000014,WEB00000007,2,SKU0000423,4.0,152.87,0.0,Picked,True,CUST00000349,2026-05-31 07:47:11,Delivery,STR0011,Placed,Android,2026-05-31,Grocery,Dairy,Techline,69.84,611.48,611.48,279.36,332.12
OL0000000015,WEB00000007,3,SKU0000509,4.0,214.37,0.0,Shipped,True,CUST00000349,2026-05-31 07:47:11,Delivery,STR0011,Placed,Android,2026-05-31,Home,Storage,Greathome,153.52,857.48,857.48,614.08,243.39999999999998
OL0000000016,WEB00000007,4,SKU0000524,4.0,959.9,0.0,Shipped,True,CUST00000349,2026-05-31 07:47:11,Delivery,STR0011,Placed,Android,2026-05-31,Office,School Supplies,Greathome,413.44,3839.6,3839.6,1653.76,2185.84
OL0000000018,WEB00000008,1,SKU0000271,2.0,861.62,0.0,Open,True,CUST00001220,2026-04-02 23:30:20,Pickup,STR0015,Placed,Ios,2026-04-02,Health & Beauty,Pharmacy,Greathome,406.41,1723.24,1723.24,812.82,910.42
