transaction_line_id,transaction_id,line_number,product_id,quantity,unit_price,regular_price,promotion_id,coupon_amount,tax_amount,line_status,valid_values,store_id,associate_id,customer_id,transaction_ts,transaction_date,transaction_type,sales_channel,receipt_status,department,subcategory,brand,standard_cost,gross_sales,net_sales,estimated_cogs,gross_margin,markdown_amount
TL0000000007,TXN000000003,1,SKU0000427,2.0,863.97,863.97,,0.0,0.0,Sold,True,STR0012,ASC000313,CUST00000465,2026-04-14 11:04:00,2026-04-14,SALE,Store,Completed,Health & Beauty,Pharmacy,Greathome,441.9,1727.94,1727.94,883.8,844.1400000000001,0.0
TL0000000009,TXN000000003,3,SKU0000199,3.0,46.13,46.13,,0.0,9.69,Sold,True,STR0012,ASC000313,CUST00000465,2026-04-14 11:04:00,2026-04-14,SALE,Store,Completed,Office,School Supplies,Techline,18.42,138.39000000000001,138.39000000000001,55.260000000000005,83.13000000000001,0.0
TL0000000010,TXN000000003,4,SKU0000098,3.0,58.75,58.75,,1.0,8.81,Sold,True,STR0012,ASC000313,CUST00000465,2026-04-14 11:04:00,2026-04-14,SALE,Store,Completed,Sports,Fitness,Healthyyou,36.33,176.25,175.25,108.99,66.26,0.0
TL0000000011,TXN000000003,5,SKU0000135,1.0,78.16,78.16,,2.0,0.0,Sold,True,STR0012,ASC000313,CUST00000465,2026-04-14 11:04:00,2026-04-14,SALE,Store,Completed,Office,School Supplies,Urbanbasics,65.65,78.16,76.16,65.65,10.509999999999991,0.0
TL0000000018,TXN000000006,1,SKU0000038,1.0,914.63,914.63,,0.0,64.02,Sold,True,STR0004,ASC000354,,2026-05-05 23:03:00,2026-05-05,SALE,Store,Completed,Electronics,Audio,Northpeak,376.01,914.63,914.63,376.01,538.62,0.0
TL0000000025,TXN000000007,4,SKU0000206,2.0,548.65,548.65,,0.0,76.81,Sold,True,STR0018,ASC000199,CUST00001593,,,SALE,Store,Completed,Apparel,Women,Valueplus,299.49,1097.3,1097.3,598.98,498.31999999999994,0.0
TL0000000028,TXN000000008,2,SKU0000022,2.0,215.73,269.66,,0.0,30.2,Sold,True,STR0021,ASC000424,CUST00001755,,,SALE,Store,Completed,Office,Printing,Northpeak,185.15,431.46,431.46,370.3,61.15999999999997,107.86000000000007
TL0000000029,TXN000000008,3,SKU0000298,1.0,229.86,287.32,,0.0,16.09,Sold,True,STR0021,ASC000424,CUST00001755,,,SALE,Store,Completed,Electronics,Audio,Freshway,146.8,229.86,229.86,146.8,83.06,57.45999999999998
TL0000000030,TXN000000008,4,SKU0000183,1.0,750.79,750.79,,1.0,52.56,Sold,True,STR0021,ASC000424,CUST00001755,,,SALE,Store,Completed,Health & Beauty,Cosmetics,Freshway,442.34,750.79,749.79,442.34,307.45,0.0
TL0000000031,TXN000000008,5,SKU0000207,5.0,487.57,541.74,,5.0,170.65,Sold,True,STR0021,ASC000424,CUST00001755,,,SALE,Store,Completed,Office,Printing,Healthyyou,279.18,2437.85,2432.85,1395.9,1036.9499999999998,270.8500000000001
