transaction_id,basket_sales,basket_margin,units,sku_count,store_id,register_id,associate_id,customer_id,transaction_ts,transaction_type,sales_channel,receipt_status,batch_id,transaction_date,high_value_basket_flag
TXN000000003,2117.7400000000002,1004.0400000000001,9.0,4,STR0012,REG022,ASC000313,CUST00000465,2026-04-14 11:04:00,SALE,Store,Completed,POS_B,2026-04-14,True
TXN000000006,914.63,538.62,1.0,1,STR0004,REG006,ASC000354,,2026-05-05 23:03:00,SALE,Store,Completed,POS_C,2026-05-05,True
TXN000000007,1097.3,498.31999999999994,2.0,1,STR0018,REG016,ASC000199,CUST00001593,,SALE,Store,Completed,POS_C,,True
TXN000000008,3843.96,1488.62,9.0,4,STR0021,REG011,ASC000424,CUST00001755,,SALE,Store,Completed,POS_A,,True
TXN000000009,360.93,196.87,2.0,2,STR0002,REG014,ASC000253,CUST00000842,2026-05-28 02:48:00,SALE,Pickup,Completed,POS_B,2026-05-28,False
TXN000000011,1649.25,994.6299999999999,5.0,2,STR0012,REG028,ASC000345,CUST00000415,2026-05-11 09:20:00,SALE,Pickup,Completed,POS_A,2026-05-11,True
TXN000000013,880.08,142.58000000000004,2.0,1,STR0012,REG005,ASC000069,,2026-05-14 02:19:00,SALE,Pickup,Completed,POS_B,2026-05-14,True
TXN000000014,1875.4399999999998,1048.95,5.0,3,STR0021,REG015,ASC000210,CUST00001755,2026-05-27 21:22:00,SALE,Store,Completed,POS_C,2026-05-27,True
TXN000000015,2326.18,1454.1599999999999,2.0,1,STR0016,REG016,ASC000100,CUST00000295,,SALE,Pickup,Completed,POS_B,,True
TXN000000018,882.93,43.91000000000001,3.0,2,STR0013,REG006,ASC000149,CUST00001229,,SALE,Pickup,Completed,POS_A,,True
TXN000000019,355.96,208.04,2.0,1,STR0017,REG010,ASC000309,CUST00000027,,SALE,Pickup,Completed,POS_B,,False
TXN000000023,569.45,178.83000000000004,1.0,1,STR0011,REG019,ASC000399,,2026-05-01 04:23:00,SALE,Pickup,Completed,POS_C,2026-05-01,True
TXN000000024,756.32,144.74,2.0,1,STR0004,REG009,ASC000062,CUST00001610,,SALE,Pickup,Completed,POS_C,,True
TXN000000025,402.32,88.36000000000001,4.0,1,STR0002,REG021,ASC000253,CUST00000800,,SALE,Store,Completed,POS_C,,False
TXN000000026,5947.5199999999995,2616.0699999999997,11.0,4,STR0010,REG001,ASC000064,,,SALE,Store,Completed,POS_C,,True
TXN000000029,1919.8,1092.92,2.0,1,STR0020,REG006,ASC000358,,,SALE,Store,Completed,POS_B,,True
TXN000000030,1782.3200000000002,740.9000000000001,5.0,2,STR0023,REG026,ASC000487,CUST00000991,,SALE,Store,Completed,POS_B,,True
TXN000000031,226.3,44.78,2.0,1,STR0003,REG014,ASC000073,CUST00001397,,SALE,Pickup,Completed,POS_B,,False
TXN000000032,4932.74,2511.82,10.0,4,STR0025,REG007,ASC000174,CUST00001794,,SALE,Pickup,Completed,POS_C,,True
TXN000000034,362.55,57.860000000000014,1.0,1,STR0010,REG021,ASC000414,CUST00001196,2026-05-22 01:50:00,SALE,Store,Completed,POS_B,2026-05-22,False
TXN000000035,330.19,84.64000000000001,3.0,1,STR0025,REG025,ASC000352,CUST00000681,2026-04-13 17:26:00,SALE,Store,Completed,POS_C,2026-04-13,False
TXN000000036,841.4,454.0799999999999,8.0,2,STR0007,REG005,ASC000079,,,SALE,Store,Completed,POS_C,,True
TXN000000041,5170.400000000001,2431.78,12.0,3,STR0017,REG012,ASC000164,CUST00001296,2026-04-06 04:10:00,SALE,Store,Completed,POS_C,2026-04-06,True
TXN000000043,115.04,54.00000000000001,1.0,1,STR0015,REG018,ASC000212,CUST00000223,2026-04-21 21:33:00,SALE,Store,Completed,POS_B,2026-04-21,False
TXN000000048,1652.08,656.03,7.0,3,STR0013,REG022,ASC000091,CUST00000550,2026-04-09 13:07:00,SALE,Store,Completed,POS_A,2026-04-09,True
TXN000000049,1551.44,518.65,9.0,4,STR0019,REG020,ASC000292,,2026-05-28 20:48:00,SALE,Pickup,Completed,POS_B,2026-05-28,True
TXN000000050,1336.59,533.9599999999999,5.0,2,STR0005,REG001,ASC000334,CUST00001750,2026-04-18 04:29:00,SALE,Store,Completed,POS_B,2026-04-18,True
TXN000000053,3131.6200000000003,1605.2700000000002,5.0,2,STR0007,REG009,ASC000270,CUST00000757,,SALE,Store,Completed,POS_B,,True
TXN000000056,2321.09,977.3500000000001,4.0,4,STR0009,REG020,ASC000178,CUST00000208,2026-05-15 03:07:00,SALE,Store,Completed,POS_A,2026-05-15,True
TXN000000060,924.12,519.13,1.0,1,STR0003,REG012,ASC000481,CUST00001105,2026-04-06 04:39:00,SALE,Pickup,Completed,POS_A,2026-04-06,True
TXN000000062,722.33,371.63000000000005,1.0,1,STR0017,REG022,ASC000024,CUST00001118,,SALE,Store,Completed,POS_C,,True
TXN000000064,2429.4,1299.64,9.0,2,STR0004,REG015,ASC000240,CUST00000627,,SALE,Store,Completed,POS_B,,True
TXN000000066,4109.31,1853.9400000000005,7.0,2,STR0002,REG011,ASC000114,,,SALE,Store,Completed,POS_A,,True
TXN000000067,6394.38,3404.88,11.0,4,STR0011,REG012,ASC000325,,,SALE,Store,Completed,POS_B,,True
TXN000000070,5197.79,2739.7300000000005,8.0,4,STR0006,REG020,ASC000319,CUST00001602,2026-04-17 20:15:00,SALE,Store,Completed,POS_C,2026-04-17,True
TXN000000072,1883.67,644.5699999999999,7.0,4,STR0004,REG010,ASC000074,CUST00001328,,SALE,Store,Completed,POS_A,,True
TXN000000073,2038.2999999999997,565.6099999999998,4.0,2,STR0021,REG009,ASC000268,CUST00001330,,SALE,Pickup,Completed,POS_A,,True
TXN000000075,3492.83,651.21,7.0,3,STR0005,REG015,ASC000343,CUST00001454,,SALE,Pickup,Completed,POS_C,,True
TXN000000077,1927.8500000000001,902.46,5.0,3,STR0025,REG022,ASC000464,CUST00000158,,SALE,Pickup,Completed,POS_B,,True
TXN000000079,587.03,118.78000000000003,2.0,2,STR0016,REG025,ASC000182,CUST00001255,2026-05-19 14:29:00,SALE,Pickup,Completed,POS_B,2026-05-19,True
TXN000000082,2456.67,1050.05,5.0,3,STR0010,REG026,ASC000439,CUST00001440,,SALE,Store,Completed,POS_B,,True
TXN000000084,4794.5,2005.65,9.0,3,STR0008,REG002,ASC000458,,,SALE,Store,Completed,POS_C,,True
TXN000000085,1155.72,454.32000000000005,2.0,1,STR0018,REG012,ASC000297,CUST00000529,,SALE,Store,Completed,POS_C,,True
TXN000000087,2956.52,1716.7,10.0,3,STR0010,REG028,ASC000064,CUST00000550,2026-04-23 06:47:00,SALE,Store,Completed,POS_C,2026-04-23,True
TXN000000090,4045.3900000000003,2046.2700000000002,9.0,4,STR0005,REG021,ASC000480,CUST00000685,,SALE,Pickup,Completed,POS_C,,True
TXN000000095,1616.69,704.6399999999999,5.0,3,STR0009,REG012,ASC000058,CUST00001497,2026-04-19 18:15:00,SALE,Store,Completed,POS_A,2026-04-19,True
TXN000000098,1438.6799999999998,787.6999999999999,6.0,2,STR0024,REG009,ASC000340,CUST00000748,2026-04-29 09:21:00,SALE,Store,Completed,POS_C,2026-04-29,True
TXN000000099,1501.96,745.2700000000001,3.0,1,STR0021,REG001,ASC000234,CUST00000525,2026-05-30 15:38:00,SALE,Pickup,Completed,POS_C,2026-05-30,True
TXN000000104,101.67,28.5,1.0,1,STR0003,REG007,ASC000481,CUST00000521,2026-05-02 11:51:00,SALE,Store,Completed,POS_B,2026-05-02,False
TXN000000106,799.4300000000001,398.44000000000005,2.0,2,STR0015,REG010,ASC000054,,2026-05-13 11:43:00,SALE,Store,Completed,POS_C,2026-05-13,True
TXN000000115,566.4,224.32000000000005,4.0,2,STR0014,REG009,ASC000066,CUST00000647,2026-04-25 08:11:00,SALE,Store,Completed,POS_C,2026-04-25,True
TXN000000116,860.61,504.44,1.0,1,STR0016,REG024,ASC000077,,,SALE,Pickup,Completed,POS_A,,True
TXN000000117,1673.33,699.79,5.0,2,STR0009,REG009,ASC000245,CUST00001366,2026-04-27 07:29:00,SALE,Pickup,Completed,POS_B,2026-04-27,True
TXN000000119,3493.16,767.8799999999999,7.0,3,STR0022,REG008,ASC000131,CUST00000759,,SALE,Store,Completed,POS_B,,True
TXN000000125,1257.7600000000002,133.81000000000003,6.0,2,STR0023,REG016,ASC000407,CUST00001123,,SALE,Store,Completed,POS_A,,True
TXN000000131,1295.04,515.13,4.0,3,STR0004,REG004,ASC000154,CUST00000780,,SALE,Pickup,Completed,POS_B,,True
TXN000000140,2069.05,672.7199999999999,5.0,2,STR0008,REG010,ASC000366,CUST00000705,,SALE,Pickup,Completed,POS_B,,True
TXN000000141,2935.82,1338.8400000000001,6.0,3,STR0011,REG014,ASC000447,,2026-05-24 20:49:00,SALE,Store,Completed,POS_A,2026-05-24,True
TXN000000147,433.39,154.20999999999998,1.0,1,STR0013,REG002,ASC000317,CUST00001660,2026-04-24 00:30:00,SALE,Store,Completed,POS_B,2026-04-24,False
TXN000000150,4260.8,2388.8,10.0,2,STR0022,REG018,ASC000443,CUST00000076,,SALE,Store,Completed,POS_B,,True
TXN000000152,818.14,394.38,4.0,2,STR0014,REG023,ASC000293,CUST00001508,2026-05-11 19:01:00,SALE,Pickup,Completed,POS_B,2026-05-11,True
TXN000000154,4705.469999999999,1943.83,14.0,5,STR0023,REG003,ASC000407,,2026-05-22 14:46:00,SALE,Pickup,Completed,POS_B,2026-05-22,True
TXN000000155,6831.41,3797.11,15.0,4,STR0023,REG012,ASC000061,CUST00000366,,SALE,Store,Completed,POS_B,,True
TXN000000158,3353.01,1812.4700000000005,7.0,2,STR0009,REG003,ASC000246,CUST00000975,2026-04-27 02:18:00,SALE,Store,Completed,POS_B,2026-04-27,True
TXN000000160,6751.96,3847.48,8.0,2,STR0014,REG007,ASC000247,CUST00001282,,SALE,Pickup,Completed,POS_B,,True
TXN000000162,197.98,79.6,2.0,1,STR0022,REG024,ASC000248,CUST00001127,,SALE,Pickup,Completed,POS_B,,False
TXN000000163,5042.549999999999,2877.5199999999995,8.0,3,STR0010,REG007,ASC000408,CUST00000104,,SALE,Store,Completed,POS_C,,True
TXN000000165,1975.9299999999998,867.04,6.0,3,STR0019,REG014,ASC000279,CUST00000551,2026-04-02 09:07:00,SALE,Pickup,Completed,POS_C,2026-04-02,True
TXN000000170,657.58,312.88000000000005,1.0,1,STR0008,REG019,ASC000321,CUST00000767,2026-04-22 13:18:00,SALE,Pickup,Completed,POS_B,2026-04-22,True
TXN000000171,4341.95,2092.0599999999995,10.0,3,STR0001,REG024,ASC000475,CUST00000086,,SALE,Store,Completed,POS_B,,True
TXN000000172,3983.37,1065.65,9.0,4,STR0006,REG014,ASC000449,CUST00000039,2026-05-11 02:33:00,SALE,Store,Completed,POS_B,2026-05-11,True
TXN000000173,6500.74,2804.98,9.0,3,STR0011,REG028,ASC000314,,2026-04-12 16:55:00,SALE,Pickup,Completed,POS_A,2026-04-12,True
TXN000000178,3914.6600000000003,1964.54,8.0,4,STR0004,REG005,ASC000062,CUST00001343,,SALE,Store,Completed,POS_C,,True
TXN000000179,354.94,180.74,2.0,1,STR0010,REG023,ASC000070,,2026-04-02 09:40:00,SALE,Store,Completed,POS_B,2026-04-02,False
TXN000000180,33.5,13.86,1.0,1,STR0004,REG002,ASC000423,,2026-05-15 02:44:00,SALE,Pickup,Completed,POS_A,2026-05-15,False
TXN000000186,233.02999999999997,75.66,3.0,2,STR0003,REG028,ASC000261,CUST00000762,,SALE,Store,Completed,POS_A,,False
TXN000000187,3842.1800000000003,1923.45,15.0,4,STR0001,REG017,ASC000306,CUST00001173,,SALE,Store,Completed,POS_A,,True
TXN000000190,3894.7999999999997,1729.83,9.0,4,STR0014,REG009,ASC000469,,2026-04-30 13:05:00,SALE,Store,Completed,POS_B,2026-04-30,True
TXN000000196,4363.15,1041.4599999999998,9.0,3,STR0023,REG020,ASC000097,CUST00000273,2026-04-12 06:41:00,SALE,Store,Completed,POS_C,2026-04-12,True
TXN000000200,3530.04,1473.9099999999999,7.0,4,STR0005,REG011,ASC000015,CUST00000646,2026-05-06 23:50:00,SALE,Pickup,Completed,POS_A,2026-05-06,True
TXN000000201,988.23,227.56,3.0,2,STR0021,REG018,ASC000492,CUST00001682,2026-04-19 03:05:00,SALE,Store,Completed,POS_A,2026-04-19,True
TXN000000205,510.89,115.18,1.0,1,STR0005,REG022,ASC000343,CUST00000216,2026-05-23 23:30:00,SALE,Store,Completed,POS_B,2026-05-23,True
TXN000000206,1325.54,445.5799999999999,2.0,1,STR0023,REG027,ASC000363,CUST00000794,2026-04-05 01:57:00,SALE,Store,Completed,POS_A,2026-04-05,True
TXN000000208,9335.49,4984.469999999999,17.0,4,STR0010,REG011,ASC000122,CUST00001439,2026-04-17 21:55:00,SALE,Store,Completed,POS_A,2026-04-17,True
TXN000000210,2062.81,485.26000000000005,6.0,2,STR0015,REG025,ASC000415,CUST00001770,,SALE,Store,Completed,POS_A,,True
TXN000000217,3843.71,1273.2400000000002,6.0,2,STR0001,REG010,ASC000413,,,SALE,Store,Completed,POS_B,,True
TXN000000219,188.44,47.34,2.0,1,STR0014,REG006,ASC000494,CUST00001371,2026-05-12 01:20:00,SALE,Store,Completed,POS_A,2026-05-12,False
TXN000000226,2772.96,1201.0,4.0,1,STR0010,REG025,ASC000408,,2026-05-14 13:56:00,SALE,Store,Completed,POS_A,2026-05-14,True
TXN000000228,1173.75,499.79,2.0,2,STR0002,REG028,ASC000290,,,SALE,Store,Completed,POS_C,,True
TXN000000230,3150.6000000000004,1505.8700000000001,6.0,4,STR0012,REG022,ASC000333,,2026-04-02 13:03:00,SALE,Store,Completed,POS_C,2026-04-02,True
