order_date,fulfillment_store_id,fulfillment_type,order_count,units,net_sales,gross_margin
2026-04-01,STR0002,Ship To Home,1,6.0,3503.55,1284.43
2026-04-01,STR0003,Delivery,1,8.0,1571.47,751.8100000000001
2026-04-01,STR0004,Delivery,1,12.0,5213.549999999999,2063.7999999999997
2026-04-01,STR0004,Ship To Home,1,1.0,492.88,83.11000000000001
2026-04-01,STR0010,Ship To Home,1,9.0,3775.1600000000003,1785.3200000000002
2026-04-01,STR0011,Delivery,1,10.0,1979.88,802.9300000000001
2026-04-01,STR0011,Pickup,1,3.0,715.02,415.5
2026-04-01,STR0015,Ship To Home,1,1.0,352.83,174.20999999999998
2026-04-01,STR0016,Ship To Home,1,1.0,354.26,186.92999999999998
2026-04-01,STR0017,Delivery,1,5.0,768.99,396.03000000000003
2026-04-01,STR0018,Pickup,1,3.0,980.81,473.02
2026-04-01,STR0019,Delivery,1,4.0,2128.8,2128.8
2026-04-01,STR0019,Ship To Home,1,4.0,1796.1100000000001,787.6200000000001
2026-04-01,STR0020,Delivery,1,1.0,485.34,194.07
2026-04-01,STR0023,Delivery,1,3.0,903.52,337.63999999999993
2026-04-01,STR0023,Ship To Home,1,6.0,2846.05,1576.91
2026-04-01,STR_BAD,Delivery,1,8.0,2656.38,628.2699999999999
2026-04-02,STR0001,Pickup,2,7.0,2898.69,1222.2399999999998
2026-04-02,STR0002,Pickup,1,3.0,1358.73,720.0
2026-04-02,STR0004,Ship To Home,1,6.0,229.08999999999997,121.38999999999999
2026-04-02,STR0005,Pickup,1,1.0,646.89,340.71
2026-04-02,STR0007,Pickup,1,7.0,6011.72,3400.6800000000003
2026-04-02,STR0007,Ship To Home,1,8.0,4989.46,2441.8199999999997
2026-04-02,STR0008,Delivery,2,16.0,6524.92,2985.84
2026-04-02,STR0008,Pickup,2,11.0,5188.75,1836.24
2026-04-02,STR0008,Ship To Home,1,6.0,2343.26,707.01
2026-04-02,STR0009,Ship To Home,1,1.0,446.39,275.78
2026-04-02,STR0011,Ship To Home,1,5.0,4081.0,2369.88
2026-04-02,STR0012,Ship To Home,1,8.0,4213.65,2119.7400000000002
2026-04-02,STR0013,Ship To Home,1,5.0,1568.8200000000002,690.62
2026-04-02,STR0014,Delivery,1,7.0,4505.28,2581.9400000000005
2026-04-02,STR0015,Pickup,2,19.0,5824.389999999999,2538.89
2026-04-02,STR0015,Ship To Home,1,5.0,3481.72,1924.1099999999997
2026-04-02,STR0018,Pickup,1,4.0,806.1500000000001,221.9600000000001
2026-04-02,STR0020,Ship To Home,1,9.0,3542.28,776.5300000000002
2026-04-02,STR0022,Delivery,2,9.0,2927.7299999999996,1306.05
2026-04-02,STR0022,Ship To Home,1,8.0,3271.86,1093.6200000000001
2026-04-02,STR0024,Ship To Home,1,4.0,693.3900000000001,236.86
2026-04-03,STR0001,Ship To Home,1,3.0,2173.75,918.4199999999998
2026-04-03,STR0002,Delivery,1,3.0,180.42000000000002,92.25000000000001
2026-04-03,STR0002,Ship To Home,2,9.0,6683.79,3354.5399999999995
2026-04-03,STR0003,Delivery,1,6.0,2991.23,1162.33
2026-04-03,STR0003,Pickup,2,4.0,264.62,79.93
2026-04-03,STR0006,Ship To Home,2,2.0,450.2,153.26999999999998
2026-04-03,STR0009,Delivery,1,2.0,1295.79,632.19
2026-04-03,STR0009,Pickup,1,7.0,5194.08,2773.45
2026-04-03,STR0010,Delivery,1,12.0,5515.26,2599.2799999999997
2026-04-03,STR0014,Pickup,1,16.0,8846.3,4637.4
2026-04-03,STR0019,Ship To Home,1,4.0,2983.2,1845.1599999999999
2026-04-03,STR0020,Delivery,1,7.0,2130.81,1288.7600000000002
2026-04-03,STR0020,Pickup,1,2.0,234.0,54.120000000000005
2026-04-03,STR0021,Ship To Home,1,6.0,3971.84,2183.84
2026-04-03,STR0022,Delivery,2,13.0,2548.11,751.57
2026-04-03,STR0023,Pickup,1,2.0,141.9,89.16
2026-04-03,STR0024,Delivery,2,5.0,2782.01,1630.21
2026-04-03,STR0025,Ship To Home,1,3.0,1334.64,363.4100000000001
2026-04-04,STR0001,Delivery,2,15.0,3502.93,1897.9999999999998
2026-04-04,STR0005,Delivery,1,4.0,4003.44,2422.44
2026-04-04,STR0005,Pickup,1,4.0,2157.44,1014.04
2026-04-04,STR0006,Delivery,1,1.0,303.73,177.40000000000003
2026-04-04,STR0006,Ship To Home,1,7.0,2398.74,833.92
2026-04-04,STR0007,Ship To Home,1,3.0,429.27,82.60000000000002
2026-04-04,STR0008,Ship To Home,1,2.0,891.06,225.27999999999997
2026-04-04,STR0009,Delivery,1,4.0,686.4,416.0
2026-04-04,STR0010,Pickup,1,3.0,355.84000000000003,72.83000000000001
2026-04-04,STR0010,Ship To Home,1,8.0,4960.08,2961.34
2026-04-04,STR0011,Pickup,1,7.0,3462.21,1868.2900000000002
2026-04-04,STR0012,Delivery,1,5.0,4400.71,2389.6
2026-04-04,STR0012,Pickup,1,8.0,3667.31,1619.34
2026-04-04,STR0013,Ship To Home,1,3.0,1710.6399999999999,564.5
2026-04-04,STR0014,Ship To Home,1,8.0,2062.3,835.49
2026-04-04,STR0017,Delivery,1,11.0,1929.58,842.03
2026-04-04,STR0017,Ship To Home,2,8.0,1768.85,677.9199999999998
2026-04-04,STR0018,Delivery,3,12.0,5706.110000000001,3031.86
2026-04-04,STR0019,Pickup,2,7.0,1775.04,449.05000000000007
2026-04-04,STR0019,Ship To Home,1,2.0,995.43,376.23999999999995
2026-04-04,STR0020,Delivery,1,7.0,1929.2,620.3100000000001
2026-04-04,STR0021,Pickup,1,4.0,1023.56,515.9499999999999
2026-04-04,STR0021,Ship To Home,1,2.0,160.44,82.53999999999999
2026-04-04,STR0022,Delivery,2,11.0,4732.0199999999995,2149.8999999999996
2026-04-04,STR0022,Ship To Home,1,10.0,2125.88,1056.4
2026-04-04,STR0023,Ship To Home,1,1.0,872.8,486.0799999999999
2026-04-04,STR0024,Delivery,1,10.0,2745.76,1142.5900000000001
2026-04-04,STR0024,Ship To Home,2,12.0,6170.7300000000005,3267.56
2026-04-04,STR0025,Pickup,1,7.0,2209.21,800.06
2026-04-04,STR0025,Ship To Home,1,6.0,1236.73,460.98
2026-04-05,STR0001,Ship To Home,1,3.0,2441.6800000000003,1329.54
2026-04-05,STR0004,Pickup,1,2.0,1685.8000000000002,948.9300000000001
2026-04-05,STR0005,Delivery,2,9.0,1829.0500000000002,766.4300000000001
2026-04-05,STR0005,Ship To Home,2,11.0,1553.69,779.5400000000002
2026-04-05,STR0006,Delivery,1,4.0,1702.99,837.99
2026-04-05,STR0006,Pickup,1,5.0,1096.75,479.77000000000004
2026-04-05,STR0009,Ship To Home,1,6.0,2222.92,738.6900000000002
2026-04-05,STR0010,Delivery,3,16.0,4483.4,1731.26
2026-04-05,STR0014,Delivery,1,8.0,1995.35,923.79
2026-04-05,STR0017,Delivery,1,5.0,3602.25,2056.6800000000003
2026-04-05,STR0017,Pickup,2,4.0,2727.15,1395.85
2026-04-05,STR0018,Pickup,2,3.0,1676.31,664.0
2026-04-05,STR0019,Pickup,1,5.0,4080.83,2519.15
2026-04-05,STR0020,Delivery,1,5.0,713.99,431.29
2026-04-05,STR0020,Ship To Home,3,16.0,4074.59,1474.1899999999998
2026-04-05,STR0021,Ship To Home,1,5.0,2418.6800000000003,776.8500000000001
2026-04-05,STR0022,Delivery,1,10.0,3906.0600000000004,1602.9100000000003
2026-04-05,STR0023,Delivery,1,8.0,1703.4,808.14
2026-04-05,STR0023,Pickup,1,3.0,2677.05,1535.4600000000003
2026-04-05,STR0024,Ship To Home,1,1.0,105.07,35.209999999999994
2026-04-05,STR0025,Delivery,1,7.0,2734.19,912.0200000000002
2026-04-05,STR0025,Pickup,1,6.0,2388.8199999999997,1105.62
2026-04-06,STR0002,Delivery,2,4.0,1957.06,935.02
2026-04-06,STR0002,Pickup,1,9.0,3189.36,1561.1100000000001
2026-04-06,STR0003,Delivery,2,17.0,5434.72,2881.92
2026-04-06,STR0004,Delivery,1,5.0,509.68,142.65999999999997
2026-04-06,STR0006,Delivery,2,19.0,6402.38,2237.5899999999997
2026-04-06,STR0007,Delivery,1,3.0,3029.2200000000003,1872.6900000000003
2026-04-06,STR0010,Delivery,1,8.0,1828.4,467.31999999999994
2026-04-06,STR0011,Ship To Home,1,4.0,2040.72,1095.3600000000001
2026-04-06,STR0012,Delivery,1,1.0,268.66,83.51000000000002
2026-04-06,STR0012,Pickup,1,3.0,1091.83,367.7299999999999
2026-04-06,STR0015,Pickup,1,8.0,2338.36,523.3499999999999
2026-04-06,STR0016,Ship To Home,1,7.0,2161.84,930.23
2026-04-06,STR0017,Delivery,1,3.0,458.61,249.09
2026-04-06,STR0017,Ship To Home,1,3.0,66.28999999999999,26.199999999999996
2026-04-06,STR0020,Pickup,1,2.0,634.81,338.45
2026-04-06,STR0021,Pickup,1,5.0,2056.12,845.54
2026-04-06,STR0023,Pickup,1,2.0,673.5,415.07000000000005
2026-04-06,STR0023,Ship To Home,1,6.0,3684.7,1779.1599999999999
2026-04-06,STR0024,Delivery,1,4.0,1633.44,306.43000000000006
2026-04-06,STR0024,Pickup,1,5.0,2104.54,1258.9499999999998
2026-04-06,STR0025,Pickup,1,9.0,3876.79,1139.66
2026-04-07,STR0001,Pickup,3,18.0,8337.76,3760.8100000000004
2026-04-07,STR0001,Ship To Home,1,2.0,474.68,275.0
2026-04-07,STR0002,Delivery,1,3.0,2528.12,1538.3899999999999
2026-04-07,STR0005,Pickup,2,15.0,6360.33,3794.77
2026-04-07,STR0005,Ship To Home,1,8.0,2180.7,860.61
2026-04-07,STR0006,Delivery,1,3.0,1995.81,675.8699999999999
2026-04-07,STR0007,Delivery,1,11.0,8537.01,4687.630000000001
2026-04-07,STR0007,Ship To Home,1,4.0,694.9,252.44
2026-04-07,STR0009,Delivery,2,4.0,1003.8000000000001,406.0300000000001
2026-04-07,STR0009,Pickup,1,8.0,4336.61,2239.7
2026-04-07,STR0011,Pickup,1,5.0,3000.44,1685.22
2026-04-07,STR0012,Pickup,1,2.0,981.0,504.98
2026-04-07,STR0012,Ship To Home,1,6.0,2823.8500000000004,1633.5700000000004
2026-04-07,STR0013,Ship To Home,1,2.0,553.24,175.04
2026-04-07,STR0014,Delivery,1,6.0,4268.4400000000005,2597.92
2026-04-07,STR0014,Ship To Home,1,5.0,2202.46,1207.99
2026-04-07,STR0016,Pickup,1,2.0,189.9,50.58000000000001
2026-04-07,STR0018,Delivery,1,2.0,2271.2,1397.6999999999998
2026-04-07,STR0018,Pickup,2,17.0,7928.83,3559.9399999999996
2026-04-07,STR0018,Ship To Home,1,9.0,1800.51,487.78999999999996
2026-04-07,STR0020,Ship To Home,3,11.0,4619.07,1955.49
2026-04-07,STR0022,Delivery,1,8.0,3427.87,1173.75
2026-04-07,STR0022,Ship To Home,1,3.0,1088.26,572.1299999999999
2026-04-07,STR0023,Delivery,1,5.0,312.34,180.95
2026-04-07,STR0023,Ship To Home,1,10.0,3030.17,919.7099999999999
2026-04-07,STR0024,Delivery,1,3.0,1705.44,785.2400000000001
2026-04-07,STR0024,Ship To Home,1,7.0,1555.44,772.13
2026-04-07,STR0025,Delivery,1,10.0,6898.42,4213.799999999999
2026-04-08,STR0001,Delivery,1,5.0,3555.56,1483.91
2026-04-08,STR0002,Delivery,1,6.0,3795.3599999999997,2060.5999999999995
2026-04-08,STR0002,Ship To Home,1,3.0,510.93,233.79000000000002
2026-04-08,STR0003,Pickup,1,1.0,714.59,393.52000000000004
2026-04-08,STR0005,Delivery,1,1.0,488.92,282.99
2026-04-08,STR0005,Pickup,2,13.0,5312.59,2446.1900000000005
2026-04-08,STR0007,Delivery,1,8.0,1417.38,767.4699999999999
2026-04-08,STR0007,Pickup,2,11.0,1878.99,1011.9699999999999
2026-04-08,STR0007,Ship To Home,1,9.0,1096.52,323.58
2026-04-08,STR0008,Pickup,1,4.0,3339.4,2093.48
2026-04-08,STR0009,Delivery,1,6.0,1939.3899999999999,679.4
2026-04-08,STR0009,Ship To Home,1,5.0,1614.19,447.0099999999999
2026-04-08,STR0010,Pickup,1,4.0,312.2,182.79999999999998
2026-04-08,STR0010,Ship To Home,2,14.0,5294.01,2060.6000000000004
