transaction_date,store_id,department,transaction_count,units,net_sales,gross_margin,markdown_amount
2026-04-01,STR0002,Electronics,1,2.0,695.21,113.02999999999997,100.27999999999997
2026-04-01,STR0002,Health & Beauty,1,1.0,861.62,455.21,0.0
2026-04-01,STR0002,Home,1,1.0,34.25,-2.509999999999998,9.810000000000002
2026-04-01,STR0002,Sports,2,6.0,1682.15,470.5,403.98999999999995
2026-04-01,STR0004,Apparel,3,9.0,7187.2,4149.95,179.95999999999992
2026-04-01,STR0004,Automotive,3,7.0,1355.54,331.07,108.72000000000003
2026-04-01,STR0004,Grocery,2,3.0,1009.98,179.66000000000003,2.6900000000000013
2026-04-01,STR0004,Health & Beauty,1,3.0,836.73,420.81000000000006,92.96999999999986
2026-04-01,STR0004,Home,4,10.0,1550.47,430.13,314.4
2026-04-01,STR0004,Office,1,1.0,245.67,81.45999999999998,0.0
2026-04-01,STR0005,Apparel,1,4.0,1615.24,651.64,0.0
2026-04-01,STR0005,Automotive,2,10.0,2117.14,301.86,253.86000000000013
2026-04-01,STR0005,Electronics,1,3.0,1225.1999999999998,523.1999999999998,0.0
2026-04-01,STR0005,Home,1,1.0,416.38,11.629999999999995,21.920000000000016
2026-04-01,STR0005,Office,1,4.0,1298.64,432.48000000000013,0.0
2026-04-01,STR0007,Electronics,1,3.0,1258.72,636.79,0.0
2026-04-01,STR0007,Home,1,4.0,332.84,177.51999999999998,0.0
2026-04-01,STR0009,Apparel,2,8.0,1545.46,774.0799999999999,172.25999999999996
2026-04-01,STR0009,Automotive,1,2.0,836.22,467.56,93.01999999999998
2026-04-01,STR0009,Office,1,1.0,294.58,82.01999999999998,74.15000000000003
2026-04-01,STR0010,Automotive,1,5.0,581.7,-35.94999999999993,145.45000000000002
2026-04-01,STR0010,Home,2,7.0,2137.7200000000003,745.29,107.66999999999996
2026-04-01,STR0010,Office,1,2.0,224.52,79.34,0.0
2026-04-01,STR0011,Automotive,1,5.0,2122.4,626.8499999999999,235.79999999999984
2026-04-01,STR0011,Home,1,2.0,883.36,194.15999999999997,0.0
2026-04-01,STR0011,Office,1,2.0,1461.28,771.88,0.0
2026-04-01,STR0015,Automotive,1,2.0,979.6,384.44000000000005,0.0
2026-04-01,STR0015,Health & Beauty,1,4.0,982.28,576.2,0.0
2026-04-01,STR0015,Home,1,4.0,578.96,237.40000000000003,144.7199999999999
2026-04-01,STR0016,Home,1,1.0,398.49,202.72,21.079999999999984
2026-04-01,STR0017,Apparel,1,4.0,3637.36,2236.92,0.0
2026-04-01,STR0017,Electronics,1,1.0,399.23,191.92000000000002,21.00999999999999
2026-04-01,STR0017,Office,1,5.0,1239.8,680.0,65.24999999999991
2026-04-01,STR0018,Apparel,2,2.0,601.23,127.33000000000004,122.30999999999995
2026-04-01,STR0018,Automotive,1,4.0,1202.4,748.6800000000001,0.0
2026-04-01,STR0018,Health & Beauty,1,1.0,356.5,45.22000000000003,0.0
2026-04-01,STR0018,Office,1,1.0,422.13,8.069999999999993,46.89999999999998
2026-04-01,STR0019,Home,1,4.0,2133.4,1177.6000000000001,376.48
2026-04-01,STR0019,Sports,1,5.0,1395.35,283.0,73.44999999999999
2026-04-01,STR0020,Apparel,2,8.0,1924.71,482.55,167.56999999999994
2026-04-01,STR0020,Automotive,1,1.0,31.21,7.760000000000002,1.6400000000000006
2026-04-01,STR0020,Sports,1,5.0,1849.1,846.4999999999999,0.0
