store_id,store_name,region,store_format,store_sales,store_margin,online_sales,online_margin,total_sales,digital_mix
STR0010,Orlando Supercenter 10,South,Supercenter,189066.02,81658.77,184676.65,85778.7,373742.67,0.49412781794489774
STR0004,Dallas Supercenter 4,South,Supercenter,193079.28,83818.94,160513.22,74008.08,353592.5,0.45394973026860014
STR0014,Chicago Discount Store 14,Midwest,Discount Store,183440.33,79671.81,165746.15,81669.34,349186.48,0.47466370977478856
STR0008,Miami Neighborhood Market 8,South,Neighborhood Market,141960.85,60719.380000000005,185305.28,87356.64,327266.13,0.5662219918694306
STR0006,Dallas Supercenter 6,South,Supercenter,164154.49,69980.84,161842.62,74143.31999999999,325997.11,0.4964541556825458
STR0020,Sacramento Supercenter 20,West,Supercenter,141128.82,63187.87,181901.03,79366.26,323029.85,0.5631090439474866
STR0023,Miami Supercenter 23,South,Supercenter,158275.64,70792.52,162107.5,74450.91,320383.14,0.5059801211761642
STR0021,Austin Supercenter 21,South,Supercenter,172783.85,73667.88,139961.79,65828.13,312745.64,0.4475259511211731
STR0012,Savannah Supercenter 12,South,Supercenter,170739.78,72651.67,138904.93,61860.41,309644.70999999996,0.4485945521239488
STR0017,Austin Supercenter 17,South,Supercenter,180123.63,79031.33,128190.45999999999,57225.439999999995,308314.08999999997,0.4157787923347908
STR0005,Sacramento Neighborhood Market 5,West,Neighborhood Market,149101.47,59024.38,157431.7,75643.97,306533.17000000004,0.5135878117203433
STR0007,Sacramento Discount Store 7,West,Discount Store,137194.77,54918.62,166995.62,77999.41,304190.39,0.5489838781560455
STR0013,Tacoma Supercenter 13,West,Supercenter,133051.16,57991.53,161232.01,71452.78,294283.17000000004,0.5478804989085851
STR0009,Denver Discount Store 9,West,Discount Store,170525.96,76803.52,122996.12,56522.17,293522.07999999996,0.4190353243612883
STR0019,Houston Supercenter 19,South,Supercenter,150968.42,65123.14,142548.38999999998,66783.38,293516.81,0.48565664774020945
STR0018,Tacoma Neighborhood Market 18,West,Neighborhood Market,161853.64,66517.68,128956.33,59753.88,290809.97000000003,0.44343847633559463
STR0022,Dallas Neighborhood Market 22,South,Neighborhood Market,120196.95,51603.13,167947.24,77671.7,288144.19,0.5828583252016984
STR0001,Peoria Neighborhood Market 1,Midwest,Neighborhood Market,151781.72,58327.13,130522.11,61846.11,282303.83,0.46234622463322583
STR0024,Buffalo Supercenter 24,Northeast,Supercenter,181820.34,79229.17,98514.83,49438.15,280335.17,0.3514180186524581
STR0025,Seattle Supercenter 25,West,Supercenter,145789.27,61377.29,128967.95999999999,61838.52,274757.23,0.46938877641181637
STR0002,Miami Supercenter 2,South,Supercenter,150010.94,59599.93,123764.38,59872.99,273775.32,0.4520655112374629
STR0016,Sacramento Supercenter 16,West,Supercenter,154308.48,69606.97,119284.01,56426.0,273592.49,0.4359915361711866
STR0011,Atlanta Supercenter 11,South,Supercenter,144155.6,57071.88,118909.96,57702.07,263065.56,0.4520164479151129
STR0015,Savannah Supercenter 15,South,Supercenter,128049.22,58669.020000000004,134063.05,65344.53,262112.27,0.5114718589862275
STR0003,Peoria Neighborhood Market 3,Midwest,Neighborhood Market,136360.97,55994.19,107016.44,50055.33,243377.41,0.43971394058306396
