product_id,department,subcategory,brand,units_sold,net_sales,gross_margin,transaction_count,return_qty,refund_amount,return_count,return_rate
SKU0000382,Automotive,Car Care,Freshway,71.0,64373.13,39085.06,29,5.0,11.08,3.0,0.07042253521126761
SKU0000150,Grocery,Pantry,Northpeak,55.0,59192.54,35126.19,23,1.0,0.0,1.0,0.01818181818181818
SKU0000002,Home,Bedding,Greathome,59.0,57511.270000000004,32218.56,22,2.0,0.0,1.0,0.03389830508474576
SKU0000484,Apparel,Kids,Greathome,64.0,53422.04,31015.0,21,0.0,19.41,1.0,0.0
SKU0000058,Apparel,Men,Urbanbasics,64.0,50210.98,30276.26,28,0.0,0.0,0.0,0.0
SKU0000504,Home,Bedding,Freshway,50.0,49624.509999999995,27332.510000000002,17,3.0,0.0,1.0,0.06
SKU0000562,Apparel,Shoes,Techline,44.0,47321.54,28519.020000000004,20,0.0,0.0,0.0,0.0
SKU0000117,Apparel,Women,Healthyyou,44.0,46766.719999999994,27549.719999999998,15,0.0,0.0,0.0,0.0
SKU0000188,Automotive,Tires,Greathome,48.0,45504.32,25235.84,21,0.0,0.0,1.0,0.0
SKU0000109,Apparel,Men,Freshway,55.0,44339.17,23324.22,21,1.0,44.36,1.0,0.01818181818181818
SKU0000149,Home,Storage,Healthyyou,56.0,43960.18,24990.18,22,2.0,96.96,2.0,0.03571428571428571
SKU0000327,Automotive,Accessories,Healthyyou,58.0,42980.82,23369.28,19,1.0,0.0,2.0,0.017241379310344827
SKU0000397,Office,Stationery,Urbanbasics,47.0,42749.78,25372.0,15,2.0,206.16,3.0,0.0425531914893617
SKU0000203,Automotive,Car Care,Northpeak,52.0,42638.6,23766.76,24,6.0,0.0,2.0,0.11538461538461539
SKU0000394,Sports,Fitness,Urbanbasics,53.0,41817.23,21906.190000000002,17,0.0,0.0,0.0,0.0
SKU0000374,Home,Decor,Healthyyou,57.0,41682.77,21869.57,19,0.0,0.0,0.0,0.0
SKU0000110,Apparel,Kids,Valueplus,72.0,39813.84,12168.72,23,0.0,0.0,1.0,0.0
SKU0000219,Electronics,Accessories,Greathome,52.0,39423.1,19233.58,23,0.0,0.0,1.0,0.0
SKU0000550,Automotive,Tires,Urbanbasics,46.0,38755.69,21939.010000000002,17,0.0,0.0,0.0,0.0
SKU0000233,Health & Beauty,Pharmacy,Greathome,56.0,38511.82,20857.260000000002,23,0.0,0.0,0.0,0.0
SKU0000044,Home,Bedding,Healthyyou,50.0,38287.69,18404.19,18,4.0,228.12,2.0,0.08
SKU0000271,Health & Beauty,Pharmacy,Greathome,49.0,37981.54,18067.449999999997,21,0.0,0.0,1.0,0.0
SKU0000322,Electronics,Accessories,Northpeak,48.0,37365.89,22018.85,18,6.0,394.20000000000005,4.0,0.125
SKU0000524,Office,School Supplies,Greathome,42.0,36453.09,19088.61,19,2.0,0.0,1.0,0.047619047619047616
SKU0000279,Apparel,Shoes,Freshway,58.0,36032.84,18274.399999999998,23,2.0,0.0,1.0,0.034482758620689655
SKU0000077,Office,Stationery,Techline,33.0,35750.03,21361.7,16,1.0,0.0,1.0,0.030303030303030304
SKU0000238,Apparel,Men,Urbanbasics,55.0,35482.83,20977.68,19,1.0,0.0,1.0,0.01818181818181818
SKU0000433,Office,School Supplies,Northpeak,47.0,35280.5,18765.170000000002,19,4.0,0.0,4.0,0.0851063829787234
SKU0000575,Grocery,Dairy,Healthyyou,47.0,34946.3,19950.010000000002,19,0.0,0.0,0.0,0.0
SKU0000213,Office,Printing,Freshway,36.0,34659.07,19436.83,15,4.0,137.38,2.0,0.1111111111111111
SKU0000355,Grocery,Dairy,Freshway,39.0,34095.56,18114.14,18,3.0,51.75,3.0,0.07692307692307693
SKU0000538,Automotive,Accessories,Northpeak,35.0,34062.7,20569.85,17,3.0,0.0,1.0,0.08571428571428572
SKU0000178,Sports,Fitness,Greathome,39.0,33992.590000000004,18197.98,21,0.0,0.0,0.0,0.0
SKU0000206,Apparel,Women,Valueplus,67.0,33965.79,13899.959999999997,24,0.0,0.0,0.0,0.0
SKU0000357,Grocery,Pantry,Healthyyou,44.0,33523.11,16181.39,18,0.0,0.0,0.0,0.0
SKU0000116,Office,Printing,Healthyyou,38.0,32877.73,16934.07,16,1.0,0.0,1.0,0.02631578947368421
SKU0000362,Office,School Supplies,Northpeak,60.0,32415.979999999996,17090.78,21,0.0,0.0,0.0,0.0
SKU0000167,Office,Stationery,Valueplus,48.0,32294.12,17189.96,23,0.0,134.27,1.0,0.0
SKU0000197,Sports,Outdoor,Urbanbasics,48.0,32219.72,12897.32,20,3.0,147.84,2.0,0.0625
SKU0000237,Sports,Outdoor,Healthyyou,37.0,31626.850000000002,17547.24,14,1.0,0.0,1.0,0.02702702702702703
SKU0000569,Health & Beauty,Personal Care,Healthyyou,62.0,30421.079999999998,5225.5199999999995,19,1.0,0.0,1.0,0.016129032258064516
SKU0000427,Health & Beauty,Pharmacy,Greathome,38.0,29875.34,13083.140000000001,15,2.0,37.4,1.0,0.05263157894736842
SKU0000111,Home,Decor,Techline,58.0,29724.579999999998,12418.539999999999,25,4.0,165.01,3.0,0.06896551724137931
SKU0000139,Sports,Outdoor,Northpeak,40.0,29529.87,16243.47,14,0.0,0.0,0.0,0.0
SKU0000050,Sports,Outdoor,Healthyyou,56.0,29515.48,5568.2,20,0.0,0.0,0.0,0.0
SKU0000060,Sports,Cycling,Healthyyou,37.0,29499.2,14913.059999999998,15,0.0,299.51,2.0,0.0
SKU0000337,Health & Beauty,Cosmetics,Urbanbasics,46.0,29225.16,16127.58,19,1.0,0.0,1.0,0.021739130434782608
SKU0000491,Office,Stationery,Valueplus,32.0,29083.27,16435.27,14,2.0,73.5,1.0,0.0625
SKU0000038,Electronics,Audio,Northpeak,32.0,29032.51,17000.19,12,0.0,0.0,0.0,0.0
SKU0000229,Electronics,Accessories,Urbanbasics,36.0,29022.940000000002,13979.98,15,0.0,0.0,0.0,0.0
SKU0000232,Automotive,Tires,Techline,67.0,28570.49,1863.619999999999,22,0.0,0.0,0.0,0.0
SKU0000195,Grocery,Produce,Valueplus,36.0,28192.91,13474.31,16,0.0,0.0,0.0,0.0
SKU0000432,Automotive,Accessories,Northpeak,43.0,28136.62,11238.05,16,0.0,0.0,0.0,0.0
SKU0000293,Home,Kitchen,Greathome,40.0,28094.95,13022.15,19,1.0,0.0,1.0,0.025
SKU0000012,Health & Beauty,Pharmacy,Urbanbasics,33.0,28054.54,15062.77,16,0.0,0.0,0.0,0.0
SKU0000375,Sports,Cycling,Northpeak,62.0,28036.51,14384.729999999998,20,0.0,0.0,0.0,0.0
SKU0000389,Apparel,Men,Freshway,37.0,27984.37,12940.169999999998,17,0.0,0.0,0.0,0.0
SKU0000101,Office,Printing,Freshway,40.0,27707.8,13919.800000000001,18,0.0,0.0,0.0,0.0
SKU0000352,Electronics,Computers,Greathome,35.0,27645.1,14989.800000000001,16,0.0,0.0,1.0,0.0
SKU0000481,Office,Stationery,Valueplus,37.0,27571.079999999998,12189.439999999999,15,0.0,0.0,0.0,0.0
SKU0000438,Health & Beauty,Pharmacy,Valueplus,45.0,27349.66,13411.36,15,0.0,46.65,1.0,0.0
SKU0000363,Office,Printing,Northpeak,45.0,27182.780000000002,15768.980000000001,17,1.0,0.0,1.0,0.022222222222222223
SKU0000555,Health & Beauty,Personal Care,Freshway,55.0,27138.11,13947.460000000001,25,0.0,0.0,0.0,0.0
SKU0000435,Electronics,Audio,Freshway,55.0,26890.88,8445.529999999999,26,0.0,0.0,0.0,0.0
SKU0000386,Health & Beauty,Cosmetics,Northpeak,41.0,26817.530000000002,12438.830000000002,19,2.0,0.0,2.0,0.04878048780487805
SKU0000492,Health & Beauty,Pharmacy,Valueplus,51.0,26810.06,7113.860000000001,21,0.0,0.0,0.0,0.0
SKU0000043,Apparel,Kids,Urbanbasics,49.0,26694.489999999998,11835.24,21,0.0,0.0,0.0,0.0
SKU0000507,Health & Beauty,Cosmetics,Northpeak,38.0,26589.300000000003,15539.28,17,6.0,97.98,3.0,0.15789473684210525
SKU0000420,Sports,Cycling,Greathome,43.0,26474.37,9706.52,16,0.0,0.0,0.0,0.0
SKU0000046,Grocery,Pantry,Healthyyou,35.0,26439.29,14900.84,14,4.0,171.49,3.0,0.11428571428571428
SKU0000223,Office,Printing,Freshway,31.0,26205.55,12306.699999999999,12,1.0,0.0,1.0,0.03225806451612903
SKU0000184,Health & Beauty,Wellness,Valueplus,37.0,26039.3,13529.599999999999,17,0.0,0.0,1.0,0.0
SKU0000494,Home,Bedding,Northpeak,32.0,25736.9,13438.02,15,1.0,61.29,1.0,0.03125
SKU0000511,Automotive,Accessories,Urbanbasics,40.0,25498.62,13779.82,18,0.0,0.0,0.0,0.0
SKU0000464,Office,School Supplies,Freshway,48.0,25491.22,6012.339999999999,17,2.0,235.14,2.0,0.041666666666666664
SKU0000381,Grocery,Beverages,Freshway,29.0,25443.460000000003,14640.670000000002,13,0.0,0.0,0.0,0.0
SKU0000547,Health & Beauty,Wellness,Greathome,45.0,25079.61,12194.31,15,1.0,0.0,1.0,0.022222222222222223
SKU0000465,Electronics,Gaming,Urbanbasics,61.0,24992.49,7370.8099999999995,20,4.0,191.05,2.0,0.06557377049180328
SKU0000498,Office,School Supplies,Valueplus,44.0,24989.21,5562.7699999999995,15,3.0,364.84000000000003,2.0,0.06818181818181818
SKU0000128,Apparel,Shoes,Freshway,33.0,24934.670000000002,12418.430000000002,17,4.0,0.0,2.0,0.12121212121212122
SKU0000164,Apparel,Shoes,Northpeak,37.0,24814.98,12935.390000000001,16,3.0,48.46,2.0,0.08108108108108109
SKU0000257,Office,Printing,Techline,34.0,24769.95,12906.669999999998,17,0.0,0.0,0.0,0.0
SKU0000016,Home,Decor,Healthyyou,46.0,24624.97,11097.750000000002,21,0.0,0.0,0.0,0.0
SKU0000234,Health & Beauty,Wellness,Valueplus,48.0,24613.79,12967.550000000001,18,1.0,0.0,1.0,0.020833333333333332
SKU0000175,Home,Bedding,Freshway,26.0,24595.3,15060.84,10,1.0,145.29,1.0,0.038461538461538464
SKU0000182,Office,School Supplies,Healthyyou,39.0,24487.56,11270.07,13,3.0,124.72,1.0,0.07692307692307693
SKU0000340,Sports,Fitness,Healthyyou,40.0,24474.03,9346.03,14,3.0,0.0,3.0,0.075
SKU0000124,Health & Beauty,Cosmetics,Freshway,35.0,24465.52,10511.370000000003,16,0.0,0.0,1.0,0.0
SKU0000021,Sports,Outdoor,Healthyyou,35.0,24435.489999999998,11229.289999999999,12,3.0,200.57,4.0,0.08571428571428572
SKU0000325,Office,School Supplies,Healthyyou,48.0,24332.29,12423.009999999998,20,0.0,0.0,0.0,0.0
SKU0000422,Apparel,Men,Freshway,48.0,24299.14,10578.339999999998,20,3.0,0.0,1.0,0.0625
SKU0000486,Grocery,Frozen,Greathome,31.0,24289.3,13882.909999999998,17,4.0,0.0,2.0,0.12903225806451613
