promotion_id,transaction_count,units,promo_sales,markdown_amount,promotion_name,promotion_type,discount_value,start_date,end_date,channel,active_flag
PRM00013,24,64.0,27992.02,2433.0099999999998,Dollar Off Campaign 13,Dollar Off,15,2026-03-30,2026-04-13,Store,True
PRM00049,23,65.0,27419.0,1891.0400000000002,Bogo Campaign 49,Bogo,15,2026-04-27,2026-05-27,Omnichannel,True
PRM00014,21,59.0,27182.09,2125.7,Rollback Campaign 14,Rollback,10,2026-04-02,2026-04-09,Online,True
PRM00058,22,57.0,26479.3,3594.599999999999,Percent Off Campaign 58,Percent Off,10,2026-03-12,2026-04-02,Store,True
PRM00001,25,54.0,25224.43,2393.0099999999993,Rollback Campaign 1,Rollback,15,2026-03-01,2026-03-15,Online,True
PRM00037,21,60.0,25026.29,1370.84,Percent Off Campaign 37,Percent Off,5,2026-03-02,2026-03-05,Online,True
PRM00031,24,67.0,24838.57,1309.4399999999991,Rollback Campaign 31,Rollback,5,2026-03-17,2026-03-24,Store,False
PRM00008,20,50.0,23891.17,2426.7099999999996,Percent Off Campaign 8,Percent Off,20,2026-05-15,2026-06-14,Store,True
PRM00021,16,44.0,23565.42,1856.6899999999994,Dollar Off Campaign 21,Dollar Off,5,2026-03-24,2026-03-27,Omnichannel,True
PRM00005,27,64.0,23263.89,1256.0700000000004,Clearance Campaign 5,Clearance,10,2026-05-12,2026-05-19,Online,False
PRM00003,20,44.0,22869.67,1447.5400000000004,Dollar Off Campaign 3,Dollar Off,5,2026-03-09,2026-03-23,Online,True
PRM00045,19,48.0,22557.87,2541.59,Percent Off Campaign 45,Percent Off,20,2026-05-15,2026-05-29,Online,False
PRM00040,23,60.0,22477.32,2670.33,Clearance Campaign 40,Clearance,15,2026-04-02,2026-04-23,Omnichannel,True
PRM00023,25,53.0,21684.21,1415.3600000000001,Percent Off Campaign 23,Percent Off,5,2026-04-06,2026-04-13,Omnichannel,False
PRM00046,23,48.0,21413.18,733.6599999999997,Clearance Campaign 46,Clearance,15,2026-04-15,2026-04-22,Online,True
PRM00032,21,57.0,20933.27,1499.0999999999997,Percent Off Campaign 32,Percent Off,5,2026-03-21,2026-04-11,Online,True
PRM00028,17,52.0,20593.83,3273.57,Rollback Campaign 28,Rollback,10,2026-03-20,2026-04-03,Omnichannel,False
PRM00007,22,57.0,20460.22,2201.46,Dollar Off Campaign 7,Dollar Off,15,2026-03-23,2026-03-26,Store,True
PRM00018,21,51.0,19683.3,1473.7199999999998,Percent Off Campaign 18,Percent Off,5,2026-03-03,2026-03-17,Online,False
PRM00050,19,50.0,19554.85,1856.6299999999999,Clearance Campaign 50,Clearance,10,2026-03-15,2026-04-05,Online,True
PRM00056,24,63.0,19306.64,1432.0100000000004,Rollback Campaign 56,Rollback,25,2026-04-24,2026-05-01,Omnichannel,True
PRM00042,24,57.0,19218.309999999998,2505.4100000000008,Rollback Campaign 42,Rollback,20,2026-05-01,2026-05-31,Omnichannel,True
PRM00059,19,54.0,18763.47,543.8,Rollback Campaign 59,Rollback,15,2026-04-08,2026-05-08,Omnichannel,True
