customer_id,store_transactions,online_orders,lifetime_sales,return_count,refund_amount,purchase_count,return_rate,suspicious_return_flag
CUST00000192,1.0,0.0,629.0799999999999,3.0,0.0,1.0,3.0,True
CUST00000343,1.0,1.0,3709.78,4.0,0.0,2.0,2.0,True
CUST00000590,1.0,0.0,1252.04,2.0,187.33,1.0,2.0,True
CUST00000508,1.0,0.0,3392.6,2.0,63.46,1.0,2.0,True
CUST00001489,1.0,0.0,1527.3400000000001,2.0,0.0,1.0,2.0,True
CUST00001395,0.0,1.0,702.1600000000001,2.0,84.3,1.0,2.0,True
CUST00000132,0.0,1.0,1995.35,2.0,167.97,1.0,2.0,True
CUST00000631,0.0,1.0,5894.2699999999995,2.0,24.67,1.0,2.0,True
CUST00001747,1.0,0.0,500.66,2.0,77.59,1.0,2.0,True
CUST00000144,1.0,0.0,3966.0,2.0,149.47,1.0,2.0,True
CUST00000061,1.0,0.0,1149.28,1.0,0.0,1.0,1.0,True
CUST00000691,1.0,1.0,5197.92,2.0,0.0,2.0,1.0,True
CUST00000865,1.0,0.0,4115.75,1.0,0.0,1.0,1.0,True
CUST00001078,0.0,1.0,118.56,1.0,162.88,1.0,1.0,True
CUST00000551,1.0,0.0,1975.9299999999998,1.0,0.0,1.0,1.0,True
CUST00000240,0.0,1.0,459.17,1.0,47.61,1.0,1.0,True
CUST00001364,0.0,2.0,2951.7200000000003,2.0,99.06,2.0,1.0,True
CUST00000974,1.0,0.0,245.89,1.0,0.0,1.0,1.0,True
CUST00000784,1.0,0.0,2353.84,1.0,161.73,1.0,1.0,True
CUST00000434,2.0,0.0,1341.37,2.0,46.65,2.0,1.0,True
CUST00000048,1.0,0.0,3839.7799999999997,1.0,0.0,1.0,1.0,True
CUST00001608,0.0,1.0,1677.49,1.0,0.0,1.0,1.0,True
CUST00001170,1.0,0.0,298.58,1.0,124.87,1.0,1.0,True
CUST00000690,0.0,1.0,1425.6599999999999,1.0,0.0,1.0,1.0,True
CUST00001041,2.0,0.0,7735.88,2.0,134.6,2.0,1.0,True
CUST00001729,1.0,0.0,2390.91,1.0,127.47,1.0,1.0,True
CUST00000756,1.0,0.0,2597.21,1.0,0.0,1.0,1.0,True
CUST00001491,1.0,0.0,293.29999999999995,1.0,0.0,1.0,1.0,True
CUST00001257,1.0,0.0,146.58,1.0,0.0,1.0,1.0,True
CUST00000679,0.0,1.0,3496.6099999999997,1.0,0.0,1.0,1.0,True
CUST00000891,0.0,1.0,4400.71,1.0,127.81,1.0,1.0,True
CUST00001648,1.0,0.0,4083.89,1.0,0.0,1.0,1.0,True
CUST00001357,1.0,0.0,331.76,1.0,0.0,1.0,1.0,True
CUST00001499,1.0,0.0,650.25,1.0,0.0,1.0,1.0,True
CUST00001191,1.0,1.0,3591.05,2.0,0.0,2.0,1.0,True
CUST00000876,2.0,0.0,4137.72,2.0,0.0,2.0,1.0,True
CUST00000378,0.0,1.0,1330.7,1.0,0.0,1.0,1.0,True
CUST00000022,1.0,0.0,2967.8500000000004,1.0,0.0,1.0,1.0,True
CUST00000535,1.0,0.0,579.87,1.0,0.0,1.0,1.0,True
CUST00001512,1.0,0.0,4507.66,1.0,112.97,1.0,1.0,True
CUST00000412,1.0,0.0,1475.52,1.0,199.83,1.0,1.0,True
CUST00001485,1.0,0.0,3477.38,1.0,0.0,1.0,1.0,True
CUST00000481,1.0,0.0,2518.2799999999997,1.0,0.0,1.0,1.0,True
CUST00000046,2.0,0.0,7766.55,2.0,108.28,2.0,1.0,True
CUST00001305,0.0,1.0,5657.69,1.0,0.0,1.0,1.0,True
CUST00000602,1.0,0.0,2211.0200000000004,1.0,0.0,1.0,1.0,True
CUST00000934,1.0,0.0,388.11,1.0,0.0,1.0,1.0,True
CUST00001565,0.0,1.0,1439.76,1.0,0.0,1.0,1.0,True
CUST00000621,1.0,0.0,1416.4299999999998,1.0,0.0,1.0,1.0,True
CUST00000281,2.0,0.0,2133.09,2.0,0.0,2.0,1.0,True
CUST00001785,1.0,0.0,2202.29,1.0,46.04,1.0,1.0,True
CUST00001567,0.0,1.0,1188.3600000000001,1.0,0.0,1.0,1.0,True
CUST00000997,0.0,1.0,325.16,1.0,170.28,1.0,1.0,True
CUST00001233,1.0,0.0,1328.5900000000001,1.0,20.67,1.0,1.0,True
CUST00000826,0.0,1.0,105.07,1.0,0.0,1.0,1.0,True
CUST00001057,1.0,0.0,527.15,1.0,0.0,1.0,1.0,True
CUST00000927,0.0,1.0,4801.56,1.0,0.0,1.0,1.0,True
CUST00000928,1.0,0.0,8889.45,1.0,85.85,1.0,1.0,True
CUST00000716,1.0,0.0,730.1899999999999,1.0,137.78,1.0,1.0,True
CUST00000466,1.0,0.0,4933.450000000001,1.0,0.0,1.0,1.0,True
CUST00001429,1.0,0.0,372.33,1.0,0.0,1.0,1.0,True
CUST00001018,1.0,0.0,4249.27,1.0,0.0,1.0,1.0,True
CUST00001715,0.0,1.0,336.78000000000003,1.0,0.0,1.0,1.0,True
CUST00000449,2.0,0.0,3223.4300000000003,2.0,0.0,2.0,1.0,True
CUST00001682,2.0,0.0,1056.42,2.0,96.82,2.0,1.0,True
CUST00001743,0.0,1.0,673.5,1.0,0.0,1.0,1.0,True
CUST00000329,2.0,0.0,13248.76,2.0,32.19,2.0,1.0,True
CUST00001794,2.0,0.0,7746.63,2.0,104.06,2.0,1.0,True
CUST00001288,1.0,0.0,138.25,1.0,0.0,1.0,1.0,True
CUST00001548,1.0,1.0,5184.21,2.0,42.51,2.0,1.0,True
CUST00000731,1.0,2.0,4943.12,2.0,167.27,3.0,0.6666666666666666,True
CUST00001658,1.0,2.0,3282.56,2.0,0.0,3.0,0.6666666666666666,True
CUST00000443,3.0,0.0,7994.03,2.0,0.0,3.0,0.6666666666666666,True
CUST00001661,3.0,0.0,5081.48,2.0,0.0,3.0,0.6666666666666666,True
CUST00001635,3.0,0.0,3076.22,2.0,199.33,3.0,0.6666666666666666,True
CUST00001777,3.0,0.0,10038.93,2.0,88.23,3.0,0.6666666666666666,True
CUST00000057,1.0,2.0,7632.1900000000005,2.0,51.75,3.0,0.6666666666666666,True
CUST00001451,3.0,0.0,7811.86,2.0,0.0,3.0,0.6666666666666666,True
CUST00000455,2.0,1.0,9541.560000000001,2.0,0.0,3.0,0.6666666666666666,True
CUST00000440,1.0,1.0,2876.0600000000004,1.0,138.98,2.0,0.5,True
CUST00000725,1.0,1.0,6474.450000000001,1.0,105.44,2.0,0.5,True
CUST00001481,2.0,0.0,5441.139999999999,1.0,0.0,2.0,0.5,True
CUST00001449,2.0,0.0,3977.48,1.0,0.0,2.0,0.5,True
CUST00001486,0.0,2.0,5002.2,1.0,57.2,2.0,0.5,True
CUST00001678,2.0,0.0,1039.23,1.0,0.0,2.0,0.5,True
CUST00000165,1.0,1.0,2242.88,1.0,0.0,2.0,0.5,True
CUST00000177,2.0,2.0,7558.99,2.0,345.29999999999995,4.0,0.5,True
CUST00001228,1.0,1.0,1433.77,1.0,98.4,2.0,0.5,True
CUST00001663,1.0,1.0,800.99,1.0,0.0,2.0,0.5,True
CUST00000739,2.0,0.0,3352.21,1.0,170.98,2.0,0.5,True
CUST00001662,2.0,0.0,5980.86,1.0,109.62,2.0,0.5,True
CUST00000821,1.0,1.0,2560.87,1.0,0.0,2.0,0.5,True
CUST00000333,1.0,1.0,5824.94,1.0,0.0,2.0,0.5,True
CUST00000805,1.0,1.0,3883.2,1.0,120.98,2.0,0.5,True
CUST00001550,2.0,0.0,3249.34,1.0,14.97,2.0,0.5,True
CUST00000839,1.0,1.0,9980.27,1.0,0.0,2.0,0.5,True
CUST00000313,2.0,0.0,1439.78,1.0,0.0,2.0,0.5,True
CUST00001590,4.0,0.0,4404.59,2.0,145.29,4.0,0.5,True
CUST00001557,1.0,1.0,1714.26,1.0,28.3,2.0,0.5,True
CUST00000311,0.0,2.0,1152.71,1.0,0.0,2.0,0.5,True
CUST00000815,1.0,1.0,2874.55,1.0,0.0,2.0,0.5,True
CUST00000773,1.0,1.0,2171.1,1.0,0.0,2.0,0.5,True
CUST00000304,1.0,1.0,4718.41,1.0,0.0,2.0,0.5,True
CUST00000832,2.0,0.0,5583.08,1.0,34.13,2.0,0.5,True
CUST00000818,2.0,0.0,7777.15,1.0,0.0,2.0,0.5,True
CUST00000282,2.0,0.0,6453.780000000001,1.0,0.0,2.0,0.5,True
CUST00000284,1.0,1.0,1412.3600000000001,1.0,0.0,2.0,0.5,True
CUST00000288,1.0,1.0,5437.539999999999,1.0,0.0,2.0,0.5,True
CUST00000289,1.0,1.0,3502.84,1.0,0.0,2.0,0.5,True
CUST00000823,2.0,0.0,2745.52,1.0,0.0,2.0,0.5,True
CUST00001570,2.0,0.0,4530.610000000001,1.0,0.0,2.0,0.5,True
CUST00000834,2.0,0.0,2456.55,1.0,0.0,2.0,0.5,True
CUST00001657,2.0,0.0,2729.6,1.0,0.0,2.0,0.5,True
CUST00001087,1.0,1.0,6239.7,1.0,52.53,2.0,0.5,True
CUST00000190,1.0,1.0,3543.5699999999997,1.0,0.0,2.0,0.5,True
CUST00000196,2.0,0.0,7194.599999999999,1.0,96.96,2.0,0.5,True
CUST00001493,2.0,0.0,9910.92,1.0,0.0,2.0,0.5,True
CUST00000392,2.0,0.0,3056.37,1.0,0.0,2.0,0.5,True
CUST00001188,2.0,0.0,5021.72,1.0,0.0,2.0,0.5,True
CUST00000771,2.0,0.0,6307.73,1.0,0.0,2.0,0.5,True
CUST00000371,2.0,0.0,9308.03,1.0,0.0,2.0,0.5,True
CUST00000256,2.0,0.0,8532.7,1.0,0.0,2.0,0.5,True
CUST00000225,2.0,0.0,3653.43,1.0,0.0,2.0,0.5,True
CUST00000370,1.0,1.0,4334.4400000000005,1.0,0.0,2.0,0.5,True
CUST00000230,1.0,1.0,8853.09,1.0,0.0,2.0,0.5,True
CUST00000356,3.0,1.0,5654.900000000001,2.0,0.0,4.0,0.5,True
CUST00001610,2.0,0.0,4498.8,1.0,0.0,2.0,0.5,True
CUST00001174,1.0,1.0,2773.2200000000003,1.0,186.38,2.0,0.5,True
CUST00000851,2.0,2.0,6333.73,2.0,0.0,4.0,0.5,True
CUST00000340,2.0,0.0,3498.26,1.0,104.33,2.0,0.5,True
CUST00000338,1.0,1.0,1775.91,1.0,0.0,2.0,0.5,True
CUST00000867,2.0,0.0,2081.53,1.0,0.0,2.0,0.5,True
CUST00000955,1.0,1.0,6862.48,1.0,0.0,2.0,0.5,True
CUST00000552,2.0,0.0,6806.07,1.0,0.0,2.0,0.5,True
CUST00001365,2.0,2.0,2347.16,2.0,157.5,4.0,0.5,True
CUST00000662,2.0,0.0,5552.06,1.0,9.16,2.0,0.5,True
CUST00001374,4.0,0.0,4811.26,2.0,0.0,4.0,0.5,True
CUST00000028,4.0,0.0,12271.32,2.0,131.41,4.0,0.5,True
CUST00000109,1.0,1.0,5714.16,1.0,124.72,2.0,0.5,True
CUST00000108,2.0,0.0,6644.8,1.0,0.0,2.0,0.5,True
CUST00000538,2.0,0.0,3114.8,1.0,0.0,2.0,0.5,True
CUST00000697,2.0,0.0,2698.2,1.0,160.23,2.0,0.5,True
CUST00001376,2.0,0.0,2840.85,1.0,184.62,2.0,0.5,True
CUST00001243,2.0,2.0,5083.2,2.0,65.1,4.0,0.5,True
CUST00000064,2.0,0.0,6642.63,1.0,0.0,2.0,0.5,True
CUST00001247,1.0,1.0,8301.26,1.0,137.38,2.0,0.5,True
CUST00001377,2.0,0.0,1789.7,1.0,0.0,2.0,0.5,True
CUST00000966,2.0,0.0,8232.66,1.0,0.0,2.0,0.5,True
CUST00000721,2.0,0.0,6007.64,1.0,125.99,2.0,0.5,True
CUST00000524,2.0,0.0,8781.87,1.0,0.0,2.0,0.5,True
CUST00000078,2.0,0.0,5553.15,1.0,0.0,2.0,0.5,True
CUST00001254,1.0,1.0,9308.77,1.0,0.0,2.0,0.5,True
CUST00000086,1.0,1.0,8827.02,1.0,0.0,2.0,0.5,True
CUST00000688,2.0,0.0,4749.8,1.0,0.0,2.0,0.5,True
CUST00001726,2.0,0.0,8659.59,1.0,0.0,2.0,0.5,True
