store_id,sku_count,on_hand_qty,available_qty,stockout_sku_count,low_stock_sku_count,overstock_sku_count,store_name,region,square_feet,inventory_density
STR0018,465,111669.0,98861.0,9,65,284,Tacoma Neighborhood Market 18,West,65000,1.7179846153846154
STR0022,464,108108.0,95269.0,8,76,284,Dallas Neighborhood Market 22,South,150000,0.72072
STR0008,464,114857.0,102112.0,8,67,295,Miami Neighborhood Market 8,South,45000,2.5523777777777776
STR0006,463,112283.0,99347.0,7,65,286,Dallas Supercenter 6,South,180000,0.6237944444444444
STR0005,455,114275.0,101167.0,7,63,292,Sacramento Neighborhood Market 5,West,90000,1.2697222222222222
STR0021,476,117733.0,104217.0,7,69,305,Austin Supercenter 21,South,120000,0.9811083333333334
STR0016,454,113000.0,100162.0,7,67,288,Sacramento Supercenter 16,West,120000,0.9416666666666667
STR0003,457,117163.0,104218.0,6,72,291,Peoria Neighborhood Market 3,Midwest,65000,1.8025076923076924
STR0019,461,114560.0,102141.0,6,61,300,Houston Supercenter 19,South,65000,1.7624615384615385
STR0025,475,118934.0,105917.0,6,63,305,Seattle Supercenter 25,West,65000,1.829753846153846
STR0020,478,111478.0,98328.0,5,78,282,Sacramento Supercenter 20,West,120000,0.9289833333333334
STR0015,448,113085.0,100205.0,5,61,285,Savannah Supercenter 15,South,90000,1.2565
STR0017,454,109622.0,96960.0,4,63,292,Austin Supercenter 17,South,120000,0.9135166666666666
STR0009,463,117785.0,104782.0,4,68,303,Denver Discount Store 9,West,180000,0.6543611111111111
STR0011,469,118673.0,106158.0,4,63,298,Atlanta Supercenter 11,South,90000,1.3185888888888888
STR0023,466,116841.0,103802.0,4,58,298,Miami Supercenter 23,South,90000,1.2982333333333334
STR0002,455,120468.0,107836.0,4,44,307,Miami Supercenter 2,South,120000,1.0039
STR0012,461,115928.0,103534.0,3,49,287,Savannah Supercenter 12,South,150000,0.7728533333333333
STR0007,465,113447.0,100949.0,3,68,291,Sacramento Discount Store 7,West,65000,1.7453384615384615
STR0001,469,117506.0,104324.0,3,52,311,Peoria Neighborhood Market 1,Midwest,180000,0.6528111111111111
STR0010,459,118482.0,105131.0,3,56,297,Orlando Supercenter 10,South,90000,1.3164666666666667
STR0014,460,114496.0,101608.0,3,48,292,Chicago Discount Store 14,Midwest,45000,2.5443555555555557
STR0013,470,118972.0,105335.0,2,66,306,Tacoma Supercenter 13,West,120000,0.9914333333333334
STR0004,454,110095.0,96934.0,1,54,287,Dallas Supercenter 4,South,45000,2.4465555555555554
STR0024,454,112230.0,99271.0,1,57,290,Buffalo Supercenter 24,Northeast,180000,0.6235
