transaction_id,basket_sales,payment_amount,tender_count,difference,reconciliation_status
TXN000000003,2117.7400000000002,184.76,1.0,-1932.9800000000002,Mismatch
TXN000000006,914.63,398.0,1.0,-516.63,Mismatch
TXN000000007,1097.3,0.0,0.0,-1097.3,Mismatch
TXN000000008,3843.96,0.0,0.0,-3843.96,Mismatch
TXN000000009,360.93,0.0,0.0,-360.93,Mismatch
TXN000000011,1649.25,195.61,1.0,-1453.6399999999999,Mismatch
TXN000000013,880.08,202.55,1.0,-677.53,Mismatch
TXN000000014,1875.4399999999998,0.0,0.0,-1875.4399999999998,Mismatch
TXN000000015,2326.18,318.42,1.0,-2007.7599999999998,Mismatch
TXN000000018,882.93,0.0,0.0,-882.93,Mismatch
TXN000000019,355.96,329.66,1.0,-26.299999999999955,Mismatch
TXN000000023,569.45,0.0,0.0,-569.45,Mismatch
TXN000000024,756.32,465.62,1.0,-290.70000000000005,Mismatch
TXN000000025,402.32,0.0,0.0,-402.32,Mismatch
TXN000000026,5947.5199999999995,0.0,0.0,-5947.5199999999995,Mismatch
TXN000000029,1919.8,75.06,1.0,-1844.74,Mismatch
TXN000000030,1782.3200000000002,0.0,0.0,-1782.3200000000002,Mismatch
TXN000000031,226.3,190.44,1.0,-35.860000000000014,Mismatch
TXN000000032,4932.74,197.1,1.0,-4735.639999999999,Mismatch
TXN000000034,362.55,0.0,0.0,-362.55,Mismatch
TXN000000035,330.19,110.25,1.0,-219.94,Mismatch
TXN000000036,841.4,0.0,0.0,-841.4,Mismatch
TXN000000041,5170.400000000001,217.82,1.0,-4952.580000000001,Mismatch
TXN000000043,115.04,0.0,0.0,-115.04,Mismatch
TXN000000048,1652.08,0.0,0.0,-1652.08,Mismatch
TXN000000049,1551.44,0.0,0.0,-1551.44,Mismatch
TXN000000050,1336.59,258.57,1.0,-1078.02,Mismatch
TXN000000053,3131.6200000000003,76.19,1.0,-3055.4300000000003,Mismatch
TXN000000056,2321.09,490.48,1.0,-1830.6100000000001,Mismatch
TXN000000060,924.12,77.01,1.0,-847.11,Mismatch
TXN000000062,722.33,0.0,0.0,-722.33,Mismatch
TXN000000064,2429.4,0.0,0.0,-2429.4,Mismatch
TXN000000066,4109.31,0.0,0.0,-4109.31,Mismatch
TXN000000067,6394.38,308.58,1.0,-6085.8,Mismatch
TXN000000070,5197.79,121.88,1.0,-5075.91,Mismatch
TXN000000072,1883.67,765.37,2.0,-1118.3000000000002,Mismatch
TXN000000073,2038.2999999999997,51.78,1.0,-1986.5199999999998,Mismatch
TXN000000075,3492.83,92.07,1.0,-3400.7599999999998,Mismatch
TXN000000077,1927.8500000000001,396.69,1.0,-1531.16,Mismatch
TXN000000079,587.03,313.29,1.0,-273.73999999999995,Mismatch
TXN000000082,2456.67,0.0,0.0,-2456.67,Mismatch
TXN000000084,4794.5,464.33,1.0,-4330.17,Mismatch
TXN000000085,1155.72,0.0,0.0,-1155.72,Mismatch
TXN000000087,2956.52,431.35,1.0,-2525.17,Mismatch
TXN000000090,4045.3900000000003,382.36,1.0,-3663.03,Mismatch
TXN000000095,1616.69,91.36,1.0,-1525.3300000000002,Mismatch
TXN000000098,1438.6799999999998,146.08,1.0,-1292.6,Mismatch
TXN000000099,1501.96,0.0,0.0,-1501.96,Mismatch
TXN000000104,101.67,0.0,0.0,-101.67,Mismatch
TXN000000106,799.4300000000001,269.94,1.0,-529.49,Mismatch
TXN000000115,566.4,0.0,0.0,-566.4,Mismatch
TXN000000116,860.61,368.43,1.0,-492.18,Mismatch
TXN000000117,1673.33,317.27,1.0,-1356.06,Mismatch
TXN000000119,3493.16,0.0,0.0,-3493.16,Mismatch
TXN000000125,1257.7600000000002,182.41000000000003,2.0,-1075.3500000000001,Mismatch
TXN000000131,1295.04,492.03,1.0,-803.01,Mismatch
TXN000000140,2069.05,0.0,0.0,-2069.05,Mismatch
TXN000000141,2935.82,361.92,1.0,-2573.9,Mismatch
TXN000000147,433.39,0.0,0.0,-433.39,Mismatch
TXN000000150,4260.8,308.25,1.0,-3952.55,Mismatch
TXN000000152,818.14,0.0,0.0,-818.14,Mismatch
TXN000000154,4705.469999999999,192.39,1.0,-4513.079999999999,Mismatch
TXN000000155,6831.41,466.12,2.0,-6365.29,Mismatch
TXN000000158,3353.01,0.0,0.0,-3353.01,Mismatch
TXN000000160,6751.96,60.35,1.0,-6691.61,Mismatch
TXN000000162,197.98,380.93,1.0,182.95000000000002,Mismatch
TXN000000163,5042.549999999999,437.1,1.0,-4605.449999999999,Mismatch
TXN000000165,1975.9299999999998,418.15,1.0,-1557.7799999999997,Mismatch
TXN000000170,657.58,158.79,1.0,-498.7900000000001,Mismatch
TXN000000171,4341.95,451.69,1.0,-3890.2599999999998,Mismatch
TXN000000172,3983.37,446.12,1.0,-3537.25,Mismatch
TXN000000173,6500.74,0.0,1.0,-6500.74,Mismatch
TXN000000178,3914.6600000000003,0.0,0.0,-3914.6600000000003,Mismatch
TXN000000179,354.94,361.91,1.0,6.970000000000027,Mismatch
TXN000000180,33.5,151.14,1.0,117.63999999999999,Mismatch
TXN000000186,233.02999999999997,103.27,1.0,-129.76,Mismatch
