snapshot_date,store_id,product_id,on_hand_qty,reserved_qty,on_order_qty,reorder_point,safety_stock_qty,inventory_status,available_qty,valid_values,quarantine_reason
2026-04-01,STR0001,SKU0000098,,6,153,20,5,Low,,False,Bad inventory quantities
2026-04-01,STR0004,SKU0000296,,21,0,75,30,Healthy,,False,Bad inventory quantities
2026-04-01,STR0012,SKU0000559,,37,152,10,10,Stockout,,False,Bad inventory quantities
2026-04-01,STR0014,SKU0000305,,25,32,75,30,Overstock,,False,Bad inventory quantities
2026-04-01,STR0014,SKU0000091,,9,65,30,5,Low,,False,Bad inventory quantities
2026-04-01,STR0017,SKU0000540,,57,180,50,10,Stockout,,False,Bad inventory quantities
2026-04-01,STR0018,SKU0000376,,5,109,30,20,Overstock,,False,Bad inventory quantities
2026-04-01,STR0020,SKU0000173,,34,138,75,10,Low,,False,Bad inventory quantities
2026-04-01,STR0022,SKU0000023,,19,11,75,20,Healthy,,False,Bad inventory quantities
2026-04-15,STR0006,SKU0000332,,8,116,30,30,Low,,False,Bad inventory quantities
2026-04-15,STR0007,SKU0000079,,33,175,20,5,Low,,False,Bad inventory quantities
2026-04-15,STR0008,SKU0000512,,49,84,30,20,Low,,False,Bad inventory quantities
2026-04-15,STR0010,SKU0000033,,11,136,30,10,Stockout,,False,Bad inventory quantities
2026-04-15,STR0010,SKU0000110,,42,103,50,20,Low,,False,Bad inventory quantities
2026-04-15,STR0011,SKU0000564,,49,180,20,10,Overstock,,False,Bad inventory quantities
2026-04-15,STR0014,SKU0000428,,25,29,10,10,Healthy,,False,Bad inventory quantities
2026-04-15,STR0014,SKU0000210,,11,10,50,20,Low,,False,Bad inventory quantities
2026-04-15,STR0018,SKU0000223,,54,23,10,5,Healthy,,False,Bad inventory quantities
2026-04-15,STR0019,SKU0000002,,37,41,20,10,Low,,False,Bad inventory quantities
2026-04-15,STR0019,SKU0000085,,49,197,75,5,Healthy,,False,Bad inventory quantities
2026-05-01,STR0004,SKU0000403,,21,95,75,5,Overstock,,False,Bad inventory quantities
2026-05-01,STR0004,SKU0000022,,29,6,75,20,Stockout,,False,Bad inventory quantities
2026-05-01,STR0015,SKU0000354,,1,190,20,5,Healthy,,False,Bad inventory quantities
2026-05-01,STR0017,SKU0000195,,20,93,20,30,Overstock,,False,Bad inventory quantities
2026-05-01,STR0024,SKU0000117,,33,82,10,30,Low,,False,Bad inventory quantities
2026-05-01,STR0024,SKU0000308,,60,117,20,20,Healthy,,False,Bad inventory quantities
2026-05-15,STR0003,SKU0000308,,34,40,50,10,Healthy,,False,Bad inventory quantities
2026-05-15,STR0007,SKU0000004,,48,164,10,30,Healthy,,False,Bad inventory quantities
2026-05-15,STR0018,SKU0000289,,38,170,20,30,Overstock,,False,Bad inventory quantities
2026-05-15,STR0024,SKU0000453,,48,165,75,20,Low,,False,Bad inventory quantities
2026-05-31,STR0003,SKU0000170,,13,193,10,20,Stockout,,False,Bad inventory quantities
2026-05-31,STR0003,SKU0000002,,24,157,10,30,Healthy,,False,Bad inventory quantities
2026-05-31,STR0004,SKU0000537,,9,163,20,5,Healthy,,False,Bad inventory quantities
2026-05-31,STR0005,SKU0000359,,35,100,30,20,Healthy,,False,Bad inventory quantities
2026-05-31,STR0008,SKU0000400,,2,84,10,10,Low,,False,Bad inventory quantities
2026-05-31,STR0009,SKU0000378,,35,39,10,30,Stockout,,False,Bad inventory quantities
2026-05-31,STR0015,SKU0000268,,3,126,50,10,Healthy,,False,Bad inventory quantities
2026-05-31,STR0015,SKU0000481,,43,104,10,5,Healthy,,False,Bad inventory quantities
2026-05-31,STR0024,SKU0000178,,47,114,20,5,Healthy,,False,Bad inventory quantities
